seed,selected_stage,sample_id,system_id,component_count,affected_component,increased_component,d_log_gamma_i_d_closed_x_j,d_log_gamma_i_d_temperature_k,evaluation_partition
0,stage2,state_a9bc0e7ab57489e92563a342,2c_4cc4055379eb0154120e,2,1,1,-0.6357035636901855,6.747876614099368e-05,test
0,stage2,state_a9bc0e7ab57489e92563a342,2c_4cc4055379eb0154120e,2,1,2,0.6357035636901855,6.747876614099368e-05,test
0,stage2,state_a9bc0e7ab57489e92563a342,2c_4cc4055379eb0154120e,2,2,1,0.6357035636901855,3.9919104892760515e-05,test
0,stage2,state_a9bc0e7ab57489e92563a342,2c_4cc4055379eb0154120e,2,2,2,-0.6357035636901855,3.9919104892760515e-05,test
1,stage1,state_11b2fb27fdd73ea8a30f833e,2c_0415aea2ff15a94267cc,2,1,1,-0.2235393524169922,2.157684684789274e-05,test
1,stage1,state_11b2fb27fdd73ea8a30f833e,2c_0415aea2ff15a94267cc,2,1,2,0.2235393524169922,2.157684684789274e-05,test
1,stage1,state_11b2fb27fdd73ea8a30f833e,2c_0415aea2ff15a94267cc,2,2,1,0.2235393524169922,-5.650290404446423e-06,test
1,stage1,state_11b2fb27fdd73ea8a30f833e,2c_0415aea2ff15a94267cc,2,2,2,-0.2235393524169922,-5.650290404446423e-06,test
2,stage2,state_279fb646a04379ae88cc6ee6,2c_8ec77568f85fa24389e9,2,1,1,-1.0282840728759766,-5.6496304750908166e-05,test
2,stage2,state_279fb646a04379ae88cc6ee6,2c_8ec77568f85fa24389e9,2,1,2,1.0282840728759766,-5.6496304750908166e-05,test
2,stage2,state_279fb646a04379ae88cc6ee6,2c_8ec77568f85fa24389e9,2,2,1,1.0282841920852661,-1.9475970475468785e-05,test
2,stage2,state_279fb646a04379ae88cc6ee6,2c_8ec77568f85fa24389e9,2,2,2,-1.0282841920852661,-1.9475970475468785e-05,test
3,stage2,state_11b2fb27fdd73ea8a30f833e,2c_0415aea2ff15a94267cc,2,1,1,-0.481523722410202,0.0002917901147156954,test
3,stage2,state_11b2fb27fdd73ea8a30f833e,2c_0415aea2ff15a94267cc,2,1,2,0.481523722410202,0.0002917901147156954,test
3,stage2,state_11b2fb27fdd73ea8a30f833e,2c_0415aea2ff15a94267cc,2,2,1,0.481523722410202,5.467314986162819e-05,test
3,stage2,state_11b2fb27fdd73ea8a30f833e,2c_0415aea2ff15a94267cc,2,2,2,-0.481523722410202,5.467314986162819e-05,test
4,stage2,state_279fb646a04379ae88cc6ee6,2c_8ec77568f85fa24389e9,2,1,1,-0.9425035715103149,-6.945097265997902e-05,test
4,stage2,state_279fb646a04379ae88cc6ee6,2c_8ec77568f85fa24389e9,2,1,2,0.9425035715103149,-6.945097265997902e-05,test
4,stage2,state_279fb646a04379ae88cc6ee6,2c_8ec77568f85fa24389e9,2,2,1,0.9425035715103149,-7.258721598191187e-05,test
4,stage2,state_279fb646a04379ae88cc6ee6,2c_8ec77568f85fa24389e9,2,2,2,-0.9425035715103149,-7.258721598191187e-05,test
