seed,selected_stage,sample_id,system_id,direction,component_count,mean_abs_delta_log_gamma,mean_abs_delta_log_psat,mean_abs_delta_y,stage1_teacher_forced_fugacity_rmse,stage2_teacher_forced_fugacity_rmse,delta_teacher_forced_fugacity_rmse,evaluation_partition
0,stage2,state_01d8c748879f212a12304dd3,2c_3dbba2317f4e40b6415a,isothermal,2,0.13785520195960999,0.24026250839233398,7.415856123627051e-14,2.448089838027954,1.5324934720993042,-0.9155963659286499,test
0,stage2,state_0200e9a2dea9945fb094eb84,2c_fd67fdd685d7933bea7b,isobaric,2,0.037148892879486084,0.19202327728271484,0.051207274198532104,0.1792570799589157,0.2149205207824707,0.03566344082355499,test
0,stage2,state_091b48a2bd3f4f7b4ccefbea,2c_acf6c70dfacb27974826,isobaric,2,0.03562787175178528,0.11260867118835449,0.059436455368995667,0.26594278216362,0.20639808475971222,-0.059544697403907776,test
0,stage2,state_0c31a851edb98677100c0020,2c_4cc4055379eb0154120e,isothermal,2,0.0443071573972702,0.11717534065246582,0.042492687702178955,0.5056207776069641,0.5044976472854614,-0.0011231303215026855,test
0,stage2,state_0c4ad6871cde7ec35299a4f1,2c_e38d1f19a6809ae85603,isobaric,2,0.05931767821311951,0.34823083877563477,0.04875105619430542,0.2817133963108063,0.23952089250087738,-0.042192503809928894,test
0,stage2,state_0cee952ecf4f025da054ee13,2c_784276d4500715f79c89,isobaric,2,0.006448701024055481,0.1650238037109375,0.03988794982433319,0.22015918791294098,0.26574036478996277,0.04558117687702179,test
0,stage2,state_0f193199a3b2cfcde25945a9,2c_e38d1f19a6809ae85603,isobaric,2,0.13794857263565063,0.08711004257202148,2.349774021193074e-13,0.0780707374215126,0.04551200196146965,-0.032558735460042953,test
0,stage2,state_0fadd22062262caf00cd2fc7,2c_ebc3b99e7d6baac46bdf,isothermal,2,0.028506949543952942,0.14885950088500977,0.02715599536895752,0.4672704339027405,0.3885267674922943,-0.07874366641044617,test
0,stage2,state_1059a2a9cff664b934068b15,2c_3dbba2317f4e40b6415a,isothermal,2,0.020791739225387573,0.11803197860717773,0.026323072612285614,0.12968114018440247,0.1371036022901535,0.007422462105751038,test
0,stage2,state_13f5a391df93f92ccc48c602,2c_3dbba2317f4e40b6415a,isothermal,2,0.03338359296321869,0.11803197860717773,0.016204092651605606,0.11058767139911652,0.12722839415073395,0.01664072275161743,test
0,stage2,state_1496b8bc8194125c1572d87a,2c_68abb36eecbce76e2e58,isobaric,2,0.033653587102890015,0.0989220142364502,0.04119257628917694,0.11891257017850876,0.1715685874223709,0.05265601724386215,test
0,stage2,state_14bbf84143746dbf18c961ba,2c_d119216a7f1c0b5c260c,isothermal,2,0.049485206604003906,0.3867497444152832,0.004131019115447998,0.4351195991039276,0.36183539032936096,-0.07328420877456665,test
0,stage2,state_154b54dde17c8be2dc669da1,2c_b5e6a87ec43f38c5a3d1,isothermal,2,0.043174684047698975,0.12065505981445312,0.001033291220664978,0.4256393015384674,0.42452365159988403,-0.001115649938583374,test
0,stage2,state_15feae5a5af6f3b1d51b250f,2c_0537ca75f0252274a31e,isobaric,2,0.06215845048427582,0.08326315879821777,0.030550718307495117,0.061115436255931854,0.037099819630384445,-0.02401561662554741,test
0,stage2,state_16f0a733fa0a851bb1b97d23,2c_0537ca75f0252274a31e,isobaric,2,0.09359526634216309,0.07519841194152832,0.005274832248687744,0.05753080174326897,0.06380460411310196,0.0062738023698329926,test
0,stage2,state_17d83c90cb279204af27a402,2c_7954fe4787215de62628,isobaric,2,0.025568753480911255,0.08911538124084473,0.000658079981803894,0.1266772747039795,0.16992975771427155,0.04325248301029205,test
0,stage2,state_188e6c152ade68de895cbaee,2c_e1c33e24ae7f6ab4d0bf,isothermal,2,0.0993780717253685,0.2995188236236572,0.034861333668231964,0.1162509098649025,0.0888310968875885,-0.027419812977313995,test
0,stage2,state_1a113b4f8839c008ee8db709,2c_c6a565ee5191fe2b2cdb,isothermal,2,0.11853986233472824,0.08858394622802734,0.01826225221157074,0.014541231095790863,0.08172544836997986,0.067184217274189,test
0,stage2,state_1ae4feef6e58a27e09dc24b0,2c_549357b643a32e7f29d6,isothermal,2,0.05074242502450943,0.25034236907958984,0.005430120974779129,0.2808586359024048,0.13919150829315186,-0.14166712760925293,test
0,stage2,state_1bec1c083dc044c3b3daf990,2c_3dbba2317f4e40b6415a,isothermal,2,0.11061622202396393,0.3771696090698242,0.00434449315071106,2.184170722961426,1.170244812965393,-1.0139259099960327,test
0,stage2,state_1e46c3706d194924d65d77ae,2c_3dbba2317f4e40b6415a,isothermal,2,0.021613847464323044,0.11803197860717773,0.03357754647731781,0.17770066857337952,0.14788520336151123,-0.029815465211868286,test
