seed,selected_stage,sample_id,system_id,direction,component_count,chemical_family,component_i_family,component_j_family,x_i,x_j,pair_interaction,absolute_pair_interaction,composition_weighted_pair_contribution,mean_abs_log_gamma,excess_gibbs_rt,evaluation_partition
4,stage2,state_6a98337fdd1a8f305682440b,2c_f6e4afdc0101fe369605,isobaric,2,alkane/cycloalkane + carboxylic acid/ester,alkane/cycloalkane,carboxylic acid/ester,0.5523,0.4477,0.7686216831207275,0.7686216831207275,0.1900530175765586,0.1909509003162384,0.19005300104618073,test
4,stage2,state_7055f555d7c688c20ed49265,2c_bcb26f0a8f51ae61db28,isobaric,2,carboxylic acid/ester + carboxylic acid/ester,carboxylic acid/ester,carboxylic acid/ester,0.6097,0.3903,0.37920883297920227,0.37920883297920227,0.09023877501993388,0.10593337565660477,0.0902387797832489,test
4,stage2,state_7191f4346e45d71c36298d76,2c_03bd4325b126d2709459,isobaric,2,alkane/cycloalkane + alkane/cycloalkane,alkane/cycloalkane,alkane/cycloalkane,0.982,0.018000000000000016,0.0512792207300663,0.0512792207300663,0.0009064115056246527,0.02429925836622715,0.0009064115001820028,test
4,stage2,state_72785d82a0f049221c1af03a,2c_94ed5d0a73a3c26e5ef5,isobaric,2,alcohol/polyol + water,alcohol/polyol,water,0.0178,0.9822,2.5982987880706787,2.5982987880706787,0.04542647343964576,1.2231251001358032,0.04542647302150726,test
4,stage2,state_74aead4276d071031dcf23bd,2c_94ed5d0a73a3c26e5ef5,full_state,2,alcohol/polyol + water,alcohol/polyol,water,0.0043,0.9957,2.6468448638916016,2.6468448638916016,0.011332492753200533,1.304131031036377,0.011332493275403976,test
4,stage2,state_74beb4d101ba259295878398,2c_42d2383a8e4daebeb5e1,isobaric,2,alcohol/polyol + alkane/cycloalkane,alkane/cycloalkane,alcohol/polyol,0.037,0.963,1.322238802909851,1.322238802909851,0.0471126907864809,0.6155796647071838,0.04711269214749336,test
4,stage2,state_75305ad40ddcd62753227043,2c_94ed5d0a73a3c26e5ef5,full_state,2,alcohol/polyol + water,alcohol/polyol,water,0.5521,0.44789999999999996,1.64460027217865,1.64460027217865,0.406685948619858,0.4273414611816406,0.4066859483718872,test
4,stage2,state_779ece6844f7aba58004650e,2c_8ec77568f85fa24389e9,full_state,2,alcohol/polyol + carboxylic acid/ester,alcohol/polyol,carboxylic acid/ester,0.0,1.0,0.935989260673523,0.935989260673523,0.0,0.4679946303367615,0.0,test
4,stage2,state_77da9642b573d29255366948,2c_1490252da7453cbbebe4,isothermal,2,alcohol/polyol + alkane/cycloalkane,alcohol/polyol,alkane/cycloalkane,0.5628,0.43720000000000003,1.8797003030776978,1.8797003030776978,0.4625118385261345,0.4807736277580261,0.4625118374824524,test
4,stage2,state_7a91c3ac37340a2e6dc34fb5,2c_e38d1f19a6809ae85603,isobaric,2,alcohol/polyol + alkane/cycloalkane,alkane/cycloalkane,alcohol/polyol,0.784,0.21599999999999997,1.6040561199188232,1.6040561199188232,0.2716372795715332,0.49369317293167114,0.2716372609138489,test
4,stage2,state_7aa860cc3fa7d9446c571e23,2c_4cc4055379eb0154120e,isothermal,2,alkane/cycloalkane + sulfur-containing,sulfur-containing,alkane/cycloalkane,0.09,0.91,0.2270204722881317,0.2270204722881317,0.01859297668039799,0.09692588448524475,0.01859297789633274,test
4,stage2,state_7e145c6fd3634596095d907d,2c_94ed5d0a73a3c26e5ef5,isobaric,2,alcohol/polyol + water,alcohol/polyol,water,0.051,0.949,2.4856438636779785,2.4856438636779785,0.12030267735815048,1.0509272813796997,0.12030266970396042,test
4,stage2,state_81835c29e55b0d53fd3d1540,2c_d838404dbd73f8b15395,isothermal,2,aromatic/unsaturated hydrocarbon + sulfur-containing,sulfur-containing,aromatic/unsaturated hydrocarbon,0.627,0.373,0.04425584152340889,0.04425584152340889,0.010350157912921161,0.01159312017261982,0.010350157506763935,test
4,stage2,state_82aa309cd5cc50f75123e1bf,2c_66efe142b432478577a5,isothermal,2,alcohol/polyol + aromatic/unsaturated hydrocarbon,alcohol/polyol,aromatic/unsaturated hydrocarbon,0.971,0.029000000000000026,1.533752202987671,1.533752202987671,0.04318892828392986,0.7243673801422119,0.04318892955780029,test
4,stage2,state_84a3e88e678484d80c1c1b47,2c_03bd4325b126d2709459,isobaric,2,alkane/cycloalkane + alkane/cycloalkane,alkane/cycloalkane,alkane/cycloalkane,0.596,0.404,0.03158291056752205,0.03158291056752205,0.007604659538090229,0.006946904584765434,0.007604660000652075,test
