seed,selected_stage,case,sample_id,system_id,system_family,temperature_k,pressure_kpa,x_1,y_1,pair_interaction_12,log_gamma_1,log_gamma_2,log_alpha_12,evaluation_partition,explanation_mode
0,stage2,near_ideal,state_fd3607b05db68b9f41090c5d,2c_f98cab4acf014d5210d4,alcohol/polyol + alcohol/polyol,393.9700000000001,101.30000000000001,0.05000000074505806,0.1588343381881714,-0.05499952286481857,-0.040081869810819626,-0.0006404039449989796,1.2775120735168457,test,teacher_forced_fixed_T_P_composition_scan
0,stage2,near_ideal,state_fd3607b05db68b9f41090c5d,2c_f98cab4acf014d5210d4,alcohol/polyol + alcohol/polyol,393.9700000000001,101.30000000000001,0.07999999821186066,0.24030517041683197,-0.04870504140853882,-0.027149541303515434,-0.0015355739742517471,1.29133939743042,test,teacher_forced_fixed_T_P_composition_scan
0,stage2,near_ideal,state_fd3607b05db68b9f41090c5d,2c_f98cab4acf014d5210d4,alcohol/polyol + alcohol/polyol,393.9700000000001,101.30000000000001,0.10999999940395355,0.3128059208393097,-0.04253268986940384,-0.01595316454768181,-0.0027068564668297768,1.3037075996398926,test,teacher_forced_fixed_T_P_composition_scan
0,stage2,near_ideal,state_fd3607b05db68b9f41090c5d,2c_f98cab4acf014d5210d4,alcohol/polyol + alcohol/polyol,393.9700000000001,101.30000000000001,0.14000000059604645,0.37739861011505127,-0.03648824244737625,-0.0063438136130571365,-0.004075638949871063,1.314685344696045,test,teacher_forced_fixed_T_P_composition_scan
0,stage2,near_ideal,state_fd3607b05db68b9f41090c5d,2c_f98cab4acf014d5210d4,alcohol/polyol + alcohol/polyol,393.9700000000001,101.30000000000001,0.17000000178813934,0.43503537774086,-0.030572324991226196,0.00177669245749712,-0.005561196710914373,1.324291706085205,test,teacher_forced_fixed_T_P_composition_scan
0,stage2,near_ideal,state_fd3607b05db68b9f41090c5d,2c_f98cab4acf014d5210d4,alcohol/polyol + alcohol/polyol,393.9700000000001,101.30000000000001,0.20000000298023224,0.48656991124153137,-0.02478925883769989,0.008519699797034264,-0.007087777368724346,1.3325610160827637,test,teacher_forced_fixed_T_P_composition_scan
0,stage2,near_ideal,state_fd3607b05db68b9f41090c5d,2c_f98cab4acf014d5210d4,alcohol/polyol + alcohol/polyol,393.9700000000001,101.30000000000001,0.23000000417232513,0.5327584743499756,-0.01914331316947937,0.013995937071740627,-0.00858356710523367,1.3395333290100098,test,teacher_forced_fixed_T_P_composition_scan
0,stage2,near_ideal,state_fd3607b05db68b9f41090c5d,2c_f98cab4acf014d5210d4,alcohol/polyol + alcohol/polyol,393.9700000000001,101.30000000000001,0.25999999046325684,0.5742668509483337,-0.013638757169246674,0.018315084278583527,-0.009981106035411358,1.345250129699707,test,teacher_forced_fixed_T_P_composition_scan
0,stage2,near_ideal,state_fd3607b05db68b9f41090c5d,2c_f98cab4acf014d5210d4,alcohol/polyol + alcohol/polyol,393.9700000000001,101.30000000000001,0.28999999165534973,0.611678421497345,-0.00827893614768982,0.02158571407198906,-0.011217591352760792,1.349757194519043,test,teacher_forced_fixed_T_P_composition_scan
0,stage2,near_ideal,state_fd3607b05db68b9f41090c5d,2c_f98cab4acf014d5210d4,alcohol/polyol + alcohol/polyol,393.9700000000001,101.30000000000001,0.3199999928474426,0.6454848647117615,-0.003071226179599762,0.02385854721069336,-0.012210343033075333,1.353022575378418,test,teacher_forced_fixed_T_P_composition_scan
