seed,selected_stage,sample_id,system_id,direction,component_count,chemical_family,evaluation_partition,explanation_mode,output,view_i,view_j,shapley_interaction,absolute_shapley_interaction
0,stage2,state_0200e9a2dea9945fb094eb84,2c_fd67fdd685d7933bea7b,isobaric,2,alcohol/polyol + alkane/cycloalkane,test,teacher_forced_observed_T_P_x,mean_abs_pair_interaction,rdkit_2d,unimol_v2,0.3112642765045166,0.3112642765045166
0,stage2,state_0200e9a2dea9945fb094eb84,2c_fd67fdd685d7933bea7b,isobaric,2,alcohol/polyol + alkane/cycloalkane,test,teacher_forced_observed_T_P_x,mean_abs_pair_interaction,rdkit_2d,functional_groups,-0.0038441866636276245,0.0038441866636276245
0,stage2,state_0200e9a2dea9945fb094eb84,2c_fd67fdd685d7933bea7b,isobaric,2,alcohol/polyol + alkane/cycloalkane,test,teacher_forced_observed_T_P_x,mean_abs_pair_interaction,unimol_v2,functional_groups,0.15967941284179688,0.15967941284179688
0,stage2,state_091b48a2bd3f4f7b4ccefbea,2c_acf6c70dfacb27974826,isobaric,2,alcohol/polyol + ether/carbonyl,test,teacher_forced_observed_T_P_x,ge_rt,rdkit_2d,unimol_v2,0.035585034638643265,0.035585034638643265
0,stage2,state_091b48a2bd3f4f7b4ccefbea,2c_acf6c70dfacb27974826,isobaric,2,alcohol/polyol + ether/carbonyl,test,teacher_forced_observed_T_P_x,ge_rt,rdkit_2d,functional_groups,0.07587215304374695,0.07587215304374695
0,stage2,state_091b48a2bd3f4f7b4ccefbea,2c_acf6c70dfacb27974826,isobaric,2,alcohol/polyol + ether/carbonyl,test,teacher_forced_observed_T_P_x,ge_rt,unimol_v2,functional_groups,0.01352350227534771,0.01352350227534771
0,stage2,state_091b48a2bd3f4f7b4ccefbea,2c_acf6c70dfacb27974826,isobaric,2,alcohol/polyol + ether/carbonyl,test,teacher_forced_observed_T_P_x,mean_abs_log_gamma,rdkit_2d,unimol_v2,0.035651542246341705,0.035651542246341705
0,stage2,state_091b48a2bd3f4f7b4ccefbea,2c_acf6c70dfacb27974826,isobaric,2,alcohol/polyol + ether/carbonyl,test,teacher_forced_observed_T_P_x,mean_abs_log_gamma,rdkit_2d,functional_groups,0.0756874680519104,0.0756874680519104
0,stage2,state_091b48a2bd3f4f7b4ccefbea,2c_acf6c70dfacb27974826,isobaric,2,alcohol/polyol + ether/carbonyl,test,teacher_forced_observed_T_P_x,mean_abs_log_gamma,unimol_v2,functional_groups,0.013459887355566025,0.013459887355566025
0,stage2,state_091b48a2bd3f4f7b4ccefbea,2c_acf6c70dfacb27974826,isobaric,2,alcohol/polyol + ether/carbonyl,test,teacher_forced_observed_T_P_x,mean_abs_log_alpha,rdkit_2d,unimol_v2,0.2121884822845459,0.2121884822845459
0,stage2,state_091b48a2bd3f4f7b4ccefbea,2c_acf6c70dfacb27974826,isobaric,2,alcohol/polyol + ether/carbonyl,test,teacher_forced_observed_T_P_x,mean_abs_log_alpha,rdkit_2d,functional_groups,-0.06943774223327637,0.06943774223327637
0,stage2,state_091b48a2bd3f4f7b4ccefbea,2c_acf6c70dfacb27974826,isobaric,2,alcohol/polyol + ether/carbonyl,test,teacher_forced_observed_T_P_x,mean_abs_log_alpha,unimol_v2,functional_groups,-0.13985180854797363,0.13985180854797363
0,stage2,state_091b48a2bd3f4f7b4ccefbea,2c_acf6c70dfacb27974826,isobaric,2,alcohol/polyol + ether/carbonyl,test,teacher_forced_observed_T_P_x,mean_abs_pair_interaction,rdkit_2d,unimol_v2,0.14237754046916962,0.14237754046916962
0,stage2,state_091b48a2bd3f4f7b4ccefbea,2c_acf6c70dfacb27974826,isobaric,2,alcohol/polyol + ether/carbonyl,test,teacher_forced_observed_T_P_x,mean_abs_pair_interaction,rdkit_2d,functional_groups,0.3035682737827301,0.3035682737827301
0,stage2,state_091b48a2bd3f4f7b4ccefbea,2c_acf6c70dfacb27974826,isobaric,2,alcohol/polyol + ether/carbonyl,test,teacher_forced_observed_T_P_x,mean_abs_pair_interaction,unimol_v2,functional_groups,0.05410821735858917,0.05410821735858917
0,stage2,state_0c31a851edb98677100c0020,2c_4cc4055379eb0154120e,isothermal,2,alkane/cycloalkane + sulfur-containing,test,teacher_forced_observed_T_P_x,ge_rt,rdkit_2d,unimol_v2,0.003888450562953949,0.003888450562953949
0,stage2,state_0c31a851edb98677100c0020,2c_4cc4055379eb0154120e,isothermal,2,alkane/cycloalkane + sulfur-containing,test,teacher_forced_observed_T_P_x,ge_rt,rdkit_2d,functional_groups,0.020083699375391006,0.020083699375391006
0,stage2,state_0c31a851edb98677100c0020,2c_4cc4055379eb0154120e,isothermal,2,alkane/cycloalkane + sulfur-containing,test,teacher_forced_observed_T_P_x,ge_rt,unimol_v2,functional_groups,-0.01161365956068039,0.01161365956068039
0,stage2,state_0c31a851edb98677100c0020,2c_4cc4055379eb0154120e,isothermal,2,alkane/cycloalkane + sulfur-containing,test,teacher_forced_observed_T_P_x,mean_abs_log_gamma,rdkit_2d,unimol_v2,0.0078095123171806335,0.0078095123171806335
0,stage2,state_0c31a851edb98677100c0020,2c_4cc4055379eb0154120e,isothermal,2,alkane/cycloalkane + sulfur-containing,test,teacher_forced_observed_T_P_x,mean_abs_log_gamma,rdkit_2d,functional_groups,0.04904906824231148,0.04904906824231148
0,stage2,state_0c31a851edb98677100c0020,2c_4cc4055379eb0154120e,isothermal,2,alkane/cycloalkane + sulfur-containing,test,teacher_forced_observed_T_P_x,mean_abs_log_gamma,unimol_v2,functional_groups,-0.02516108751296997,0.02516108751296997
0,stage2,state_0c31a851edb98677100c0020,2c_4cc4055379eb0154120e,isothermal,2,alkane/cycloalkane + sulfur-containing,test,teacher_forced_observed_T_P_x,mean_abs_log_alpha,rdkit_2d,unimol_v2,0.050066590309143066,0.050066590309143066
0,stage2,state_0c31a851edb98677100c0020,2c_4cc4055379eb0154120e,isothermal,2,alkane/cycloalkane + sulfur-containing,test,teacher_forced_observed_T_P_x,mean_abs_log_alpha,rdkit_2d,functional_groups,-0.11490881443023682,0.11490881443023682
0,stage2,state_0c31a851edb98677100c0020,2c_4cc4055379eb0154120e,isothermal,2,alkane/cycloalkane + sulfur-containing,test,teacher_forced_observed_T_P_x,mean_abs_log_alpha,unimol_v2,functional_groups,-0.05837142467498779,0.05837142467498779
0,stage2,state_0c31a851edb98677100c0020,2c_4cc4055379eb0154120e,isothermal,2,alkane/cycloalkane + sulfur-containing,test,teacher_forced_observed_T_P_x,mean_abs_pair_interaction,rdkit_2d,unimol_v2,0.024771124124526978,0.024771124124526978
0,stage2,state_0c31a851edb98677100c0020,2c_4cc4055379eb0154120e,isothermal,2,alkane/cycloalkane + sulfur-containing,test,teacher_forced_observed_T_P_x,mean_abs_pair_interaction,rdkit_2d,functional_groups,0.1279420107603073,0.1279420107603073
0,stage2,state_0c31a851edb98677100c0020,2c_4cc4055379eb0154120e,isothermal,2,alkane/cycloalkane + sulfur-containing,test,teacher_forced_observed_T_P_x,mean_abs_pair_interaction,unimol_v2,functional_groups,-0.07398413866758347,0.07398413866758347
0,stage2,state_0c4ad6871cde7ec35299a4f1,2c_e38d1f19a6809ae85603,isobaric,2,alcohol/polyol + alkane/cycloalkane,test,teacher_forced_observed_T_P_x,ge_rt,rdkit_2d,unimol_v2,0.004861905239522457,0.004861905239522457
0,stage2,state_0c4ad6871cde7ec35299a4f1,2c_e38d1f19a6809ae85603,isobaric,2,alcohol/polyol + alkane/cycloalkane,test,teacher_forced_observed_T_P_x,ge_rt,rdkit_2d,functional_groups,-0.01971382647752762,0.01971382647752762
0,stage2,state_0c4ad6871cde7ec35299a4f1,2c_e38d1f19a6809ae85603,isobaric,2,alcohol/polyol + alkane/cycloalkane,test,teacher_forced_observed_T_P_x,ge_rt,unimol_v2,functional_groups,0.012282992713153362,0.012282992713153362
