seed,selected_stage,sample_id,system_id,direction,component_count,chemical_family,component_i_family,component_j_family,x_i,x_j,pair_interaction,absolute_pair_interaction,composition_weighted_pair_contribution,mean_abs_log_gamma,excess_gibbs_rt,evaluation_partition,record_type,entity,ge_contribution,absolute_normalized_share
0,stage2,state_01d8c748879f212a12304dd3,2c_3dbba2317f4e40b6415a,isothermal,2,alcohol/polyol + carboxylic acid/ester,alcohol/polyol,carboxylic acid/ester,0.0,1.0,-0.4008651375770569,0.4008651375770569,-0.0,0.20043256878852844,0.0,test,pair,alcohol/polyol × carboxylic acid/ester,-0.0,0.0
0,stage2,state_0200e9a2dea9945fb094eb84,2c_fd67fdd685d7933bea7b,isobaric,2,alcohol/polyol + alkane/cycloalkane,alkane/cycloalkane,alcohol/polyol,0.566,0.43400000000000005,1.9243109226226807,1.9243109226226807,0.4726954322767258,0.48738980293273926,0.47269541025161743,test,pair,alcohol/polyol × alkane/cycloalkane,0.4726954322767258,1.0
0,stage2,state_091b48a2bd3f4f7b4ccefbea,2c_acf6c70dfacb27974826,isobaric,2,alcohol/polyol + ether/carbonyl,alcohol/polyol,ether/carbonyl,0.5081,0.4919,0.9807475209236145,0.9807475209236145,0.24512253338605583,0.24521812796592712,0.2451225221157074,test,pair,alcohol/polyol × ether/carbonyl,0.24512253338605583,1.0
0,stage2,state_0c31a851edb98677100c0020,2c_4cc4055379eb0154120e,isothermal,2,alkane/cycloalkane + sulfur-containing,sulfur-containing,alkane/cycloalkane,0.805,0.19499999999999995,0.5897281765937805,0.5897281765937805,0.09257258052080868,0.20994418859481812,0.09257258474826813,test,pair,alkane/cycloalkane × sulfur-containing,0.09257258052080868,1.0
0,stage2,state_0c4ad6871cde7ec35299a4f1,2c_e38d1f19a6809ae85603,isobaric,2,alcohol/polyol + alkane/cycloalkane,alkane/cycloalkane,alcohol/polyol,0.278,0.722,1.2704850435256958,1.2704850435256958,0.25500667599630356,0.3938843607902527,0.25500667095184326,test,pair,alcohol/polyol × alkane/cycloalkane,0.25500667599630356,1.0
0,stage2,state_0cee952ecf4f025da054ee13,2c_784276d4500715f79c89,isobaric,2,alkane/cycloalkane + sulfur-containing,sulfur-containing,alkane/cycloalkane,0.3561,0.6438999999999999,0.5471017956733704,0.5471017956733704,0.125446497143957,0.15021367371082306,0.12544649839401245,test,pair,alkane/cycloalkane × sulfur-containing,0.125446497143957,1.0
0,stage2,state_0f193199a3b2cfcde25945a9,2c_e38d1f19a6809ae85603,isobaric,2,alcohol/polyol + alkane/cycloalkane,alkane/cycloalkane,alcohol/polyol,0.0,1.0,1.2053780555725098,1.2053780555725098,0.0,0.6026890277862549,0.0,test,pair,alcohol/polyol × alkane/cycloalkane,0.0,0.0
0,stage2,state_0fadd22062262caf00cd2fc7,2c_ebc3b99e7d6baac46bdf,isothermal,2,alcohol/polyol + ether/carbonyl,ether/carbonyl,alcohol/polyol,0.201,0.7989999999999999,1.0794745683670044,1.0794745683670044,0.17336253620517253,0.37623900175094604,0.17336253821849823,test,pair,alcohol/polyol × ether/carbonyl,0.17336253620517253,1.0
0,stage2,state_1059a2a9cff664b934068b15,2c_3dbba2317f4e40b6415a,isothermal,2,alcohol/polyol + carboxylic acid/ester,alcohol/polyol,carboxylic acid/ester,0.6257,0.37429999999999997,-0.2060508280992508,0.2060508280992508,-0.04825700297593877,0.04443524777889252,-0.0482570044696331,test,pair,alcohol/polyol × carboxylic acid/ester,-0.04825700297593877,1.0
0,stage2,state_13f5a391df93f92ccc48c602,2c_3dbba2317f4e40b6415a,isothermal,2,alcohol/polyol + carboxylic acid/ester,alcohol/polyol,carboxylic acid/ester,0.8118,0.18820000000000003,-0.2597167491912842,0.2597167491912842,-0.03967972232617378,0.07053293287754059,-0.039679720997810364,test,pair,alcohol/polyol × carboxylic acid/ester,-0.03967972232617378,1.0
