seed,selected_stage,sample_id,system_id,direction,component_count,chemical_family,evaluation_partition,explanation_mode,output,view,shapley_value,absolute_shapley_value,empty_value,full_value,additivity_error
0,stage2,state_01d8c748879f212a12304dd3,2c_3dbba2317f4e40b6415a,isothermal,2,alcohol/polyol + carboxylic acid/ester,test,teacher_forced_observed_T_P_x,mean_abs_pair_interaction,functional_groups,0.3199651539325714,0.3199651539325714,0.1115131676197052,0.4008651375770569,0.0
0,stage2,state_0200e9a2dea9945fb094eb84,2c_fd67fdd685d7933bea7b,isobaric,2,alcohol/polyol + alkane/cycloalkane,test,teacher_forced_observed_T_P_x,ge_rt,rdkit_2d,0.24933290481567383,0.24933290481567383,0.03237752988934517,0.47269541025161743,1.862645149230957e-08
0,stage2,state_0200e9a2dea9945fb094eb84,2c_fd67fdd685d7933bea7b,isobaric,2,alcohol/polyol + alkane/cycloalkane,test,teacher_forced_observed_T_P_x,ge_rt,unimol_v2,0.06323343515396118,0.06323343515396118,0.03237752988934517,0.47269541025161743,1.862645149230957e-08
0,stage2,state_0200e9a2dea9945fb094eb84,2c_fd67fdd685d7933bea7b,isobaric,2,alcohol/polyol + alkane/cycloalkane,test,teacher_forced_observed_T_P_x,ge_rt,functional_groups,0.12775155901908875,0.12775155901908875,0.03237752988934517,0.47269541025161743,1.862645149230957e-08
0,stage2,state_0200e9a2dea9945fb094eb84,2c_fd67fdd685d7933bea7b,isobaric,2,alcohol/polyol + alkane/cycloalkane,test,teacher_forced_observed_T_P_x,mean_abs_log_gamma,rdkit_2d,0.2572208046913147,0.2572208046913147,0.033465202897787094,0.48738980293273926,3.725290298461914e-09
0,stage2,state_0200e9a2dea9945fb094eb84,2c_fd67fdd685d7933bea7b,isobaric,2,alcohol/polyol + alkane/cycloalkane,test,teacher_forced_observed_T_P_x,mean_abs_log_gamma,unimol_v2,0.06737139821052551,0.06737139821052551,0.033465202897787094,0.48738980293273926,3.725290298461914e-09
0,stage2,state_0200e9a2dea9945fb094eb84,2c_fd67fdd685d7933bea7b,isobaric,2,alcohol/polyol + alkane/cycloalkane,test,teacher_forced_observed_T_P_x,mean_abs_log_gamma,functional_groups,0.12933239340782166,0.12933239340782166,0.033465202897787094,0.48738980293273926,3.725290298461914e-09
0,stage2,state_0200e9a2dea9945fb094eb84,2c_fd67fdd685d7933bea7b,isobaric,2,alcohol/polyol + alkane/cycloalkane,test,teacher_forced_observed_T_P_x,mean_abs_log_alpha,rdkit_2d,0.32089459896087646,0.32089459896087646,0.016479969024658203,0.8354277610778809,0.0
0,stage2,state_0200e9a2dea9945fb094eb84,2c_fd67fdd685d7933bea7b,isobaric,2,alcohol/polyol + alkane/cycloalkane,test,teacher_forced_observed_T_P_x,mean_abs_log_alpha,unimol_v2,0.28952062129974365,0.28952062129974365,0.016479969024658203,0.8354277610778809,0.0
0,stage2,state_0200e9a2dea9945fb094eb84,2c_fd67fdd685d7933bea7b,isobaric,2,alcohol/polyol + alkane/cycloalkane,test,teacher_forced_observed_T_P_x,mean_abs_log_alpha,functional_groups,0.20853257179260254,0.20853257179260254,0.016479969024658203,0.8354277610778809,0.0
0,stage2,state_0200e9a2dea9945fb094eb84,2c_fd67fdd685d7933bea7b,isobaric,2,alcohol/polyol + alkane/cycloalkane,test,teacher_forced_observed_T_P_x,mean_abs_pair_interaction,rdkit_2d,1.0150172710418701,1.0150172710418701,0.13180673122406006,1.9243109226226807,1.1920928955078125e-07
0,stage2,state_0200e9a2dea9945fb094eb84,2c_fd67fdd685d7933bea7b,isobaric,2,alcohol/polyol + alkane/cycloalkane,test,teacher_forced_observed_T_P_x,mean_abs_pair_interaction,unimol_v2,0.25741904973983765,0.25741904973983765,0.13180673122406006,1.9243109226226807,1.1920928955078125e-07
0,stage2,state_0200e9a2dea9945fb094eb84,2c_fd67fdd685d7933bea7b,isobaric,2,alcohol/polyol + alkane/cycloalkane,test,teacher_forced_observed_T_P_x,mean_abs_pair_interaction,functional_groups,0.5200679302215576,0.5200679302215576,0.13180673122406006,1.9243109226226807,1.1920928955078125e-07
0,stage2,state_091b48a2bd3f4f7b4ccefbea,2c_acf6c70dfacb27974826,isobaric,2,alcohol/polyol + ether/carbonyl,test,teacher_forced_observed_T_P_x,ge_rt,rdkit_2d,0.05318307876586914,0.05318307876586914,0.03787773847579956,0.2451225221157074,0.0
