seed,selected_stage,sample_id,system_id,direction,component_count,chemical_family,evaluation_partition,explanation_mode,output,view,shapley_value,absolute_shapley_value,empty_value,full_value,additivity_error
0,stage2,state_01809eca41a17666b6f0cd79,2c_f98cab4acf014d5210d4,isobaric,2,alcohol/polyol + alcohol/polyol,test,teacher_forced_observed_T_P_x,ge_rt,rdkit_2d,0.07690733671188354,0.07690733671188354,0.025181306526064873,0.17578037083148956,1.862645149230957e-09
0,stage2,state_01809eca41a17666b6f0cd79,2c_f98cab4acf014d5210d4,isobaric,2,alcohol/polyol + alcohol/polyol,test,teacher_forced_observed_T_P_x,ge_rt,unimol_v2,0.021077364683151245,0.021077364683151245,0.025181306526064873,0.17578037083148956,1.862645149230957e-09
0,stage2,state_01809eca41a17666b6f0cd79,2c_f98cab4acf014d5210d4,isobaric,2,alcohol/polyol + alcohol/polyol,test,teacher_forced_observed_T_P_x,ge_rt,functional_groups,0.05261436849832535,0.05261436849832535,0.025181306526064873,0.17578037083148956,1.862645149230957e-09
0,stage2,state_01809eca41a17666b6f0cd79,2c_f98cab4acf014d5210d4,isobaric,2,alcohol/polyol + alcohol/polyol,test,teacher_forced_observed_T_P_x,mean_abs_log_gamma,rdkit_2d,0.10901615023612976,0.10901615023612976,0.035989049822092056,0.2405584454536438,3.725290298461914e-09
0,stage2,state_01809eca41a17666b6f0cd79,2c_f98cab4acf014d5210d4,isobaric,2,alcohol/polyol + alcohol/polyol,test,teacher_forced_observed_T_P_x,mean_abs_log_gamma,unimol_v2,0.028287440538406372,0.028287440538406372,0.035989049822092056,0.2405584454536438,3.725290298461914e-09
0,stage2,state_01809eca41a17666b6f0cd79,2c_f98cab4acf014d5210d4,isobaric,2,alcohol/polyol + alcohol/polyol,test,teacher_forced_observed_T_P_x,mean_abs_log_gamma,functional_groups,0.06726580858230591,0.06726580858230591,0.035989049822092056,0.2405584454536438,3.725290298461914e-09
0,stage2,state_01809eca41a17666b6f0cd79,2c_f98cab4acf014d5210d4,isobaric,2,alcohol/polyol + alcohol/polyol,test,teacher_forced_observed_T_P_x,mean_abs_log_alpha,rdkit_2d,0.950386643409729,0.950386643409729,0.050740718841552734,0.9515948295593262,0.0
0,stage2,state_01809eca41a17666b6f0cd79,2c_f98cab4acf014d5210d4,isobaric,2,alcohol/polyol + alcohol/polyol,test,teacher_forced_observed_T_P_x,mean_abs_log_alpha,unimol_v2,0.01483520120382309,0.01483520120382309,0.050740718841552734,0.9515948295593262,0.0
0,stage2,state_01809eca41a17666b6f0cd79,2c_f98cab4acf014d5210d4,isobaric,2,alcohol/polyol + alcohol/polyol,test,teacher_forced_observed_T_P_x,mean_abs_log_alpha,functional_groups,-0.06436768174171448,0.06436768174171448,0.050740718841552734,0.9515948295593262,0.0
0,stage2,state_01809eca41a17666b6f0cd79,2c_f98cab4acf014d5210d4,isobaric,2,alcohol/polyol + alcohol/polyol,test,teacher_forced_observed_T_P_x,mean_abs_pair_interaction,rdkit_2d,0.375834196805954,0.375834196805954,0.12305714190006256,0.8590114116668701,1.4901161193847656e-08
0,stage2,state_01809eca41a17666b6f0cd79,2c_f98cab4acf014d5210d4,isobaric,2,alcohol/polyol + alcohol/polyol,test,teacher_forced_observed_T_P_x,mean_abs_pair_interaction,unimol_v2,0.10300181061029434,0.10300181061029434,0.12305714190006256,0.8590114116668701,1.4901161193847656e-08
0,stage2,state_01809eca41a17666b6f0cd79,2c_f98cab4acf014d5210d4,isobaric,2,alcohol/polyol + alcohol/polyol,test,teacher_forced_observed_T_P_x,mean_abs_pair_interaction,functional_groups,0.257118284702301,0.257118284702301,0.12305714190006256,0.8590114116668701,1.4901161193847656e-08
0,stage2,state_01d8e4c5777713828ad5c9f2,2c_b5e6a87ec43f38c5a3d1,full_state,2,alkane/cycloalkane + halogenated,test,teacher_forced_observed_T_P_x,ge_rt,rdkit_2d,0.0,0.0,0.0,0.0,0.0
0,stage2,state_01d8e4c5777713828ad5c9f2,2c_b5e6a87ec43f38c5a3d1,full_state,2,alkane/cycloalkane + halogenated,test,teacher_forced_observed_T_P_x,ge_rt,unimol_v2,0.0,0.0,0.0,0.0,0.0
0,stage2,state_01d8e4c5777713828ad5c9f2,2c_b5e6a87ec43f38c5a3d1,full_state,2,alkane/cycloalkane + halogenated,test,teacher_forced_observed_T_P_x,ge_rt,functional_groups,0.0,0.0,0.0,0.0,0.0
0,stage2,state_01d8e4c5777713828ad5c9f2,2c_b5e6a87ec43f38c5a3d1,full_state,2,alkane/cycloalkane + halogenated,test,teacher_forced_observed_T_P_x,mean_abs_log_gamma,rdkit_2d,0.23208215832710266,0.23208215832710266,0.06719840317964554,0.5235196352005005,7.450580596923828e-09
0,stage2,state_01d8e4c5777713828ad5c9f2,2c_b5e6a87ec43f38c5a3d1,full_state,2,alkane/cycloalkane + halogenated,test,teacher_forced_observed_T_P_x,mean_abs_log_gamma,unimol_v2,-0.0014295624569058418,0.0014295624569058418,0.06719840317964554,0.5235196352005005,7.450580596923828e-09
0,stage2,state_01d8e4c5777713828ad5c9f2,2c_b5e6a87ec43f38c5a3d1,full_state,2,alkane/cycloalkane + halogenated,test,teacher_forced_observed_T_P_x,mean_abs_log_gamma,functional_groups,0.22566863894462585,0.22566863894462585,0.06719840317964554,0.5235196352005005,7.450580596923828e-09
0,stage2,state_01d8e4c5777713828ad5c9f2,2c_b5e6a87ec43f38c5a3d1,full_state,2,alkane/cycloalkane + halogenated,test,teacher_forced_observed_T_P_x,mean_abs_log_alpha,rdkit_2d,1.2924896478652954,1.2924896478652954,0.13439679145812988,1.2948431968688965,1.1920928955078125e-07
0,stage2,state_01d8e4c5777713828ad5c9f2,2c_b5e6a87ec43f38c5a3d1,full_state,2,alkane/cycloalkane + halogenated,test,teacher_forced_observed_T_P_x,mean_abs_log_alpha,unimol_v2,0.009938916191458702,0.009938916191458702,0.13439679145812988,1.2948431968688965,1.1920928955078125e-07
0,stage2,state_01d8e4c5777713828ad5c9f2,2c_b5e6a87ec43f38c5a3d1,full_state,2,alkane/cycloalkane + halogenated,test,teacher_forced_observed_T_P_x,mean_abs_log_alpha,functional_groups,-0.14198212325572968,0.14198212325572968,0.13439679145812988,1.2948431968688965,1.1920928955078125e-07
0,stage2,state_01d8e4c5777713828ad5c9f2,2c_b5e6a87ec43f38c5a3d1,full_state,2,alkane/cycloalkane + halogenated,test,teacher_forced_observed_T_P_x,mean_abs_pair_interaction,rdkit_2d,0.4641643166542053,0.4641643166542053,0.13439680635929108,1.047039270401001,1.4901161193847656e-08
0,stage2,state_01d8e4c5777713828ad5c9f2,2c_b5e6a87ec43f38c5a3d1,full_state,2,alkane/cycloalkane + halogenated,test,teacher_forced_observed_T_P_x,mean_abs_pair_interaction,unimol_v2,-0.0028591249138116837,0.0028591249138116837,0.13439680635929108,1.047039270401001,1.4901161193847656e-08
0,stage2,state_01d8e4c5777713828ad5c9f2,2c_b5e6a87ec43f38c5a3d1,full_state,2,alkane/cycloalkane + halogenated,test,teacher_forced_observed_T_P_x,mean_abs_pair_interaction,functional_groups,0.4513372778892517,0.4513372778892517,0.13439680635929108,1.047039270401001,1.4901161193847656e-08
