epoch,stage,train_boundary,train_chemical_bias,train_continuity,train_gradient_norm_max,train_gradient_norm_mean,train_physics_weight_scale,train_pressure,train_pure_vapor_pressure,train_solver,train_temperature,train_total,train_vapor_composition,validation_boundary,validation_chemical_bias,validation_continuity,validation_pressure,validation_pure_vapor_pressure,validation_solver,validation_temperature,validation_total,validation_vapor_composition
1,physics,1.4829351945791514e-12,0.0,30869.172331254475,100.87690734863281,11.489267634203632,0.5,0.008660793247599231,0.022514625607598485,0.00023796393466703225,0.0,0.17571953565215828,0.0014436752391777416,0.0,0.0,0.0,0.01894490134015859,0.005831626721893448,0.0,0.0,0.024780439024409615,0.0029197241050606393
2,physics,1.2864525885377372e-12,0.0,14351.589722529108,87.47786712646484,11.861636907963751,1.0,0.01671036137951531,0.02918793032995926,0.0003498824451939008,0.0,0.17796233660972471,0.003107127478517852,0.0,0.0,0.0,0.024822242827300566,0.008302624027682356,0.0,0.0,0.033798873218068154,0.00482531751853874
3,physics,1.2823696754736426e-12,0.0,8508.877546637086,30.282058715820312,7.539429453621923,1.0,0.021628490238528524,0.03277486953002007,0.0006639343075054751,0.0,0.12790623713306062,0.0047351440913172395,0.0,0.0,0.0,0.030928907067660827,0.010065807498632425,0.0,0.0,0.042525970971727944,0.006564161358737802
4,physics,1.3135360466262367e-12,0.0,5873.686673629786,31.349803924560547,6.214124100212006,1.0,0.025967497485246217,0.03282339365950231,0.0005602365915257753,0.0,0.10715218648733353,0.005980104274169301,0.0,0.0,0.0,0.034322867353996596,0.012074353931898095,0.0,0.0,0.048007536688482906,0.0076474928027804355
5,physics,1.3325429846186238e-12,0.0,4413.535454165743,21.74370002746582,5.152754729021222,1.0,0.02916205605760581,0.032805525331829864,0.0009283505337490259,0.0,0.09653688581318114,0.006743878253164979,0.0,0.0,0.0,0.035959691554307935,0.01168189419500799,0.0,0.0,0.049743065794548354,0.007942427513021303
