epoch,stage,train_boundary,train_chemical_bias,train_continuity,train_gradient_norm_max,train_gradient_norm_mean,train_physics_weight_scale,train_pressure,train_pure_vapor_pressure,train_solver,train_teacher_forced_fugacity,train_temperature,train_total,train_vapor_composition,validation_boundary,validation_chemical_bias,validation_continuity,validation_pressure,validation_pure_vapor_pressure,validation_solver,validation_teacher_forced_fugacity,validation_temperature,validation_total,validation_vapor_composition
1,physics,0.0,0.0,0.0,9.525498390197754,2.7379713160553556,0.5,0.005951744124059648,0.019657114721221797,0.0,0.00386604371594635,0.0,0.01868416906538323,0.0009708458822391225,0.0,0.0,0.0,0.01195797209728913,0.004528257637901837,0.0,0.0,0.0,0.015736596537641732,0.0015144955277083868
2,physics,0.0,0.0,0.0,7.293481826782227,2.9807872169033924,1.0,0.005043445368826328,0.019462649091372325,0.0,0.003324417619787075,0.0,0.018987888195767674,0.0008887005824438611,0.0,0.0,0.0,0.012242565120020544,0.004836193316739546,0.0,0.0,0.0,0.016155267704323115,0.0014946057924058243
3,physics,0.0,0.0,0.0,10.076248168945312,2.7352475122137037,1.0,0.0047653910356347355,0.019374816284782458,0.0,0.0031348148016389975,0.0,0.01843460051867411,0.0008469864356610051,0.0,0.0,0.0,0.01253663997603468,0.004996328493468014,0.0,0.0,0.0,0.016516789834362916,0.0014819857215576143
4,physics,0.0,0.0,0.0,9.604736328125,2.933754497118011,1.0,0.004668651567190258,0.018651230186068846,0.0,0.0030576503050951352,0.0,0.017878225913638794,0.0008263088145716536,0.0,0.0,0.0,0.012738501469054853,0.005490071539688541,0.0,0.0,0.0,0.016949310741690267,0.0014657735055963318
5,physics,0.0,0.0,0.0,7.0617265701293945,3.139741677284737,1.0,0.004628437350032379,0.018544548472805546,0.0,0.0029934842731800747,0.0,0.017716034102451903,0.0008218382274211912,0.0,0.0,0.0,0.013026833992047482,0.005243343718529466,0.0,0.0,0.0,0.017127197455749456,0.0014786914327597045
