epoch,stage,train_boundary,train_continuity,train_gradient_norm_max,train_gradient_norm_mean,train_pressure,train_pure_vapor_pressure,train_solver,train_temperature,train_total,train_vapor_composition,validation_boundary,validation_continuity,validation_pressure,validation_pure_vapor_pressure,validation_solver,validation_temperature,validation_total,validation_vapor_composition
1,experimental,0.0,0.0,46.322837829589844,17.135101139638525,0.6504815959995579,1.3008287500983753,0.0,0.0,1.345635486984861,0.04473951652613098,0.0,0.0,0.1526071713990476,0.15033821889075888,0.0,0.0,0.23779563623738575,0.010019353833273952
2,experimental,0.0,0.0,28.27318000793457,9.852738855035277,0.14343029524760592,0.2587989756118997,0.0,0.0,0.2844304238649193,0.011600640648466916,0.0,0.0,0.09828265600175742,0.06495705199349358,0.0,0.0,0.13737049479800534,0.006609310696731849
3,experimental,0.0,0.0,21.64929962158203,7.915996230809035,0.10274567744776583,0.1803316852501567,0.0,0.0,0.2025841494080674,0.009672629441518118,0.0,0.0,0.13756576198411274,0.14058229846049505,0.0,0.0,0.21538899548082466,0.007532082168183413
4,experimental,0.0,0.0,24.890897750854492,7.008131142397339,0.09192843285313129,0.17660247299089088,0.0,0.0,0.18964611353786087,0.009416444501017822,0.0,0.0,0.10820453432669122,0.13409958612847042,0.0,0.0,0.18078025030084402,0.005525925825069468
5,experimental,0.0,0.0,15.138825416564941,6.686548733947055,0.07259954672688808,0.14979817954855373,0.0,0.0,0.15589432032048733,0.008395683362024106,0.0,0.0,0.09221361245376518,0.10108701440404697,0.0,0.0,0.14839039599320974,0.005633277190198381
6,experimental,0.0,0.0,18.517601013183594,8.053721285437247,0.06386368472724455,0.14039210737224733,0.0,0.0,0.14259089090857016,0.008531152759424137,0.0,0.0,0.08951294149260923,0.10573385426078934,0.0,0.0,0.14730025795568902,0.004920388821018747
7,experimental,0.0,0.0,18.997032165527344,7.399011020173883,0.05522265563341307,0.1332103803342733,0.0,0.0,0.1295842712493938,0.007756425604953362,0.0,0.0,0.10002623627702874,0.07555101967181067,0.0,0.0,0.14474968077188516,0.006947937135371458
8,experimental,0.0,0.0,49.86198425292969,9.197935939393647,0.05381010440970882,0.11788546859070015,0.0,0.0,0.12006938409395729,0.007316545612881234,0.0,0.0,0.060343225390078074,0.11186584846442005,0.0,0.0,0.1206689755241555,0.004392824945859162
9,experimental,0.0,0.0,26.446535110473633,10.364560513990364,0.04864304456501067,0.10966608002937007,0.0,0.0,0.11011669665520729,0.0066406125951384305,0.0,0.0,0.07633561405790858,0.12024681842829808,0.0,0.0,0.14112346502671758,0.004664441581860364
10,experimental,0.0,0.0,27.360872268676758,9.455843006056588,0.0442998886286809,0.10719723776874909,0.0,0.0,0.10472083117721727,0.006822324113097121,0.0,0.0,0.08230822249708405,0.14296907897455147,0.0,0.0,0.15869633699037944,0.004903575835233352
11,experimental,0.0,0.0,36.770301818847656,12.880128665370037,0.04344987983872095,0.10363883298241428,0.0,0.0,0.10115293672289903,0.005883640400606718,0.0,0.0,0.06235186861581113,0.08141415608396013,0.0,0.0,0.10783144513885659,0.004772497850459024
12,experimental,0.0,0.0,29.449874877929688,9.868016741413552,0.03305302010698827,0.08930422432387596,0.0,0.0,0.0831739622479007,0.005468829299814374,0.0,0.0,0.057061468244317064,0.08805179154298391,0.0,0.0,0.10565963723214276,0.004572272739451693
13,experimental,0.0,0.0,28.90498924255371,8.396716201758396,0.02917866529058132,0.08037465295712194,0.0,0.0,0.07455986620298839,0.005193874653405037,0.0,0.0,0.06370001354490418,0.08783728950713054,0.0,0.0,0.11082796018166714,0.003209301571260734
14,experimental,0.0,0.0,36.27553176879883,12.073907392959555,0.032983025692050374,0.08060757234839956,0.0,0.0,0.07765611307283418,0.004369301132832105,0.0,0.0,0.04278586531080395,0.05322406455335847,0.0,0.0,0.0729612958359431,0.0035633979533540917
15,experimental,0.0,0.0,27.390377044677734,8.414553263484036,0.024943316852764064,0.06462493603239451,0.0,0.0,0.06104913096194277,0.0037933457519091014,0.0,0.0,0.030672588935458517,0.023539801278566738,0.0,0.0,0.04485455167939864,0.0024120618634105445
16,experimental,0.0,0.0,34.773162841796875,13.277126897070199,0.022479920952015096,0.058491655846961706,0.0,0.0,0.054879607661844916,0.003153858786553495,0.0,0.0,0.036561091621238065,0.01944220838507256,0.0,0.0,0.049442222723400736,0.003160026933751013
17,experimental,0.0,0.0,28.874771118164062,7.342912677177099,0.017034592456972145,0.049229938880128825,0.0,0.0,0.04455885954224492,0.002909297635663642,0.0,0.0,0.028904807621456054,0.025911275268229374,0.0,0.0,0.04456302096326667,0.002702575141047857
18,experimental,0.0,0.0,34.90447235107422,9.795047053069512,0.02315119089716769,0.0553917407578382,0.0,0.0,0.05370287480242919,0.0028558137807925994,0.0,0.0,0.03687999701823097,0.011640071905924972,0.0,0.0,0.044847810277378705,0.0021477773953902436
19,experimental,0.0,0.0,28.589075088500977,10.920765337628787,0.017166471273630066,0.04190628752907479,0.0,0.0,0.0403980721061674,0.0022784573850665535,0.0,0.0,0.03153926072170935,0.011643048226608929,0.0,0.0,0.039787800735737906,0.002427015944485025
20,experimental,0.0,0.0,24.891210556030273,10.956085659947512,0.017669293720407032,0.035985177573842474,0.0,0.0,0.037794404602059316,0.0021325220733993473,0.0,0.0,0.019023361133344203,0.012586176448153803,0.0,0.0,0.02692839641079127,0.0016119471633335553
21,experimental,0.0,0.0,22.865581512451172,10.372641494905867,0.01358645612723982,0.03414082763410723,0.0,0.0,0.03235882581034671,0.0017019557678865493,0.0,0.0,0.015745282051972596,0.01016103343207793,0.0,0.0,0.022371648822024644,0.0015458500795402978
22,experimental,0.0,0.0,36.89231491088867,11.386107830005907,0.014677714719291619,0.03617091194654047,0.0,0.0,0.034479633636771666,0.0017164628142349175,0.0,0.0,0.0210749454123069,0.011588584732668227,0.0,0.0,0.028364915885480055,0.0014956779696653226
23,experimental,0.0,0.0,30.984315872192383,11.193292296596768,0.013835576533803882,0.033939242013911915,0.0,0.0,0.03246047118504642,0.0016552735143268403,0.0,0.0,0.025931645669491896,0.01386287686673094,0.0,0.0,0.034560664177659045,0.0016975794935666295
24,experimental,0.0,0.0,26.413990020751953,8.366601933544343,0.011296000739608982,0.03150246748075331,0.0,0.0,0.02856439454670082,0.0015171598243095147,0.0,0.0,0.018263814373906836,0.011338429806013423,0.0,0.0,0.0253112135971167,0.0013781842071540565
25,experimental,0.0,0.0,46.85286331176758,9.071885826313391,0.012557517223250178,0.03122444323252912,0.0,0.0,0.029743270249431297,0.001573531461306564,0.0,0.0,0.028140653059425123,0.019958177558987975,0.0,0.0,0.039706593015825895,0.0015868511121069273
26,experimental,0.0,0.0,44.383541107177734,10.4347503936148,0.01408950818793723,0.03315898066193625,0.0,0.0,0.0320693919467141,0.001400392971250925,0.0,0.0,0.021778696640787354,0.007628155936184058,0.0,0.0,0.027297359687018106,0.0017045850579413663
