stage,T_K,x_alcohol,x_ester,x_DMF,y_alcohol,y_ester,y_DMF
1,373.885633103732,0.6335302951868697,0.36595293016570635,0.0005167746474239943,0.7354010052981527,0.2645187884759375,8.020622500688661e-05
2,375.8908111339722,0.4510925853095085,0.5464079159543888,0.0024994987361027063,0.6356092892707718,0.363882845641422,0.0005078650877828264
3,380.9626470015291,0.22110816796997562,0.7717374663633715,0.007154365666652815,0.456894797961903,0.5406550766175702,0.0024501254195473552
4,387.75342320795863,0.07718737424287227,0.9102440555397991,0.012568570217328582,0.23160394016031158,0.7613860647736693,0.007009995065801402
5,391.7468772116486,0.025340916043754606,0.9570159928968199,0.017643091059425377,0.09062030548891177,0.8970659888650306,0.012313705646056836
6,393.1477184668435,0.010605434353992702,0.9661983132869207,0.023196252359086535,0.03983193827344933,0.9428833968882356,0.017284664838314628
7,393.58060019921186,0.006735724186215144,0.9630950914922406,0.030169184321544227,0.02539718069980517,0.9518783229846604,0.022724496315533707
8,393.75348732961567,0.005798429282611823,0.9547011388549698,0.03950043186241832,0.021606444208921126,0.9488384322470155,0.0295551235440637
9,393.8844892395779,0.0056678171622563675,0.9418473837387619,0.05248479909898169,0.02068827777273823,0.9406157847656054,0.03869593746165462
10,394.0511020160628,0.005804433240517567,0.9229056042170025,0.07128996254247986,0.020560331205859324,0.9280243511823842,0.051415317611757834
11,394.3139321162852,0.006102220563181753,0.8939164681123682,0.09998131132445003,0.020694159200890787,0.9094691385896383,0.06983670220946991
12,394.78390441829316,0.006603565445412606,0.8463635193455239,0.1470329152090635,0.020985869231255765,0.8810716175075478,0.09794251326119587
13,395.75094979318584,0.007454613782120485,0.760549202997822,0.2319961832200574,0.021476982585277856,0.8344891370828836,0.14403388033183726
14,398.10763574654237,0.00878112016642949,0.5933103337513719,0.3979085460821986,0.022310662588583635,0.7504261333137163,0.2272632040977125
15,404.1175380798857,0.0094472384267725,0.3268705054139535,0.663682256159274,0.023610097413897285,0.5866003022118722,0.38978960036865157
16,413.894388089339,0.007857446225212008,0.11555156226126129,0.8765909915135267,0.024262621424160965,0.3255980213948145,0.6501393571810253
17,413.7249001640166,0.011795991016457048,0.11305512534105151,0.8751488836424914,0.036267930629447935,0.3180440663259797,0.6456880030445726
18,413.5758081309729,0.015319764324629736,0.11080640502584131,0.873873830649529,0.046924378387509694,0.3112895031480685,0.641786118464425
19,413.4435761467404,0.01849433190141313,0.10876775622619496,0.8727379118723919,0.056458586619256394,0.30520518220425025,0.6383362311764876
20,413.32544727843225,0.021371803925498797,0.10690904851666978,0.8717191475578314,0.06504795536571052,0.29968924787268,0.635262796761615
21,413.21923958267485,0.02399415639723312,0.10520584954726564,0.8707999940555012,0.07283347817304568,0.29466017681879736,0.6325063450081596
22,413.123203147132,0.02639560902718848,0.10363811606682397,0.8699662749059875,0.07992872872862544,0.2900518628853378,0.6300194083860324
23,413.0359178267965,0.02860435933646784,0.10218923344856838,0.8692064072149638,0.08642629467010458,0.2858100754185542,0.6277636299113415
24,412.9562187619662,0.030643868332805992,0.10084529939492723,0.8685108322722668,0.09240246950852586,0.2818898605302189,0.6257076699612631
25,412.8831412466527,0.03253382801236447,0.09959458187649851,0.867871590111137,0.0979207312583698,0.2782536030310672,0.6238256657105656
26,412.8158793203095,0.03429089930537451,0.0984271034585377,0.8672819972360878,0.10303436018924463,0.27486955978624994,0.6220960800245118
27,412.75375425229726,0.0359292818752607,0.09733431868601304,0.8667363994387263,0.10778843547176307,0.27171073503520915,0.6205008294930275
28,412.6961902643142,0.03746115904165848,0.09630886092523493,0.8662299800331066,0.11222137687248601,0.2687540074984051,0.6190246156291129
29,412.64269562066545,0.03889704878405161,0.09534434169503472,0.8657586095209137,0.11636614857389588,0.2659794454113825,0.6176544060147288
30,412.5928477491871,0.04024608328431602,0.09443519012104094,0.865318726594643,0.12025120887844139,0.2633697635788606,0.6163790275426942
31,412.5462814235316,0.0415162335114717,0.09357652338478929,0.864907243103739,0.12390126656163628,0.2609098889891494,0.6151888444492147
32,412.50267929526706,0.04271449112045859,0.09276404135042733,0.8645214675291141,0.12733788852685132,0.2585866102906856,0.6140755011824559
33,412.46176424735074,0.04384701689086745,0.09199394022229623,0.8641590428868363,0.1305799919654745,0.2563882926854638,0.6130317153490628
34,412.42329317223374,0.04491926271266912,0.09126284130860284,0.863817895978728,0.13364424598483954,0.25430464431396715,0.6120511097011959
35,412.38705187373904,0.045936072491456585,0.09056773187006018,0.8634961956384832,0.13654540166275161,0.25232652351232865,0.6111280748249178
36,412.35285086241475,0.0469017661291088,0.08990591570760996,0.8631923181632812,0.13929656506493496,0.25044577876761076,0.6102576561674562
37,412.3205218665188,0.047820209821415924,0.08927497165269645,0.8629048185258876,0.14190942446996285,0.2486551150239166,0.6094354605061113
38,412.28991492018264,0.048694875220718276,0.08867271851126599,0.8626324062680157,0.14439444057224293,0.246947981370293,0.6086575780574593
39,412.26089592011726,0.04952888948116631,0.08809718531028875,0.862373925208545,0.14676100655726645,0.2453184761903488,0.6079205172523892
40,412.2333445650176,0.05032507779519861,0.08754658592585969,0.8621283362789417,0.14901758350814884,0.24376126665882877,0.6072211498330286
41,412.20715260935873,0.05108599971206754,0.08701929735141253,0.8618947029365199,0.15117181549579098,0.242271520093337,0.6065566644108821
42,412.1822223768774,0.051813980280616866,0.08651384100548835,0.8616721787138948,0.15323062784524058,0.24084484515504215,0.6059245269997201
43,412.1584654896712,0.05251113686265278,0.08602886658982807,0.8614599965475191,0.1552003113981293,0.2394772412734533,0.6053224473284138
44,412.1358017771978,0.053179402307982966,0.08556313809710418,0.8612574595949128,0.1570865950611135,0.2381650549715565,0.6047483499673315
45,412.1141583360746,0.05382054505836025,0.08511552163843433,0.8610639333032054,0.15889470851014864,0.23690494200719783,0.6042003494826518
46,412.0934687168473,0.05443618664822326,0.08468497481779157,0.8608788385339852,0.16062943658536052,0.2356938344382116,0.6036767289764241
47,412.07367221810654,0.055027816990012086,0.08427053742653107,0.8607016455834569,0.16229516664247384,0.2345289118729594,0.6031759214845606
48,412.05471327173376,0.055596807766872286,0.08387132326870936,0.8605318689644184,0.16389592991000904,0.23340757629268077,0.6026964937973105
49,412.0365409057995,0.05614442420263556,0.0834865129584925,0.8603690628388719,0.16543543772566194,0.23232742993340308,0.6022371323409325
50,412.01910827387564,0.056671835435651574,0.08311534755608674,0.8602128170082617,0.1669171133821491,0.23128625579804826,0.601796630819802
51,412.0023722413411,0.05718012368739416,0.08275712292931388,0.860062753383292,0.1683441201954634,0.2302820004372538,0.6013738793672851
52,411.98629302076876,0.057670292387368004,0.0824111847451434,0.8599185228674886,0.16971938631221925,0.22931275869361573,0.6009678549941649
53,411.97083384970847,0.058143273391422653,0.08207692400972245,0.8597798025988549,0.17104562669306334,0.22837676015036606,0.6005776131565714
54,411.9559607052055,0.05859993341027076,0.08175377308735715,0.8596462935023721,0.1723253626431199,0.22747235706410454,0.600202280292777
55,411.94164205024373,0.05904107974803692,0.08144120213887666,0.8595177181130864,0.17356093920552668,0.22659801359343829,0.5998410472010373
56,411.9278486080108,0.05946746543641226,0.08113871592817877,0.859393818635409,0.1747545406881134,0.2257522961623264,0.5994931631495641
57,411.9145531604748,0.059879793838012056,0.08084585095283886,0.8592743552091491,0.17590820455479106,0.22493386481961114,0.5991579306255931
58,411.9017303682636,0.06027872278240331,0.08056217286063849,0.8591591043569582,0.17702383388077494,0.22414146547536334,0.5988347006438653
59,411.8893566092474,0.06066486828970317,0.08028727411896622,0.8590478575913306,0.1781032085433499,0.22337392291082134,0.5985228685458337
60,411.87740983359845,0.06103880792934814,0.08002077190835631,0.8589404201622955,0.1791479952967469,0.2226301344725388,0.5982218702307116
61,411.86586943338557,0.06140108385542571,0.0797623062151384,0.8588366099294359,0.1801597568599019,0.22190906437297142,0.597931178767132
62,411.85471612502215,0.06175220555465472,0.07951153810134542,0.8587362563439999,0.18113996012909594,0.22120973852979475,0.5976503013411151
63,411.84393184311585,0.062092652338529945,0.07926814813272515,0.8586391995287449,0.18208998361311743,0.22053123988482054,0.5973787765020552
64,411.83349964443715,0.06242287560724751,0.07903183494807493,0.8585452894446776,0.1830111241762091,0.21987270415070953,0.5971161716730793
65,411.82340362089815,0.06274330090964415,0.07880231395511565,0.8584543851352402,0.1839046031635259,0.21923331594002635,0.5968620808964491
66,411.81362882056743,0.06305432982047447,0.07857931613989684,0.8583663540396287,0.18477157197468147,0.2186123052367111,0.5966161227886068
