variant_id,variant,protocol,seed,trainable_parameters,pressure_mae_kpa,pressure_rmse_kpa,pressure_r2,temperature_mae_k,temperature_rmse_k,temperature_r2,y_mae,y_rmse,y_r2,valid_coverage
c0_current_vanilla,C0 Current Uni-Mol vanilla Transformer,overall_binary,0,1780419,9.046557948870296,20.27285354322973,0.956698279457474,4.401254825712601,6.221864357830178,0.9691065996811142,0.054121413782897275,0.08311539922387426,0.9321683399954003,1.0
c0_current_vanilla,C0 Current Uni-Mol vanilla Transformer,overall_binary_ternary,0,1780419,14.34154463997753,31.29022785214842,0.8828373338211513,8.074636477754044,11.219337662882857,0.8955768971544673,0.09128285170889444,0.127773707011968,0.8379353959576902,1.0
c0_current_vanilla,C0 Current Uni-Mol vanilla Transformer,unseen_component,0,1780419,27.7285749544828,74.007243797459,0.42878620397208,40.99164248199029,51.920837411123365,0.33705161028186215,0.09098827563951047,0.13293696946764538,0.8620384188093344,0.9982773471145564
c0_current_vanilla,C0 Current Uni-Mol vanilla Transformer,binary_to_ternary_zero_shot,0,1780419,3.3238464299644903,4.145081831473541,0.9612562140565183,8.304805688076343,9.036860087088764,0.9279906919637776,0.060290534119391774,0.09576125170687953,0.846285020998681,1.0
c1_three_view_vanilla,"C1 RDKit + Uni-Mol + FG, vanilla Transformer",overall_binary,0,2015043,4.645771184122307,9.004934924558206,0.9914564858240527,3.3952360247239333,5.215717510300141,0.9782903532329,0.030671771767425485,0.051951979757120646,0.9734983045389265,1.0
c1_three_view_vanilla,"C1 RDKit + Uni-Mol + FG, vanilla Transformer",overall_binary_ternary,0,2015043,5.737222095947787,16.25795684124324,0.9683696696760519,2.6243268651314557,4.2825207078050616,0.9847853803778592,0.03086549195388935,0.05194978054839318,0.973210005937345,1.0
c1_three_view_vanilla,"C1 RDKit + Uni-Mol + FG, vanilla Transformer",unseen_component,0,2015043,29.687233595298412,59.948216202396075,0.6267073675196685,37.18819221820775,47.46745332697136,0.445899927088487,0.10837308992299999,0.1682649274117153,0.7786616754229626,1.0
c1_three_view_vanilla,"C1 RDKit + Uni-Mol + FG, vanilla Transformer",binary_to_ternary_zero_shot,0,2015043,1.3821012118753118,1.7669784293109592,0.9929595837808218,1.6741543929303289,2.1342864912004265,0.9959833965958832,0.03897969131461797,0.07764069284659905,0.8989548748052449,1.0
c2_chemical_bias_full,C2 Three-view chemical-biased Transformer,overall_binary,0,2201284,6.078495593298088,15.298938247795716,0.9753397218766705,3.0714987225056296,4.95017777601376,0.9804446214919957,0.03494170302180095,0.05884280285422282,0.9660017817529378,1.0
c2_chemical_bias_full,C2 Three-view chemical-biased Transformer,overall_binary_ternary,0,2201284,4.576002776906342,8.920214777796952,0.9904781262845171,3.000016878293319,4.81092754596819,0.980799179459646,0.027479453036484407,0.04703633261560422,0.9780379898283447,1.0
c2_chemical_bias_full,C2 Three-view chemical-biased Transformer,unseen_component,0,2201284,30.67287496925288,60.21775272272679,0.6233430575797889,35.86893226861277,46.42509740742453,0.4699681218858316,0.11124298320119677,0.1770173044391856,0.7550367927146457,1.0
c2_chemical_bias_full,C2 Three-view chemical-biased Transformer,binary_to_ternary_zero_shot,0,2201284,2.078737742604138,2.915012444844787,0.9808390664156272,2.0584679575435545,2.378476653838322,0.995011714445429,0.04580493923054193,0.08175867949217064,0.8879519510728486,1.0
c3_no_pair_bias,C3 Full model without attention pair bias,overall_binary,0,2052675,4.857153270514581,10.027342800988974,0.9894063136251754,2.772016473473553,4.181441854944399,0.9860467055678908,0.029821642921246904,0.05273483733651628,0.9726935856208109,1.0
c3_no_pair_bias,C3 Full model without attention pair bias,overall_binary_ternary,0,2052675,5.47060254710476,12.60381573172492,0.980990272779086,2.877121679230101,4.420600472530665,0.9837884445021391,0.028860713223347503,0.04757702700726466,0.9775301701667404,1.0
c3_no_pair_bias,C3 Full model without attention pair bias,unseen_component,0,2052675,35.6019174234935,71.31345132666395,0.47174964287197163,37.55205202615969,48.55713580467724,0.42016761747480624,0.1126966407463457,0.17593885330764306,0.7580125030047118,1.0
c3_no_pair_bias,C3 Full model without attention pair bias,binary_to_ternary_zero_shot,0,2052675,2.185323683120819,3.367740498302817,0.9744251510053382,2.128925140881125,2.4146937312553343,0.9948586445485336,0.0404191040772391,0.07991652301726734,0.8929443179404735,1.0
c4_no_functional_group,C4 Full model without functional-group branch,overall_binary,0,2084164,4.309279691952227,8.20721937842579,0.9929031198426126,2.956270079100324,4.906304408026499,0.9807897235509154,0.03395516043006803,0.055786588441456855,0.9694417090246404,1.0
c4_no_functional_group,C4 Full model without functional-group branch,overall_binary_ternary,0,2084164,3.669524401308739,7.001005996369568,0.9941346667288147,2.3932500177244913,3.898590413434146,0.9873910948753862,0.030450030055630066,0.04909814431625259,0.9760704055203732,1.0
c4_no_functional_group,C4 Full model without functional-group branch,unseen_component,0,2084164,34.26886107519135,63.253342555574406,0.5844111862886485,35.68431492619067,46.193792115601404,0.47523655513036456,0.11232453664969634,0.16626818475654348,0.7838836002987369,1.0
c4_no_functional_group,C4 Full model without functional-group branch,binary_to_ternary_zero_shot,0,2084164,3.0876627232420684,3.527178054878397,0.9719462703999764,1.5137697313652494,1.8708216725610014,0.9969138409411076,0.045817375667578715,0.08396115898581703,0.8818337613991639,1.0
