seed,selected_stage,sample_id,system_id,component_count,affected_component,increased_component,d_log_gamma_i_d_closed_x_j,d_log_gamma_i_d_temperature_k,evaluation_partition
2,stage2,state_b23631ad2cb6a1a61beb33ca,3c_6b60b4a3a536506a27ae,3,3,3,-0.9783254265785217,-6.623259196203435e-06,test
3,stage2,state_409c6e2fd23b61bb8a9ff9c6,2c_8ec77568f85fa24389e9,2,1,1,-0.7053112983703613,-7.480983185814694e-05,test
3,stage2,state_409c6e2fd23b61bb8a9ff9c6,2c_8ec77568f85fa24389e9,2,1,2,0.7053112983703613,-7.480983185814694e-05,test
3,stage2,state_409c6e2fd23b61bb8a9ff9c6,2c_8ec77568f85fa24389e9,2,2,1,0.7053112983703613,-5.8695375628303736e-05,test
3,stage2,state_409c6e2fd23b61bb8a9ff9c6,2c_8ec77568f85fa24389e9,2,2,2,-0.7053112983703613,-5.8695375628303736e-05,test
3,stage2,state_b90289dc0556a0085a64d806,3c_c07bedcaeb0f8ef073f8,3,1,1,-1.2379305362701416,0.00011309545516269282,test
3,stage2,state_b90289dc0556a0085a64d806,3c_c07bedcaeb0f8ef073f8,3,1,2,0.8841407895088196,0.00011309545516269282,test
3,stage2,state_b90289dc0556a0085a64d806,3c_c07bedcaeb0f8ef073f8,3,1,3,0.5669704675674438,0.00011309545516269282,test
3,stage2,state_b90289dc0556a0085a64d806,3c_c07bedcaeb0f8ef073f8,3,2,1,1.0969187021255493,1.5287405403796583e-05,test
3,stage2,state_b90289dc0556a0085a64d806,3c_c07bedcaeb0f8ef073f8,3,2,2,-1.346155047416687,1.5287405403796583e-05,test
3,stage2,state_b90289dc0556a0085a64d806,3c_c07bedcaeb0f8ef073f8,3,2,3,-0.0911199152469635,1.5287405403796583e-05,test
3,stage2,state_b90289dc0556a0085a64d806,3c_c07bedcaeb0f8ef073f8,3,3,1,0.5476988554000854,-8.597785199526697e-05,test
3,stage2,state_b90289dc0556a0085a64d806,3c_c07bedcaeb0f8ef073f8,3,3,2,-0.07094824314117432,-8.597785199526697e-05,test
3,stage2,state_b90289dc0556a0085a64d806,3c_c07bedcaeb0f8ef073f8,3,3,3,-0.4848797917366028,-8.597785199526697e-05,test
4,stage1,state_2f4e3df82571e378af4d6cba,2c_4cc4055379eb0154120e,2,1,1,-0.4478551149368286,2.6190020435024053e-05,test
4,stage1,state_2f4e3df82571e378af4d6cba,2c_4cc4055379eb0154120e,2,1,2,0.4478551149368286,2.6190020435024053e-05,test
4,stage1,state_2f4e3df82571e378af4d6cba,2c_4cc4055379eb0154120e,2,2,1,0.4478550851345062,-2.1321144231478684e-05,test
4,stage1,state_2f4e3df82571e378af4d6cba,2c_4cc4055379eb0154120e,2,2,2,-0.4478550851345062,-2.1321144231478684e-05,test
4,stage1,state_225f5c18ded7c655508f809a,3c_c1f86c0bca7d787912fb,3,1,1,-1.4992129802703857,2.387721906416118e-05,test
4,stage1,state_225f5c18ded7c655508f809a,3c_c1f86c0bca7d787912fb,3,1,2,0.21145182847976685,2.387721906416118e-05,test
4,stage1,state_225f5c18ded7c655508f809a,3c_c1f86c0bca7d787912fb,3,1,3,1.1325924396514893,2.387721906416118e-05,test
4,stage1,state_225f5c18ded7c655508f809a,3c_c1f86c0bca7d787912fb,3,2,1,0.19739492237567902,4.0974438888952136e-05,test
4,stage1,state_225f5c18ded7c655508f809a,3c_c1f86c0bca7d787912fb,3,2,2,0.019940003752708435,4.0974438888952136e-05,test
4,stage1,state_225f5c18ded7c655508f809a,3c_c1f86c0bca7d787912fb,3,2,3,-0.1952773928642273,4.0974438888952136e-05,test
4,stage1,state_225f5c18ded7c655508f809a,3c_c1f86c0bca7d787912fb,3,3,1,1.014046549797058,9.99377152766101e-06,test
4,stage1,state_225f5c18ded7c655508f809a,3c_c1f86c0bca7d787912fb,3,3,2,-0.1872888207435608,9.99377152766101e-06,test
4,stage1,state_225f5c18ded7c655508f809a,3c_c1f86c0bca7d787912fb,3,3,3,-0.7233112454414368,9.99377152766101e-06,test
