seed,selected_stage,sample_id,system_id,direction,component_count,chemical_family,component_i_family,component_j_family,x_i,x_j,pair_interaction,absolute_pair_interaction,composition_weighted_pair_contribution,mean_abs_log_gamma,excess_gibbs_rt,evaluation_partition
0,stage2,state_01809eca41a17666b6f0cd79,2c_f98cab4acf014d5210d4,isobaric,2,alcohol/polyol + alcohol/polyol,alcohol/polyol,alcohol/polyol,0.713,0.28700000000000003,0.8590114116668701,0.8590114116668701,0.1757803641808033,0.2405584454536438,0.17578037083148956,test
0,stage2,state_01d8e4c5777713828ad5c9f2,2c_b5e6a87ec43f38c5a3d1,full_state,2,alkane/cycloalkane + halogenated,alkane/cycloalkane,halogenated,0.0,1.0,1.047039270401001,1.047039270401001,0.0,0.5235196352005005,0.0,test
0,stage2,state_04243ec6a3326fade3d0b1e7,3c_65250b1389afa8bc1bcc,isothermal,3,alkane/cycloalkane + ether/carbonyl + ether/carbonyl,alkane/cycloalkane,ether/carbonyl,0.0967,0.0363,0.08715149760246277,0.08715149760246277,0.00030592005839914083,0.3592984676361084,0.08986830711364746,test
0,stage2,state_04243ec6a3326fade3d0b1e7,3c_65250b1389afa8bc1bcc,isothermal,3,alkane/cycloalkane + ether/carbonyl + ether/carbonyl,alkane/cycloalkane,ether/carbonyl,0.0967,0.867,0.8645380139350891,0.8645380139350891,0.07248191609650254,0.3592984676361084,0.08986830711364746,test
0,stage2,state_04243ec6a3326fade3d0b1e7,3c_65250b1389afa8bc1bcc,isothermal,3,alkane/cycloalkane + ether/carbonyl + ether/carbonyl,ether/carbonyl,ether/carbonyl,0.0363,0.867,0.5427178144454956,0.5427178144454956,0.01708046932801008,0.3592984676361084,0.08986830711364746,test
0,stage2,state_0470215f36d325739d658188,3c_c45f0751ac63a91a45e8,isobaric,3,alcohol/polyol + alcohol/polyol + carboxylic acid/ester,alcohol/polyol,carboxylic acid/ester,0.283,0.188,0.0682729035615921,0.0682729035615921,0.003632391561090946,0.01734136790037155,0.004247868433594704,test
0,stage2,state_0470215f36d325739d658188,3c_c45f0751ac63a91a45e8,isobaric,3,alcohol/polyol + alcohol/polyol + carboxylic acid/ester,alcohol/polyol,alcohol/polyol,0.283,0.529,-0.024417605251073837,0.024417605251073837,-0.003655486429322511,0.01734136790037155,0.004247868433594704,test
0,stage2,state_0470215f36d325739d658188,3c_c45f0751ac63a91a45e8,isobaric,3,alcohol/polyol + alcohol/polyol + carboxylic acid/ester,carboxylic acid/ester,alcohol/polyol,0.188,0.529,0.04294497147202492,0.04294497147202492,0.004270963302835822,0.01734136790037155,0.004247868433594704,test
0,stage2,state_04bd7a1d9d523501c0cbc591,2c_74a658fab9cc22057bbd,isobaric,2,ether/carbonyl + sulfoxide/sulfone,ether/carbonyl,sulfoxide/sulfone,0.7493,0.25070000000000003,1.0413709878921509,1.0413709878921509,0.1956210298037565,0.32032397389411926,0.19562102854251862,test
0,stage2,state_093f979aa31f9eec581f5675,3c_65250b1389afa8bc1bcc,isothermal,3,alkane/cycloalkane + ether/carbonyl + ether/carbonyl,alkane/cycloalkane,ether/carbonyl,0.2186,0.4798,0.13766607642173767,0.13766607642173767,0.014439007305918931,0.18776634335517883,0.16096211969852448,test
