protocol,seed,scope,subgroup,view,mean_weight,std_weight,pair_count
overall_binary_ternary,0,cardinality,binary,functional_group,0.00037187471163661125,0.0009104569223157881,1502
overall_binary_ternary,0,cardinality,ternary,rdkit,0.9973227531900482,0.003957266932490985,504
overall_binary_ternary,0,cardinality,ternary,unimol,0.0012106544350233759,0.0018307027601852325,504
overall_binary_ternary,0,cardinality,ternary,functional_group,0.0014665917217966818,0.0021292580704287216,504
overall_binary_ternary,1,cardinality,binary,rdkit,0.998253128443902,0.005509914811209153,1492
overall_binary_ternary,1,cardinality,binary,unimol,0.000884710154702725,0.0026818227373412943,1492
overall_binary_ternary,1,cardinality,binary,functional_group,0.0008621647441283011,0.0030271211414357314,1492
overall_binary_ternary,1,cardinality,ternary,rdkit,0.9998838613146828,0.00021360509812707947,525
overall_binary_ternary,1,cardinality,ternary,unimol,3.654492902229935e-05,5.022432428165435e-05,525
overall_binary_ternary,1,cardinality,ternary,functional_group,7.95930105274272e-05,0.00018423233993441495,525
overall_binary_ternary,2,cardinality,binary,rdkit,0.9871882266345373,0.03501706281889108,1614
overall_binary_ternary,2,cardinality,binary,unimol,0.00042724949275700603,0.0014239648967020635,1614
overall_binary_ternary,2,cardinality,binary,functional_group,0.012384527577378034,0.03363679627287328,1614
overall_binary_ternary,2,cardinality,ternary,rdkit,0.9929991230862415,0.015541559995674432,513
overall_binary_ternary,2,cardinality,ternary,unimol,0.0006853732697464288,0.0017560285122580747,513
overall_binary_ternary,2,cardinality,ternary,functional_group,0.006315505238169111,0.014922980821060076,513
overall_binary_ternary,3,cardinality,binary,rdkit,0.8487162432714862,0.2143901819751376,1508
overall_binary_ternary,3,cardinality,binary,unimol,0.011761615611001195,0.01886663131767308,1508
overall_binary_ternary,3,cardinality,binary,functional_group,0.1395221408740944,0.19762476014219074,1508
overall_binary_ternary,3,cardinality,ternary,rdkit,0.9151670670054524,0.16745165916167498,498
overall_binary_ternary,3,cardinality,ternary,unimol,0.00503812066247713,0.00893951568149788,498
overall_binary_ternary,3,cardinality,ternary,functional_group,0.07979481700219794,0.15884195237016724,498
overall_binary_ternary,4,cardinality,binary,rdkit,0.9021858504384657,0.14891302582380994,1495
overall_binary_ternary,4,cardinality,binary,unimol,0.017340155972938177,0.021773730854873236,1495
overall_binary_ternary,4,cardinality,binary,functional_group,0.08047399239732968,0.13852580546225784,1495
overall_binary_ternary,4,cardinality,ternary,rdkit,0.9717486075541055,0.013059651466149595,621
overall_binary_ternary,4,cardinality,ternary,unimol,0.006882097362128241,0.005580870889174688,621
overall_binary_ternary,4,cardinality,ternary,functional_group,0.0213692937400222,0.009537274314967736,621
unseen_component,0,cardinality,binary,rdkit,0.9423098030077398,0.11834299338053238,1106
unseen_component,0,cardinality,binary,unimol,0.036701714068122636,0.07905984107803964,1106
unseen_component,0,cardinality,binary,functional_group,0.02098848119620038,0.0410753199833058,1106
unseen_component,0,cardinality,ternary,rdkit,0.9685065211393894,0.02277131937397264,156
unseen_component,0,cardinality,ternary,unimol,0.015338911200300433,0.011277064100629605,156
unseen_component,0,cardinality,ternary,functional_group,0.01615456138582279,0.011511035807399797,156
unseen_component,1,cardinality,binary,rdkit,0.9510712861260281,0.10373713434461339,1106
unseen_component,1,cardinality,binary,unimol,0.017225945467186553,0.037546416808808776,1106
unseen_component,1,cardinality,binary,functional_group,0.0317027640524551,0.07008042790512976,1106
unseen_component,1,cardinality,ternary,rdkit,0.9986311907951648,0.0013273452709763607,156
unseen_component,1,cardinality,ternary,unimol,0.0006304232623826978,0.0007600410065182644,156
unseen_component,1,cardinality,ternary,functional_group,0.0007383825603448293,0.0005947479057968911,156
unseen_component,2,cardinality,binary,rdkit,0.8760338436751534,0.27687344637391803,1106
unseen_component,2,cardinality,binary,unimol,0.0011865129769880376,0.0020891160672346187,1106
unseen_component,2,cardinality,binary,functional_group,0.12277964284293241,0.27516843085130777,1106
unseen_component,2,cardinality,ternary,rdkit,0.9997479529717029,0.00014843112623865264,156
unseen_component,2,cardinality,ternary,unimol,1.0175216623236174e-05,1.0571143938395526e-05,156
unseen_component,2,cardinality,ternary,functional_group,0.00024187171124933043,0.0001383907428701279,156
unseen_component,3,cardinality,binary,rdkit,0.9713426232203222,0.15163237362432905,1106
unseen_component,3,cardinality,binary,unimol,0.0009381095710734301,0.0021893532669024656,1106
unseen_component,3,cardinality,binary,functional_group,0.027719275000048157,0.1513174125512594,1106
unseen_component,3,cardinality,ternary,rdkit,0.9999967316786448,4.5680204305097986e-06,156
unseen_component,3,cardinality,ternary,unimol,4.011423356193752e-07,5.662817229462235e-07,156
unseen_component,3,cardinality,ternary,functional_group,2.8769809922539005e-06,4.003607157345826e-06,156
unseen_component,4,cardinality,binary,rdkit,0.8175527258905806,0.3596209105587885,1106
unseen_component,4,cardinality,binary,unimol,0.017553229115746385,0.03528250489411241,1106
unseen_component,4,cardinality,binary,functional_group,0.16489404407906672,0.3274277199117352,1106
unseen_component,4,cardinality,ternary,rdkit,0.9829185070135654,0.012752472678381937,156
unseen_component,4,cardinality,ternary,unimol,0.005063916475941928,0.004508412252075748,156
unseen_component,4,cardinality,ternary,functional_group,0.012017565003285805,0.00825821909342625,156
binary_to_ternary_zero_shot,0,generalization,unseen_mixture,rdkit,0.9995929330707075,0.00037253311627269485,498
binary_to_ternary_zero_shot,0,generalization,unseen_mixture,unimol,0.00011861840692972692,0.00016500972201258747,498
binary_to_ternary_zero_shot,0,generalization,unseen_mixture,functional_group,0.00028844385167258043,0.0002242657848214374,498
binary_to_ternary_zero_shot,1,generalization,unseen_mixture,rdkit,0.9997515342082365,0.00036068727745564423,498
binary_to_ternary_zero_shot,1,generalization,unseen_mixture,unimol,0.00011269563037391907,0.0001667206673587086,498
binary_to_ternary_zero_shot,1,generalization,unseen_mixture,functional_group,0.00013577031540142477,0.00020448613247076448,498
binary_to_ternary_zero_shot,2,generalization,unseen_mixture,rdkit,0.9972407795099848,0.006729006021281134,498
binary_to_ternary_zero_shot,2,generalization,unseen_mixture,unimol,0.0003825989326973914,0.0013423426725948674,498
binary_to_ternary_zero_shot,2,generalization,unseen_mixture,functional_group,0.0023766161220714,0.005430528901632155,498
binary_to_ternary_zero_shot,3,generalization,unseen_mixture,rdkit,0.9972993834430434,0.006120132100591472,498
binary_to_ternary_zero_shot,3,generalization,unseen_mixture,unimol,0.000771814748989083,0.0019399061502236006,498
binary_to_ternary_zero_shot,3,generalization,unseen_mixture,functional_group,0.0019288047338017157,0.004224627375083595,498
binary_to_ternary_zero_shot,4,generalization,unseen_mixture,rdkit,0.022120939392360848,0.016001797038378122,498
binary_to_ternary_zero_shot,4,generalization,unseen_mixture,unimol,0.9289219663085708,0.07993656968154175,498
binary_to_ternary_zero_shot,4,generalization,unseen_mixture,functional_group,0.04895709515792359,0.08749766682788807,498
overall_binary_ternary,0,generalization,unseen_mixture,rdkit,0.9989006206437812,0.002461102754495361,2006
overall_binary_ternary,0,generalization,unseen_mixture,unimol,0.00045245938938348227,0.0010797228023184048,2006
overall_binary_ternary,0,generalization,unseen_mixture,functional_group,0.0006469182675292711,0.0014089701552468647,2006
overall_binary_ternary,1,generalization,unseen_mixture,rdkit,0.9986775879169609,0.004793843938076339,2017
overall_binary_ternary,1,generalization,unseen_mixture,unimol,0.0006639433012162483,0.0023365156426574866,2017
overall_binary_ternary,1,generalization,unseen_mixture,functional_group,0.0006584710603700171,0.0026277510422286843,2017
