dataset,component_count,system_id,system_label,data_points,references,unique_temperatures,unique_pressures,temperature_min_k,temperature_max_k,pressure_min_kpa,pressure_max_kpa,liquid_composition_min,liquid_composition_max,vapor_composition_min,vapor_composition_max,component_order_variants
Binary,2,smiles:CCC(C)CC || smiles:FC(F)F,3-甲基戊烷 / 三氟甲烷,38,1,10,38,293.06,313.27,760.999943550592,5610.999980075649,0.02,0.98,0.006000000000000005,0.994,1
Binary,2,smiles:CCCCCCC || smiles:CCCOCCO,正庚烷 / 2-丙氧基乙醇,38,1,37,3,354.55999999999995,422.75,59.99999852761599,100.000041986816,0.0,1.0,0.0,1.0,1
Binary,2,smiles:CCCCCCCCC || smiles:O=C=O,正壬烷 / 二氧化碳,38,1,4,38,315.12,418.81999999999994,2032.999992329472,16772.999941699327,0.06599999999999995,0.934,0.0012999999999999678,0.9987,1
Binary,2,smiles:CCCCCCCCCCCCCC(=O)OC || smiles:CCCCCCCCCCCCCCCC(=O)OC,肉豆蔻酸甲酯 / 棕榈酸甲酯,38,1,38,3,412.03,459.02,0.49995888,1.400018186368,0.0,1.0,0.0,1.0,1
Binary,2,smiles:C1CCCC1 || smiles:O=C=O,环戊烷 / 二氧化碳,37,1,4,29,323.15,353.15,630.000051201152,10029.999998290816,0.0442,0.9558,0.018399999999999972,0.9816,1
Binary,2,smiles:C=CCCCC || smiles:FC(F)F,1-己烯 / 三氟甲烷,37,1,10,37,293.06,313.27,875.00003407872,5513.999958013567,0.03200000000000003,0.968,0.006000000000000005,0.994,1
Binary,2,smiles:CC(C)CC(C)(C)C || smiles:c1ccsc1,异辛烷 / 噻吩,37,1,2,37,343.15,353.15,40.869971910400004,93.16993707417599,0.0,1.0,0.0,1.0,1
Binary,2,smiles:CCC || smiles:FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,丙烷 / 全氟丁烷,37,1,3,37,312.91999999999996,342.94,726.000022180864,2605.000013845376,0.03500000000000003,0.965,0.03600000000000003,0.964,1
Binary,2,smiles:CCC(C)CC || smiles:FC(F)(F)C(F)(F)F,3-甲基戊烷 / 六氟乙烷,37,1,10,37,293.09,313.12,894.9999891471359,3786.999998171648,0.026000000000000023,0.974,0.008000000000000007,0.992,1
Binary,2,smiles:CCCCCCC || smiles:FC(F)(F)C(F)(F)F,正庚烷 / 六氟乙烷,37,1,11,35,293.03,313.22999999999996,807.0000268592639,4083.999970884992,0.01100000000000001,0.989,0.0030000000000000027,0.997,1
Binary,2,smiles:O=C=O || smiles:c1ccsc1,二氧化碳 / 噻吩,37,1,4,37,314.46999999999997,383.03,2088.000002089984,14420.99991942336,0.1321,0.8679,0.0111,0.9889,1
Binary,2,smiles:C=CCC || smiles:FCF,1-丁烯 / 二氟甲烷,36,1,3,35,302.85999999999996,332.91999999999996,494.00003676224,3986.0000310629116,0.02,0.98,0.05500000000000005,0.945,1
Binary,2,smiles:CC(=O)C(C)C || smiles:CC(C)CC(C)(C)C,3-甲基-2-丁酮 / 异辛烷,36,1,2,36,330.0,340.0,25.470038505088,48.58000445184,0.0,1.0,0.0,1.0,1
Binary,2,smiles:CC(C)C || smiles:FC(F)(F)I,2-甲基丙烷 / 三氟碘甲烷,36,1,4,36,263.15,293.15,108.300026006656,427.999998385152,0.0,1.0,0.0,1.0,1
Binary,2,smiles:CC(C)C || smiles:FC(F)C(F)F,"2-甲基丙烷 / 1,1,2,2-四氟乙烷",36,1,4,25,268.15,288.15,131.999943431808,512.0000229882879,0.0,1.0,0.0,1.0,1
Binary,2,smiles:CC(C)OC(C)C || smiles:CCC(C)Cl,二异丙醚 / 2-氯丁烷,36,1,3,35,288.15,308.15,12.69495588096,31.545005525376,0.025599999999999956,0.9744,0.025800000000000045,0.9742,1
Binary,2,smiles:CC(F)F || smiles:FC(F)(F)I,"1,1-二氟乙烷 / 三氟碘甲烷",36,1,4,36,258.15,283.15,132.999994514176,403.69999698163195,0.0,1.0,0.0,1.0,1
Binary,2,smiles:CC(F)F || smiles:FC(F)C(F)F,"1,1-二氟乙烷 / 1,1,2,2-四氟乙烷",36,1,4,30,258.15,288.15,124.099926515968,437.79999236736,0.0,1.0,0.0,1.0,1
Binary,2,smiles:CCC || smiles:FC(F)=C(F)C(F)(F)F,丙烷 / 六氟丙烯,36,1,3,35,312.9,342.91999999999996,1233.0000564020481,3007.00001731264,0.040000000000000036,0.96,0.05500000000000005,0.945,1
Binary,2,smiles:CCO || smiles:CCOC(=O)[C@H](C)O,乙醇 / (S)-(-)-乳酸乙酯,36,1,36,1,351.44,427.65,101.330065929984,101.330065929984,0.0,1.0,0.0,1.0,1
Binary,2,smiles:O || smiles:OCCN1CCCC1,水 / 1-(2-羟乙基)吡咯烷,36,1,5,36,353.09999999999997,373.2,34.099995385728,98.600023800448,0.0615,0.9385,0.0078,0.9922,1
Binary,2,smiles:C1CCOCC1 || smiles:CCCCl,四氢吡喃 / 1-氯丙烷,35,2,12,26,298.15,358.35999999999996,10.884971412992,101.299935074816,0.031000000000000028,0.969,0.0077,0.9923,1
Binary,2,smiles:CC || smiles:FC(F)(F)C(F)(F)F,乙烷 / 六氟乙烷,35,1,4,34,189.30999999999997,252.79999999999998,73.900055292928,1690.999987389824,0.0,1.0,0.0,1.0,1
Binary,2,smiles:CC(C)C || smiles:FCF,2-甲基丙烷 / 二氟甲烷,35,1,7,35,260.0,321.79999999999995,132.300052082176,2630.6000416592638,0.017,0.983,0.1024,0.8976,1
Binary,2,smiles:CCCC(C)=O || smiles:CCOC(=O)OCC,2-戊酮 / 碳酸二乙酯,35,1,35,1,375.83,398.41999999999996,101.32499967999999,101.32499967999999,0.0232,0.9768,0.014700000000000046,0.9853,1
Binary,2,smiles:CCCCCCC || smiles:S,正庚烷 / 硫化氢,35,1,5,34,293.25,373.21999999999997,397.89994068415996,6828.2999944220155,0.0521,0.9479,0.0010999999999999899,0.9989,1
Binary,2,smiles:CCOC(C)(C)C || smiles:c1ccsc1,2-乙氧基-2-甲基丙烷 / 噻吩,35,1,2,35,333.15,343.15,45.409998507904,92.95995434457599,0.0,1.0,0.0,1.0,1
Binary,2,fallback:d8cb57b6c8e8471d || smiles:CC(C)O,(S)-2-羟基丙酸异丙酯 / 2-丙醇,34,1,34,1,355.35999999999996,430.21,101.330065929984,101.330065929984,0.0,1.0,0.0,1.0,1
Binary,2,smiles:C=C(F)C(F)(F)F || smiles:FC(F)(F)F,"2,3,3,3-四氟-1-丙烯 / 四氟甲烷",34,1,26,34,153.22999999999996,273.03,5.459950936704001,4500.729962858368,0.0,1.0,0.0,1.0,1
Binary,2,smiles:C=CCC || smiles:FC(F)=C(F)C(F)(F)F,1-丁烯 / 六氟丙烯,34,1,3,34,313.04999999999995,343.09999999999997,546.999944358016,2214.9999567546884,0.026,0.974,0.05600000000000005,0.944,1
Binary,2,smiles:CC(C)CO || smiles:O=C=O,2-甲基-1-丙醇 / 二氧化碳,34,1,3,34,313.0,333.0,2110.0000593231357,10790.000024081408,0.094,0.906,0.0040000000000000036,0.996,1
Binary,2,smiles:CCCCO || smiles:CCCO,1-丁醇 / 1-丙醇,34,1,34,2,354.25,388.04999999999995,53.300016246144004,91.299957540608,0.0,1.0,0.0,1.0,1
Binary,2,smiles:CO || smiles:COC(C)=O,甲醇 / 乙酸甲酯,34,2,33,1,326.7,337.69,101.299935074816,101.299935074816,0.0,1.0,0.0,1.0,2
