component_id,canonical_smiles,inchikey,representative_original_name,representative_formula,representative_raw_smiles,dataset_membership,record_occurrences,binary_record_occurrences,ternary_record_occurrences,unique_systems,identity_methods,has_parseable_smiles,raw_missing_smiles_occurrences,raw_smiles_parse_failures,name_variants,formula_variants,umap_1,umap_2,umap_status,molecular_weight_g_mol,logp,tpsa_a2,primary_functional_family,functional_families,fingerprint_radius,fingerprint_bits
smiles:CC(F)(F)C(F)(F)F,CC(F)(F)C(F)(F)F,FDOPVENYMZRARC-UHFFFAOYSA-N,"1,1,1,2,2-五氟丙烷",C3H3F5,CC(C(F)(F)F)(F)F,Binary only,44,44,0,1,canonical_smiles,True,0,0,1,1,8.46977424621582,2.919727087020874,projected,134.047,2.2039,0.0,halogenated,halogenated,2,2048
smiles:CC(F)(F)CC(F)(F)F,CC(F)(F)CC(F)(F)F,WZLFPVPRZGTCKP-UHFFFAOYSA-N,"1,1,1,3,3-五氟丁烷",C4H5F5,CC(CC(F)(F)F)(F)F,Binary only,75,75,0,1,canonical_smiles,True,0,0,1,1,8.878252983093262,3.036590099334717,projected,148.07399999999998,2.594000000000001,0.0,halogenated,halogenated,2,2048
smiles:CC(F)(F)F,CC(F)(F)F,UJPMYEOUBPIPHQ-UHFFFAOYSA-N,"1,1,1-三氟乙烷",C2H3F3,CC(F)(F)F,Binary only,257,257,0,5,canonical_smiles,True,0,0,1,1,8.584319114685059,2.845221519470215,projected,84.04,1.5686000000000002,0.0,halogenated,halogenated,2,2048
smiles:CC(F)F,CC(F)F,NPNPZTNLOVBDOC-UHFFFAOYSA-N,"1,1-二氟乙烷",C2H4F2,CC(F)F,Binary only,309,309,0,5,canonical_smiles,True,0,0,1,1,10.155133247375488,3.633528232574463,projected,66.05,1.2714,0.0,halogenated,halogenated,2,2048
smiles:CC(O)C(C)O,CC(O)C(C)O,OWBTYPJTUOEWEK-UHFFFAOYSA-N,"1,2-丁二醇",C4H10O2,CC(C(C)O)O,Binary only,49,49,0,3,canonical_smiles,True,0,0,1,1,10.584159851074219,4.403702735900879,projected,90.122,-0.252,40.46,alcohol,alcohol,2,2048
smiles:CC12CCC(CC1)C(C)(C)O2,CC12CCC(CC1)C(C)(C)O2,WEEGYLXZBRQIMU-UHFFFAOYSA-N,"1,3,3-三甲基-2-氧杂双环[2.2.2]辛烷",C10H18O,CC1(C2CCC(O1)(CC2)C)C,Binary only,53,53,0,1,canonical_smiles,True,0,0,1,1,15.831854820251465,3.9214906692504883,projected,154.253,2.7441000000000013,9.23,ether,ether,2,2048
smiles:CC1=CCC2C(C1)C2(C)C,CC1=CCC2C(C1)C2(C)C,BQOFWKZOCNGFEC-UHFFFAOYSA-N,3-蒈烯,C10H16,CC1=CCC2C(C1)C2(C)C,Shared,64,39,25,3,canonical_smiles,True,0,0,1,1,15.612369537353516,3.512232542037964,projected,136.238,2.9987000000000013,0.0,hydrocarbon,hydrocarbon,2,2048
smiles:CC1=CCC2CC1C2(C)C,CC1=CCC2CC1C2(C)C,GRWFGVWFFZKLTI-UHFFFAOYSA-N,2-蒎烯,C10H16,CC1=CCC2CC1C2(C)C,Shared,139,84,55,5,canonical_smiles,True,0,0,1,1,15.536825180053711,3.4371910095214844,projected,136.238,2.9987000000000013,0.0,hydrocarbon,hydrocarbon,2,2048
smiles:CC1=CC[C@@H]2[C@H](C1)C2(C)C,CC1=CC[C@@H]2[C@H](C1)C2(C)C,BQOFWKZOCNGFEC-BDAKNGLRSA-N,(+)-3-蒈烯,C10H16,CC1=CC[C@@H]2[C@H](C1)C2(C)C,Binary only,23,23,0,1,canonical_smiles,True,0,0,1,1,15.528522491455078,3.3959238529205322,projected,136.238,2.9987000000000013,0.0,hydrocarbon,hydrocarbon,2,2048
smiles:CC1CCCC1,CC1CCCC1,GDOPTJXRTPNYNR-UHFFFAOYSA-N,甲基环戊烷,C6H12,CC1CCCC1,Binary only,23,23,0,2,canonical_smiles,True,0,0,1,1,16.176536560058594,4.197360038757324,projected,84.162,2.1965000000000003,0.0,hydrocarbon,hydrocarbon,2,2048
smiles:CC1CCCCC1,CC1CCCCC1,UAEPNZWRGJTJPN-UHFFFAOYSA-N,甲基环己烷,C7H14,CC1CCCCC1,Shared,192,131,61,7,canonical_smiles,True,0,0,1,1,16.2119083404541,4.189155101776123,projected,98.18900000000001,2.5866000000000007,0.0,hydrocarbon,hydrocarbon,2,2048
smiles:CCC,CCC,ATUOYWHBWRKTHZ-UHFFFAOYSA-N,丙烷,C3H8,CCC,Shared,714,694,20,12,canonical_smiles,True,0,0,1,1,12.416281700134277,7.120262145996094,projected,44.096999999999994,1.4163,0.0,hydrocarbon,hydrocarbon,2,2048
smiles:CCC#CCC,CCC#CCC,DQQNMIPXXNPGCV-UHFFFAOYSA-N,3-己炔,C6H10,CCC#CCC,Binary only,88,88,0,1,canonical_smiles,True,0,0,1,1,12.585341453552246,7.015312194824219,projected,82.14599999999999,1.8098,0.0,hydrocarbon,hydrocarbon,2,2048
smiles:CCC#N,CCC#N,FVSKHRXBFJPNKK-UHFFFAOYSA-N,丙腈,C3H5N,CCC#N,Binary only,103,103,0,4,canonical_smiles,True,0,0,1,1,12.162531852722168,6.642945766448975,projected,55.07999999999999,0.91998,23.79,other,other,2,2048
smiles:CCC(=O)O,CCC(=O)O,XBDQKXXYIPTUBI-UHFFFAOYSA-N,丙酸,C3H6O2,CCC(=O)O,Binary only,222,222,0,6,canonical_smiles,True,0,0,1,1,8.217175483703613,5.208803653717041,projected,74.079,0.481,37.3,acid,acid;alcohol,2,2048
smiles:CCC(=O)OC,CCC(=O)OC,RJUFJBKOKNCXHH-UHFFFAOYSA-N,丙酸甲酯,C4H8O2,CCC(=O)OC,Shared,91,58,33,3,canonical_smiles,True,0,0,1,1,7.526130199432373,6.3519673347473145,projected,88.106,0.5694,26.3,ester,ester;ether,2,2048
smiles:CCC(=O)OC(C)C,CCC(=O)OC(C)C,IJMWOMHMDSDKGK-UHFFFAOYSA-N,丙酸异丙酯,C6H12O2,CCC(=O)OC(C)C,Binary only,36,36,0,2,canonical_smiles,True,0,0,1,1,7.929527282714844,6.298286437988281,projected,116.15999999999998,1.3479999999999999,26.3,ester,ester;ether,2,2048
smiles:CCC(=O)OCCC(C)C,CCC(=O)OCCC(C)C,XAOGXQMKWQFZEM-UHFFFAOYSA-N,异戊酸异戊酯,C8H16O2,CCC(=O)OCCC(C)C,Binary only,66,66,0,2,canonical_smiles,True,0,0,1,1,8.066428184509277,6.3695573806762695,projected,144.21399999999997,1.9857,26.3,ester,ester;ether,2,2048
smiles:CCC(C)(C)O,CCC(C)(C)O,MSXVEPNJUHWQHW-UHFFFAOYSA-N,2-甲基-2-丁醇,C5H12O,CCC(C)(C)O,Binary only,15,15,0,1,canonical_smiles,True,0,0,1,1,9.42798900604248,4.569186687469482,projected,88.14999999999998,1.1673,20.23,alcohol,alcohol,2,2048
smiles:CCC(C)(C)OC,CCC(C)(C)OC,HVZJRWJGKQPSFL-UHFFFAOYSA-N,2-甲氧基-2-甲基丁烷,C6H14O,CCC(C)(C)OC,Binary only,27,27,0,1,canonical_smiles,True,0,0,1,1,9.640841484069824,6.95778751373291,projected,102.17699999999998,1.8214000000000001,9.23,ether,ether,2,2048
smiles:CCC(C)=O,CCC(C)=O,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,丁酮,C4H8O,CCC(=O)C,Shared,380,183,197,12,canonical_smiles,True,0,0,1,1,8.667654037475586,5.497959613800049,projected,72.10699999999999,0.9854,17.07,ketone,ketone,2,2048
