dataset,system_id,system_formula_label,family_1,family_2,family_pair,data_points
Binary,fallback:ddfbc2db9f602e7d || smiles:FC(F)C(F)F,C3H2F4 / C2H2F4,halogenated,unresolved,halogenated + unresolved,71
Binary,smiles:CCCCC || smiles:N#N,C5H12 / N2,hydrocarbon,other,hydrocarbon + other,71
Binary,smiles:CCOC(=O)C(C)C || smiles:CO,C6H12O2 / CH4O,alcohol,ester,alcohol + ester,70
Binary,fallback:ddfbc2db9f602e7d || smiles:CC(C)C,C3H2F4 / C4H10,hydrocarbon,unresolved,hydrocarbon + unresolved,69
Binary,smiles:C=C(C)[C@H]1CC=C(C)CC1 || smiles:CCCCCO,C10H16 / C5H12O,alcohol,hydrocarbon,alcohol + hydrocarbon,69
Binary,fallback:ddfbc2db9f602e7d || smiles:CCC,C3H2F4 / C3H8,hydrocarbon,unresolved,hydrocarbon + unresolved,68
Binary,smiles:CCO || smiles:N,C2H6O / H3N,alcohol,amine,alcohol + amine,68
Binary,smiles:Cc1ccccc1 || smiles:Cc1cnccn1,C7H8 / C5H6N2,aromatic,aromatic,aromatic + aromatic,66
Binary,smiles:C=C(C)C || smiles:CC(F)(F)F,C4H8 / C2H3F3,halogenated,hydrocarbon,halogenated + hydrocarbon,65
Binary,smiles:CCCCCOC=O || smiles:O=C=O,C6H12O2 / CO2,ester,other,ester + other,65
Binary,smiles:CC(F)(F)F || smiles:COC,C2H3F3 / C2H6O,ether,halogenated,ether + halogenated,64
Binary,smiles:FC(F)=C(F)C(F)(F)F || smiles:O=C=O,C3F6 / CO2,halogenated,other,halogenated + other,64
Binary,smiles:C1=CCCCC1 || smiles:C1CCCCC1,C6H10 / C6H12,hydrocarbon,hydrocarbon,hydrocarbon + hydrocarbon,63
Binary,smiles:C1CCOCC1 || smiles:CCCCCC,C5H10O / C6H14,ether,hydrocarbon,ether + hydrocarbon,63
Binary,smiles:C1CN=C2CCCN2C1 || smiles:O,C7H12N2 / H2O,amine,water,amine + water,63
Binary,smiles:C=CCCCC || smiles:CCCCCC,C6H12 / C6H14,hydrocarbon,hydrocarbon,hydrocarbon + hydrocarbon,63
Binary,smiles:CCCO || smiles:CCOC(C)(C)C,C3H8O / C6H14O,alcohol,ether,alcohol + ether,63
Binary,smiles:N#N || smiles:O=C=O,N2 / CO2,other,other,other + other,63
Binary,fallback:81afe1f2d822fd5d || smiles:O=C=O,C5H10O2 / CO2,other,unresolved,other + unresolved,62
Binary,smiles:C1CCOCC1 || smiles:CCC(C)O,C5H10O / C4H10O,alcohol,ether,alcohol + ether,62
Binary,smiles:CCCCCl || smiles:Cc1ccccc1,C4H9Cl / C7H8,aromatic,halogenated,aromatic + halogenated,61
Binary,smiles:C=C(F)C(F)(F)F || smiles:CC(C)C,C3H2F4 / C4H10,halogenated,hydrocarbon,halogenated + hydrocarbon,60
Binary,smiles:C=C(F)C(F)(F)F || smiles:CC(F)F,C3H2F4 / C2H4F2,halogenated,halogenated,halogenated + halogenated,60
Binary,smiles:CC(C)(C)Cl || smiles:CCCCCCC,C4H9Cl / C7H16,halogenated,hydrocarbon,halogenated + hydrocarbon,60
Binary,smiles:CCC(C)Cl || smiles:Cc1ccccc1,C4H9Cl / C7H8,aromatic,halogenated,aromatic + halogenated,60
Binary,smiles:COC(=O)CCCC(=O)OC || smiles:COC(=O)CCCCC(=O)OC,C7H12O4 / C8H14O4,ester,ester,ester + ester,60
Binary,smiles:O || smiles:OCCOCCOCCO,H2O / C6H14O4,alcohol,water,alcohol + water,60
Binary,smiles:CC(C)O || smiles:O=C=O,C3H8O / CO2,alcohol,other,alcohol + other,59
Binary,smiles:CCCCCCO || smiles:O=C=O,C6H14O / CO2,alcohol,other,alcohol + other,59
Binary,smiles:CCCCOC=O || smiles:O=C=O,C5H10O2 / CO2,ester,other,ester + other,59
Binary,smiles:C=C(C)C(C)C || smiles:Cc1ccsc1,C6H12 / C5H6S,hydrocarbon,sulfur-containing,hydrocarbon + sulfur-containing,58
Binary,smiles:C=C(F)C(F)(F)F || smiles:N,C3H2F4 / H3N,amine,halogenated,amine + halogenated,58
Binary,smiles:C=CC || smiles:FC(F)(F)C1(F)OC1(F)F,C3H6 / C3F6O,ether,hydrocarbon,ether + hydrocarbon,58
Binary,smiles:CC(C)OC(C)C || smiles:Cc1ccc(C)o1,C6H14O / C6H8O,aromatic,ether,aromatic + ether,58
Binary,smiles:C1CCCCC1 || smiles:CCC(C)Cl,C6H12 / C4H9Cl,halogenated,hydrocarbon,halogenated + hydrocarbon,57
Binary,smiles:C=C || smiles:FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C2H4 / C9F20,halogenated,hydrocarbon,halogenated + hydrocarbon,57
Binary,smiles:CCF || smiles:FC(C(F)(F)F)C(F)(F)F,C2H5F / C3HF7,halogenated,halogenated,halogenated + halogenated,57
Binary,smiles:FC(F)(F)C1(F)OC1(F)F || smiles:O=C=O,C3F6O / CO2,ether,other,ether + other,57
Binary,smiles:C1CCCCC1 || smiles:Cc1cncc(C)c1,C6H12 / C7H9N,aromatic,hydrocarbon,aromatic + hydrocarbon,56
Binary,smiles:C1CCCCC1 || smiles:Cc1cnccn1,C6H12 / C5H6N2,aromatic,hydrocarbon,aromatic + hydrocarbon,56
Binary,smiles:C=C || smiles:FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C2H4 / C8F18,halogenated,hydrocarbon,halogenated + hydrocarbon,56
Binary,smiles:C=C || smiles:FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C2H4 / C4F10,halogenated,hydrocarbon,halogenated + hydrocarbon,56
Binary,smiles:CCC || smiles:FC(F)C(F)(F)F,C3H8 / C2HF5,halogenated,hydrocarbon,halogenated + hydrocarbon,56
Binary,smiles:CCCCl || smiles:O=C=O,C3H7Cl / CO2,halogenated,other,halogenated + other,56
Binary,smiles:CCOCCO || smiles:CO,C4H10O2 / CH4O,alcohol,alcohol,alcohol + alcohol,56
Binary,smiles:COCC(C)O || smiles:COCC(C)OC(C)=O,C4H10O2 / C6H12O3,alcohol,ester,alcohol + ester,56
Binary,smiles:C=C(F)C(F)(F)F || smiles:FCF,C3H2F4 / CH2F2,halogenated,halogenated,halogenated + halogenated,55
Binary,smiles:CC(C)C || smiles:FC(F)CC(F)(F)F,C4H10 / C3H3F5,halogenated,hydrocarbon,halogenated + hydrocarbon,55
