dataset,system_id,system_formula_label,family_1,family_2,family_pair,data_points
Binary,smiles:CCCCCCC || smiles:CCCOCCO,C7H16 / C5H12O2,alcohol,hydrocarbon,alcohol + hydrocarbon,38
Binary,smiles:CCCCCCCCC || smiles:O=C=O,C9H20 / CO2,hydrocarbon,other,hydrocarbon + other,38
Binary,smiles:CCCCCCCCCCCCCC(=O)OC || smiles:CCCCCCCCCCCCCCCC(=O)OC,C15H30O2 / C17H34O2,ester,ester,ester + ester,38
Binary,smiles:C1CCCC1 || smiles:O=C=O,C5H10 / CO2,hydrocarbon,other,hydrocarbon + other,37
Binary,smiles:C=CCCCC || smiles:FC(F)F,C6H12 / CHF3,halogenated,hydrocarbon,halogenated + hydrocarbon,37
Binary,smiles:CC(C)CC(C)(C)C || smiles:c1ccsc1,C8H18 / C4H4S,hydrocarbon,sulfur-containing,hydrocarbon + sulfur-containing,37
Binary,smiles:CCC || smiles:FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C3H8 / C4F10,halogenated,hydrocarbon,halogenated + hydrocarbon,37
Binary,smiles:CCC(C)CC || smiles:FC(F)(F)C(F)(F)F,C6H14 / C2F6,halogenated,hydrocarbon,halogenated + hydrocarbon,37
Binary,smiles:CCCCCCC || smiles:FC(F)(F)C(F)(F)F,C7H16 / C2F6,halogenated,hydrocarbon,halogenated + hydrocarbon,37
Binary,smiles:O=C=O || smiles:c1ccsc1,CO2 / C4H4S,other,sulfur-containing,other + sulfur-containing,37
Binary,smiles:C=CCC || smiles:FCF,C4H8 / CH2F2,halogenated,hydrocarbon,halogenated + hydrocarbon,36
Binary,smiles:CC(=O)C(C)C || smiles:CC(C)CC(C)(C)C,C5H10O / C8H18,hydrocarbon,ketone,hydrocarbon + ketone,36
Binary,smiles:CC(C)C || smiles:FC(F)(F)I,C4H10 / CF3I,halogenated,hydrocarbon,halogenated + hydrocarbon,36
Binary,smiles:CC(C)C || smiles:FC(F)C(F)F,C4H10 / C2H2F4,halogenated,hydrocarbon,halogenated + hydrocarbon,36
Binary,smiles:CC(C)OC(C)C || smiles:CCC(C)Cl,C6H14O / C4H9Cl,ether,halogenated,ether + halogenated,36
Binary,smiles:CC(F)F || smiles:FC(F)(F)I,C2H4F2 / CF3I,halogenated,halogenated,halogenated + halogenated,36
Binary,smiles:CC(F)F || smiles:FC(F)C(F)F,C2H4F2 / C2H2F4,halogenated,halogenated,halogenated + halogenated,36
Binary,smiles:CCC || smiles:FC(F)=C(F)C(F)(F)F,C3H8 / C3F6,halogenated,hydrocarbon,halogenated + hydrocarbon,36
Binary,smiles:CCO || smiles:CCOC(=O)[C@H](C)O,C2H6O / C5H10O3,alcohol,ester,alcohol + ester,36
Binary,smiles:O || smiles:OCCN1CCCC1,H2O / C6H13NO,alcohol,water,alcohol + water,36
Binary,smiles:C1CCOCC1 || smiles:CCCCl,C5H10O / C3H7Cl,ether,halogenated,ether + halogenated,35
Binary,smiles:CC || smiles:FC(F)(F)C(F)(F)F,C2H6 / C2F6,halogenated,hydrocarbon,halogenated + hydrocarbon,35
Binary,smiles:CC(C)C || smiles:FCF,C4H10 / CH2F2,halogenated,hydrocarbon,halogenated + hydrocarbon,35
Binary,smiles:CCCC(C)=O || smiles:CCOC(=O)OCC,C5H10O / C5H10O3,ester,ketone,ester + ketone,35
Binary,smiles:CCCCCCC || smiles:S,C7H16 / H2S,hydrocarbon,sulfur-containing,hydrocarbon + sulfur-containing,35
Binary,smiles:CCOC(C)(C)C || smiles:c1ccsc1,C6H14O / C4H4S,ether,sulfur-containing,ether + sulfur-containing,35
Binary,fallback:d8cb57b6c8e8471d || smiles:CC(C)O,C6H12O3 / C3H8O,alcohol,unresolved,alcohol + unresolved,34
Binary,smiles:C=C(F)C(F)(F)F || smiles:FC(F)(F)F,C3H2F4 / CF4,halogenated,halogenated,halogenated + halogenated,34
Binary,smiles:C=CCC || smiles:FC(F)=C(F)C(F)(F)F,C4H8 / C3F6,halogenated,hydrocarbon,halogenated + hydrocarbon,34
Binary,smiles:CC(C)CO || smiles:O=C=O,C4H10O / CO2,alcohol,other,alcohol + other,34
Binary,smiles:CCCCO || smiles:CCCO,C4H10O / C3H8O,alcohol,alcohol,alcohol + alcohol,34
Binary,smiles:CO || smiles:COC(C)=O,CH4O / C3H6O2,alcohol,ester,alcohol + ester,34
Binary,fallback:b63ac75aa69de5ee || smiles:O=C(O)CCl,C14H30O3 / C2H3ClO2,acid,unresolved,acid + unresolved,33
Binary,smiles:C1CCCCC1 || smiles:CCCCCC(=O)O,C6H12 / C6H12O2,acid,hydrocarbon,acid + hydrocarbon,33
Binary,smiles:C=CCC || smiles:FC(F)(F)C1(F)OC1(F)F,C4H8 / C3F6O,ether,hydrocarbon,ether + hydrocarbon,33
Binary,smiles:CC(C)(C)Cl || smiles:CC(C)OC(C)C,C4H9Cl / C6H14O,ether,halogenated,ether + halogenated,33
Binary,smiles:CC(C)(C)Cl || smiles:CCCCOCC,C4H9Cl / C6H14O,ether,halogenated,ether + halogenated,33
Binary,smiles:CC(C)CCl || smiles:CCCCOCC,C4H9Cl / C6H14O,ether,halogenated,ether + halogenated,33
Binary,smiles:CC(C)OC(C)C || smiles:CCCCCl,C6H14O / C4H9Cl,ether,halogenated,ether + halogenated,33
Binary,smiles:CCC(C)Cl || smiles:CCCCOCC,C4H9Cl / C6H14O,ether,halogenated,ether + halogenated,33
Binary,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,C2H2Cl2O2 / C2H3ClO2,acid,acid,acid + acid,33
Binary,smiles:C=C || smiles:FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C2H4 / C7F16,halogenated,hydrocarbon,halogenated + hydrocarbon,32
Binary,smiles:CC(C)CCl || smiles:CC(C)OC(C)C,C4H9Cl / C6H14O,ether,halogenated,ether + halogenated,32
Binary,smiles:CC(C)O || smiles:COC(=O)OC,C3H8O / C3H6O3,alcohol,ester,alcohol + ester,32
Binary,smiles:CCC || smiles:FC(F)(F)I,C3H8 / CF3I,halogenated,hydrocarbon,halogenated + hydrocarbon,32
Binary,smiles:CCC(C)O || smiles:COC(=O)OC,C4H10O / C3H6O3,alcohol,ester,alcohol + ester,32
Binary,smiles:CCCCCCC || smiles:CCCCOC=O,C7H16 / C5H10O2,ester,hydrocarbon,ester + hydrocarbon,32
Binary,smiles:CCO || smiles:CCOC(=O)C(F)(F)F,C2H6O / C4H5F3O2,alcohol,ester,alcohol + ester,32
Binary,smiles:COCCOC || smiles:O=C=O,C4H10O2 / CO2,ether,other,ether + other,32
Binary,smiles:FC(F)(F)I || smiles:FC(F)C(F)F,CF3I / C2H2F4,halogenated,halogenated,halogenated + halogenated,32
Binary,smiles:FC(F)(F)I || smiles:O=C=O,CF3I / CO2,halogenated,other,halogenated + other,32
Binary,smiles:O=C=O || smiles:[N]=O,CO2 / NO,other,other,other + other,32
Binary,smiles:C1CCOC1 || smiles:CO,C4H8O / CH4O,alcohol,ether,alcohol + ether,31
Binary,smiles:C1COCO1 || smiles:CCCCCCCl,C3H6O2 / C6H13Cl,ether,halogenated,ether + halogenated,31
Binary,smiles:CCCCCCC || smiles:CCOC=O,C7H16 / C3H6O2,ester,hydrocarbon,ester + hydrocarbon,31
Binary,smiles:CCCCCCCC || smiles:COC=O,C8H18 / C2H4O2,ester,hydrocarbon,ester + hydrocarbon,31
Binary,smiles:CCCCCCCCC || smiles:CCCCOC=O,C9H20 / C5H10O2,ester,hydrocarbon,ester + hydrocarbon,31
Binary,smiles:CCCCCO || smiles:O=C=O,C5H12O / CO2,alcohol,other,alcohol + other,31
Binary,smiles:CN(C)C=O || smiles:CS(C)=O,C3H7NO / C2H6OS,amide,sulfur-containing,amide + sulfur-containing,31
Binary,smiles:ClC(Cl)C(Cl)Cl || smiles:O=C1CCCCC1,C2H2Cl4 / C6H10O,halogenated,ketone,halogenated + ketone,31
Binary,smiles:O || smiles:O=C(O)C(F)(F)F,H2O / C2HF3O2,acid,water,acid + water,31
Binary,fallback:4501d0d6bfddcc6a || smiles:CC(C)O,C5H10O2 / C3H8O,alcohol,unresolved,alcohol + unresolved,30
Binary,smiles:C1CCCCC1 || smiles:CCSCC,C6H12 / C4H10S,hydrocarbon,sulfur-containing,hydrocarbon + sulfur-containing,30
Binary,smiles:C=C(Cl)C(F)(F)F || smiles:C=C(F)C(F)(F)F,C3H2ClF3 / C3H2F4,halogenated,halogenated,halogenated + halogenated,30
Binary,smiles:C=C(Cl)C(F)(F)F || smiles:CC(F)(Cl)C(F)(F)F,C3H2ClF3 / C3H3ClF4,halogenated,halogenated,halogenated + halogenated,30
Binary,smiles:CC(C)(C)CO || smiles:COC(C)(C)C,C5H12O / C5H12O,alcohol,ether,alcohol + ether,30
Binary,smiles:CC(C)O || smiles:OCc1ccco1,C3H8O / C5H6O2,alcohol,alcohol,alcohol + alcohol,30
Binary,smiles:CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC || smiles:CC(F)(F)F,C48H102O2P2 / C2H3F3,halogenated,other,halogenated + other,30
Binary,smiles:CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC || smiles:CC(F)F,C48H102O2P2 / C2H4F2,halogenated,other,halogenated + other,30
Binary,smiles:CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC || smiles:CCF,C48H102O2P2 / C2H5F,halogenated,other,halogenated + other,30
Binary,smiles:CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC || smiles:FCC(F)(F)F,C48H102O2P2 / C2H2F4,halogenated,other,halogenated + other,30
Binary,smiles:CCC(C)=O || smiles:COCCO,C4H8O / C3H8O2,alcohol,ketone,alcohol + ketone,30
Binary,smiles:CCCCCCCCC || smiles:CCOC=O,C9H20 / C3H6O2,ester,hydrocarbon,ester + hydrocarbon,30
Binary,smiles:CCO || smiles:CCOC(C)(C)CC,C2H6O / C7H16O,alcohol,ether,alcohol + ether,30
Binary,smiles:Cc1ccco1 || smiles:OCc1ccco1,C5H6O / C5H6O2,alcohol,aromatic,alcohol + aromatic,30
Binary,smiles:O=Cc1ccco1 || smiles:c1ccoc1,C5H4O2 / C4H4O,aromatic,aromatic,aromatic + aromatic,30
Binary,smiles:C1CCOC1 || smiles:CCCCCCCl,C4H8O / C6H13Cl,ether,halogenated,ether + halogenated,29
Binary,smiles:C1CCOCC1 || smiles:CCCCCCCl,C5H10O / C6H13Cl,ether,halogenated,ether + halogenated,29
Binary,smiles:CC(=O)C(C)(C)C || smiles:CC(C)(C)CO,C6H12O / C5H12O,alcohol,ketone,alcohol + ketone,29
Binary,smiles:CC(=O)N(C)C || smiles:CCC(C)O,C4H9NO / C4H10O,alcohol,amide,alcohol + amide,29
Binary,smiles:CC(=O)O || smiles:CNC(C)=O,C2H4O2 / C3H7NO,acid,amide,acid + amide,29
Binary,smiles:CC(C)=O || smiles:CON=C(C)C,C3H6O / C4H9NO,ketone,other,ketone + other,29
Binary,smiles:CC(C)CCO || smiles:O=C=O,C5H12O / CO2,alcohol,other,alcohol + other,29
Binary,smiles:CCC(C)=O || smiles:CCOC(=O)OCC,C4H8O / C5H10O3,ester,ketone,ester + ketone,29
Binary,smiles:CCC(C)OC(C)=O || smiles:CS(C)=O,C6H12O2 / C2H6OS,ester,sulfur-containing,ester + sulfur-containing,29
Binary,smiles:CCCCCCC || smiles:CCCOC=O,C7H16 / C4H8O2,ester,hydrocarbon,ester + hydrocarbon,29
Binary,smiles:CCCCCCCC || smiles:CCCOC=O,C8H18 / C4H8O2,ester,hydrocarbon,ester + hydrocarbon,29
Binary,smiles:CCCCO || smiles:O=C=O,C4H10O / CO2,alcohol,other,alcohol + other,29
Binary,smiles:CCCCOC(C)(C)C || smiles:CO,C8H18O / CH4O,alcohol,ether,alcohol + ether,29
Binary,smiles:CCCO || smiles:CCOC(C)=O,C3H8O / C4H8O2,alcohol,ester,alcohol + ester,29
Binary,smiles:CCCOC(C)=O || smiles:CCO,C5H10O2 / C2H6O,alcohol,ester,alcohol + ester,29
Binary,smiles:CCO || smiles:CCSCC,C2H6O / C4H10S,alcohol,sulfur-containing,alcohol + sulfur-containing,29
Binary,fallback:aa4d3d71d5f43049 || smiles:CCCO,C6H14O2 / C3H8O,alcohol,unresolved,alcohol + unresolved,28
Binary,smiles:C1COCCO1 || smiles:CCCCCCCl,C4H8O2 / C6H13Cl,ether,halogenated,ether + halogenated,28
Binary,smiles:CC(C)C || smiles:O=C=O,C4H10 / CO2,hydrocarbon,other,hydrocarbon + other,28
Binary,smiles:CCC(C)OC(C)=O || smiles:Cc1ccc(C)cc1,C6H12O2 / C8H10,aromatic,ester,aromatic + ester,28
Binary,smiles:CCCCC || smiles:CCCCOC=O,C5H12 / C5H10O2,ester,hydrocarbon,ester + hydrocarbon,28
Binary,smiles:CCCCCCCCC || smiles:CCCOC=O,C9H20 / C4H8O2,ester,hydrocarbon,ester + hydrocarbon,28
Binary,smiles:CCCCCCCCCC || smiles:CCCCOC=O,C10H22 / C5H10O2,ester,hydrocarbon,ester + hydrocarbon,28
Binary,smiles:CCCCCCCCO || smiles:c1ccoc1,C8H18O / C4H4O,alcohol,aromatic,alcohol + aromatic,28
Binary,smiles:CCCO || smiles:CCCOCOC,C3H8O / C5H12O2,alcohol,ether,alcohol + ether,28
Binary,smiles:CCCOCOC || smiles:CO,C5H12O2 / CH4O,alcohol,ether,alcohol + ether,28
Binary,smiles:CCOC(=O)OCC || smiles:O,C5H10O3 / H2O,ester,water,ester + water,28
Binary,smiles:CCOC(=O)OCC || smiles:O=C=O,C5H10O3 / CO2,ester,other,ester + other,28
Binary,smiles:CCOC(C)(C)C || smiles:CCSCC,C6H14O / C4H10S,ether,sulfur-containing,ether + sulfur-containing,28
Binary,smiles:O=O || smiles:O=S=O,O2 / O2S,other,sulfur-containing,other + sulfur-containing,28
Binary,fallback:b63ac75aa69de5ee || smiles:O=C(O)C(Cl)Cl,C14H30O3 / C2H2Cl2O2,acid,unresolved,acid + unresolved,27
Binary,smiles:CC(=O)CC(C)C || smiles:CC(C)OC(C)C,C6H12O / C6H14O,ether,ketone,ether + ketone,27
Binary,smiles:CC(C)(C)O || smiles:CCCC,C4H10O / C4H10,alcohol,hydrocarbon,alcohol + hydrocarbon,27
Binary,smiles:CC(C)(N)CO || smiles:O,C4H11NO / H2O,alcohol,water,alcohol + water,27
Binary,smiles:CC(C)CC(C)(C)C || smiles:CCOC(C)=O,C8H18 / C4H8O2,ester,hydrocarbon,ester + hydrocarbon,27
Binary,smiles:CC(C)O || smiles:CCCC,C3H8O / C4H10,alcohol,hydrocarbon,alcohol + hydrocarbon,27
Binary,smiles:CC(C)O || smiles:N#N,C3H8O / N2,alcohol,other,alcohol + other,27
Binary,smiles:CCC(C)(C)OC || smiles:CCO,C6H14O / C2H6O,alcohol,ether,alcohol + ether,27
Binary,smiles:CCC(C)O || smiles:CCCC,C4H10O / C4H10,alcohol,hydrocarbon,alcohol + hydrocarbon,27
Binary,smiles:CCC(C)O || smiles:N#N,C4H10O / N2,alcohol,other,alcohol + other,27
Binary,smiles:CCCC || smiles:CCCCO,C4H10 / C4H10O,alcohol,hydrocarbon,alcohol + hydrocarbon,27
Binary,smiles:CCCC(C)O || smiles:N#N,C5H12O / N2,alcohol,other,alcohol + other,27
Binary,smiles:CCCC(C)O || smiles:O=C=O,C5H12O / CO2,alcohol,other,alcohol + other,27
Binary,smiles:CCCCCCCC || smiles:CCCCOC=O,C8H18 / C5H10O2,ester,hydrocarbon,ester + hydrocarbon,27
Binary,smiles:CCCCCCCCCC || smiles:CCCOC=O,C10H22 / C4H8O2,ester,hydrocarbon,ester + hydrocarbon,27
Binary,smiles:CCCCO || smiles:COCOCOC,C4H10O / C4H10O3,alcohol,ether,alcohol + ether,27
Binary,smiles:ClCC1CO1 || smiles:O,C3H5ClO / H2O,ether,water,ether + water,27
Binary,smiles:FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F || smiles:FC(F)(F)F,C8F18 / CF4,halogenated,halogenated,halogenated + halogenated,27
Binary,fallback:4501d0d6bfddcc6a || smiles:O=C=O,C5H10O2 / CO2,other,unresolved,other + unresolved,26
Binary,smiles:C/C=C\C || smiles:CCSCC,C4H8 / C4H10S,hydrocarbon,sulfur-containing,hydrocarbon + sulfur-containing,26
Binary,smiles:C1CCCCC1 || smiles:CCCC(C)O,C6H12 / C5H12O,alcohol,hydrocarbon,alcohol + hydrocarbon,26
Binary,smiles:C1CCCCC1 || smiles:CCCCCO,C6H12 / C5H12O,alcohol,hydrocarbon,alcohol + hydrocarbon,26
Binary,smiles:C1CCOC1 || smiles:CCCCl,C4H8O / C3H7Cl,ether,halogenated,ether + halogenated,26
Binary,smiles:C1CCSC1 || smiles:C=C(C)CC(C)(C)C,C4H8S / C8H16,hydrocarbon,sulfur-containing,hydrocarbon + sulfur-containing,26
Binary,smiles:C1COCO1 || smiles:CC(C)(C)O,C3H6O2 / C4H10O,alcohol,ether,alcohol + ether,26
Binary,smiles:C=C(C)C || smiles:CCC#N,C4H8 / C3H5N,hydrocarbon,other,hydrocarbon + other,26
Binary,smiles:C=C(C)C || smiles:CCSCC,C4H8 / C4H10S,hydrocarbon,sulfur-containing,hydrocarbon + sulfur-containing,26
Binary,smiles:C=CCC || smiles:CCC#N,C4H8 / C3H5N,hydrocarbon,other,hydrocarbon + other,26
Binary,smiles:C=CCC || smiles:CCSCC,C4H8 / C4H10S,hydrocarbon,sulfur-containing,hydrocarbon + sulfur-containing,26
Binary,smiles:C=CCCCC || smiles:CCCC(C)O,C6H12 / C5H12O,alcohol,hydrocarbon,alcohol + hydrocarbon,26
Binary,smiles:C=CCCCC || smiles:CCCCCO,C6H12 / C5H12O,alcohol,hydrocarbon,alcohol + hydrocarbon,26
Binary,smiles:CC(=O)N(C)C || smiles:CCC(C)OC(C)=O,C4H9NO / C6H12O2,amide,ester,amide + ester,26
Binary,smiles:CC(=O)O || smiles:CCOC(C)=O,C2H4O2 / C4H8O2,acid,ester,acid + ester,26
Binary,smiles:CC(C)C || smiles:CCC#N,C4H10 / C3H5N,hydrocarbon,other,hydrocarbon + other,26
Binary,smiles:CC(C)CC(C)(C)C || smiles:CCCC(C)O,C8H18 / C5H12O,alcohol,hydrocarbon,alcohol + hydrocarbon,26
Binary,smiles:CC(C)CC(C)(C)C || smiles:CCCCCO,C8H18 / C5H12O,alcohol,hydrocarbon,alcohol + hydrocarbon,26
Binary,smiles:CC(C)CC(C)(C)C || smiles:CCCCO,C8H18 / C4H10O,alcohol,hydrocarbon,alcohol + hydrocarbon,26
Binary,smiles:CC(C)CO || smiles:COCOCC(C)C,C4H10O / C6H14O2,alcohol,ether,alcohol + ether,26
Binary,smiles:CC(C)O || smiles:CCCCCO,C3H8O / C5H12O,alcohol,alcohol,alcohol + alcohol,26
Binary,smiles:CC1CCCCC1 || smiles:CCOC(=O)OCC,C7H14 / C5H10O3,ester,hydrocarbon,ester + hydrocarbon,26
Binary,smiles:CCC(O)CC || smiles:O=C=O,C5H12O / CO2,alcohol,other,alcohol + other,26
Binary,smiles:CCCC || smiles:FC(F)C(F)(F)F,C4H10 / C2HF5,halogenated,hydrocarbon,halogenated + hydrocarbon,26
Binary,smiles:CCCC(C)O || smiles:CCCCCCC,C5H12O / C7H16,alcohol,hydrocarbon,alcohol + hydrocarbon,26
Binary,smiles:CCCC(C)O || smiles:Cc1ccc(C)c(C)c1,C5H12O / C9H12,alcohol,aromatic,alcohol + aromatic,26
Binary,smiles:CCCC(C)O || smiles:Cc1ccccc1,C5H12O / C7H8,alcohol,aromatic,alcohol + aromatic,26
Binary,smiles:CCCCC || smiles:CCOC=O,C5H12 / C3H6O2,ester,hydrocarbon,ester + hydrocarbon,26
Binary,smiles:CCCCCCC || smiles:COC=O,C7H16 / C2H4O2,ester,hydrocarbon,ester + hydrocarbon,26
Binary,smiles:CCCCCCCC || smiles:NC1CCCCC1,C8H18 / C6H13N,amine,hydrocarbon,amine + hydrocarbon,26
Binary,smiles:CCCCCCCCC || smiles:COC=O,C9H20 / C2H4O2,ester,hydrocarbon,ester + hydrocarbon,26
Binary,smiles:CCCCCO || smiles:Cc1ccc(C)c(C)c1,C5H12O / C9H12,alcohol,aromatic,alcohol + aromatic,26
Binary,smiles:CCCCCO || smiles:Cc1ccccc1,C5H12O / C7H8,alcohol,aromatic,alcohol + aromatic,26
Binary,smiles:CCCCO || smiles:CCCCOC(=O)C(C)O,C4H10O / C7H14O3,alcohol,ester,alcohol + ester,26
Binary,smiles:CCCOC(C)=O || smiles:CCOC(C)=O,C5H10O2 / C4H8O2,ester,ester,ester + ester,26
Binary,smiles:CCO || smiles:CCOC(=O)OCC,C2H6O / C5H10O3,alcohol,ester,alcohol + ester,26
Binary,smiles:CCO || smiles:CSC,C2H6O / C2H6S,alcohol,sulfur-containing,alcohol + sulfur-containing,26
Binary,smiles:COC || smiles:CSC,C2H6O / C2H6S,ether,sulfur-containing,ether + sulfur-containing,26
Binary,smiles:COC(C)=O || smiles:CSC,C3H6O2 / C2H6S,ester,sulfur-containing,ester + sulfur-containing,26
Binary,smiles:Cc1ccccc1 || smiles:c1ccoc1,C7H8 / C4H4O,aromatic,aromatic,aromatic + aromatic,26
Binary,smiles:O=C(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F || smiles:O=C=O,C6F12O / CO2,ketone,other,ketone + other,26
Binary,smiles:C/C=C/C || smiles:CCSCC,C4H8 / C4H10S,hydrocarbon,sulfur-containing,hydrocarbon + sulfur-containing,25
Binary,smiles:C1=CCCCC1 || smiles:C1COCCN1,C6H10 / C4H9NO,amine,hydrocarbon,amine + hydrocarbon,25
Binary,smiles:C1CCSC1 || smiles:Cc1ccccc1C,C4H8S / C8H10,aromatic,sulfur-containing,aromatic + sulfur-containing,25
Binary,smiles:CC(=O)N(C)C || smiles:CS(C)=O,C4H9NO / C2H6OS,amide,sulfur-containing,amide + sulfur-containing,25
Binary,smiles:CC(C)C || smiles:CCSCC,C4H10 / C4H10S,hydrocarbon,sulfur-containing,hydrocarbon + sulfur-containing,25
Binary,smiles:CC(C)OC(C)C || smiles:O=C=O,C6H14O / CO2,ether,other,ether + other,25
Binary,smiles:CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC || smiles:FC(F)C(F)(F)F,C48H102O2P2 / C2HF5,halogenated,other,halogenated + other,25
Binary,smiles:CCC || smiles:CCCO,C3H8 / C3H8O,alcohol,hydrocarbon,alcohol + hydrocarbon,25
Binary,smiles:CCC#N || smiles:CCCC,C3H5N / C4H10,hydrocarbon,other,hydrocarbon + other,25
Binary,smiles:CCCCOC(C)(C)C || smiles:CCO,C8H18O / C2H6O,alcohol,ether,alcohol + ether,25
Binary,smiles:CCCO || smiles:CCCOCOCC,C3H8O / C6H14O2,alcohol,ether,alcohol + ether,25
Binary,smiles:CCO || smiles:O=C=O,C2H6O / CO2,alcohol,other,alcohol + other,25
Binary,smiles:CO || smiles:c1ccccc1,CH4O / C6H6,alcohol,aromatic,alcohol + aromatic,25
Binary,fallback:aa4d3d71d5f43049 || smiles:CCCCO,C6H14O2 / C4H10O,alcohol,unresolved,alcohol + unresolved,24
Binary,smiles:C1CCCCC1 || smiles:C1COCCN1,C6H12 / C4H9NO,amine,hydrocarbon,amine + hydrocarbon,24
Binary,smiles:C1CCOCC1 || smiles:CCCCCl,C5H10O / C4H9Cl,ether,halogenated,ether + halogenated,24
Binary,smiles:CC(C)C(C)O || smiles:O=C=O,C5H12O / CO2,alcohol,other,alcohol + other,24
Binary,smiles:CC(C)CCO || smiles:CCC(=O)OCCC(C)C,C5H12O / C8H16O2,alcohol,ester,alcohol + ester,24
Binary,smiles:CC(C)CO || smiles:CCCCCCO,C4H10O / C6H14O,alcohol,alcohol,alcohol + alcohol,24
Binary,smiles:CCCCC || smiles:CCCOC=O,C5H12 / C4H8O2,ester,hydrocarbon,ester + hydrocarbon,24
Binary,smiles:CCCCCCC || smiles:CCCCCO,C7H16 / C5H12O,alcohol,hydrocarbon,alcohol + hydrocarbon,24
Binary,smiles:CCCCCCCC || smiles:CCOC=O,C8H18 / C3H6O2,ester,hydrocarbon,ester + hydrocarbon,24
Binary,smiles:CCCOCOCC || smiles:CCO,C6H14O2 / C2H6O,alcohol,ether,alcohol + ether,24
Binary,smiles:COCC(C)O || smiles:COCCO,C4H10O2 / C3H8O2,alcohol,alcohol,alcohol + alcohol,24
Binary,smiles:COCCO || smiles:O,C3H8O2 / H2O,alcohol,water,alcohol + water,24
Binary,smiles:FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F || smiles:FC(F)(F)F,C6F14 / CF4,halogenated,halogenated,halogenated + halogenated,24
Binary,smiles:O=C=O || smiles:O=S=O,CO2 / O2S,other,sulfur-containing,other + sulfur-containing,24
Binary,smiles:CC#N || smiles:O,C2H3N / H2O,other,water,other + water,23
Binary,smiles:CC(=O)O || smiles:CCC(C)=O,C2H4O2 / C4H8O,acid,ketone,acid + ketone,23
Binary,smiles:CC(C)OC(C)C || smiles:COCCO,C6H14O / C3H8O2,alcohol,ether,alcohol + ether,23
Binary,smiles:CC1=CCC2CC1C2(C)C || smiles:CC1=CC[C@@H]2[C@H](C1)C2(C)C,C10H16 / C10H16,hydrocarbon,hydrocarbon,hydrocarbon + hydrocarbon,23
Binary,smiles:CCCC(=O)OCC || smiles:O=C=O,C6H12O2 / CO2,ester,other,ester + other,23
Binary,smiles:CCCCCCCCCC || smiles:CCOC=O,C10H22 / C3H6O2,ester,hydrocarbon,ester + hydrocarbon,23
Binary,smiles:CCOC(=O)OCC || smiles:CCOC(C)=O,C5H10O3 / C4H8O2,ester,ester,ester + ester,23
Binary,smiles:NC1CCCCC1 || smiles:O,C6H13N / H2O,amine,water,amine + water,23
Binary,smiles:C1CCOCC1 || smiles:CCC(C)Cl,C5H10O / C4H9Cl,ether,halogenated,ether + halogenated,22
Binary,smiles:C=C1C2CCC(C2)C1(C)C || smiles:Cc1ccc(C(C)C)cc1,C10H16 / C10H14,aromatic,hydrocarbon,aromatic + hydrocarbon,22
Binary,smiles:C=CCO || smiles:OCCO,C3H6O / C2H6O2,alcohol,alcohol,alcohol + alcohol,22
Binary,smiles:CC(C)=O || smiles:CC(C)N(C)C,C3H6O / C5H13N,amine,ketone,amine + ketone,22
Binary,smiles:CC(C)O || smiles:CCCCO,C3H8O / C4H10O,alcohol,alcohol,alcohol + alcohol,22
Binary,smiles:CCC(C)O || smiles:CO,C4H10O / CH4O,alcohol,alcohol,alcohol + alcohol,22
Binary,smiles:CCC(C)O || smiles:CS(C)=O,C4H10O / C2H6OS,alcohol,sulfur-containing,alcohol + sulfur-containing,22
Binary,smiles:CCCCCC || smiles:CCOC(=O)CC,C6H14 / C5H10O2,ester,hydrocarbon,ester + hydrocarbon,22
Binary,smiles:CCCCCCCC || smiles:CCOC(=O)CC,C8H18 / C5H10O2,ester,hydrocarbon,ester + hydrocarbon,22
Binary,smiles:CCCCCCCCCCCC(=O)OCC || smiles:CCO,C14H28O2 / C2H6O,alcohol,ester,alcohol + ester,22
Binary,smiles:CCCCCO || smiles:CCCOCCC,C5H12O / C6H14O,alcohol,ether,alcohol + ether,22
