ternary_system_id,component_id_1,component_id_2,component_id_3,available_binary_subsystems,coverage_category,binary_subsystem_1,binary_subsystem_1_available,binary_subsystem_2,binary_subsystem_2_available,binary_subsystem_3,binary_subsystem_3_available
fallback:ab7dbdbf034d3efb || smiles:CC#N || smiles:O,fallback:ab7dbdbf034d3efb,smiles:CC#N,smiles:O,1,1/3,fallback:ab7dbdbf034d3efb || smiles:CC#N,False,fallback:ab7dbdbf034d3efb || smiles:O,False,smiles:CC#N || smiles:O,True
fallback:b25e63c8696e8bf8 || smiles:CC(C)=O || smiles:CO,fallback:b25e63c8696e8bf8,smiles:CC(C)=O,smiles:CO,1,1/3,fallback:b25e63c8696e8bf8 || smiles:CC(C)=O,False,fallback:b25e63c8696e8bf8 || smiles:CO,False,smiles:CC(C)=O || smiles:CO,True
fallback:b94569dd5711d885 || smiles:CC(C)(C)O || smiles:O,fallback:b94569dd5711d885,smiles:CC(C)(C)O,smiles:O,1,1/3,fallback:b94569dd5711d885 || smiles:CC(C)(C)O,False,fallback:b94569dd5711d885 || smiles:O,False,smiles:CC(C)(C)O || smiles:O,True
fallback:b94569dd5711d885 || smiles:CC(C)O || smiles:O,fallback:b94569dd5711d885,smiles:CC(C)O,smiles:O,1,1/3,fallback:b94569dd5711d885 || smiles:CC(C)O,False,fallback:b94569dd5711d885 || smiles:O,False,smiles:CC(C)O || smiles:O,True
fallback:c59c94f20e561d88 || smiles:CC#N || smiles:O,fallback:c59c94f20e561d88,smiles:CC#N,smiles:O,1,1/3,fallback:c59c94f20e561d88 || smiles:CC#N,False,fallback:c59c94f20e561d88 || smiles:O,False,smiles:CC#N || smiles:O,True
fallback:c602ac1290f3b380 || smiles:CC#N || smiles:CO,fallback:c602ac1290f3b380,smiles:CC#N,smiles:CO,1,1/3,fallback:c602ac1290f3b380 || smiles:CC#N,False,fallback:c602ac1290f3b380 || smiles:CO,False,smiles:CC#N || smiles:CO,True
fallback:d4cc18a1c3d5b401 || smiles:CC#N || smiles:CCO,fallback:d4cc18a1c3d5b401,smiles:CC#N,smiles:CCO,1,1/3,fallback:d4cc18a1c3d5b401 || smiles:CC#N,False,fallback:d4cc18a1c3d5b401 || smiles:CCO,False,smiles:CC#N || smiles:CCO,True
fallback:d4cc18a1c3d5b401 || smiles:CC(=O)O || smiles:O,fallback:d4cc18a1c3d5b401,smiles:CC(=O)O,smiles:O,1,1/3,fallback:d4cc18a1c3d5b401 || smiles:CC(=O)O,False,fallback:d4cc18a1c3d5b401 || smiles:O,False,smiles:CC(=O)O || smiles:O,True
fallback:d4cc18a1c3d5b401 || smiles:CCC(C)=O || smiles:CCO,fallback:d4cc18a1c3d5b401,smiles:CCC(C)=O,smiles:CCO,1,1/3,fallback:d4cc18a1c3d5b401 || smiles:CCC(C)=O,False,fallback:d4cc18a1c3d5b401 || smiles:CCO,False,smiles:CCC(C)=O || smiles:CCO,True
fallback:d95b315545052123 || smiles:CC(C)(C)O || smiles:O,fallback:d95b315545052123,smiles:CC(C)(C)O,smiles:O,1,1/3,fallback:d95b315545052123 || smiles:CC(C)(C)O,False,fallback:d95b315545052123 || smiles:O,False,smiles:CC(C)(C)O || smiles:O,True
fallback:d95b315545052123 || smiles:CC(C)O || smiles:O,fallback:d95b315545052123,smiles:CC(C)O,smiles:O,1,1/3,fallback:d95b315545052123 || smiles:CC(C)O,False,fallback:d95b315545052123 || smiles:O,False,smiles:CC(C)O || smiles:O,True
fallback:d95b315545052123 || smiles:CCCO || smiles:O,fallback:d95b315545052123,smiles:CCCO,smiles:O,1,1/3,fallback:d95b315545052123 || smiles:CCCO,False,fallback:d95b315545052123 || smiles:O,False,smiles:CCCO || smiles:O,True
fallback:dac3f6dfac965522 || smiles:CC(C)O || smiles:O,fallback:dac3f6dfac965522,smiles:CC(C)O,smiles:O,1,1/3,fallback:dac3f6dfac965522 || smiles:CC(C)O,False,fallback:dac3f6dfac965522 || smiles:O,False,smiles:CC(C)O || smiles:O,True
fallback:e3bc547e5efe17ce || smiles:CCO || smiles:O,fallback:e3bc547e5efe17ce,smiles:CCO,smiles:O,1,1/3,fallback:e3bc547e5efe17ce || smiles:CCO,False,fallback:e3bc547e5efe17ce || smiles:O,False,smiles:CCO || smiles:O,True
fallback:edcf3a858853717f || smiles:CC(=O)O || smiles:O,fallback:edcf3a858853717f,smiles:CC(=O)O,smiles:O,1,1/3,fallback:edcf3a858853717f || smiles:CC(=O)O,False,fallback:edcf3a858853717f || smiles:O,False,smiles:CC(=O)O || smiles:O,True
fallback:efc4790aa0612d13 || smiles:CC(=O)N(C)C || smiles:CC(=O)O,fallback:efc4790aa0612d13,smiles:CC(=O)N(C)C,smiles:CC(=O)O,1,1/3,fallback:efc4790aa0612d13 || smiles:CC(=O)N(C)C,False,fallback:efc4790aa0612d13 || smiles:CC(=O)O,False,smiles:CC(=O)N(C)C || smiles:CC(=O)O,True
fallback:efc4790aa0612d13 || smiles:CCC(=O)OC || smiles:CO,fallback:efc4790aa0612d13,smiles:CCC(=O)OC,smiles:CO,1,1/3,fallback:efc4790aa0612d13 || smiles:CCC(=O)OC,False,fallback:efc4790aa0612d13 || smiles:CO,False,smiles:CCC(=O)OC || smiles:CO,True
fallback:efc4790aa0612d13 || smiles:CCO || smiles:COC(=O)OC,fallback:efc4790aa0612d13,smiles:CCO,smiles:COC(=O)OC,1,1/3,fallback:efc4790aa0612d13 || smiles:CCO,False,fallback:efc4790aa0612d13 || smiles:COC(=O)OC,False,smiles:CCO || smiles:COC(=O)OC,True
fallback:efc4790aa0612d13 || smiles:CO || smiles:COC(=O)OC,fallback:efc4790aa0612d13,smiles:CO,smiles:COC(=O)OC,1,1/3,fallback:efc4790aa0612d13 || smiles:CO,False,fallback:efc4790aa0612d13 || smiles:COC(=O)OC,False,smiles:CO || smiles:COC(=O)OC,True
fallback:f35cdcca756bacdc || smiles:CC#N || smiles:O,fallback:f35cdcca756bacdc,smiles:CC#N,smiles:O,1,1/3,fallback:f35cdcca756bacdc || smiles:CC#N,False,fallback:f35cdcca756bacdc || smiles:O,False,smiles:CC#N || smiles:O,True
fallback:f7fca512921887a7 || smiles:CC#N || smiles:CCO,fallback:f7fca512921887a7,smiles:CC#N,smiles:CCO,1,1/3,fallback:f7fca512921887a7 || smiles:CC#N,False,fallback:f7fca512921887a7 || smiles:CCO,False,smiles:CC#N || smiles:CCO,True
fallback:f7fca512921887a7 || smiles:CC(C)O || smiles:ClC(Cl)Cl,fallback:f7fca512921887a7,smiles:CC(C)O,smiles:ClC(Cl)Cl,1,1/3,fallback:f7fca512921887a7 || smiles:CC(C)O,False,fallback:f7fca512921887a7 || smiles:ClC(Cl)Cl,False,smiles:CC(C)O || smiles:ClC(Cl)Cl,True
fallback:f8eb462bdbd19d00 || smiles:CC#N || smiles:CCOC(C)=O,fallback:f8eb462bdbd19d00,smiles:CC#N,smiles:CCOC(C)=O,1,1/3,fallback:f8eb462bdbd19d00 || smiles:CC#N,False,fallback:f8eb462bdbd19d00 || smiles:CCOC(C)=O,False,smiles:CC#N || smiles:CCOC(C)=O,True
fallback:fbbde86d2d698521 || smiles:CC#N || smiles:CO,fallback:fbbde86d2d698521,smiles:CC#N,smiles:CO,1,1/3,fallback:fbbde86d2d698521 || smiles:CC#N,False,fallback:fbbde86d2d698521 || smiles:CO,False,smiles:CC#N || smiles:CO,True
fallback:fbbde86d2d698521 || smiles:CC#N || smiles:O,fallback:fbbde86d2d698521,smiles:CC#N,smiles:O,1,1/3,fallback:fbbde86d2d698521 || smiles:CC#N,False,fallback:fbbde86d2d698521 || smiles:O,False,smiles:CC#N || smiles:O,True
fallback:fbbde86d2d698521 || smiles:CC(C)O || smiles:CCOC(C)=O,fallback:fbbde86d2d698521,smiles:CC(C)O,smiles:CCOC(C)=O,1,1/3,fallback:fbbde86d2d698521 || smiles:CC(C)O,False,fallback:fbbde86d2d698521 || smiles:CCOC(C)=O,False,smiles:CC(C)O || smiles:CCOC(C)=O,True
fallback:fbbde86d2d698521 || smiles:CC(C)O || smiles:O,fallback:fbbde86d2d698521,smiles:CC(C)O,smiles:O,1,1/3,fallback:fbbde86d2d698521 || smiles:CC(C)O,False,fallback:fbbde86d2d698521 || smiles:O,False,smiles:CC(C)O || smiles:O,True
smiles:C1CCCCC1 || smiles:NC1CCCCC1 || smiles:O,smiles:C1CCCCC1,smiles:NC1CCCCC1,smiles:O,1,1/3,smiles:C1CCCCC1 || smiles:NC1CCCCC1,False,smiles:C1CCCCC1 || smiles:O,False,smiles:NC1CCCCC1 || smiles:O,True
smiles:C1CCCCC1 || smiles:Nc1ccccc1 || smiles:O,smiles:C1CCCCC1,smiles:Nc1ccccc1,smiles:O,1,1/3,smiles:C1CCCCC1 || smiles:Nc1ccccc1,True,smiles:C1CCCCC1 || smiles:O,False,smiles:Nc1ccccc1 || smiles:O,False
smiles:CC(=O)CC(C)C || smiles:CO || smiles:COC(=O)OC,smiles:CC(=O)CC(C)C,smiles:CO,smiles:COC(=O)OC,1,1/3,smiles:CC(=O)CC(C)C || smiles:CO,False,smiles:CC(=O)CC(C)C || smiles:COC(=O)OC,False,smiles:CO || smiles:COC(=O)OC,True
smiles:CC(C)C || smiles:CCC || smiles:FCF,smiles:CC(C)C,smiles:CCC,smiles:FCF,1,1/3,smiles:CC(C)C || smiles:CCC,False,smiles:CC(C)C || smiles:FCF,True,smiles:CCC || smiles:FCF,False
smiles:CC1CCCCC1 || smiles:NC1CCCCC1 || smiles:Nc1ccccc1,smiles:CC1CCCCC1,smiles:NC1CCCCC1,smiles:Nc1ccccc1,1,1/3,smiles:CC1CCCCC1 || smiles:NC1CCCCC1,False,smiles:CC1CCCCC1 || smiles:Nc1ccccc1,False,smiles:NC1CCCCC1 || smiles:Nc1ccccc1,True
smiles:CC1CCCCC1 || smiles:NC1CCCCC1 || smiles:O,smiles:CC1CCCCC1,smiles:NC1CCCCC1,smiles:O,1,1/3,smiles:CC1CCCCC1 || smiles:NC1CCCCC1,False,smiles:CC1CCCCC1 || smiles:O,False,smiles:NC1CCCCC1 || smiles:O,True
smiles:CCCC(C)O || smiles:CCCCO || smiles:O,smiles:CCCC(C)O,smiles:CCCCO,smiles:O,1,1/3,smiles:CCCC(C)O || smiles:CCCCO,False,smiles:CCCC(C)O || smiles:O,True,smiles:CCCCO || smiles:O,False
smiles:CCCCO || smiles:Cc1ccc(C)cc1 || smiles:O,smiles:CCCCO,smiles:Cc1ccc(C)cc1,smiles:O,1,1/3,smiles:CCCCO || smiles:Cc1ccc(C)cc1,False,smiles:CCCCO || smiles:O,False,smiles:Cc1ccc(C)cc1 || smiles:O,True
smiles:CCO || smiles:O || smiles:OCCO,smiles:CCO,smiles:O,smiles:OCCO,1,1/3,smiles:CCO || smiles:O,True,smiles:CCO || smiles:OCCO,False,smiles:O || smiles:OCCO,False
smiles:CN1CCCC1=O || smiles:c1ccccc1 || smiles:c1ccsc1,smiles:CN1CCCC1=O,smiles:c1ccccc1,smiles:c1ccsc1,1,1/3,smiles:CN1CCCC1=O || smiles:c1ccccc1,False,smiles:CN1CCCC1=O || smiles:c1ccsc1,False,smiles:c1ccccc1 || smiles:c1ccsc1,True
smiles:CO || smiles:COCOC || smiles:OCCO,smiles:CO,smiles:COCOC,smiles:OCCO,1,1/3,smiles:CO || smiles:COCOC,True,smiles:CO || smiles:OCCO,False,smiles:COCOC || smiles:OCCO,False
smiles:FC(F)C(F)(F)F || smiles:FCC(F)(F)F || smiles:FCF,smiles:FC(F)C(F)(F)F,smiles:FCC(F)(F)F,smiles:FCF,1,1/3,smiles:FC(F)C(F)(F)F || smiles:FCC(F)(F)F,False,smiles:FC(F)C(F)(F)F || smiles:FCF,False,smiles:FCC(F)(F)F || smiles:FCF,True
smiles:[Bi] || smiles:[Cu] || smiles:[Sb],smiles:[Bi],smiles:[Cu],smiles:[Sb],1,1/3,smiles:[Bi] || smiles:[Cu],True,smiles:[Bi] || smiles:[Sb],False,smiles:[Cu] || smiles:[Sb],False
fallback:fbbde86d2d698521 || smiles:O=C=O || smiles:S,fallback:fbbde86d2d698521,smiles:O=C=O,smiles:S,0,0/3,fallback:fbbde86d2d698521 || smiles:O=C=O,False,fallback:fbbde86d2d698521 || smiles:S,False,smiles:O=C=O || smiles:S,False
smiles:C1CCCCC1 || smiles:CC(C)=O || smiles:CC(C)OC(C)C,smiles:C1CCCCC1,smiles:CC(C)=O,smiles:CC(C)OC(C)C,0,0/3,smiles:C1CCCCC1 || smiles:CC(C)=O,False,smiles:C1CCCCC1 || smiles:CC(C)OC(C)C,False,smiles:CC(C)=O || smiles:CC(C)OC(C)C,False
smiles:C1CCOC1 || smiles:CC#N || smiles:Cc1ccccc1,smiles:C1CCOC1,smiles:CC#N,smiles:Cc1ccccc1,0,0/3,smiles:C1CCOC1 || smiles:CC#N,False,smiles:C1CCOC1 || smiles:Cc1ccccc1,False,smiles:CC#N || smiles:Cc1ccccc1,False
smiles:CC1CCCCC1 || smiles:Nc1ccccc1 || smiles:O,smiles:CC1CCCCC1,smiles:Nc1ccccc1,smiles:O,0,0/3,smiles:CC1CCCCC1 || smiles:Nc1ccccc1,False,smiles:CC1CCCCC1 || smiles:O,False,smiles:Nc1ccccc1 || smiles:O,False
smiles:CCCCO || smiles:Cc1ccccc1 || smiles:O,smiles:CCCCO,smiles:Cc1ccccc1,smiles:O,0,0/3,smiles:CCCCO || smiles:Cc1ccccc1,False,smiles:CCCCO || smiles:O,False,smiles:Cc1ccccc1 || smiles:O,False
