ternary_system_id,component_id_1,component_id_2,component_id_3,available_binary_subsystems,coverage_category,binary_subsystem_1,binary_subsystem_1_available,binary_subsystem_2,binary_subsystem_2_available,binary_subsystem_3,binary_subsystem_3_available
smiles:CC(C)=O || smiles:CC(C)CC(C)(C)C || smiles:CCO,smiles:CC(C)=O,smiles:CC(C)CC(C)(C)C,smiles:CCO,3,3/3,smiles:CC(C)=O || smiles:CC(C)CC(C)(C)C,True,smiles:CC(C)=O || smiles:CCO,True,smiles:CC(C)CC(C)(C)C || smiles:CCO,True
smiles:CC(C)C(=O)C(C)C || smiles:CC(C)CC(C)(C)C || smiles:CC(C)O,smiles:CC(C)C(=O)C(C)C,smiles:CC(C)CC(C)(C)C,smiles:CC(C)O,3,3/3,smiles:CC(C)C(=O)C(C)C || smiles:CC(C)CC(C)(C)C,True,smiles:CC(C)C(=O)C(C)C || smiles:CC(C)O,True,smiles:CC(C)CC(C)(C)C || smiles:CC(C)O,True
smiles:CC(C)CC(C)(C)C || smiles:CC(C)OC(C)C || smiles:CCO,smiles:CC(C)CC(C)(C)C,smiles:CC(C)OC(C)C,smiles:CCO,3,3/3,smiles:CC(C)CC(C)(C)C || smiles:CC(C)OC(C)C,True,smiles:CC(C)CC(C)(C)C || smiles:CCO,True,smiles:CC(C)OC(C)C || smiles:CCO,True
smiles:CC(C)CC(C)(C)C || smiles:CCC(C)=O || smiles:CCO,smiles:CC(C)CC(C)(C)C,smiles:CCC(C)=O,smiles:CCO,3,3/3,smiles:CC(C)CC(C)(C)C || smiles:CCC(C)=O,True,smiles:CC(C)CC(C)(C)C || smiles:CCO,True,smiles:CCC(C)=O || smiles:CCO,True
smiles:CC(C)O || smiles:CCCCCO || smiles:CCCCO,smiles:CC(C)O,smiles:CCCCCO,smiles:CCCCO,3,3/3,smiles:CC(C)O || smiles:CCCCCO,True,smiles:CC(C)O || smiles:CCCCO,True,smiles:CCCCCO || smiles:CCCCO,True
smiles:CCCCCC || smiles:CCO || smiles:CCOC(=O)CC,smiles:CCCCCC,smiles:CCO,smiles:CCOC(=O)CC,3,3/3,smiles:CCCCCC || smiles:CCO,True,smiles:CCCCCC || smiles:CCOC(=O)CC,True,smiles:CCO || smiles:CCOC(=O)CC,True
smiles:CCCCCCCC || smiles:CCO || smiles:CCOC(=O)CC,smiles:CCCCCCCC,smiles:CCO,smiles:CCOC(=O)CC,3,3/3,smiles:CCCCCCCC || smiles:CCO,True,smiles:CCCCCCCC || smiles:CCOC(=O)CC,True,smiles:CCO || smiles:CCOC(=O)CC,True
smiles:CCCCCO || smiles:CCCO || smiles:CCCOCCC,smiles:CCCCCO,smiles:CCCO,smiles:CCCOCCC,3,3/3,smiles:CCCCCO || smiles:CCCO,True,smiles:CCCCCO || smiles:CCCOCCC,True,smiles:CCCO || smiles:CCCOCCC,True
smiles:CCCO || smiles:CCCOCCC || smiles:CCOCCO,smiles:CCCO,smiles:CCCOCCC,smiles:CCOCCO,3,3/3,smiles:CCCO || smiles:CCCOCCC,True,smiles:CCCO || smiles:CCOCCO,True,smiles:CCCOCCC || smiles:CCOCCO,True
smiles:CCCOC(C)=O || smiles:CCOC(C)=O || smiles:CS(C)=O,smiles:CCCOC(C)=O,smiles:CCOC(C)=O,smiles:CS(C)=O,3,3/3,smiles:CCCOC(C)=O || smiles:CCOC(C)=O,True,smiles:CCCOC(C)=O || smiles:CS(C)=O,True,smiles:CCOC(C)=O || smiles:CS(C)=O,True
