dataset,record_id,system_id,temperature_k,pressure_kpa,x1,x2,x3,y1,y2,y3
Binary,binary:000001,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,383.9,4.999988767104,0.051,0.949,,0.052,0.948,
Binary,binary:000002,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,393.0,7.50004981184,0.051,0.949,,0.052,0.948,
Binary,binary:000003,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,399.79999999999995,9.999977534208,0.051,0.949,,0.053,0.947,
Binary,binary:000004,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,383.79999999999995,4.999988767104,0.1,0.9,,0.106,0.894,
Binary,binary:000005,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,392.9,7.50004981184,0.101,0.899,,0.106,0.894,
Binary,binary:000006,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,399.7,9.999977534208,0.101,0.899,,0.106,0.894,
Binary,binary:000007,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,383.5,4.999988767104,0.2,0.8,,0.211,0.789,
Binary,binary:000008,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,392.59999999999997,7.50004981184,0.2,0.8,,0.212,0.788,
Binary,binary:000009,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,399.5,9.999977534208,0.2,0.8,,0.212,0.788,
Binary,binary:000010,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,383.2,4.999988767104,0.299,0.7010000000000001,,0.321,0.679,
Binary,binary:000011,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,392.4,7.50004981184,0.301,0.6990000000000001,,0.321,0.679,
Binary,binary:000012,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,399.2,9.999977534208,0.301,0.6990000000000001,,0.322,0.6779999999999999,
Binary,binary:000013,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,383.0,4.999988767104,0.4,0.6,,0.428,0.5720000000000001,
Binary,binary:000014,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,392.09999999999997,7.50004981184,0.4,0.6,,0.43,0.5700000000000001,
Binary,binary:000015,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,398.9,9.999977534208,0.4,0.6,,0.431,0.569,
Binary,binary:000016,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,382.7,4.999988767104,0.497,0.503,,0.535,0.46499999999999997,
Binary,binary:000017,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,391.79999999999995,7.50004981184,0.499,0.501,,0.536,0.46399999999999997,
Binary,binary:000018,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,398.59999999999997,9.999977534208,0.5,0.5,,0.537,0.46299999999999997,
Binary,binary:000019,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,382.09999999999997,4.999988767104,0.599,0.401,,0.638,0.362,
Binary,binary:000020,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,391.2,7.50004981184,0.599,0.401,,0.64,0.36,
Binary,binary:000021,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,398.09999999999997,9.999977534208,0.599,0.401,,0.64,0.36,
Binary,binary:000022,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,390.9,7.50004981184,0.698,0.30200000000000005,,0.739,0.261,
Binary,binary:000023,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,397.7,9.999977534208,0.698,0.30200000000000005,,0.739,0.261,
Binary,binary:000024,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,381.79999999999995,4.999988767104,0.699,0.30100000000000005,,0.738,0.262,
Binary,binary:000025,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,381.2,4.999988767104,0.798,0.20199999999999996,,0.832,0.16800000000000004,
Binary,binary:000026,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,390.4,7.50004981184,0.798,0.20199999999999996,,0.833,0.16700000000000004,
Binary,binary:000027,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,397.29999999999995,9.999977534208,0.798,0.20199999999999996,,0.833,0.16700000000000004,
Binary,binary:000028,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,380.79999999999995,4.999988767104,0.898,0.10199999999999998,,0.919,0.08099999999999996,
