dataset,system_family_class,unique_systems,total_data_points,mean_points_per_system,median_points_per_system,min_points_per_system,max_points_per_system,all_systems,all_data_points,system_share_pct,data_point_share_pct,class_rank
Binary,acid + ester,3,84,28.0,26.0,16,42,700,23061,0.42857142857142855,0.36425133342005983,50
Binary,amide + ester,3,66,22.0,21.0,19,26,700,23061,0.42857142857142855,0.28619747625861847,51
Binary,amide + halogenated,3,35,11.666666666666666,11.0,10,14,700,23061,0.42857142857142855,0.15177138892502492,52
Binary,halogenated + unresolved,2,115,57.5,57.5,44,71,700,23061,0.2857142857142857,0.49867742075365334,53
Binary,amine + water,2,86,43.0,43.0,23,63,700,23061,0.2857142857142857,0.37292398421577555,54
Binary,acid + ketone,2,72,36.0,36.0,23,49,700,23061,0.2857142857142857,0.31221542864576557,55
Binary,amine + amine,2,65,32.5,32.5,20,45,700,23061,0.2857142857142857,0.2818611508607606,56
Binary,aromatic + unresolved,2,61,30.5,30.5,19,42,700,23061,0.2857142857142857,0.2645158492693292,57
Binary,acid + unresolved,2,60,30.0,30.0,27,33,700,23061,0.2857142857142857,0.2601795238714713,58
Binary,amide + sulfur-containing,2,56,28.0,28.0,25,31,700,23061,0.2857142857142857,0.2428342222800399,59
Binary,ketone + other,2,55,27.5,27.5,26,29,700,23061,0.2857142857142857,0.23849789688218204,60
Binary,aromatic + ester,2,44,22.0,22.0,16,28,700,23061,0.2857142857142857,0.19079831750574563,61
Binary,acid + halogenated,2,34,17.0,17.0,17,17,700,23061,0.2857142857142857,0.14743506352716707,62
Binary,aromatic + ketone,2,33,16.5,16.5,14,19,700,23061,0.2857142857142857,0.14309873812930923,63
Binary,aromatic + other,1,53,53.0,53.0,53,53,700,23061,0.14285714285714285,0.22982524608646632,64
Binary,unresolved + water,1,42,42.0,42.0,42,42,700,23061,0.14285714285714285,0.18212566671002992,65
Binary,acid + hydrocarbon,1,33,33.0,33.0,33,33,700,23061,0.14285714285714285,0.14309873812930923,66
Binary,ester + water,1,28,28.0,28.0,28,28,700,23061,0.14285714285714285,0.12141711114001995,67
Binary,ether + water,1,27,27.0,27.0,27,27,700,23061,0.14285714285714285,0.11708078574216209,68
Binary,other + water,1,23,23.0,23.0,23,23,700,23061,0.14285714285714285,0.09973548415073068,69
Binary,amine + ketone,1,22,22.0,22.0,22,22,700,23061,0.14285714285714285,0.09539915875287282,70
Binary,amide + amine,1,21,21.0,21.0,21,21,700,23061,0.14285714285714285,0.09106283335501496,71
Binary,amide + amide,1,20,20.0,20.0,20,20,700,23061,0.14285714285714285,0.08672650795715711,72
Binary,ketone + unresolved,1,19,19.0,19.0,19,19,700,23061,0.14285714285714285,0.08239018255929925,73
Binary,amine + aromatic,1,18,18.0,18.0,18,18,700,23061,0.14285714285714285,0.07805385716144139,74
Binary,sulfur-containing + water,1,16,16.0,16.0,16,16,700,23061,0.14285714285714285,0.06938120636572569,75
Binary,acid + sulfur-containing,1,15,15.0,15.0,15,15,700,23061,0.14285714285714285,0.06504488096786783,76
Binary,ester + halogenated,1,15,15.0,15.0,15,15,700,23061,0.14285714285714285,0.06504488096786783,77
Binary,amine + other,1,5,5.0,5.0,5,5,700,23061,0.14285714285714285,0.021681626989289278,78
Binary,aromatic + water,1,1,1.0,1.0,1,1,700,23061,0.14285714285714285,0.004336325397857855,79
Ternary,alcohol + unresolved + water,12,550,45.833333333333336,43.5,14,95,126,5229,9.523809523809524,10.518263530311723,1
Ternary,alcohol + other + unresolved,10,368,36.8,36.0,30,48,126,5229,7.936507936507937,7.0376745075540255,2
Ternary,alcohol + ester + unresolved,10,334,33.4,33.0,27,42,126,5229,7.936507936507937,6.387454580225665,3
Ternary,alcohol + ketone + unresolved,8,285,35.625,41.0,10,46,126,5229,6.349206349206349,5.4503729202524385,4
Ternary,alcohol + hydrocarbon + ketone,5,320,64.0,64.0,51,85,126,5229,3.9682539682539684,6.119716963090457,5
Ternary,alcohol + ether + water,4,335,83.75,89.5,57,99,126,5229,3.1746031746031744,6.406578695735322,6
Ternary,other + unresolved + water,4,112,28.0,25.5,16,45,126,5229,3.1746031746031744,2.14190093708166,7
Ternary,amine + hydrocarbon + water,4,79,19.75,19.5,16,24,126,5229,3.1746031746031744,1.5108051252629566,8
Ternary,alcohol + ester + hydrocarbon,3,364,121.33333333333333,120.0,120,124,126,5229,2.380952380952381,6.961178045515395,9
Ternary,alcohol + aromatic + unresolved,3,169,56.333333333333336,57.0,54,58,126,5229,2.380952380952381,3.2319755211321475,10
Ternary,alcohol + unresolved + unresolved,3,167,55.666666666666664,56.0,54,57,126,5229,2.380952380952381,3.1937272901128324,11
Ternary,alcohol + ether + hydrocarbon,3,143,47.666666666666664,51.0,37,55,126,5229,2.380952380952381,2.734748517881048,12
Ternary,alcohol + alcohol + water,3,132,44.0,39.0,38,55,126,5229,2.380952380952381,2.5243832472748133,13
Ternary,alcohol + alcohol + ether,3,106,35.333333333333336,41.0,24,41,126,5229,2.380952380952381,2.027156244023714,14
Ternary,acid + unresolved + water,3,83,27.666666666666668,25.0,22,36,126,5229,2.380952380952381,1.5873015873015872,15
Ternary,alcohol + amide + ester,3,73,24.333333333333332,17.0,14,42,126,5229,2.380952380952381,1.3960604322050105,16
Ternary,alcohol + ester + water,3,70,23.333333333333332,15.0,11,44,126,5229,2.380952380952381,1.3386880856760375,17
Ternary,acid + amide + water,3,45,15.0,15.0,15,15,126,5229,2.380952380952381,0.8605851979345955,18
Ternary,alcohol + alcohol + ester,2,180,90.0,90.0,42,138,126,5229,1.5873015873015872,3.442340791738382,19
Ternary,alcohol + ether + ketone,2,142,71.0,71.0,52,90,126,5229,1.5873015873015872,2.7156244023713905,20
Ternary,alcohol + aromatic + water,2,139,69.5,69.5,64,75,126,5229,1.5873015873015872,2.6582520558424174,21
Ternary,ether + hydrocarbon + ketone,2,127,63.5,63.5,43,84,126,5229,1.5873015873015872,2.428762669726525,22
Ternary,aromatic + hydrocarbon + unresolved,2,80,40.0,40.0,25,55,126,5229,1.5873015873015872,1.5299292407726142,23
Ternary,ester + other + unresolved,2,65,32.5,32.5,32,33,126,5229,1.5873015873015872,1.2430675081277491,24
Ternary,other + other + other,2,29,14.5,14.5,11,18,126,5229,1.5873015873015872,0.5545993497800726,25
Ternary,alcohol + ester + sulfur-containing,2,29,14.5,14.5,13,16,126,5229,1.5873015873015872,0.5545993497800726,26
Ternary,alcohol + ester + ketone,1,110,110.0,110.0,110,110,126,5229,0.7936507936507936,2.1036527060623444,27
Ternary,acid + acid + unresolved,1,54,54.0,54.0,54,54,126,5229,0.7936507936507936,1.0327022375215147,28
Ternary,acid + amide + unresolved,1,53,53.0,53.0,53,53,126,5229,0.7936507936507936,1.013578122011857,29
Ternary,halogenated + halogenated + halogenated,1,44,44.0,44.0,44,44,126,5229,0.7936507936507936,0.8414610824249379,30
Ternary,amine + hydrocarbon + hydrocarbon,1,42,42.0,42.0,42,42,126,5229,0.7936507936507936,0.8032128514056225,31
Ternary,alcohol + ester + ester,1,42,42.0,42.0,42,42,126,5229,0.7936507936507936,0.8032128514056225,32
Ternary,ester + ester + sulfur-containing,1,36,36.0,36.0,36,36,126,5229,0.7936507936507936,0.6884681583476764,33
Ternary,alcohol + other + sulfur-containing,1,35,35.0,35.0,35,35,126,5229,0.7936507936507936,0.6693440428380187,34
Ternary,other + other + sulfur-containing,1,31,31.0,31.0,31,31,126,5229,0.7936507936507936,0.592847580799388,35
Ternary,alcohol + halogenated + unresolved,1,30,30.0,30.0,30,30,126,5229,0.7936507936507936,0.5737234652897304,36
Ternary,other + sulfur-containing + unresolved,1,24,24.0,24.0,24,24,126,5229,0.7936507936507936,0.4589787722317843,37
Ternary,amine + amine + hydrocarbon,1,21,21.0,21.0,21,21,126,5229,0.7936507936507936,0.40160642570281124,38
Ternary,amide + aromatic + sulfur-containing,1,21,21.0,21.0,21,21,126,5229,0.7936507936507936,0.40160642570281124,39
Ternary,acid + ketone + water,1,20,20.0,20.0,20,20,126,5229,0.7936507936507936,0.38248231019315354,40
Ternary,halogenated + hydrocarbon + hydrocarbon,1,20,20.0,20.0,20,20,126,5229,0.7936507936507936,0.38248231019315354,41
Ternary,alcohol + aromatic + sulfur-containing,1,18,18.0,18.0,18,18,126,5229,0.7936507936507936,0.3442340791738382,42
Ternary,aromatic + ether + other,1,17,17.0,17.0,17,17,126,5229,0.7936507936507936,0.32510996366418055,43
Ternary,acid + sulfur-containing + water,1,17,17.0,17.0,17,17,126,5229,0.7936507936507936,0.32510996366418055,44
Ternary,hydrocarbon + other + unresolved,1,16,16.0,16.0,16,16,126,5229,0.7936507936507936,0.30598584815452284,45
Ternary,alcohol + hydrocarbon + unresolved,1,16,16.0,16.0,16,16,126,5229,0.7936507936507936,0.30598584815452284,46
Ternary,alcohol + alcohol + other,1,15,15.0,15.0,15,15,126,5229,0.7936507936507936,0.2868617326448652,47
Ternary,alcohol + alcohol + alcohol,1,12,12.0,12.0,12,12,126,5229,0.7936507936507936,0.22948938611589215,48
Ternary,alcohol + amine + other,1,9,9.0,9.0,9,9,126,5229,0.7936507936507936,0.1721170395869191,49
