dataset,source_file,component_count,data_points,unique_systems,unique_components,parseable_components,points_per_system_mean,points_per_system_median,points_per_system_min,points_per_system_max,temperature_min_k,temperature_q25_k,temperature_median_k,temperature_q75_k,temperature_max_k,temperature_min_c,temperature_max_c,unique_temperatures,pressure_min_kpa,pressure_q25_kpa,pressure_median_kpa,pressure_q75_kpa,pressure_max_kpa,pressure_min_mmhg,pressure_max_mmhg,unique_pressures,liquid_composition_min,liquid_composition_max,vapor_composition_min,vapor_composition_max,liquid_closure_abs_error_median,liquid_closure_abs_error_max,vapor_closure_abs_error_median,vapor_closure_abs_error_max,abs_y1_minus_x1_median,abs_y1_minus_x1_q75,abs_y1_minus_x1_max,liquid_simplex_interior_pct,liquid_simplex_vertex_pct,vapor_simplex_interior_pct,vapor_simplex_vertex_pct,missing_cells,missing_value_rate,duplicate_tp_xy_states,duplicate_rate,quality_passed_rows,quality_failed_rows,quality_not_evaluated_rows,systems_lt_10_points_pct,systems_lt_20_points_pct,systems_gt_50_points_pct
Binary,binary_vle_english.xlsx,2,23061,700,333,318,32.94428571428571,26.0,1,209,153.22999999999996,313.0,339.91999999999996,369.5,1550.0,-119.92,1276.85,6530,0.009999177599999999,60.900057833984,101.319933430016,983.199934987008,50179.999790734335,0.075,376380.952,11336,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1519999999999999,0.33799999999999997,0.9972,,,,,787,0.002625144683164717,9,0.00039026928580720695,4696,1310,17055,3.4285714285714284,31.714285714285715,16.142857142857142
Ternary,ternary_vle_english.xlsx,3,5229,126,125,86,41.5,37.0,9,138,253.26999999999998,340.30999999999995,352.54999999999995,361.7,1400.0,-19.88,1126.85,2839,0.009999177599999999,100.000041986816,101.299935074816,101.299935074816,14999.999898548735,0.075,112509.252,758,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,68.71294702620004,7.0376745075540255,36.01070950468541,12.392426850258175,5284,0.056139903529461764,0,0.0,0,2550,2679,0.7936507936507936,19.047619047619047,26.984126984126984
