dataset,rank,system_id,system_label,data_points
Binary,87,smiles:C1CCCCC1 || smiles:Cc1cncc(C)c1,"环己烷 / 3,5-二甲基吡啶",56
Binary,88,smiles:C=C || smiles:FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,乙烯 / 全氟辛烷,56
Binary,89,smiles:C1CCCCC1 || smiles:Cc1cnccn1,环己烷 / 2-甲基吡嗪,56
Binary,90,smiles:C=C(F)C(F)(F)F || smiles:FCF,"2,3,3,3-四氟-1-丙烯 / 二氟甲烷",55
Binary,91,smiles:CC(C)C || smiles:FC(F)CC(F)(F)F,"2-甲基丙烷 / 1,1,1,3,3-五氟丙烷",55
Binary,92,smiles:CCF || smiles:F/C=C/C(F)(F)F,"氟乙烷 / 反式-1,3,3,3-四氟丙烯",55
Binary,93,smiles:CO || smiles:O=C=O,甲醇 / 二氧化碳,55
Binary,94,smiles:F/C=C/C(F)(F)F || smiles:FC(F)(F)I,"反式-1,3,3,3-四氟丙烯 / 三氟碘甲烷",55
Binary,95,smiles:CCCCCCCCC || smiles:FC(F)F,正壬烷 / 三氟甲烷,54
Binary,96,smiles:ClC(Cl)C(Cl)Cl || smiles:O=C1CCCC1,"1,1,2,2-四氯乙烷 / 环戊酮",54
Binary,97,smiles:CCCCCCC || smiles:FC(F)F,正庚烷 / 三氟甲烷,54
Binary,98,smiles:CC || smiles:FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,乙烷 / 全氟辛烷,53
Binary,99,smiles:CC(=O)C(C)C || smiles:CC(C)C(C)C,"3-甲基-2-丁酮 / 2,3-二甲基丁烷",53
Binary,100,smiles:CC(F)(F)F || smiles:CCC,"1,1,1-三氟乙烷 / 丙烷",53
Binary,101,smiles:CC12CCC(CC1)C(C)(C)O2 || smiles:CCO,"1,3,3-三甲基-2-氧杂双环[2.2.2]辛烷 / 乙醇",53
Binary,102,smiles:CCCCCCC || smiles:c1ccsc1,正庚烷 / 噻吩,53
Binary,103,smiles:Cc1ccccc1 || smiles:O=C=O,甲苯 / 二氧化碳,53
Binary,104,smiles:CCCC(=O)OCC1CO1 || smiles:ClCC1CO1,"丁二酸缩水甘油酯 / 3-氯-1,2-环氧丙烷",52
Binary,105,smiles:CCCCCCCO || smiles:O=C=O,1-庚醇 / 二氧化碳,52
Binary,106,smiles:CC(C)OC(C)C || smiles:CCO,二异丙醚 / 乙醇,52
Binary,107,smiles:CC(C)=O || smiles:CCC(C)O,丙酮 / 2-丁醇,52
Binary,108,smiles:C1CCCCC1 || smiles:CCCCCl,环己烷 / 1-氯丁烷,51
Binary,109,smiles:CC(C)CCl || smiles:CCCCCCC,1-氯-2-甲基丙烷 / 正庚烷,51
Binary,110,smiles:CC1CCCCC1 || smiles:COCCO,甲基环己烷 / 2-甲氧基乙醇,51
Binary,111,smiles:CCC(C)O || smiles:CCCC(=O)O,2-丁醇 / 丁酸,51
Binary,112,smiles:CCCC || smiles:FC(F)CC(F)(F)F,"丁烷 / 1,1,1,3,3-五氟丙烷",51
Binary,113,smiles:CCCCCC || smiles:FC(F)F,正己烷 / 三氟甲烷,51
Binary,114,smiles:FC(C(F)(F)F)C(F)(F)F || smiles:FCC(F)(F)F,"1,1,1,2,3,3,3-七氟丙烷 / 1,1,1,2-四氟乙烷",50
Binary,115,smiles:FCC(F)(F)F || smiles:N,"1,1,1,2-四氟乙烷 / 氨",50
Binary,116,smiles:CCCO || smiles:O=C=O,1-丙醇 / 二氧化碳,50
Binary,117,smiles:CCC(=O)O || smiles:CCCCCO,丙酸 / 1-戊醇,50
Binary,118,smiles:CC(C)O || smiles:CCCC(=O)O,2-丙醇 / 丁酸,50
Binary,119,smiles:C=C(F)C(F)(F)F || smiles:FC(C(F)(F)F)C(F)(F)F,"2,3,3,3-四氟-1-丙烯 / 1,1,1,2,3,3,3-七氟丙烷",50
Binary,120,smiles:C=C || smiles:FC(F)(F)C1(F)OC1(F)F,"乙烯 / 2,2,3-三氟-3-(三氟甲基)环氧乙烷",49
Binary,121,smiles:CC(C)(C)O || smiles:O,2-甲基-2-丙醇 / 水,49
Binary,122,smiles:CC(C)=O || smiles:CCC(=O)O,丙酮 / 丙酸,49
Binary,123,smiles:CC(C)CO || smiles:CCCC(=O)O,2-甲基-1-丙醇 / 丁酸,49
Binary,124,smiles:N#N || smiles:O=S=O,氮气 / 二氧化硫,49
Binary,125,smiles:CC(C)OC(C)C || smiles:CO,二异丙醚 / 甲醇,48
