epoch,stage,train_gradient_norm_max,train_gradient_norm_mean,train_pressure,train_pure_vapor_pressure,train_teacher_forced_fugacity,train_temperature,train_total,train_vapor_composition,validation_pressure,validation_pure_vapor_pressure,validation_teacher_forced_fugacity,validation_temperature,validation_total,validation_vapor_composition
1,experimental,56.166316986083984,11.89274243134973,0.4405098712983192,0.9964332175389974,0.0,0.0,0.962110403143967,0.0233839213993919,0.052207427219238677,0.047623451460491524,0.0,0.0,0.08489265448618347,0.00887350249830349
2,experimental,18.673870086669922,4.292532509286441,0.05451827793280421,0.09339715538125841,0.0,0.0,0.10635405574865522,0.005137200513894975,0.049965008247863714,0.0618897322874316,0.0,0.0,0.08765242237402417,0.006742547887890997
3,experimental,27.327255249023438,4.415309210446169,0.044153383611806346,0.06623906538782447,0.0,0.0,0.08192973555744142,0.00465681892806252,0.04881513268052148,0.07631306181146992,0.0,0.0,0.09351226503515211,0.006540600966857456
4,experimental,16.762495040893555,2.6519508868679704,0.028734708647122624,0.04282668101639502,0.0,0.0,0.05356185974102362,0.0034138111343552427,0.04836168544590671,0.07028608090369687,0.0,0.0,0.08927521167919979,0.0057704859773499255
5,experimental,7.905252933502197,2.7453533947502238,0.02528651472415661,0.03734147333680447,0.0,0.0,0.04681640282996399,0.0028591513284549315,0.05634849959540699,0.07785080646194997,0.0,0.0,0.10132732597818103,0.006053424838623841
6,experimental,10.409967422485352,2.8232483152087062,0.0235040041113381,0.0316314427822329,0.0,0.0,0.0420421296865144,0.0027224041151925533,0.05438622737373828,0.0883670325558472,0.0,0.0,0.10450060735811995,0.0059308639839390455
7,experimental,8.008913040161133,2.332099763869137,0.01949314128635489,0.03458639004621432,0.0,0.0,0.039466982668643395,0.0026806463887737468,0.03651758371132371,0.06688532489336478,0.0,0.0,0.07550453739246946,0.005544290842652795
8,experimental,6.747186183929443,2.400905132018232,0.01934147173251498,0.030436698071591897,0.0,0.0,0.03721160831167683,0.0026517874994495447,0.04019486981023204,0.06226893709187643,0.0,0.0,0.0768101939062607,0.005480855830352415
9,experimental,8.884466171264648,2.746156692229414,0.020439026178926626,0.03561195646800587,0.0,0.0,0.04069264574005451,0.0024476412604097545,0.03862106413954366,0.056891728279087506,0.0,0.0,0.07258389946555333,0.005516969988786312
10,experimental,21.30097198486328,2.497626693313484,0.018905333129787018,0.038873380077233434,0.0,0.0,0.040728268379820076,0.0023862452656896876,0.038069991351617594,0.07807823920198521,0.0,0.0,0.08271438181004781,0.005605269116847006
11,experimental,8.46858024597168,2.1742259962995365,0.01744385064778078,0.03275013342909137,0.0,0.0,0.036409738129795734,0.002590820697689852,0.0404486498451225,0.059094830526764536,0.0,0.0,0.07576767263739966,0.005771607071576565
12,experimental,9.674074172973633,2.791602813804997,0.02198477995453875,0.03747320761302877,0.0,0.0,0.043237514065385965,0.002516130399328007,0.043872450825071685,0.04978123281519383,0.0,0.0,0.07439819371850584,0.005635125298354609
13,experimental,6.7906694412231445,2.1434818879587674,0.015305137348370459,0.027431558064954738,0.0,0.0,0.031545600428820035,0.002524683978883383,0.035726654115265856,0.07495073148981973,0.0,0.0,0.07871871668037074,0.005516696811234053
14,experimental,7.883619785308838,1.981959752303751,0.015035488838324531,0.028459422397123277,0.0,0.0,0.03156880626550718,0.0023036062727391222,0.03234657107320303,0.050473658015732746,0.0,0.0,0.06282572924853479,0.005242329045410831
15,experimental,5.978029251098633,1.8352450909020928,0.012822377731660967,0.02517386931825771,0.0,0.0,0.027745901164181793,0.0023365885879202022,0.04081300621346757,0.09042577402865207,0.0,0.0,0.09202723784524237,0.00600134418546837
16,experimental,10.240574836730957,2.262558496322059,0.014837316349299398,0.02811445218980622,0.0,0.0,0.031088987284661165,0.0021944448673851644,0.03495053038515235,0.06419047796585818,0.0,0.0,0.07160922571987052,0.004563455164615453
17,experimental,8.451956748962402,2.091445911281857,0.015185839761799639,0.027946867209518007,0.0,0.0,0.031258136052304715,0.00209886267016454,0.04332119475137974,0.06164603234919477,0.0,0.0,0.07965611665946566,0.005511904957901387
