epoch,stage,train_gradient_norm_max,train_gradient_norm_mean,train_physics_weight_scale,train_pressure,train_pure_vapor_pressure,train_teacher_forced_fugacity,train_temperature,train_total,train_vapor_composition,validation_pressure,validation_pure_vapor_pressure,validation_teacher_forced_fugacity,validation_temperature,validation_total,validation_vapor_composition
1,physics,6.504343032836914,2.4918715170656167,0.5,0.0026530510881410817,0.007029699700699906,0.00146123861106696,0.0,0.007425103974630193,0.0005265837682682869,0.0019767654193760804,0.0011825489523540082,0.0,0.0,0.003371515080914527,0.0008034752437409766
2,physics,7.904902935028076,2.6019762948913887,1.0,0.0020241333962095626,0.0072802717103849085,0.0012309963253743057,0.0,0.0073977792952822155,0.0005025137424140347,0.0017905169939060068,0.0011610306028160267,0.0,0.0,0.0031651242405757933,0.0007940920454350953
3,physics,6.768991470336914,2.4384670127668047,1.0,0.0018896987877282123,0.006216444428816189,0.0011915192837243028,0.0,0.0066689472794926345,0.00047950701205770374,0.0017332374387154272,0.0017935903886900824,0.0,0.0,0.0034145315292626226,0.0007844989303666903
4,physics,5.665669918060303,2.3092623867015214,1.0,0.0018556232289203055,0.006415252815442893,0.0011608661995694337,0.0,0.006697221913522476,0.0004731060885139193,0.00167584941836118,0.000815157539142006,0.0,0.0,0.0028604002418289856,0.000776971994610161
5,physics,9.113733291625977,2.3182612205157227,1.0,0.0017979452195846738,0.006399004718090325,0.0011157943719901032,0.0,0.0065932286857034615,0.0004799867560871088,0.0017447748720729015,0.0013696791877124254,0.0,0.0,0.0032025059395447727,0.0007728914753320013
6,physics,5.880261421203613,2.4428999721218756,1.0,0.0017878780636283941,0.005889689579051719,0.001110228739314683,0.0,0.006306784182587898,0.00046383258300019365,0.0016217204996352903,0.0011356628286878986,0.0,0.0,0.002940072913304597,0.0007505209621816893
7,physics,6.698315143585205,2.2614524474522377,1.0,0.0017358839513785217,0.005848945876192486,0.001081771315339106,0.0,0.006196178525205537,0.0004540502734372412,0.0016235162392796417,0.001145990468521011,0.0,0.0,0.0029593860294200537,0.0007628746123115466
8,physics,5.8746514320373535,1.9250955566589567,1.0,0.0016998047423532558,0.005836291570198972,0.001065240479389595,0.0,0.006138984482770336,0.0004557934468502395,0.001597713368023279,0.0011773046890585811,0.0,0.0,0.00294289200137714,0.0007565261940031833
9,physics,6.40178918838501,2.301113728320389,1.0,0.0016913835450754944,0.0061953641883313905,0.0010595608415262788,0.0,0.006296797160343645,0.0004481706857395395,0.001597399755535046,0.0015451720951073769,0.0,0.0,0.003129630635267617,0.0007596448878299328
10,physics,6.031609535217285,2.333322296580772,1.0,0.0016797159819655467,0.005516775574078548,0.001042703046367098,0.0,0.005928867875620651,0.0004480610790340286,0.0016048837253295881,0.0014304988663899547,0.0,0.0,0.0030597840347803954,0.0007396507946367368
