epoch,stage,train_gradient_norm_max,train_gradient_norm_mean,train_physics_weight_scale,train_pressure,train_pure_vapor_pressure,train_teacher_forced_fugacity,train_temperature,train_total,train_vapor_composition,validation_pressure,validation_pure_vapor_pressure,validation_teacher_forced_fugacity,validation_temperature,validation_total,validation_vapor_composition
1,physics,7.879824638366699,2.481540339261949,0.5,0.003342435618092872,0.010386320030396027,0.002064194124592725,0.0,0.010169308704629568,0.0006016160151300186,0.001609437452601408,0.002931459141960043,0.0,0.0,0.003598439243080011,0.0005232721795351129
2,physics,7.887209892272949,2.8719187329514986,1.0,0.002944390473396604,0.010876882667916928,0.0018342656990322321,0.0,0.010792056664259678,0.0005749590303439422,0.0014673934146687759,0.002288845450552505,0.0,0.0,0.003130894263196199,0.000519078216209674
3,physics,6.549412727355957,2.800554371683409,1.0,0.0028157360430337945,0.010393943751355477,0.0017164164181592994,0.0,0.01029391255173928,0.0005647882148275909,0.001384938490201733,0.0018264684879420261,0.0,0.0,0.002811751319141827,0.0005135785528245516
4,physics,6.982186794281006,2.3329567782891147,1.0,0.0027411145880573444,0.009948230072878612,0.001669274848438259,0.0,0.009931676987528969,0.000547172512088161,0.0014467938219322198,0.0017677553545970895,0.0,0.0,0.0028427826467697596,0.0005121110757205877
5,physics,6.854623317718506,2.5709306807734444,1.0,0.0027103602724297127,0.01054457386072671,0.0016168455503293509,0.0,0.010142412867743974,0.000542920176261207,0.0014862943676981464,0.0018260387433878152,0.0,0.0,0.002910225992716515,0.0005109123289075434
6,physics,8.19168472290039,2.3610916009393317,1.0,0.0026644425644030707,0.01025284621533343,0.001597607969387034,0.0,0.009929333673593983,0.0005408599898501295,0.0014895187755722312,0.0017701536996188151,0.0,0.0,0.0028862925408528516,0.0005116968726118406
7,physics,7.584009170532227,2.6416713447285187,1.0,0.002665400312547552,0.009469092668144831,0.0016081139442472117,0.0,0.009534958862448107,0.0005268981657611972,0.0014986798042125667,0.001994200855312841,0.0,0.0,0.0030138833397322924,0.000518103082379354
8,physics,6.815591335296631,2.4081231814765127,1.0,0.0026208490511785126,0.009872915094132611,0.0015529642352476109,0.0,0.009633770483168113,0.0005234996096902624,0.0013991477493826875,0.001771960048403461,0.0,0.0,0.002790777640537688,0.0005056499370341351
9,physics,4.906771659851074,2.0790963225349066,1.0,0.002593603985133299,0.00944698733439086,0.0015270165398727385,0.0,0.009369840586486511,0.0005257263314605385,0.001426811435431316,0.0020311126086990632,0.0,0.0,0.002943686228152828,0.0005013184524627764
10,physics,5.969751834869385,2.4449472469763607,1.0,0.002572535278748897,0.009614691930676161,0.0015497302925663054,0.0,0.009440507801885031,0.0005108962610098553,0.0013370489659927675,0.002275426365870667,0.0,0.0,0.0029707449228868854,0.0004959827363120383
