epoch,stage,train_boundary,train_chemical_bias,train_continuity,train_gradient_norm_max,train_gradient_norm_mean,train_pressure,train_pure_vapor_pressure,train_solver,train_temperature,train_total,train_vapor_composition,validation_boundary,validation_chemical_bias,validation_continuity,validation_pressure,validation_pure_vapor_pressure,validation_solver,validation_temperature,validation_total,validation_vapor_composition
1,experimental,0.0,4.898790264672704e-05,0.0,52.41838836669922,18.110984677772777,0.6626501946309837,1.2937932864124613,0.0,0.0,1.3561817438644839,0.046634909255660356,0.0,6.186351407330461e-05,0.0,0.14192697278776034,0.28101160768977185,0.0,0.0,0.292417083888086,0.009984308144378805
2,experimental,0.0,6.662128207121564e-05,0.0,21.133485794067383,9.512633698704311,0.13901283766385772,0.24209969585196836,0.0,0.0,0.272756926929856,0.012694241007251581,0.0,6.859025128135558e-05,0.0,0.09426839068130462,0.17981186883892128,0.0,0.0,0.19155095804281935,0.007376632758159704
3,experimental,0.0,7.42548974037694e-05,0.0,20.63507843017578,8.2060537481426,0.10131776206592291,0.18902891006000933,0.0,0.0,0.2066544911502565,0.010822275736763098,0.0,8.260923482039888e-05,0.0,0.12482528339424533,0.29591496633198444,0.0,0.0,0.2836743680659882,0.01089159864207317
4,experimental,0.0,8.220699531706388e-05,0.0,32.330379486083984,9.44290304898253,0.08743390949292311,0.18357017692588526,0.0,0.0,0.18955451554815425,0.010335517842557936,0.0,8.168773346407685e-05,0.0,0.08554629343087802,0.16240155968123568,0.0,0.0,0.17446524080134437,0.007718168416278002
5,experimental,0.0,8.34683485023396e-05,0.0,19.869808197021484,5.94195128313278,0.06652180792275422,0.16046864181170786,0.0,0.0,0.1564886554992182,0.009732525354845459,0.0,7.806986094240523e-05,0.0,0.08005985600684218,0.13651187462721043,0.0,0.0,0.15743541477504605,0.00911962166749231
6,experimental,0.0,8.902487343913906e-05,0.0,19.768152236938477,6.97572309955017,0.059712751901124905,0.13706699701508182,0.0,0.0,0.13746091215090622,0.009214661207976434,0.0,8.392368220587534e-05,0.0,0.07503187603311624,0.14483214566807548,0.0,0.0,0.15506926371665772,0.007621314749958183
7,experimental,0.0,8.925920557620885e-05,0.0,28.777708053588867,6.739578734031798,0.05595883415055738,0.13273016947724475,0.0,0.0,0.13101327638227336,0.008689357286557639,0.0,9.926760628119579e-05,0.0,0.061306811806684486,0.15993064891792344,0.0,0.0,0.1487894338940432,0.00751729996172254
8,experimental,0.0,9.469154403342734e-05,0.0,18.472450256347656,6.9388774747849755,0.050309001406130885,0.12794216044448045,0.0,0.0,0.12263351092856269,0.008353430425979452,0.0,9.466333553183846e-05,0.0,0.047966067689264605,0.12429608270793618,0.0,0.0,0.11673349115752174,0.006619381840747898
9,experimental,0.0,9.333679506208274e-05,0.0,18.04903793334961,6.8570675917617105,0.044257741726200235,0.11458293847876538,0.0,0.0,0.10919468362411826,0.0076454733476558085,0.0,8.982240487640155e-05,0.0,0.07027364583117163,0.1617711860976533,0.0,0.0,0.1574845489092216,0.006325309594234307
10,experimental,0.0,9.055173473671314e-05,0.0,13.408602714538574,6.70644816318744,0.03463259036316099,0.09936004179635752,0.0,0.0,0.09089106230398353,0.00657845164714819,0.0,8.327103377470445e-05,0.0,0.047608040565412915,0.127111596547201,0.0,0.0,0.11705715673010864,0.005893317620063614
11,experimental,0.0,8.605992899289084e-05,0.0,19.161521911621094,6.639349697374406,0.032615988170180965,0.09322523811808535,0.0,0.0,0.08559857130194294,0.0063699645539086955,0.0,8.265183610119439e-05,0.0,0.05501944910355671,0.16171270130637164,0.0,0.0,0.14246441417423908,0.006588615125469016
12,experimental,0.0,8.222230711825504e-05,0.0,16.277790069580078,7.265924061184767,0.030397957719312182,0.08554275038459112,0.0,0.0,0.07884243074685657,0.005673097521532509,0.0,7.556750443290005e-05,0.0,0.047946752603360995,0.1177191365978675,0.0,0.0,0.11324431043408231,0.006437989384839367
13,experimental,0.0,8.307965171654077e-05,0.0,39.968536376953125,9.962850215147137,0.03142074063047621,0.0843101168628571,0.0,0.0,0.07846958507364331,0.00489378594058827,0.0,7.470955190034081e-05,0.0,0.060256483874278156,0.09786873520491365,0.0,0.0,0.11406098187505129,0.004870129552876164
14,experimental,0.0,8.120791710877333e-05,0.0,26.394550323486328,7.333435137973441,0.02524278751978794,0.07259840768044606,0.0,0.0,0.06603597880760735,0.004493987330407684,0.0,7.248906724358501e-05,0.0,0.03308040338406663,0.05848807217832097,0.0,0.0,0.06647143087567327,0.004146991108549747
15,experimental,0.0,8.385225260244231e-05,0.0,21.850650787353516,7.275701957862639,0.024009241069251785,0.06883559748773015,0.0,0.0,0.06253733798391778,0.004110298473599042,0.0,7.451544456535248e-05,0.0,0.02737775563212212,0.05899680860028295,0.0,0.0,0.06086089301430537,0.003984732995322811
16,experimental,0.0,8.280768587862495e-05,0.0,26.23903465270996,10.985662534675733,0.022853544356040117,0.05785707698306861,0.0,0.0,0.05509269145344429,0.003310608440701739,0.0,7.442593102937308e-05,0.0,0.02316896387203011,0.03819085645104597,0.0,0.0,0.04578743579680334,0.003523043691442755
17,experimental,0.0,8.151469856783558e-05,0.0,28.14646339416504,11.176981174528125,0.02609688182862084,0.0636876839909048,0.0,0.0,0.06116668728198548,0.0032259631563879144,0.0,7.854450616391632e-05,0.0,0.034305295606930096,0.052851454654853504,0.0,0.0,0.06451040840969828,0.003779384257093429
18,experimental,0.0,8.626533913589207e-05,0.0,21.77823257446289,7.646447142493186,0.016833410036292906,0.0490432764004765,0.0,0.0,0.04420317049792491,0.0028481222441975817,0.0,8.007676529204528e-05,0.0,0.021708599620771978,0.035414893755655805,0.0,0.0,0.04227290763826427,0.0028568618691074636
19,experimental,0.0,8.622307646076565e-05,0.0,30.050687789916992,9.079551217828362,0.016395581626440416,0.04510168855340434,0.0,0.0,0.04132059141382104,0.00237416525676961,0.0,8.335668634773862e-05,0.0,0.022139950069838654,0.026693068721337233,0.0,0.0,0.03768275998042015,0.0021962752674488787
20,experimental,0.0,8.632597675340255e-05,0.0,22.848316192626953,8.933595724678511,0.013863499192148545,0.03899121363095913,0.0,0.0,0.03520874500515344,0.001849638824684137,0.0,8.068449345966633e-05,0.0,0.024230197348637496,0.024500815668505822,0.0,0.0,0.03878334640207405,0.0023027413742181782
21,experimental,0.0,8.444354803753074e-05,0.0,41.28617477416992,10.772061757655042,0.01331930349669381,0.037144754676399896,0.0,0.0,0.033783144315262394,0.0018914630045321907,0.0,7.5152301118698e-05,0.0,0.023846870625090458,0.0262626667936405,0.0,0.0,0.03943715145487985,0.0024589477787296215
22,experimental,0.0,8.281355750154652e-05,0.0,27.879100799560547,10.270022388794652,0.014111365925462914,0.03731939480896572,0.0,0.0,0.03452446660803556,0.0017534031598244366,0.0,7.988376874744357e-05,0.0,0.030137449574327756,0.02045048018415531,0.0,0.0,0.04219552333840353,0.0018328330195146406
23,experimental,0.0,8.372725431383774e-05,0.0,40.443077087402344,8.950290706764212,0.012523779237342755,0.032672279153465135,0.0,0.0,0.030370269196370748,0.001510350141746219,0.0,8.183574041875893e-05,0.0,0.0223345644816667,0.017412224751032754,0.0,0.0,0.032877698852987344,0.0018370222846815687
24,experimental,0.0,8.447481659569477e-05,0.0,25.442298889160156,6.899173776526089,0.011037901548798062,0.03207510043509665,0.0,0.0,0.028459489776940804,0.0013840377934283608,0.0,7.749495122994402e-05,0.0,0.01668745535397958,0.011841403795573526,0.0,0.0,0.02435568050888484,0.0017475231656592764
25,experimental,0.0,8.64264145442935e-05,0.0,28.193599700927734,9.06164596222707,0.010296095547557334,0.02780337183304025,0.0,0.0,0.025512445343434383,0.0013146634702579836,0.0,8.723670808447826e-05,0.0,0.015305930402821409,0.01209243707314223,0.0,0.0,0.02290214145790317,0.0015499920283115196
26,experimental,0.0,8.949609666671857e-05,0.0,26.776485443115234,10.903222204854094,0.011717777212947545,0.030590459188150156,0.0,0.0,0.02821016941468018,0.0011971622584570844,0.0,8.860284983303152e-05,0.0,0.015379846345878646,0.009321759650093353,0.0,0.0,0.02175446973589366,0.0017137429409264447
