epoch,stage,train_gradient_norm_max,train_gradient_norm_mean,train_physics_weight_scale,train_pressure,train_pure_vapor_pressure,train_teacher_forced_fugacity,train_temperature,train_total,train_vapor_composition,validation_pressure,validation_pure_vapor_pressure,validation_teacher_forced_fugacity,validation_temperature,validation_total,validation_vapor_composition
1,physics,10.512429237365723,1.9889175653954947,0.5,0.001963814325499386,0.005577598417373896,0.001282820199510535,0.0,0.005961647486844405,0.0005676238850131876,0.009971596460829499,0.0011790995636293965,0.0,0.0,0.013017344118286204,0.002456198206111308
2,physics,4.529983997344971,2.1903258875652023,1.0,0.0016076613979627587,0.004575018285854364,0.0010719906599763386,0.0,0.005488474718581827,0.0005213134781159346,0.009718009541111608,0.001137128976043514,0.0,0.0,0.012739429430615517,0.00245285517866573
3,physics,5.429727554321289,1.7492069845626743,1.0,0.0015112741633966018,0.004427711529720021,0.0010177937224898918,0.0,0.005244359800996227,0.0005014361727429681,0.009620748280036834,0.0011432280235733555,0.0,0.0,0.01265090253324278,0.0024585404623580233
4,physics,4.452826499938965,1.8696346348655617,1.0,0.0014755958805367014,0.0044604332291284235,0.0009888782889204636,0.0,0.0051890242006588806,0.0004943333641522011,0.009857877528154722,0.0009801602654499553,0.0,0.0,0.012788227388775476,0.0024402696509114516
5,physics,6.641437530517578,1.799866033916953,1.0,0.001452408194724331,0.004175818560170377,0.0009729916727622156,0.0,0.005004796587151186,0.0004914874265627634,0.009700174733836164,0.0010364778284784606,0.0,0.0,0.012627414898366057,0.0024090008810162544
6,physics,5.25119161605835,1.8978277545478344,1.0,0.00143519883201619,0.004629937934603072,0.0009680998145381494,0.0,0.005194956372800889,0.00047668878636424647,0.009803024230785268,0.0008558437944219638,0.0,0.0,0.012647472782641328,0.002416526663407523
7,physics,14.317156791687012,1.7956664031679224,1.0,0.0013994109516359931,0.004632878990103455,0.0009422266756226625,0.0,0.00514681337431739,0.0004887362248601524,0.009641197860561392,0.0010885031423180974,0.0,0.0,0.012592247456953089,0.002406798092828643
8,physics,14.876823425292969,1.9371168681224389,1.0,0.0014061339282921367,0.004394330744398375,0.0009447804663324387,0.0,0.005017745237315325,0.0004696654734262282,0.00983382054474405,0.0007952789811076976,0.0,0.0,0.012609902789355606,0.0023784424648970685
9,physics,5.728174686431885,1.8370503114285093,1.0,0.0013894961763770998,0.004201027665565773,0.0009310619566288082,0.0,0.00488548618192805,0.0004644142026910353,0.009718220400553878,0.0007740888777138886,0.0,0.0,0.012464251809863634,0.002358986865929378
10,physics,6.2781453132629395,1.7271352493484218,1.0,0.0013707674317453896,0.00405125913096929,0.0009167002861333635,0.0,0.004779204411288191,0.0004661071726349085,0.009939525176280288,0.0007600728797936631,0.0,0.0,0.012723043380725768,0.0024034818984888574
