variant_id,variant,family,benchmark,direction,component_count,observable,system_macro_mae_mean,system_macro_mae_std,available_seeds,parameters_mean,training_seconds_mean,inference_ms_per_attempt_mean,physics_variant,status
p3_no_pure_boundary,P3 No near-pure boundary loss,physics,unseen_mixture,isothermal,,P,16.952078543015563,5.408010633248961,5.0,1780419.0,105.09219274000006,8.739225069509398,P3 w/o near-pure boundary loss,completed
p3_no_pure_boundary,P3 No near-pure boundary loss,physics,unseen_mixture,isothermal,,y,0.070326936914231,0.017760993982513,5.0,1780419.0,105.09219274000006,8.739225069509398,P3 w/o near-pure boundary loss,completed
p3_no_pure_boundary,P3 No near-pure boundary loss,physics,unseen_mixture,isobaric,,T,6.307370316790629,1.8157810665097545,5.0,1780419.0,105.09219274000006,8.739225069509398,P3 w/o near-pure boundary loss,completed
p3_no_pure_boundary,P3 No near-pure boundary loss,physics,unseen_mixture,isobaric,,y,0.068127708510969,0.0136111135564979,5.0,1780419.0,105.09219274000006,8.739225069509398,P3 w/o near-pure boundary loss,completed
p4_no_phase_continuity,P4 No phase-continuity loss,physics,binary,isothermal,2.0,P,14.306489413709883,2.7468583511114257,5.0,1780419.0,101.51104357999994,9.156532404880831,P4 w/o phase-continuity loss,completed
p4_no_phase_continuity,P4 No phase-continuity loss,physics,binary,isothermal,2.0,y,0.0619455782042024,0.023798563843236,5.0,1780419.0,101.51104357999994,9.156532404880831,P4 w/o phase-continuity loss,completed
p4_no_phase_continuity,P4 No phase-continuity loss,physics,binary,isobaric,2.0,T,5.832937408394945,2.1921679004957726,5.0,1780419.0,101.51104357999994,9.156532404880831,P4 w/o phase-continuity loss,completed
p4_no_phase_continuity,P4 No phase-continuity loss,physics,binary,isobaric,2.0,y,0.0606895287405806,0.0181907810086654,5.0,1780419.0,101.51104357999994,9.156532404880831,P4 w/o phase-continuity loss,completed
p4_no_phase_continuity,P4 No phase-continuity loss,physics,ternary,isothermal,3.0,P,3.32630852060765,2.4102169301444136,4.0,1780419.0,101.51104357999994,9.156532404880831,P4 w/o phase-continuity loss,completed
p4_no_phase_continuity,P4 No phase-continuity loss,physics,ternary,isothermal,3.0,y,0.0432167557477871,0.0232465749906456,4.0,1780419.0,101.51104357999994,9.156532404880831,P4 w/o phase-continuity loss,completed
p4_no_phase_continuity,P4 No phase-continuity loss,physics,ternary,isobaric,3.0,T,2.6038226440152306,0.7640870433445484,4.0,1780419.0,101.51104357999994,9.156532404880831,P4 w/o phase-continuity loss,completed
p4_no_phase_continuity,P4 No phase-continuity loss,physics,ternary,isobaric,3.0,y,0.0481886008327242,0.0109855306416435,4.0,1780419.0,101.51104357999994,9.156532404880831,P4 w/o phase-continuity loss,completed
p4_no_phase_continuity,P4 No phase-continuity loss,physics,unseen_mixture,isothermal,,P,13.506731455652844,2.3196303041920934,5.0,1780419.0,101.51104357999994,9.156532404880831,P4 w/o phase-continuity loss,completed
p4_no_phase_continuity,P4 No phase-continuity loss,physics,unseen_mixture,isothermal,,y,0.0605015638898637,0.0235151681466923,5.0,1780419.0,101.51104357999994,9.156532404880831,P4 w/o phase-continuity loss,completed
p4_no_phase_continuity,P4 No phase-continuity loss,physics,unseen_mixture,isobaric,,T,5.630668791169383,2.1101565095089563,5.0,1780419.0,101.51104357999994,9.156532404880831,P4 w/o phase-continuity loss,completed
p4_no_phase_continuity,P4 No phase-continuity loss,physics,unseen_mixture,isobaric,,y,0.0600103864387439,0.0170120507381054,5.0,1780419.0,101.51104357999994,9.156532404880831,P4 w/o phase-continuity loss,completed
p6_no_soft_physics,P6 No soft thermodynamic losses,physics,binary,isothermal,2.0,P,14.80772865383654,3.032470090001496,5.0,1780419.0,87.64270192000004,8.866343782095612,P6 w/o all soft physics losses,completed
p6_no_soft_physics,P6 No soft thermodynamic losses,physics,binary,isothermal,2.0,y,0.0618187711823749,0.0238233238141621,5.0,1780419.0,87.64270192000004,8.866343782095612,P6 w/o all soft physics losses,completed
p6_no_soft_physics,P6 No soft thermodynamic losses,physics,binary,isobaric,2.0,T,5.906467753862029,2.1463386961931867,5.0,1780419.0,87.64270192000004,8.866343782095612,P6 w/o all soft physics losses,completed
p6_no_soft_physics,P6 No soft thermodynamic losses,physics,binary,isobaric,2.0,y,0.0610655556723127,0.0180676462058273,5.0,1780419.0,87.64270192000004,8.866343782095612,P6 w/o all soft physics losses,completed
p6_no_soft_physics,P6 No soft thermodynamic losses,physics,ternary,isothermal,3.0,P,3.4672551773918414,2.3015489091737256,4.0,1780419.0,87.64270192000004,8.866343782095612,P6 w/o all soft physics losses,completed
p6_no_soft_physics,P6 No soft thermodynamic losses,physics,ternary,isothermal,3.0,y,0.0428938672909005,0.0235736692335942,4.0,1780419.0,87.64270192000004,8.866343782095612,P6 w/o all soft physics losses,completed
p6_no_soft_physics,P6 No soft thermodynamic losses,physics,ternary,isobaric,3.0,T,2.636254963499283,0.6892098681504929,4.0,1780419.0,87.64270192000004,8.866343782095612,P6 w/o all soft physics losses,completed
p6_no_soft_physics,P6 No soft thermodynamic losses,physics,ternary,isobaric,3.0,y,0.0458742840111937,0.0153173455914669,4.0,1780419.0,87.64270192000004,8.866343782095612,P6 w/o all soft physics losses,completed
p6_no_soft_physics,P6 No soft thermodynamic losses,physics,unseen_mixture,isothermal,,P,13.991538348349849,2.692707491370089,5.0,1780419.0,87.64270192000004,8.866343782095612,P6 w/o all soft physics losses,completed
p6_no_soft_physics,P6 No soft thermodynamic losses,physics,unseen_mixture,isothermal,,y,0.0603688114271769,0.0235421149472874,5.0,1780419.0,87.64270192000004,8.866343782095612,P6 w/o all soft physics losses,completed
p6_no_soft_physics,P6 No soft thermodynamic losses,physics,unseen_mixture,isobaric,,T,5.699996974089435,2.062475067925606,5.0,1780419.0,87.64270192000004,8.866343782095612,P6 w/o all soft physics losses,completed
p6_no_soft_physics,P6 No soft thermodynamic losses,physics,unseen_mixture,isobaric,,y,0.0601919224637067,0.0169271149033071,5.0,1780419.0,87.64270192000004,8.866343782095612,P6 w/o all soft physics losses,completed
p1_gibbs_duhem,,,,,,,,,,,,,P1 w/o Gibbs-Duhem only,not_applicable_hard_constraint
p2_composition_conservation,,,,,,,,,,,,,P2 w/o composition conservation,not_applicable_hard_constraint
p5_permutation_consistency,,,,,,,,,,,,,P5 w/o permutation consistency,not_applicable_hard_constraint
