variant_id,variant,family,benchmark,direction,component_count,observable,system_macro_mae_mean,system_macro_mae_std,available_seeds,parameters_mean,training_seconds_mean,inference_ms_per_attempt_mean
a3_pairwise_only,A3 Pairwise-only interaction,architecture,ternary,isothermal,3.0,y,0.0961396727905841,0.0446274534261239,4,445635.0,73.50086648,7.332294559955448
a3_pairwise_only,A3 Pairwise-only interaction,architecture,ternary,isobaric,3.0,T,4.525296929867964,2.118901318513549,4,445635.0,73.50086648,7.332294559955448
a3_pairwise_only,A3 Pairwise-only interaction,architecture,ternary,isobaric,3.0,y,0.059749659176141,0.0317486472834715,4,445635.0,73.50086648,7.332294559955448
a3_pairwise_only,A3 Pairwise-only interaction,architecture,unseen_mixture,isothermal,,P,21.146538007121222,7.909683224153395,5,445635.0,73.50086648,7.332294559955448
a3_pairwise_only,A3 Pairwise-only interaction,architecture,unseen_mixture,isothermal,,y,0.0813305897588584,0.0228997122369081,5,445635.0,73.50086648,7.332294559955448
a3_pairwise_only,A3 Pairwise-only interaction,architecture,unseen_mixture,isobaric,,T,9.64438106504756,4.409523546090977,5,445635.0,73.50086648,7.332294559955448
a3_pairwise_only,A3 Pairwise-only interaction,architecture,unseen_mixture,isobaric,,y,0.0901608321952275,0.027094622342808,5,445635.0,73.50086648,7.332294559955448
a3_pairwise_only,A3 Pairwise-only interaction,architecture,unseen_component,isothermal,,P,51.90671116776612,1.6625259986387877,5,445635.0,94.75625254000002,7.768245236864731
a3_pairwise_only,A3 Pairwise-only interaction,architecture,unseen_component,isothermal,,y,0.0862258652947591,0.0216865724162088,5,445635.0,94.75625254000002,7.768245236864731
a3_pairwise_only,A3 Pairwise-only interaction,architecture,unseen_component,isobaric,,T,34.42028356305988,6.036730036946258,5,445635.0,94.75625254000002,7.768245236864731
a3_pairwise_only,A3 Pairwise-only interaction,architecture,unseen_component,isobaric,,y,0.1124143464447322,0.0094710918838868,5,445635.0,94.75625254000002,7.768245236864731
a3_pairwise_only,A3 Pairwise-only interaction,architecture,binary_to_ternary,isothermal,,P,8.301582064616738,5.514570386285034,5,445635.0,83.33494992000001,11.03962180722855
a3_pairwise_only,A3 Pairwise-only interaction,architecture,binary_to_ternary,isothermal,,y,0.0690994106187763,0.0551451163877013,5,445635.0,83.33494992000001,11.03962180722855
a3_pairwise_only,A3 Pairwise-only interaction,architecture,binary_to_ternary,isobaric,,T,6.220208869124375,4.705107089201651,5,445635.0,83.33494992000001,11.03962180722855
a3_pairwise_only,A3 Pairwise-only interaction,architecture,binary_to_ternary,isobaric,,y,0.0905693410880668,0.033140086347751,5,445635.0,83.33494992000001,11.03962180722855
a4_condition_concatenation,A4 Condition concatenation,architecture,binary,isothermal,2.0,P,27.592397459586465,25.1559817495637,5,1743747.0,108.16607054,8.477444968697586
a4_condition_concatenation,A4 Condition concatenation,architecture,binary,isothermal,2.0,y,0.0742438435733005,0.0329505900856277,5,1743747.0,108.16607054,8.477444968697586
a4_condition_concatenation,A4 Condition concatenation,architecture,binary,isobaric,2.0,T,8.02937515909056,4.3948049319830815,5,1743747.0,108.16607054,8.477444968697586
a4_condition_concatenation,A4 Condition concatenation,architecture,binary,isobaric,2.0,y,0.0855636113154125,0.0253794829563204,5,1743747.0,108.16607054,8.477444968697586
a4_condition_concatenation,A4 Condition concatenation,architecture,ternary,isothermal,3.0,P,3.7037221061807344,0.4441074187738512,4,1743747.0,108.16607054,8.477444968697586
a4_condition_concatenation,A4 Condition concatenation,architecture,ternary,isothermal,3.0,y,0.0539515083565554,0.0086151365587494,4,1743747.0,108.16607054,8.477444968697586
a4_condition_concatenation,A4 Condition concatenation,architecture,ternary,isobaric,3.0,T,8.15872493866737,4.992083063356173,4,1743747.0,108.16607054,8.477444968697586
a4_condition_concatenation,A4 Condition concatenation,architecture,ternary,isobaric,3.0,y,0.0799376801589676,0.039238816036405,4,1743747.0,108.16607054,8.477444968697586
a4_condition_concatenation,A4 Condition concatenation,architecture,unseen_mixture,isothermal,,P,26.546214899259866,25.414164711940984,5,1743747.0,108.16607054,8.477444968697586
a4_condition_concatenation,A4 Condition concatenation,architecture,unseen_mixture,isothermal,,y,0.07379277859431,0.0329513384758724,5,1743747.0,108.16607054,8.477444968697586
a4_condition_concatenation,A4 Condition concatenation,architecture,unseen_mixture,isobaric,,T,7.941577877029505,4.147971182601569,5,1743747.0,108.16607054,8.477444968697586
a4_condition_concatenation,A4 Condition concatenation,architecture,unseen_mixture,isobaric,,y,0.0851048872178281,0.0254428237836628,5,1743747.0,108.16607054,8.477444968697586
a5_direct_activity,A5 Direct activity decoding,architecture,binary,isothermal,2.0,P,17.833274529607856,7.861587200243297,5,1743555.0,84.84006166000009,4.6764328092054495
a5_direct_activity,A5 Direct activity decoding,architecture,binary,isothermal,2.0,y,0.0552371382052714,0.0089520562100216,5,1743555.0,84.84006166000009,4.6764328092054495
a5_direct_activity,A5 Direct activity decoding,architecture,binary,isobaric,2.0,T,5.786257485647606,1.106747840492273,5,1743555.0,84.84006166000009,4.6764328092054495
a5_direct_activity,A5 Direct activity decoding,architecture,binary,isobaric,2.0,y,0.0556958198828412,0.0124736387296684,5,1743555.0,84.84006166000009,4.6764328092054495
a5_direct_activity,A5 Direct activity decoding,architecture,ternary,isothermal,3.0,P,5.636189349818623,3.2531654727495765,4,1743555.0,84.84006166000009,4.6764328092054495
a5_direct_activity,A5 Direct activity decoding,architecture,ternary,isothermal,3.0,y,0.0424045156682807,0.0120127576330744,4,1743555.0,84.84006166000009,4.6764328092054495
a5_direct_activity,A5 Direct activity decoding,architecture,ternary,isobaric,3.0,T,3.452097455162836,1.3796208487276602,4,1743555.0,84.84006166000009,4.6764328092054495
a5_direct_activity,A5 Direct activity decoding,architecture,ternary,isobaric,3.0,y,0.0501529223144763,0.0235276865936428,4,1743555.0,84.84006166000009,4.6764328092054495
a5_direct_activity,A5 Direct activity decoding,architecture,unseen_mixture,isothermal,,P,16.869575021449567,6.660063701367336,5,1743555.0,84.84006166000009,4.6764328092054495
a5_direct_activity,A5 Direct activity decoding,architecture,unseen_mixture,isothermal,,y,0.0541605799660037,0.0078047728176837,5,1743555.0,84.84006166000009,4.6764328092054495
a5_direct_activity,A5 Direct activity decoding,architecture,unseen_mixture,isobaric,,T,5.666072259502351,1.0789740351152448,5,1743555.0,84.84006166000009,4.6764328092054495
a5_direct_activity,A5 Direct activity decoding,architecture,unseen_mixture,isobaric,,y,0.0558587299145005,0.0122406044369718,5,1743555.0,84.84006166000009,4.6764328092054495
a6_direct_vle,A6 Direct VLE prediction,architecture,binary,isothermal,2.0,P,30.25143656085366,12.193264685872826,5,1744322.0,83.28107064,0.24624999050687396
a6_direct_vle,A6 Direct VLE prediction,architecture,binary,isothermal,2.0,y,0.0885144733278262,0.0156959531404483,5,1744322.0,83.28107064,0.24624999050687396
a6_direct_vle,A6 Direct VLE prediction,architecture,binary,isobaric,2.0,T,15.992294023717676,3.8612369922017775,5,1744322.0,83.28107064,0.24624999050687396
a6_direct_vle,A6 Direct VLE prediction,architecture,binary,isobaric,2.0,y,0.0892606409809245,0.0084541543791337,5,1744322.0,83.28107064,0.24624999050687396
a6_direct_vle,A6 Direct VLE prediction,architecture,ternary,isothermal,3.0,P,6.916710718380187,1.4291842155850714,4,1744322.0,83.28107064,0.24624999050687396
a6_direct_vle,A6 Direct VLE prediction,architecture,ternary,isothermal,3.0,y,0.0806856707743125,0.0257437261228201,4,1744322.0,83.28107064,0.24624999050687396
a6_direct_vle,A6 Direct VLE prediction,architecture,ternary,isobaric,3.0,T,6.8075735003104,1.284218171993319,4,1744322.0,83.28107064,0.24624999050687396
a6_direct_vle,A6 Direct VLE prediction,architecture,ternary,isobaric,3.0,y,0.0821470321866381,0.021505032339148,4,1744322.0,83.28107064,0.24624999050687396
a6_direct_vle,A6 Direct VLE prediction,architecture,unseen_mixture,isothermal,,P,28.4209724385888,10.171345252185723,5,1744322.0,83.28107064,0.24624999050687396
a6_direct_vle,A6 Direct VLE prediction,architecture,unseen_mixture,isothermal,,y,0.0883342501078136,0.0148442470082729,5,1744322.0,83.28107064,0.24624999050687396
a6_direct_vle,A6 Direct VLE prediction,architecture,unseen_mixture,isobaric,,T,15.375297662913718,3.774829031844052,5,1744322.0,83.28107064,0.24624999050687396
a6_direct_vle,A6 Direct VLE prediction,architecture,unseen_mixture,isobaric,,y,0.0888393507210084,0.0063901695005618,5,1744322.0,83.28107064,0.24624999050687396
a6_direct_vle,A6 Direct VLE prediction,architecture,unseen_component,isothermal,,P,61.65956096780106,3.786019302313735,5,1744322.0,83.72451624000001,0.24511726098193196
a6_direct_vle,A6 Direct VLE prediction,architecture,unseen_component,isothermal,,y,0.1102093688952434,0.0046018863507099,5,1744322.0,83.72451624000001,0.24511726098193196
a6_direct_vle,A6 Direct VLE prediction,architecture,unseen_component,isobaric,,T,61.33657926102643,2.840957253888678,5,1744322.0,83.72451624000001,0.24511726098193196
a6_direct_vle,A6 Direct VLE prediction,architecture,unseen_component,isobaric,,y,0.1132655811336563,0.006721095378704,5,1744322.0,83.72451624000001,0.24511726098193196
a6_direct_vle,A6 Direct VLE prediction,architecture,binary_to_ternary,isothermal,,P,4.959535775697487,2.468288927852725,5,1744322.0,100.54221785999994,0.2713340963855006
a6_direct_vle,A6 Direct VLE prediction,architecture,binary_to_ternary,isothermal,,y,0.0683941048730287,0.0163420761210381,5,1744322.0,100.54221785999994,0.2713340963855006
a6_direct_vle,A6 Direct VLE prediction,architecture,binary_to_ternary,isobaric,,T,10.243264401119635,2.676557456536482,5,1744322.0,100.54221785999994,0.2713340963855006
a6_direct_vle,A6 Direct VLE prediction,architecture,binary_to_ternary,isobaric,,y,0.110376628860584,0.0165852040848764,5,1744322.0,100.54221785999994,0.2713340963855006
