dataset,family_1,family_2,family_pair,unique_systems,total_data_points,median_points_per_system,pair_rank
Binary,halogenated,hydrocarbon,halogenated + hydrocarbon,55,2548,40.0,1
Binary,alcohol,ester,alcohol + ester,39,1302,22.0,2
Binary,halogenated,halogenated,halogenated + halogenated,38,1929,40.0,3
Binary,alcohol,ether,alcohol + ether,36,1080,26.5,4
Binary,alcohol,hydrocarbon,alcohol + hydrocarbon,34,1368,27.0,5
Binary,alcohol,alcohol,alcohol + alcohol,33,722,20.0,6
Binary,ester,hydrocarbon,ester + hydrocarbon,30,957,27.0,7
Binary,hydrocarbon,sulfur-containing,hydrocarbon + sulfur-containing,30,676,18.0,8
Binary,alcohol,other,alcohol + other,29,945,27.0,9
Binary,ether,halogenated,ether + halogenated,27,1021,33.0,10
Binary,aromatic,hydrocarbon,aromatic + hydrocarbon,27,583,15.0,11
Binary,hydrocarbon,other,hydrocarbon + other,19,735,26.0,12
Binary,alcohol,water,alcohol + water,16,757,38.5,13
Binary,halogenated,other,halogenated + other,16,576,30.0,14
Binary,ester,ester,ester + ester,14,449,32.0,15
Binary,alcohol,aromatic,alcohol + aromatic,14,301,23.0,16
Binary,alcohol,amide,alcohol + amide,12,218,16.5,17
Binary,alcohol,ketone,alcohol + ketone,11,470,38.0,18
Binary,hydrocarbon,hydrocarbon,hydrocarbon + hydrocarbon,11,390,21.0,19
Binary,aromatic,sulfur-containing,aromatic + sulfur-containing,11,151,12.0,20
Binary,alcohol,halogenated,alcohol + halogenated,10,146,14.5,21
Binary,ether,hydrocarbon,ether + hydrocarbon,9,322,33.0,22
Binary,other,other,other + other,8,469,47.5,23
Binary,amine,halogenated,amine + halogenated,8,365,44.5,24
Binary,ester,other,ester + other,8,296,36.5,25
Binary,aromatic,aromatic,aromatic + aromatic,8,229,22.5,26
Binary,alcohol,sulfur-containing,alcohol + sulfur-containing,8,148,18.5,27
Binary,alcohol,unresolved,alcohol + unresolved,7,139,24.0,28
Binary,hydrocarbon,ketone,hydrocarbon + ketone,6,221,39.0,29
Binary,hydrocarbon,unresolved,hydrocarbon + unresolved,6,209,20.0,30
Binary,ester,sulfur-containing,ester + sulfur-containing,6,119,18.0,31
Binary,halogenated,ketone,halogenated + ketone,5,182,39.0,32
Binary,ester,ether,ester + ether,5,119,16.0,33
Binary,ester,unresolved,ester + unresolved,5,40,7.0,34
Binary,acid,alcohol,acid + alcohol,4,200,50.0,35
Binary,aromatic,halogenated,aromatic + halogenated,4,148,37.0,36
Binary,other,sulfur-containing,other + sulfur-containing,4,138,32.5,37
Binary,amine,hydrocarbon,amine + hydrocarbon,4,96,24.5,38
Binary,acid,amide,acid + amide,4,85,20.5,39
Binary,acid,acid,acid + acid,4,65,11.0,40
Binary,amide,aromatic,amide + aromatic,4,65,16.0,41
Binary,acid,water,acid + water,3,153,48.0,42
Binary,ether,ketone,ether + ketone,3,114,39.0,43
Binary,ether,other,ether + other,3,114,32.0,44
Binary,ester,ketone,ester + ketone,3,102,35.0,45
Binary,other,unresolved,other + unresolved,3,102,26.0,46
Binary,alcohol,amine,alcohol + amine,3,99,16.0,47
Binary,ether,sulfur-containing,ether + sulfur-containing,3,89,28.0,48
Binary,aromatic,ether,aromatic + ether,3,85,14.0,49
Binary,acid,ester,acid + ester,3,84,26.0,50
Binary,amide,ester,amide + ester,3,66,21.0,51
Binary,amide,halogenated,amide + halogenated,3,35,11.0,52
Binary,halogenated,unresolved,halogenated + unresolved,2,115,57.5,53
Binary,amine,water,amine + water,2,86,43.0,54
Binary,acid,ketone,acid + ketone,2,72,36.0,55
Binary,amine,amine,amine + amine,2,65,32.5,56
Binary,aromatic,unresolved,aromatic + unresolved,2,61,30.5,57
Binary,acid,unresolved,acid + unresolved,2,60,30.0,58
Binary,amide,sulfur-containing,amide + sulfur-containing,2,56,28.0,59
Binary,ketone,other,ketone + other,2,55,27.5,60
Binary,aromatic,ester,aromatic + ester,2,44,22.0,61
Binary,acid,halogenated,acid + halogenated,2,34,17.0,62
Binary,aromatic,ketone,aromatic + ketone,2,33,16.5,63
Binary,aromatic,other,aromatic + other,1,53,53.0,64
Binary,unresolved,water,unresolved + water,1,42,42.0,65
Binary,acid,hydrocarbon,acid + hydrocarbon,1,33,33.0,66
Binary,ester,water,ester + water,1,28,28.0,67
Binary,ether,water,ether + water,1,27,27.0,68
Binary,other,water,other + water,1,23,23.0,69
Binary,amine,ketone,amine + ketone,1,22,22.0,70
Binary,amide,amine,amide + amine,1,21,21.0,71
Binary,amide,amide,amide + amide,1,20,20.0,72
Binary,ketone,unresolved,ketone + unresolved,1,19,19.0,73
Binary,amine,aromatic,amine + aromatic,1,18,18.0,74
