model,training_scope,evaluation_scope,direction,component_count,status,valid_seeds,seed_count,state_metric,state_mae_mean,state_mae_sample_std,state_rmse_mean,state_rmse_sample_std,state_r2_mean,state_r2_sample_std,y_mae_mean,y_mae_sample_std,y_rmse_mean,y_rmse_sample_std,y_r2_mean,y_r2_sample_std,coverage_mean,coverage_sample_std,solver_failure_rate_mean,solver_failure_rate_sample_std,source
UALF-GNN,binary,binary,isobaric,2,evaluated,5,5,T_K,21.289585176073565,1.861113443493901,26.380266624283905,1.6898242946941593,0.06138625314522363,0.19071026100265873,0.1323702319219433,0.017921087701196492,0.1672647470639656,0.021327126880241704,0.706446574145024,0.06564449462766005,1.0,0.0,,,results/benchmarks/vle/comparison/v1/machine_learning/ualf_gnn.on.binary_train_binary_test/metrics_summary.csv
UALF-GNN,binary,binary,isothermal,2,not_applicable_native_direction_isobaric_only,0,5,P_kPa,,,,,,,,,,,,,,,,,src/thermoformer/baselines/machine_learning/schema.py:96
HANNA official,external,joint,isobaric,2+3,evaluated,5,5,T_K,5.894845323330392,1.7355646009114594,17.602389091611535,6.736104744777983,0.5475874466836897,0.31679375601135773,0.06394465208271413,0.017195240975390418,0.14075532884934758,0.028284172835145466,0.7880514327222358,0.08109681765417552,0.9521503554562745,0.029144672356001267,0.0478496445437255,0.02914467235600129,results/benchmarks/vle/comparison/v1/machine_learning/hanna.on.official_pretrained_to_joint_test/metrics_summary.csv
HANNA official,external,joint,isothermal,2+3,evaluated,5,5,P_kPa,6.729912797768947,4.57426059723812,25.557044718177366,25.398085264025916,0.9221755786637843,0.14713413796543856,0.016022261925942784,0.005604497962955706,0.03672825172749165,0.018665482550509177,0.9841323367978033,0.019065784663357507,1.0,0.0,0.0,0.0,results/benchmarks/vle/comparison/v1/machine_learning/hanna.on.official_pretrained_to_joint_test/metrics_summary.csv
HANNA official,external,joint,isobaric,3,evaluated,5,5,T_K,11.579066241259056,11.977445003632118,18.983395409046796,13.87497882412484,-10.92681761845896,23.71044623500286,0.13980821860571443,0.13757525101109555,0.20221537771380893,0.1398539406471379,0.3749810563850387,0.6834534980836695,0.814439836266722,0.1817824262672436,0.185560163733278,0.18178242626724356,results/benchmarks/vle/comparison/v1/machine_learning/hanna.on.official_pretrained_to_joint_test/metrics_summary.csv
HANNA official,external,joint,isothermal,3,evaluated_partial_seeds,4,5,P_kPa,7.764096835218602,13.62268955533222,33.91288339209707,65.51351574347014,-9.423075287617674,20.8362246502989,0.0166952901538978,0.01270503665536626,0.0362129192486436,0.0451646004493851,0.9590579660189169,0.07639575964623165,0.8,0.4472135954999579,0.0,0.0,results/benchmarks/vle/comparison/v1/machine_learning/hanna.on.official_pretrained_to_joint_test/metrics_summary.csv
SPT-NRTL official,external,joint,isobaric,2+3,evaluated,5,5,T_K,7.161332148903966,2.4491633365218908,20.223562625025885,6.834419242925689,0.4094898029837563,0.3151058830259422,0.07281667355508022,0.01871607393840883,0.15438322004567795,0.034086023018436475,0.7424822322507321,0.09534281773626693,0.950737320052219,0.022471751856396594,0.037689369734896096,0.017692861792359793,results/benchmarks/vle/comparison/v1/machine_learning/spt_nrtl.on.external_fixed_to_joint_test/metrics_summary.csv
SPT-NRTL official,external,joint,isothermal,2+3,evaluated,5,5,P_kPa,5.417549259136483,1.9814686744809829,15.918371360543077,7.642850839013104,0.9822670517712835,0.014840685489245112,0.018611117448442203,0.004467534090761265,0.0356437651206755,0.008161181213895044,0.9874970444229845,0.0069923731771941566,0.9667659538997754,0.03238340222353227,0.0,0.0,results/benchmarks/vle/comparison/v1/machine_learning/spt_nrtl.on.external_fixed_to_joint_test/metrics_summary.csv
SPT-NRTL official,external,joint,isobaric,3,evaluated,5,5,T_K,23.339574257014313,26.413734500870678,37.15291817172381,37.3285108522308,-27.698584082828585,51.39519249703191,0.170257141008254,0.1534768461684489,0.2523736508609681,0.16665210329778785,-0.06640814681753433,1.1099021601574903,0.913161562205423,0.06275831796859317,0.08683843779457702,0.0627583179685932,results/benchmarks/vle/comparison/v1/machine_learning/spt_nrtl.on.external_fixed_to_joint_test/metrics_summary.csv
SPT-NRTL official,external,joint,isothermal,3,evaluated_partial_seeds,3,5,P_kPa,1.9146488194473743,0.6410715585700678,2.7982318945476856,1.0910692316982773,0.9721174256702257,0.020168144576431415,0.016128501230381568,0.008098930241049598,0.02643020720343998,0.017460596950914904,0.9856538485269343,0.01351129316756975,0.6,0.5477225575051662,0.0,0.0,results/benchmarks/vle/comparison/v1/machine_learning/spt_nrtl.on.external_fixed_to_joint_test/metrics_summary.csv
