protocol,extrapolation_axis,distance_unit,distance_bin,samples,distance_mean,distance_min,distance_max,normalized_distance_mean,pressure_mae_kpa,temperature_mae_k,y_mae
state_composition_edge_extrapolation,composition_edge,mole_fraction,0,771,0.02432124513618678,0.00011899999999999999,0.0525,0.06784558104762788,6.620183242798028,3.975747337260323,0.026670488521041508
state_composition_edge_extrapolation,composition_edge,mole_fraction,1,771,0.05538119325551232,0.021199999999999997,0.0737,0.14926227048398583,18.52934202719397,5.875949620823405,0.027603221284224
state_composition_edge_extrapolation,composition_edge,mole_fraction,2,771,0.06870505836575874,0.028999999999999998,0.097,0.21012553800920933,5.729807126708994,5.592411163184062,0.036742243917987076
state_composition_edge_extrapolation,composition_edge,mole_fraction,3,771,0.09506964980544746,0.022499999999999992,0.12539999999999996,0.2941825112782063,8.408945689628322,6.54166896446079,0.034069251962172496
state_composition_edge_extrapolation,composition_edge,mole_fraction,4,771,0.14546666666666666,0.024999999999999994,0.244,0.5847687224467102,8.966097298215173,6.573213019622986,0.03223826265205527
state_temperature_low_extrapolation,temperature_low,K,0,548,1.0027189781021892,0.17000000000001592,6.279999999999973,0.03801081082516763,,1.9441577861256856,0.03510848200134273
state_temperature_low_extrapolation,temperature_low,K,1,548,2.5654744525547426,0.4000000000000341,12.519999999999982,0.11028441221796421,7.359148726709362,3.1069610222562467,0.021125947359162976
state_temperature_low_extrapolation,temperature_low,K,2,548,5.537354014598542,0.5,19.600000000000023,0.18344568240587195,,2.951259471587025,0.026918538249996054
state_temperature_low_extrapolation,temperature_low,K,3,548,10.620310218978101,2.3000000000000114,26.089999999999975,0.30830346186672486,,3.4355789630082443,0.02615912098817636
state_temperature_low_extrapolation,temperature_low,K,4,548,19.227609489051083,0.029999999999972715,44.64999999999998,1.8386146529069411,7.16934519910652,4.084190749905941,0.04473811927170484
state_temperature_high_extrapolation,temperature_high,K,0,514,5.177684824902723,0.040000000000020464,16.159999999999968,0.16754423790902423,7.5901674996077535,4.92305500502671,0.04850613159901303
state_temperature_high_extrapolation,temperature_high,K,1,514,10.328929961089496,0.3100000000000023,23.310000000000002,0.43305641406167233,,5.743393255448994,0.04537393011273296
state_temperature_high_extrapolation,temperature_high,K,2,514,17.879085603112834,0.5099999999999909,54.20999999999992,0.6680217038226933,54.953475740088095,5.65085936656196,0.04898447134137256
state_temperature_high_extrapolation,temperature_high,K,3,514,14.518093385214012,0.029999999999972715,53.48000000000002,1.1530462118829017,2.5185118129959645,4.799728197593144,0.05643008415879024
state_temperature_high_extrapolation,temperature_high,K,4,514,19.658560311284052,4.300000000000011,61.10000000000002,5.164961180236843,70.35083153640785,4.478439170609976,0.05808102320506481
state_pressure_low_extrapolation,pressure_low,kPa,0,344,7.5869515791795346,0.11999013119999802,44.870042917503994,0.08792420545864449,4.096097247754346,,0.08967744890432075
state_pressure_low_extrapolation,pressure_low,kPa,1,344,12.236376930928,2.794970122752,73.948984601984,0.18432027815285434,2.528024200231845,6.190840516701715,0.06766294070109509
state_pressure_low_extrapolation,pressure_low,kPa,2,344,39.34656736053321,2.6989780177919993,80.508978397056,0.2369512772421565,3.2192083441251493,11.458202643595945,0.0743952594768283
state_pressure_low_extrapolation,pressure_low,kPa,3,344,26.84565288463665,2.1000939407360004,113.49999832576002,0.32780050780004616,5.794991626471487,,0.05474510339052785
state_pressure_low_extrapolation,pressure_low,kPa,4,344,64.47893402563425,4.404971038719998,182.40006485158403,0.7345152751319197,4.990114369145749,4.808263346354163,0.06291852939436068
state_pressure_high_extrapolation,pressure_high,kPa,0,354,12.47714592318445,0.7499383200000018,92.89995927897598,0.22565332355074935,10.47920088331947,2.5077467490748346,0.04718252054412556
state_pressure_high_extrapolation,pressure_high,kPa,1,354,21.34489868844366,2.399935946368,128.79993995507198,0.44135850228637025,12.975335551825545,,0.03532426091028108
state_pressure_high_extrapolation,pressure_high,kPa,2,354,32.43717244885188,7.1099485630720025,113.20002299776002,0.6534104383904551,16.45208330952585,,0.03644509231311496
state_pressure_high_extrapolation,pressure_high,kPa,3,354,51.3535552439839,7.187008891776003,256.19999504614407,1.037806727438192,17.58027319496331,17.148059082031274,0.04041435251464478
state_pressure_high_extrapolation,pressure_high,kPa,4,354,92.60636346394648,1.3998848640000006,330.700000995072,2.6602466406572174,113.69610366279203,4.7556684171715595,0.0640468080508363
