protocol,test_subset,scope,component_count,direction,subgroup,requested_seeds,scope_available_seeds,scope_seed_ids,pressure_mae_kpa_mean,pressure_mae_kpa_std,pressure_mae_kpa_available_seeds,pressure_mae_kpa_seed_ids,pressure_rmse_kpa_mean,pressure_rmse_kpa_std,pressure_rmse_kpa_available_seeds,pressure_rmse_kpa_seed_ids,pressure_r2_mean,pressure_r2_std,pressure_r2_available_seeds,pressure_r2_seed_ids,pressure_system_macro_mae_kpa_mean,pressure_system_macro_mae_kpa_std,pressure_system_macro_mae_kpa_available_seeds,pressure_system_macro_mae_kpa_seed_ids,temperature_mae_k_mean,temperature_mae_k_std,temperature_mae_k_available_seeds,temperature_mae_k_seed_ids,temperature_rmse_k_mean,temperature_rmse_k_std,temperature_rmse_k_available_seeds,temperature_rmse_k_seed_ids,temperature_r2_mean,temperature_r2_std,temperature_r2_available_seeds,temperature_r2_seed_ids,temperature_system_macro_mae_k_mean,temperature_system_macro_mae_k_std,temperature_system_macro_mae_k_available_seeds,temperature_system_macro_mae_k_seed_ids,y_mae_mean,y_mae_std,y_mae_available_seeds,y_mae_seed_ids,y_rmse_mean,y_rmse_std,y_rmse_available_seeds,y_rmse_seed_ids,y_r2_mean,y_r2_std,y_r2_available_seeds,y_r2_seed_ids,y_system_macro_mae_mean,y_system_macro_mae_std,y_system_macro_mae_available_seeds,y_system_macro_mae_seed_ids,y_component_macro_mae_mean,y_component_macro_mae_std,y_component_macro_mae_available_seeds,y_component_macro_mae_seed_ids,valid_coverage_mean,valid_coverage_std,valid_coverage_available_seeds,valid_coverage_seed_ids,solver_failure_rate_mean,solver_failure_rate_std,solver_failure_rate_available_seeds,solver_failure_rate_seed_ids,nonphysical_rate_mean,nonphysical_rate_std,nonphysical_rate_available_seeds,nonphysical_rate_seed_ids,attempted_samples_mean,attempted_samples_std,attempted_samples_available_seeds,attempted_samples_seed_ids,systems_mean,systems_std,systems_available_seeds,systems_seed_ids,ternary_training_fraction,fraction_label
binary_to_ternary_zero_shot,0%,direction,,isothermal,,5,5,0;1;2;3;4,5.025697156313638,2.9048409789812557,5,0;1;2;3;4,5.862054768727257,3.1227068374195044,5,0;1;2;3;4,0.7485807037234571,0.2873429553514204,5,0;1;2;3;4,5.180422445456939,2.8040279596276547,5,0;1;2;3;4,,,0,,,,0,,,,0,,,,0,,0.0317598076945182,0.0031000858453248,5,0;1;2;3;4,0.0409485629477051,0.0047546318978016,5,0;1;2;3;4,0.9664110439867832,0.0112040477654658,5,0;1;2;3;4,0.0337883532720225,0.0066291528737347,5,0;1;2;3;4,0.0337883532720225,0.0066291528737347,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,77.2,18.32211778152297,5,0;1;2;3;4,1.4,0.5477225575051661,5,0;1;2;3;4,0.0,0%
binary_to_ternary_zero_shot,0%,direction,,isobaric,,5,5,0;1;2;3;4,,,0,,,,0,,,,0,,,,0,,5.583722656353496,2.0811979814858987,5,0;1;2;3;4,6.241664185159446,2.0819306353385136,5,0;1;2;3;4,0.9500149434463466,0.0302936308575287,5,0;1;2;3;4,5.249610130014901,1.6544279259703008,5,0;1;2;3;4,0.0828347817555809,0.0153453060433132,5,0;1;2;3;4,0.1225060420458417,0.0164385374880322,5,0;1;2;3;4,0.7142625308126859,0.0888579174924182,5,0;1;2;3;4,0.0743143564131604,0.0142172803583311,5,0;1;2;3;4,0.0750587952070366,0.0135973611700947,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,88.8,18.32211778152297,5,0;1;2;3;4,2.6,0.5477225575051661,5,0;1;2;3;4,0.0,0%
binary_to_ternary_scale_0.05,5.56%,direction,,isothermal,,5,5,0;1;2;3;4,4.225815721521098,1.5831380313795305,5,0;1;2;3;4,5.074654789189955,1.671329177470085,5,0;1;2;3;4,0.8667208132168052,0.0702724456642392,5,0;1;2;3;4,4.155014434833121,1.5142824005298372,5,0;1;2;3;4,,,0,,,,0,,,,0,,,,0,,0.0358491679713143,0.0074384177287742,5,0;1;2;3;4,0.0489872009917011,0.0116390602303138,5,0;1;2;3;4,0.9516126540533374,0.0201139463581763,5,0;1;2;3;4,0.0364359465152819,0.0076967414666781,5,0;1;2;3;4,0.0364359465152819,0.0076967414666781,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,77.2,18.32211778152297,5,0;1;2;3;4,1.4,0.5477225575051661,5,0;1;2;3;4,0.05555555555555555,5.56%
binary_to_ternary_scale_0.05,5.56%,direction,,isobaric,,5,5,0;1;2;3;4,,,0,,,,0,,,,0,,,,0,,4.98353774395266,2.0959407587798693,5,0;1;2;3;4,6.149475094384657,2.491987415685129,5,0;1;2;3;4,0.9522111270163832,0.0271912701924439,5,0;1;2;3;4,4.74868278111443,1.9405094114633263,5,0;1;2;3;4,0.0840053548650421,0.0135370662733554,5,0;1;2;3;4,0.1214701954139705,0.0133078682568604,5,0;1;2;3;4,0.7179856610268474,0.0828500680379522,5,0;1;2;3;4,0.0741972844058576,0.0148150402237572,5,0;1;2;3;4,0.0755536782008848,0.0151688473702044,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,88.8,18.32211778152297,5,0;1;2;3;4,2.6,0.5477225575051661,5,0;1;2;3;4,0.05555555555555555,5.56%
binary_to_ternary_scale_0.1,10%,direction,,isothermal,,5,5,0;1;2;3;4,4.6773717943931965,3.6988939501728257,5,0;1;2;3;4,5.5123378632282405,4.258765890537621,5,0;1;2;3;4,0.8502207800254155,0.1424692668982278,5,0;1;2;3;4,3.929139825555388,2.572291801349936,5,0;1;2;3;4,,,0,,,,0,,,,0,,,,0,,0.049966389591519,0.0353303079122289,5,0;1;2;3;4,0.0655296748643645,0.0476265415275166,5,0;1;2;3;4,0.8789099937021432,0.1801174663095488,5,0;1;2;3;4,0.0532195869636581,0.044022432566883,5,0;1;2;3;4,0.0532195869636581,0.044022432566883,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,77.2,18.32211778152297,5,0;1;2;3;4,1.4,0.5477225575051661,5,0;1;2;3;4,0.1,10%
binary_to_ternary_scale_0.1,10%,direction,,isobaric,,5,5,0;1;2;3;4,,,0,,,,0,,,,0,,,,0,,7.425014104286582,4.125107847521613,5,0;1;2;3;4,9.20666603617632,5.751406467163109,5,0;1;2;3;4,0.8536926088514833,0.1977525751472538,5,0;1;2;3;4,7.242930404886079,4.649786167423119,5,0;1;2;3;4,0.0882803477428886,0.0247873984782674,5,0;1;2;3;4,0.1296377455502562,0.0204150280832472,5,0;1;2;3;4,0.682845868953377,0.0880386299066261,5,0;1;2;3;4,0.0788920067817322,0.0279973931564182,5,0;1;2;3;4,0.0800450217366421,0.0274401162535419,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,88.8,18.32211778152297,5,0;1;2;3;4,2.6,0.5477225575051661,5,0;1;2;3;4,0.1,10%
binary_to_ternary_scale_0.25,25%,direction,,isothermal,,5,5,0;1;2;3;4,5.10502350708421,3.596396775295647,5,0;1;2;3;4,6.378879312189512,4.366001080246254,5,0;1;2;3;4,0.6788800634407236,0.4695695032296719,5,0;1;2;3;4,5.224490589721436,3.509392008621236,5,0;1;2;3;4,,,0,,,,0,,,,0,,,,0,,0.0497993694991674,0.0133706540595401,5,0;1;2;3;4,0.0636528694098501,0.0169456332601569,5,0;1;2;3;4,0.9122412105617276,0.0492431440325889,5,0;1;2;3;4,0.0503962702457952,0.0134905033443705,5,0;1;2;3;4,0.0503962702457952,0.0134905033443705,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,77.2,18.32211778152297,5,0;1;2;3;4,1.4,0.5477225575051661,5,0;1;2;3;4,0.25,25%
binary_to_ternary_scale_0.25,25%,direction,,isobaric,,5,5,0;1;2;3;4,,,0,,,,0,,,,0,,,,0,,5.3081135788499125,1.082790106387142,5,0;1;2;3;4,6.332553009420577,1.2617481813851985,5,0;1;2;3;4,0.9546701932543432,0.0117894784804454,5,0;1;2;3;4,5.348820741419977,1.3555777975403072,5,0;1;2;3;4,0.0877595042207474,0.0157860380405054,5,0;1;2;3;4,0.1244647517611287,0.012826266557973,5,0;1;2;3;4,0.7019148596812681,0.0855520072416559,5,0;1;2;3;4,0.0798349224426679,0.018121120050118,5,0;1;2;3;4,0.080868497593251,0.0168720911516198,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,88.8,18.32211778152297,5,0;1;2;3;4,2.6,0.5477225575051661,5,0;1;2;3;4,0.25,25%
binary_to_ternary_scale_0.5,50%,direction,,isothermal,,5,5,0;1;2;3;4,5.177417765682861,2.375247573618683,5,0;1;2;3;4,6.351966932439844,2.791750419985901,5,0;1;2;3;4,0.7777974080653711,0.1659287524618781,5,0;1;2;3;4,5.3358414182615,2.5659763264909827,5,0;1;2;3;4,,,0,,,,0,,,,0,,,,0,,0.053215169938536,0.0288459065475921,5,0;1;2;3;4,0.0738477227452178,0.0372494301459738,5,0;1;2;3;4,0.8818020686494161,0.101370587746922,5,0;1;2;3;4,0.0597679889743809,0.0292512121418245,5,0;1;2;3;4,0.0597679889743809,0.0292512121418245,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,77.2,18.32211778152297,5,0;1;2;3;4,1.4,0.5477225575051661,5,0;1;2;3;4,0.5,50%
binary_to_ternary_scale_0.5,50%,direction,,isobaric,,5,5,0;1;2;3;4,,,0,,,,0,,,,0,,,,0,,5.994986589833485,3.1021504160353133,5,0;1;2;3;4,6.862788680549926,3.510393368528485,5,0;1;2;3;4,0.9419192429524856,0.049779010885908,5,0;1;2;3;4,5.462558902451154,2.1552697363258195,5,0;1;2;3;4,0.0923918910971728,0.0244627506240313,5,0;1;2;3;4,0.129417726492522,0.0227579919324554,5,0;1;2;3;4,0.6701558176675908,0.1516680996604339,5,0;1;2;3;4,0.085693086913371,0.0259624079535821,5,0;1;2;3;4,0.0854521558243455,0.0257798698467817,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,88.8,18.32211778152297,5,0;1;2;3;4,2.6,0.5477225575051661,5,0;1;2;3;4,0.5,50%
binary_to_ternary_scale_1,100%,direction,,isothermal,,5,5,0;1;2;3;4,4.524746821850292,2.8761482590110945,5,0;1;2;3;4,5.495520554544173,3.4815212886208484,5,0;1;2;3;4,0.847740380232502,0.1041942775443901,5,0;1;2;3;4,4.088826636555362,1.9186044456087936,5,0;1;2;3;4,,,0,,,,0,,,,0,,,,0,,0.0361226591503844,0.0129098253762087,5,0;1;2;3;4,0.0481148016441228,0.0176597971479271,5,0;1;2;3;4,0.950901546534802,0.0313770251890191,5,0;1;2;3;4,0.0392326900471771,0.0115442807941442,5,0;1;2;3;4,0.0392326900471772,0.0115442807941442,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,77.2,18.32211778152297,5,0;1;2;3;4,1.4,0.5477225575051661,5,0;1;2;3;4,1.0,100%
binary_to_ternary_scale_1,100%,direction,,isobaric,,5,5,0;1;2;3;4,,,0,,,,0,,,,0,,,,0,,5.398707810830185,1.09682374556157,5,0;1;2;3;4,6.239689136973429,0.7631838418910171,5,0;1;2;3;4,0.9551084465131195,0.0124255801869616,5,0;1;2;3;4,5.316112584419932,1.1497497918191368,5,0;1;2;3;4,0.0816532845507618,0.0112509877990114,5,0;1;2;3;4,0.1220032759764571,0.0114282051370093,5,0;1;2;3;4,0.7157071799290765,0.0835833369908622,5,0;1;2;3;4,0.0712812695713452,0.0099377098014506,5,0;1;2;3;4,0.0721406968930476,0.0088377989457447,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,0.0,0.0,5,0;1;2;3;4,88.8,18.32211778152297,5,0;1;2;3;4,2.6,0.5477225575051661,5,0;1;2;3;4,1.0,100%
