attempted_samples,category,component_count,direction,manifest,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,reused_from_main_benchmark,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,variant,variant_id,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
1031,Molecular representation,,isobaric,D:\VLE\VLE\thermoformer_project\results\benchmarks\vle\ablation\joint\formal\three_stage\v1_rdkit_only.on.vle_overall_binary_ternary\seed_0\manifest.json,0.0,0,,,,,,False,direction,0,0.0,,38,1031,1.5925032050857002,0.9909458063546551,2.650682339698057,1.852334652736611,3.1535245933580156,1.0,1031,RDKit descriptors only,v1_rdkit_only,0.0247322945084018,2264,0.023723670207779442,0.9813815523350711,0.0406896784891207,0.02320198243623054,0.025385832884290447,0.046842725426360594
788,Molecular representation,,isothermal,D:\VLE\VLE\thermoformer_project\results\benchmarks\vle\ablation\joint\formal\three_stage\v1_rdkit_only.on.vle_overall_binary_ternary\seed_1\manifest.json,0.0,788,8.246815110336343,0.972471358304413,18.080965869437584,11.857419612400552,23.12490014079059,False,direction,1,0.0,,20,0,,,,,,1.0,788,RDKit descriptors only,v1_rdkit_only,0.02869642376503893,1750,0.025423999871417267,0.977658160470989,0.04577957569346257,0.026788160891738213,0.030184641663966238,0.0527222968475239
960,Molecular representation,,isobaric,D:\VLE\VLE\thermoformer_project\results\benchmarks\vle\ablation\joint\formal\three_stage\v1_rdkit_only.on.vle_overall_binary_ternary\seed_1\manifest.json,0.0,0,,,,,,False,direction,1,0.0,,32,960,2.402839120229085,0.9744930765050449,4.24813204487469,2.9958416908855368,4.6752878411553604,1.0,960,RDKit descriptors only,v1_rdkit_only,0.027976439823358835,1979,0.022958130978570534,0.9805089546396146,0.042607297244913,0.022647514887498308,0.03224098524947256,0.05487804393798728
804,Molecular representation,,isothermal,D:\VLE\VLE\thermoformer_project\results\benchmarks\vle\ablation\joint\formal\three_stage\v1_rdkit_only.on.vle_overall_binary_ternary\seed_2\manifest.json,0.0,804,6.370777806360092,0.9843649441918414,17.328427294954558,8.162212737534022,22.123137394005358,False,direction,2,0.0,,26,0,,,,,,1.0,804,RDKit descriptors only,v1_rdkit_only,0.02020804158464514,1695,0.01990410758682958,0.9881929731084662,0.03527549678588222,0.020355244627602898,0.020249921529237876,0.03606505016258007
977,Molecular representation,,isobaric,D:\VLE\VLE\thermoformer_project\results\benchmarks\vle\ablation\joint\formal\three_stage\v1_rdkit_only.on.vle_overall_binary_ternary\seed_2\manifest.json,0.0,0,,,,,,False,direction,2,0.0,,34,977,1.837827699440651,0.9875332569255655,3.2945806684625625,2.4615590176403206,4.67037664670057,1.0,977,RDKit descriptors only,v1_rdkit_only,0.023315506686773745,2084,0.024746154195724693,0.9819409935497829,0.04110003801329721,0.02453017065895029,0.02530488224584871,0.04747128262085073
561,Molecular representation,,isothermal,D:\VLE\VLE\thermoformer_project\results\benchmarks\vle\ablation\joint\formal\three_stage\v1_rdkit_only.on.vle_overall_binary_ternary\seed_3\manifest.json,0.0,561,6.142279141060597,0.9926098156180599,13.401501410573067,7.283708923094755,15.91123588451713,False,direction,3,0.0,,19,0,,,,,,1.0,561,RDKit descriptors only,v1_rdkit_only,0.02260833083144995,1122,0.02060494049656551,0.989789037466072,0.036720949229352734,0.02060494049656551,0.020939421471776624,0.03923246866694919
1251,Molecular representation,,isobaric,D:\VLE\VLE\thermoformer_project\results\benchmarks\vle\ablation\joint\formal\three_stage\v1_rdkit_only.on.vle_overall_binary_ternary\seed_3\manifest.json,0.0,0,,,,,,False,direction,3,0.0,,41,1251,1.737767094917815,0.9840153818887146,2.8349082616441175,1.8926640397084238,3.036750054228893,1.0,1251,RDKit descriptors only,v1_rdkit_only,0.025321589995633192,2764,0.0214160619724306,0.9850466868978669,0.03658075354383018,0.021914091318286852,0.025696552727407618,0.04357465891226906
819,Molecular representation,,isothermal,D:\VLE\VLE\thermoformer_project\results\benchmarks\vle\ablation\joint\formal\three_stage\v1_rdkit_only.on.vle_overall_binary_ternary\seed_4\manifest.json,0.0,819,7.51945845022586,0.9737449439041453,19.455237165530814,5.270227547518154,13.838562574161495,False,direction,4,0.0,,23,0,,,,,,1.0,819,RDKit descriptors only,v1_rdkit_only,0.020017324033968047,1832,0.022081702888237388,0.9851929766332318,0.03795986400039361,0.02183221678384428,0.01987710136771384,0.03604059498067797
926,Molecular representation,,isobaric,D:\VLE\VLE\thermoformer_project\results\benchmarks\vle\ablation\joint\formal\three_stage\v1_rdkit_only.on.vle_overall_binary_ternary\seed_4\manifest.json,0.0,0,,,,,,False,direction,4,0.0,,31,926,2.546955508403076,0.9781681314272987,4.394633874963932,3.3099499079883676,5.536481551694862,1.0,926,RDKit descriptors only,v1_rdkit_only,0.03120156621191561,1887,0.029145272225370434,0.9758176324807821,0.05026492483087808,0.02830928500782289,0.03475236593610723,0.059149719467121886
754,Molecular representation,,isothermal,D:\VLE\VLE\thermoformer_project\results\benchmarks\vle\ablation\joint\formal\three_stage\v4_rdkit_unimol_naive.on.vle_overall_binary_ternary\seed_0\manifest.json,0.0,754,8.710503193098166,0.9624078230531531,23.708507231379432,8.591214395626606,23.961749167443465,False,direction,0,0.0,,25,0,,,,,,1.0,754,RDKit descriptors + Uni-Mol v2,v4_rdkit_unimol_naive,0.026635586843225628,1529,0.023226806451590146,0.9865289886465077,0.04012718236534194,0.023025071836760676,0.023270558180338012,0.04069263871758515
1031,Molecular representation,,isobaric,D:\VLE\VLE\thermoformer_project\results\benchmarks\vle\ablation\joint\formal\three_stage\v4_rdkit_unimol_naive.on.vle_overall_binary_ternary\seed_0\manifest.json,0.0,0,,,,,,False,direction,0,0.0,,38,1031,2.1229279707012316,0.9829589295021752,3.636480238045404,2.8043722089264422,4.834215269500407,1.0,1031,RDKit descriptors + Uni-Mol v2,v4_rdkit_unimol_naive,0.030283219772941072,2264,0.02982747130847899,0.973443444836009,0.04859576168431875,0.029588175358655714,0.032274180782311264,0.054910192046578404
788,Molecular representation,,isothermal,D:\VLE\VLE\thermoformer_project\results\benchmarks\vle\ablation\joint\formal\three_stage\v4_rdkit_unimol_naive.on.vle_overall_binary_ternary\seed_1\manifest.json,0.0,788,8.932367409574924,0.9631868978658704,20.9088642346297,12.156012699458419,24.26784679673066,False,direction,1,0.0,,20,0,,,,,,1.0,788,RDKit descriptors + Uni-Mol v2,v4_rdkit_unimol_naive,0.02792060566450516,1750,0.02468171907425009,0.9768633030974462,0.046586810451097346,0.02638083169502841,0.029151258800067296,0.05293580247780233
960,Molecular representation,,isobaric,D:\VLE\VLE\thermoformer_project\results\benchmarks\vle\ablation\joint\formal\three_stage\v4_rdkit_unimol_naive.on.vle_overall_binary_ternary\seed_1\manifest.json,0.0,0,,,,,,False,direction,1,0.0,,32,960,2.2978563677469883,0.9754028530025597,4.1716833493667504,2.8794941949615804,4.539821894645282,1.0,960,RDKit descriptors + Uni-Mol v2,v4_rdkit_unimol_naive,0.025951042231589228,1979,0.023043787437116048,0.9813818412358348,0.04164230728796895,0.022940954903352927,0.0301363057406492,0.0500790947600711
804,Molecular representation,,isothermal,D:\VLE\VLE\thermoformer_project\results\benchmarks\vle\ablation\joint\formal\three_stage\v4_rdkit_unimol_naive.on.vle_overall_binary_ternary\seed_2\manifest.json,0.0,804,10.584638211513871,0.9384340923256183,34.38583492865684,14.175582805470109,43.007996758674736,False,direction,2,0.0,,26,0,,,,,,1.0,804,RDKit descriptors + Uni-Mol v2,v4_rdkit_unimol_naive,0.025952556268700917,1695,0.0242535831389341,0.9779148032960705,0.048245131925195,0.02486014019277064,0.025003755647803914,0.04983520106041222
977,Molecular representation,,isobaric,D:\VLE\VLE\thermoformer_project\results\benchmarks\vle\ablation\joint\formal\three_stage\v4_rdkit_unimol_naive.on.vle_overall_binary_ternary\seed_2\manifest.json,0.0,0,,,,,,False,direction,2,0.0,,34,977,2.092249224847269,0.9841973242263041,3.7092743472334555,2.9020295011932293,5.837691022156373,1.0,977,RDKit descriptors + Uni-Mol v2,v4_rdkit_unimol_naive,0.026184568775797477,2084,0.027302334984549235,0.9786310289060235,0.04470819153088154,0.027560552675034298,0.02865865705840299,0.05165660049893506
561,Molecular representation,,isothermal,D:\VLE\VLE\thermoformer_project\results\benchmarks\vle\ablation\joint\formal\three_stage\v4_rdkit_unimol_naive.on.vle_overall_binary_ternary\seed_3\manifest.json,0.0,561,6.332813996116108,0.990781829405616,14.9674628866219,7.608698317909216,17.732276641799405,False,direction,3,0.0,,19,0,,,,,,1.0,561,RDKit descriptors + Uni-Mol v2,v4_rdkit_unimol_naive,0.024405434465984588,1122,0.023268435428373944,0.9873189123344259,0.04092218460540836,0.023268435428373944,0.02258819429573418,0.04274344103005864
1251,Molecular representation,,isobaric,D:\VLE\VLE\thermoformer_project\results\benchmarks\vle\ablation\joint\formal\three_stage\v4_rdkit_unimol_naive.on.vle_overall_binary_ternary\seed_3\manifest.json,0.0,0,,,,,,False,direction,3,0.0,,41,1251,1.7987775004605693,0.984083061808152,2.8289003017978165,2.0187243682314846,3.118252677666031,1.0,1251,RDKit descriptors + Uni-Mol v2,v4_rdkit_unimol_naive,0.02634153626850411,2764,0.023994965479552727,0.9834111455458608,0.03852938992012932,0.024249536300659458,0.02774221551589274,0.0459933289332677
819,Molecular representation,,isothermal,D:\VLE\VLE\thermoformer_project\results\benchmarks\vle\ablation\joint\formal\three_stage\v4_rdkit_unimol_naive.on.vle_overall_binary_ternary\seed_4\manifest.json,0.0,819,9.662977743017692,0.9532981077985289,25.94760587074644,5.880460821511453,17.600955721944096,False,direction,4,0.0,,23,0,,,,,,1.0,819,RDKit descriptors + Uni-Mol v2,v4_rdkit_unimol_naive,0.02007352898460041,1832,0.023398828209018514,0.9831246379688346,0.04052446744467978,0.023821661589102112,0.019466941753789622,0.03552699938610512
926,Molecular representation,,isobaric,D:\VLE\VLE\thermoformer_project\results\benchmarks\vle\ablation\joint\formal\three_stage\v4_rdkit_unimol_naive.on.vle_overall_binary_ternary\seed_4\manifest.json,0.0,0,,,,,,False,direction,4,0.0,,31,926,2.700445602779511,0.968954583482707,5.240539398544908,3.5899034750448457,6.802740262108676,1.0,926,RDKit descriptors + Uni-Mol v2,v4_rdkit_unimol_naive,0.03652033267220746,1887,0.03573465147307365,0.9600506944009154,0.06460561220236244,0.03401914914507647,0.03997031191784596,0.07430859359686984
754,Molecular representation,,isothermal,D:\VLE\VLE\thermoformer_project\runs\phase_equilibrium\v1\vle\three\results\thermoformer_vle_three_stage.on.vle_overall_binary_ternary\seed_0\manifest.json,0.0,754,7.234134495205716,0.9770680703351003,18.517219411784183,6.679169359363075,17.35395316272432,True,direction,0,0.0,,25,0,,,,,,1.0,754,Full three-view representation,c1_three_view_vanilla,0.023192716528406182,1529,0.023029786585377097,0.9891158482844872,0.03606914585555721,0.022914413146395154,0.02176840034425154,0.033892983379463816
1031,Molecular representation,,isobaric,D:\VLE\VLE\thermoformer_project\runs\phase_equilibrium\v1\vle\three\results\thermoformer_vle_three_stage.on.vle_overall_binary_ternary\seed_0\manifest.json,0.0,0,,,,,,True,direction,0,0.0,,38,1031,1.8486697473535254,0.988189488751294,3.027381439843882,2.46177409345533,4.185566099685929,1.0,1031,Full three-view representation,c1_three_view_vanilla,0.029221283408976072,2264,0.028909011533401408,0.976203110746034,0.046001566267334086,0.02844669879780243,0.030858140598673468,0.05197513199014213
788,Molecular representation,,isothermal,D:\VLE\VLE\thermoformer_project\runs\phase_equilibrium\v1\vle\three\results\thermoformer_vle_three_stage.on.vle_overall_binary_ternary\seed_1\manifest.json,0.0,788,12.453446877603485,0.9301079440898421,28.80999232788284,17.045390736865357,33.82750769937096,True,direction,1,0.0,,20,0,,,,,,1.0,788,Full three-view representation,c1_three_view_vanilla,0.035067850215409854,1750,0.028781188616166187,0.9661518544759279,0.05634815995837526,0.031033025209338226,0.037340394982144774,0.0674826363740884
960,Molecular representation,,isobaric,D:\VLE\VLE\thermoformer_project\runs\phase_equilibrium\v1\vle\three\results\thermoformer_vle_three_stage.on.vle_overall_binary_ternary\seed_1\manifest.json,0.0,0,,,,,,True,direction,1,0.0,,32,960,2.927083928426107,0.9694330518849931,4.65045030235844,3.759145924452389,5.695990605262959,1.0,960,Full three-view representation,c1_three_view_vanilla,0.039497461703015796,1979,0.03161078025928594,0.9743623227066753,0.04886588383514312,0.03151051657202733,0.04130841481865876,0.06288003209932816
804,Molecular representation,,isothermal,D:\VLE\VLE\thermoformer_project\runs\phase_equilibrium\v1\vle\three\results\thermoformer_vle_three_stage.on.vle_overall_binary_ternary\seed_2\manifest.json,0.0,804,11.798972869707695,0.9302742166693153,36.593683846529785,15.367836143407601,45.8191386797253,True,direction,2,0.0,,26,0,,,,,,1.0,804,Full three-view representation,c1_three_view_vanilla,0.02561243426554325,1695,0.024173063538249766,0.9774499231774044,0.04875025316047004,0.024755850161166333,0.025024130478078572,0.05080309569030788
977,Molecular representation,,isobaric,D:\VLE\VLE\thermoformer_project\runs\phase_equilibrium\v1\vle\three\results\thermoformer_vle_three_stage.on.vle_overall_binary_ternary\seed_2\manifest.json,0.0,0,,,,,,True,direction,2,0.0,,34,977,1.9553210211825085,0.9794301732239665,4.231934705747536,2.96850790818836,6.565847491182686,1.0,977,Full three-view representation,c1_three_view_vanilla,0.02240215498476594,2084,0.022371559683670734,0.9805537556251233,0.04264942364102371,0.022932691206552752,0.02577601078763183,0.05320451470888869
561,Molecular representation,,isothermal,D:\VLE\VLE\thermoformer_project\runs\phase_equilibrium\v1\vle\three\results\thermoformer_vle_three_stage.on.vle_overall_binary_ternary\seed_3\manifest.json,0.0,561,7.702018225525364,0.9863412032343126,18.219314847443886,8.992967586751382,20.494617695707802,True,direction,3,0.0,,19,0,,,,,,1.0,561,Full three-view representation,c1_three_view_vanilla,0.02246587235741432,1122,0.02143140882796524,0.9884704323540819,0.03901998235134308,0.021431408827965244,0.02065765906519639,0.04009821515059892
1251,Molecular representation,,isobaric,D:\VLE\VLE\thermoformer_project\runs\phase_equilibrium\v1\vle\three\results\thermoformer_vle_three_stage.on.vle_overall_binary_ternary\seed_3\manifest.json,0.0,0,,,,,,True,direction,3,0.0,,41,1251,1.667230403177458,0.987631121795124,2.4937506924382404,1.9042869908492526,2.9803927235375176,1.0,1251,Full three-view representation,c1_three_view_vanilla,0.027749135740786256,2764,0.023301728765500705,0.98412295566455,0.03769369939420612,0.023641390610632584,0.028299893801062192,0.04785257717138226
819,Molecular representation,,isothermal,D:\VLE\VLE\thermoformer_project\runs\phase_equilibrium\v1\vle\three\results\thermoformer_vle_three_stage.on.vle_overall_binary_ternary\seed_4\manifest.json,0.0,819,11.403848795728253,0.9281928618319308,32.174652375507875,6.464299157427022,21.416692242962526,True,direction,4,0.0,,23,0,,,,,,1.0,819,Full three-view representation,c1_three_view_vanilla,0.02097748943011851,1832,0.02512528340393234,0.9791326111784028,0.04506348978281544,0.026039483398919046,0.020146920454690354,0.036989971538284955
926,Molecular representation,,isobaric,D:\VLE\VLE\thermoformer_project\runs\phase_equilibrium\v1\vle\three\results\thermoformer_vle_three_stage.on.vle_overall_binary_ternary\seed_4\manifest.json,0.0,0,,,,,,True,direction,4,0.0,,31,926,2.6174601926865373,0.9694195594426823,5.201146825298528,3.4339599555331297,6.7757076459086,1.0,926,Full three-view representation,c1_three_view_vanilla,0.03496866022921582,1887,0.034514781957631406,0.9616487429348617,0.06330025079009045,0.03271015782824954,0.03805746099598205,0.0719175569186829
754,Interaction architecture,,isothermal,D:\VLE\VLE\thermoformer_project\runs\phase_equilibrium\v1\vle\three\results\thermoformer_vle_three_stage.on.vle_overall_binary_ternary\seed_0\manifest.json,0.0,754,7.234134495205716,0.9770680703351003,18.517219411784183,6.679169359363075,17.35395316272432,True,direction,0,0.0,,25,0,,,,,,1.0,754,Vanilla multicomponent Transformer,c1_three_view_vanilla,0.023192716528406182,1529,0.023029786585377097,0.9891158482844872,0.03606914585555721,0.022914413146395154,0.02176840034425154,0.033892983379463816
1031,Interaction architecture,,isobaric,D:\VLE\VLE\thermoformer_project\runs\phase_equilibrium\v1\vle\three\results\thermoformer_vle_three_stage.on.vle_overall_binary_ternary\seed_0\manifest.json,0.0,0,,,,,,True,direction,0,0.0,,38,1031,1.8486697473535254,0.988189488751294,3.027381439843882,2.46177409345533,4.185566099685929,1.0,1031,Vanilla multicomponent Transformer,c1_three_view_vanilla,0.029221283408976072,2264,0.028909011533401408,0.976203110746034,0.046001566267334086,0.02844669879780243,0.030858140598673468,0.05197513199014213
