epoch,stage,train_gradient_norm_max,train_gradient_norm_mean,train_pressure,train_pure_vapor_pressure,train_teacher_forced_fugacity,train_temperature,train_total,train_vapor_composition,validation_pressure,validation_pure_vapor_pressure,validation_teacher_forced_fugacity,validation_temperature,validation_total,validation_vapor_composition
1,experimental,23.542133331298828,6.118958344830644,0.19787434712157456,0.36028289850542833,0.0,0.0,0.3938892325817796,0.015873435651938227,0.03983077873655891,0.010441795885029442,0.0,0.0,0.047603875683144906,0.0025521982094464124
2,experimental,8.856111526489258,2.591178434808311,0.033890664359817864,0.04475882815321053,0.0,0.0,0.06090353937701789,0.004633460810027847,0.02606934254548928,0.009688892208377615,0.0,0.0,0.0328014684676555,0.0018876794009382762
3,experimental,7.41938591003418,2.012910150820133,0.021619109757018598,0.0347004809775739,0.0,0.0,0.042353064307052615,0.0033837140658456465,0.017908920149423344,0.01659954776698479,0.0,0.0,0.028297792693382232,0.0020890978233319727
4,experimental,5.209447383880615,1.908928679012843,0.0202393386510367,0.03117440127419964,0.0,0.0,0.03907689643428588,0.003250357061140581,0.014665193144489871,0.00717044143597451,0.0,0.0,0.019735123001945902,0.00148470935979658
5,experimental,4.208541393280029,2.062372557673487,0.02096241637241019,0.030619364107006188,0.0,0.0,0.03942265432234262,0.003150555694201169,0.013868868864432582,0.0038987786369064827,0.0,0.0,0.01743338457564323,0.0016151266417028228
6,experimental,4.293760299682617,1.6099024360709098,0.0169797566820741,0.027384484050877664,0.0,0.0,0.03345680807215899,0.0027848093110985675,0.026606674241635566,0.020351093622515765,0.0,0.0,0.03859164599587069,0.0018094253953021722
7,experimental,4.89630126953125,1.6076347810252818,0.015616767434282862,0.025878010022935938,0.0,0.0,0.03125817832608602,0.002702405871384375,0.017081943262804097,0.00971247910728638,0.0,0.0,0.023500986419493657,0.0015628036680611335
8,experimental,6.020906448364258,1.52355506508148,0.014228915159327548,0.02517936415837295,0.0,0.0,0.029219736367667278,0.002401139265208361,0.014284418128999861,0.00743308346407368,0.0,0.0,0.019605295323635627,0.0016043362355522082
9,experimental,9.732355117797852,1.9487394979357187,0.016420742538892294,0.028169169206419237,0.0,0.0,0.03328018121258416,0.002774854219771962,0.01630558079744296,0.015371881060853495,0.0,0.0,0.025902205291326405,0.0019106834044408827
10,experimental,4.425982475280762,1.8224417645315156,0.015433979436821751,0.026640314810137206,0.0,0.0,0.031340354230616645,0.0025862175038414174,0.017348937245712643,0.00628033547544394,0.0,0.0,0.022579515570672427,0.002090410563065659
