case_id,component_1_name,component_2_name,component_count,component_smiles_1,component_smiles_2,condition,direction,doi,nrtl_state_mean,nrtl_y_mean,protocol,sample_id,selection_category,system_id,target_pressure_kpa,target_temperature_k,thermoformer_state_mean,thermoformer_state_seed_0,thermoformer_state_seed_1,thermoformer_state_seed_2,thermoformer_state_seed_3,thermoformer_state_seed_4,thermoformer_state_std,thermoformer_y_mean,thermoformer_y_seed_0,thermoformer_y_seed_1,thermoformer_y_seed_2,thermoformer_y_seed_3,thermoformer_y_seed_4,thermoformer_y_std,uniquac_state_mean,uniquac_y_mean,wilson_state_mean,wilson_y_mean,x_1,y_true_1
state_temperature_low_extrapolation:2c_4cc4055379eb0154120e:317.6,butane,diethyl sulfide,2,CCCC,CCSCC,317.6,isothermal,10.1016/j.fluid.2010.01.006,196.9770827925572,0.9394237598619158,state_temperature_low_extrapolation,state_014190c643e730bdc4db00fa,well_predicted,2c_4cc4055379eb0154120e,209.299985753472,nan,206.1473388671875,216.03958129882807,196.1127014160156,203.74301147460935,210.21859741210935,204.622802734375,7.470451055213526,0.9429518103599548,0.9447547793388368,0.9435333013534546,0.9403830170631408,0.9426583647727966,0.9434295892715454,0.0016203325983476487,199.0784948069855,0.9404234517128324,193.9084711226476,0.938092007062438,0.3997,0.9367
state_temperature_low_extrapolation:2c_4cc4055379eb0154120e:317.6,butane,diethyl sulfide,2,CCCC,CCSCC,317.6,isothermal,10.1016/j.fluid.2010.01.006,310.4576505241717,0.9792218251646124,state_temperature_low_extrapolation,state_03392fc8fbc2f11752e02400,well_predicted,2c_4cc4055379eb0154120e,314.899967163392,nan,319.114013671875,331.6620483398437,312.28631591796875,313.83868408203125,318.5350952148437,319.2479248046875,7.6199214513685165,0.9795281887054443,0.9796822667121888,0.9809613227844238,0.9783998727798462,0.9784480333328248,0.9801494479179382,0.0011071820973264175,312.5028803442155,0.979313727279704,308.3991210074004,0.979259812648831,0.6988,0.9735
state_temperature_low_extrapolation:2c_4cc4055379eb0154120e:317.6,butane,diethyl sulfide,2,CCCC,CCSCC,317.6,isothermal,10.1016/j.fluid.2010.01.006,291.8361022304045,0.9746284971363276,state_temperature_low_extrapolation,state_08084d63a2d24a5f0606cb27,well_predicted,2c_4cc4055379eb0154120e,298.000023795712,nan,301.02049560546874,313.01690673828125,293.47930908203125,296.22393798828125,301.78173828125,300.6005859375,7.492432077844062,0.9752915382385254,0.975542426109314,0.9767610430717468,0.9739607572555542,0.9743044376373292,0.9758890271186828,0.0011537685818656732,294.16986796426016,0.9748564891037008,289.36900057754,0.9745238725639158,0.6493,0.9689
state_temperature_low_extrapolation:2c_4cc4055379eb0154120e:317.6,butane,diethyl sulfide,2,CCCC,CCSCC,317.6,isothermal,10.1016/j.fluid.2010.01.006,156.71072186797397,0.9126342624368562,state_temperature_low_extrapolation,state_0de771068811eff6afc42098,well_predicted,2c_4cc4055379eb0154120e,168.699991638272,nan,164.38394775390626,172.76983642578125,154.62771606445312,162.90054321289062,168.23406982421875,163.3875732421875,6.773549231230013,0.9179912447929383,0.9210969805717468,0.9174320101737976,0.9146784543991088,0.9179317951202391,0.9188169836997986,0.0023247740366728583,157.9448025816139,0.9137204931666354,154.43435326564008,0.910825727336384,0.2988,0.9129
state_temperature_low_extrapolation:2c_4cc4055379eb0154120e:317.6,butane,diethyl sulfide,2,CCCC,CCSCC,317.6,isothermal,10.1016/j.fluid.2010.01.006,69.86973759420788,0.7540907430889325,state_temperature_low_extrapolation,state_1db699c966ba9703919b4078,well_predicted,2c_4cc4055379eb0154120e,75.500057031296,nan,72.79486083984375,75.87799072265625,67.22830200195312,72.79962158203125,74.79681396484375,73.27157592773438,3.3439259645054813,0.7672512292861938,0.7745852470397949,0.7600625157356262,0.7606679201126099,0.7677117586135864,0.7732287049293518,0.006796095955090333,69.44896263615708,0.7528058728612157,70.11799655255808,0.7546082923967243,0.1009,0.7689
state_temperature_low_extrapolation:2c_4cc4055379eb0154120e:317.6,butane,diethyl sulfide,2,CCCC,CCSCC,317.6,isothermal,10.1016/j.fluid.2010.01.006,254.45396612978976,0.9636307962068192,state_temperature_low_extrapolation,state_2a49134faaf4a04b6d8422c6,well_predicted,2c_4cc4055379eb0154120e,264.100011961984,nan,264.2447448730469,275.419189453125,255.35491943359372,260.40557861328125,267.0443725585937,262.9996643066406,7.550240830295272,0.9652185559272766,0.96584951877594,0.966568887233734,0.9634507298469543,0.9644915461540222,0.9657320976257324,0.0012388488699514892,257.05880540341445,0.9641778102057302,251.38097777092105,0.9631198383734568,0.5499,0.9585
state_temperature_low_extrapolation:2c_4cc4055379eb0154120e:317.6,butane,diethyl sulfide,2,CCCC,CCSCC,317.6,isothermal,10.1016/j.fluid.2010.01.006,235.56547313583425,0.9568849464875392,state_temperature_low_extrapolation,state_2f4e3df82571e378af4d6cba,well_predicted,2c_4cc4055379eb0154120e,246.699976391936,nan,245.36888427734374,256.17626953125,235.935546875,242.0103454589844,248.83084106445312,243.89141845703125,7.603210894307067,0.9590395450592041,0.9599714279174804,0.9602227807044984,0.957030475139618,0.9584596753120422,0.9595133662223816,0.0013101115996336113,238.12623400196944,0.9575981486529228,232.34986242710696,0.9561187626635536,0.5,0.9523
state_temperature_low_extrapolation:2c_4cc4055379eb0154120e:317.6,butane,diethyl sulfide,2,CCCC,CCSCC,317.6,isothermal,10.1016/j.fluid.2010.01.006,26.87982240512146,0.3016340966788142,state_temperature_low_extrapolation,state_31a63efc42d5632470390c3d,well_predicted,2c_4cc4055379eb0154120e,27.599996656256,nan,27.14820785522461,27.65453338623047,25.43004608154297,27.595951080322266,27.952640533447266,27.10786819458008,1.0071815429111388,0.31833370923995974,0.3239861726760864,0.3063966035842895,0.310241162776947,0.3204151093959808,0.3306294977664947,0.009942997343434177,26.708348094311177,0.2971649519206196,27.114208521775552,0.3076427172073528,0.0148,0.3243
state_temperature_low_extrapolation:2c_4cc4055379eb0154120e:317.6,butane,diethyl sulfide,2,CCCC,CCSCC,317.6,isothermal,10.1016/j.fluid.2010.01.006,176.97660255271254,0.9275746652179616,state_temperature_low_extrapolation,state_37962d7b4121faeb48a115e3,well_predicted,2c_4cc4055379eb0154120e,189.400022461056,nan,185.49429321289062,194.7220458984375,175.46987915039062,183.5609436035156,189.5455322265625,184.17306518554688,7.203060437763098,0.9319479823112488,0.9343443512916564,0.932042121887207,0.9290374517440796,0.931781768798828,0.9325342178344728,0.0019101003738579113,178.68086545251197,0.9286577054460908,174.22632088955856,0.925972523220838,0.349,0.9262
state_temperature_low_extrapolation:2c_4cc4055379eb0154120e:317.6,butane,diethyl sulfide,2,CCCC,CCSCC,317.6,isothermal,10.1016/j.fluid.2010.01.006,423.56002595029616,0.9994988427329946,state_temperature_low_extrapolation,state_4fccf93d5524fb587fe4194d,well_predicted,2c_4cc4055379eb0154120e,422.700034290048,nan,429.28468017578126,446.6761474609375,424.9949951171875,421.2489013671875,420.1929321289063,433.3104248046875,11.003462814703479,0.9994490385055542,0.9994584918022156,0.999521553516388,0.9994176626205444,0.9993438720703124,0.9995036125183104,7.136269989275797e-05,423.5734204872907,0.9994764007263872,423.5475388050022,0.9995214883716652,0.991,0.9991
