case_id,component_1_name,component_2_name,component_3_name,component_count,component_smiles_1,component_smiles_2,component_smiles_3,condition,direction,doi,nrtl_state_mean,nrtl_y_mean_1,nrtl_y_mean_2,nrtl_y_mean_3,protocol,sample_id,selection_category,system_id,target_pressure_kpa,thermoformer_state_mean,thermoformer_state_seed_0,thermoformer_state_seed_1,thermoformer_state_seed_2,thermoformer_state_seed_3,thermoformer_state_seed_4,thermoformer_state_std,thermoformer_y_mean_1,thermoformer_y_mean_2,thermoformer_y_mean_3,thermoformer_y_seed_0_1,thermoformer_y_seed_0_2,thermoformer_y_seed_0_3,thermoformer_y_seed_1_1,thermoformer_y_seed_1_2,thermoformer_y_seed_1_3,thermoformer_y_seed_2_1,thermoformer_y_seed_2_2,thermoformer_y_seed_2_3,thermoformer_y_seed_3_1,thermoformer_y_seed_3_2,thermoformer_y_seed_3_3,thermoformer_y_seed_4_1,thermoformer_y_seed_4_2,thermoformer_y_seed_4_3,thermoformer_y_std_1,thermoformer_y_std_2,thermoformer_y_std_3,uniquac_state_mean,uniquac_y_mean_1,uniquac_y_mean_2,uniquac_y_mean_3,wilson_state_mean,wilson_y_mean_1,wilson_y_mean_2,wilson_y_mean_3,x_1,x_2,x_3,y_true_1,y_true_2,y_true_3
state_temperature_low_extrapolation:3c_a6f39dd395c2cfcf800d:320.0,pinacolone,neopentyl alcohol,2-methoxy-2-methylpropane,3,CC(=O)C(C)(C)C,CC(C)(C)CO,COC(C)(C)C,320.0,isothermal,10.1016/j.fluid.2009.01.016,37.147876637005616,0.154275054689843,0.0271506763161945,0.8185742689939625,state_temperature_low_extrapolation,state_0337b85f2fd4788674f6b44f,well_predicted,3c_a6f39dd395c2cfcf800d,37.080016955264,37.61180572509765,37.77887725830078,38.244117736816406,37.86412811279297,37.24909973144531,36.92280578613281,0.523849815889013,0.1617375522851944,0.0299313589930534,0.8083310723304749,0.159377321600914,0.0299175307154655,0.8107051253318787,0.1634641736745834,0.030312530696392,0.8062232732772827,0.1600235253572464,0.0299437120556831,0.8100327253341675,0.1600096374750137,0.0293789841234684,0.810611367225647,0.1658131033182144,0.030104037374258,0.8040828704833984,0.0027877232838392197,0.0003466163248924952,0.0030092163095040104,nan,nan,nan,nan,37.2074902846632,0.1535049475529038,0.027182300066324,0.8193127523807721,0.4531,0.1705999999999999,0.3763,0.1635,0.0302,0.8063
state_temperature_low_extrapolation:3c_a6f39dd395c2cfcf800d:320.0,pinacolone,neopentyl alcohol,2-methoxy-2-methylpropane,3,CC(=O)C(C)(C)C,CC(C)(C)CO,COC(C)(C)C,320.0,isothermal,10.1016/j.fluid.2009.01.016,25.60184908461756,0.2779769423907707,0.0512536724800998,0.6707693851291292,state_temperature_low_extrapolation,state_06e78eee025cbd323a2358ce,well_predicted,3c_a6f39dd395c2cfcf800d,25.700019589888,25.72531852722168,25.763526916503903,26.41730308532715,25.90571594238281,25.376781463623047,25.163265228271484,0.48739812592672493,0.29016167521476743,0.0551854088902473,0.6546529173851013,0.2873325645923614,0.0551199279725551,0.6575474739074707,0.2887767851352691,0.0563617870211601,0.6548615097999573,0.287139743566513,0.0549887008965015,0.6578715443611145,0.2872659862041473,0.0552759729325771,0.6574580073356628,0.3002932965755462,0.0541806556284427,0.6455260515213013,0.005702820016825894,0.0007817573560807234,0.005242846030401481,nan,nan,nan,nan,25.609338349542867,0.2770311363829336,0.051418240313607,0.6715506233034594,0.5703,0.2223999999999999,0.2073,0.3115,0.0614,0.6271
state_temperature_low_extrapolation:3c_65250b1389afa8bc1bcc:313.15,3-methyl-2-butanone,"2,3-dimethylbutane",diisopropyl ether,3,CC(=O)C(C)C,CC(C)C(C)C,CC(C)OC(C)C,313.15,isothermal,10.1016/j.fluid.2013.01.020,38.90986410230451,0.1439657503090405,0.3787260604589886,0.4773081892319707,state_temperature_low_extrapolation,state_07ccf3788ecf9b5ed9ff260c,high_error,3c_65250b1389afa8bc1bcc,39.159979218432,41.273780059814456,42.43175506591797,41.37486267089844,41.45925521850586,40.67233276367188,40.430694580078125,0.7839095642507239,0.14018248021602625,0.38592901825904846,0.47388850450515746,0.1398622393608093,0.3826260864734649,0.4775117039680481,0.1338393539190292,0.3979620933532715,0.4681985378265381,0.1421456336975097,0.3802191019058227,0.4776352643966675,0.140256643295288,0.389666736125946,0.4700766503810882,0.1448085308074951,0.379171073436737,0.4760203659534454,0.004049617921916242,0.007873178399448897,0.004433299277462498,nan,nan,nan,nan,38.94920775258706,0.1435455883763732,0.3787923659764434,0.4776620456471833,0.3031,0.2153,0.4816,0.1457999999999999,0.3799,0.4743
state_temperature_low_extrapolation:3c_65250b1389afa8bc1bcc:313.15,3-methyl-2-butanone,"2,3-dimethylbutane",diisopropyl ether,3,CC(=O)C(C)C,CC(C)C(C)C,CC(C)OC(C)C,313.15,isothermal,10.1016/j.fluid.2013.01.020,38.02412419331284,0.0591216197206216,0.1478352268387904,0.7930431534405878,state_temperature_low_extrapolation,state_16db4c31f84b2e9d8f7c9e19,high_error,3c_65250b1389afa8bc1bcc,38.190058991232,40.170677185058594,41.28482055664063,40.016387939453125,40.33818054199219,39.463714599609375,39.750282287597656,0.7017310676765629,0.0566866777837276,0.1568101316690445,0.7865031957626343,0.0579521693289279,0.1568348705768585,0.7852129936218262,0.0542619302868843,0.1639273315668106,0.7818107008934021,0.0592320710420608,0.1547384262084961,0.7860295176506042,0.0562733970582485,0.1573054194450378,0.7864212393760681,0.0557138212025165,0.1512446105480194,0.7930415272712708,0.0019414651039645063,0.0046413210738757505,0.004082431762499526,nan,nan,nan,nan,38.0557107006579,0.0591612299851126,0.1481868236416003,0.7926519463732871,0.1022999999999999,0.0897,0.808,0.0598,0.1478,0.7924
state_temperature_low_extrapolation:3c_65250b1389afa8bc1bcc:313.15,3-methyl-2-butanone,"2,3-dimethylbutane",diisopropyl ether,3,CC(=O)C(C)C,CC(C)C(C)C,CC(C)OC(C)C,313.15,isothermal,10.1016/j.fluid.2013.01.020,31.964803935302605,0.2428054379575714,0.1964895038206875,0.560705058221741,state_temperature_low_extrapolation,state_180133ae2af77cf8915aa365,high_error,3c_65250b1389afa8bc1bcc,32.00003476736,33.23938064575195,34.42102813720703,32.97679138183594,33.656837463378906,32.47582244873047,32.66642379760742,0.7985635197408645,0.24484305977821347,0.19666340351104736,0.5584935307502746,0.2412019371986389,0.1956566721200943,0.563141405582428,0.2398898154497146,0.2044496238231659,0.5556604862213135,0.2440883964300155,0.1914558112621307,0.5644558072090149,0.246593177318573,0.1980237960815429,0.555383026599884,0.2524419724941253,0.1937311142683029,0.5538269281387329,0.004979164228450597,0.004980129014953546,0.004915028950386119,nan,nan,nan,nan,31.9767275866489,0.2425983425942443,0.1967416784147024,0.5606599789910532,0.4998,0.0756,0.4246,0.2479,0.1933,0.5588
state_temperature_low_extrapolation:3c_65250b1389afa8bc1bcc:313.15,3-methyl-2-butanone,"2,3-dimethylbutane",diisopropyl ether,3,CC(=O)C(C)C,CC(C)C(C)C,CC(C)OC(C)C,313.15,isothermal,10.1016/j.fluid.2013.01.020,49.01679172415491,0.1004470008934897,0.7878259253631212,0.1117270737433889,state_temperature_low_extrapolation,state_1850ea3e7e075ff773a39ce6,high_error,3c_65250b1389afa8bc1bcc,49.510061291008,52.95608825683594,53.47888946533203,53.45228576660156,52.88202667236328,53.09028625488281,51.876953125,0.6533681821988921,0.09185333400964732,0.7920590400695801,0.11608760654926295,0.0925654768943786,0.7861438989639282,0.1212906166911125,0.0861577913165092,0.7968977689743042,0.1169444024562835,0.0933150947093963,0.7897482514381409,0.1169366016983985,0.090994507074356,0.7966454029083252,0.1123600825667381,0.0962338000535965,0.7908598780632019,0.1129063293337822,0.003708408178313731,0.004642592202060631,0.0036242642800907564,nan,nan,nan,nan,49.07759669413272,0.0999656686798492,0.7884146913084182,0.1116196400117325,0.2015,0.6533,0.1452,0.0992999999999999,0.7911,0.1096
state_temperature_low_extrapolation:3c_65250b1389afa8bc1bcc:313.15,3-methyl-2-butanone,"2,3-dimethylbutane",diisopropyl ether,3,CC(=O)C(C)C,CC(C)C(C)C,CC(C)OC(C)C,313.15,isothermal,10.1016/j.fluid.2013.01.020,26.199120316072,0.4351924183292998,0.3865461812634213,0.1782614004072789,state_temperature_low_extrapolation,state_1e848624b1f4d1f23181076d,high_error,3c_65250b1389afa8bc1bcc,26.439958732288,27.176234436035156,27.96420288085937,26.94601058959961,27.41706085205078,26.699249267578125,26.85464859008789,0.515467496404672,0.4346542000770569,0.38348413109779356,0.1818616896867752,0.4278809726238251,0.3825941085815429,0.1895249634981155,0.4298751354217529,0.3890227079391479,0.1811022311449051,0.4300442039966583,0.3814183175563812,0.1885374337434768,0.436478704214096,0.3884481489658355,0.1750731915235519,0.448991984128952,0.3759373724460602,0.1750706285238266,0.008643914041667275,0.005415962486868208,0.0070012556110667645,nan,nan,nan,nan,26.17612177510003,0.4357414099233573,0.3858138388274789,0.1784447512491638,0.8126,0.0934,0.094,0.4382,0.3842,0.1776
state_temperature_low_extrapolation:3c_a6f39dd395c2cfcf800d:320.0,pinacolone,neopentyl alcohol,2-methoxy-2-methylpropane,3,CC(=O)C(C)(C)C,CC(C)(C)CO,COC(C)(C)C,320.0,isothermal,10.1016/j.fluid.2009.01.016,13.775278369392804,0.6110064920198509,0.1191493896965747,0.2698441182835743,state_temperature_low_extrapolation,state_2a84d74f0e12df4b98a3a3f5,well_predicted,3c_a6f39dd395c2cfcf800d,13.910055942912,13.86992530822754,13.819944381713867,14.347759246826172,13.91298484802246,13.556180953979492,13.712757110595703,0.29825109053805704,0.628907322883606,0.1225861385464668,0.24850653409957885,0.6267913579940796,0.1221749112010002,0.2510337233543396,0.6187416315078735,0.127181276679039,0.2540771067142486,0.625530481338501,0.123120479285717,0.2513489723205566,0.6261587738990784,0.125157281756401,0.2486839741468429,0.6473143696784973,0.1152967438101768,0.2373888939619064,0.010788831500801694,0.004508768552502565,0.006502515417627249,nan,nan,nan,nan,13.75512522315022,0.61011207854984,0.1198040395824083,0.2700838818677516,0.6782,0.2781,0.0437,0.6271,0.1277,0.2452
state_temperature_low_extrapolation:3c_65250b1389afa8bc1bcc:313.15,3-methyl-2-butanone,"2,3-dimethylbutane",diisopropyl ether,3,CC(=O)C(C)C,CC(C)C(C)C,CC(C)OC(C)C,313.15,isothermal,10.1016/j.fluid.2013.01.020,39.38653675485242,0.1763501055759185,0.4924270732800592,0.3312228211440223,state_temperature_low_extrapolation,state_2b532830d642427bab30f966,high_error,3c_65250b1389afa8bc1bcc,39.659938098432,41.68900604248047,42.731422424316406,41.79438781738281,41.865867614746094,41.24030303955078,40.81304931640625,0.7241636241448729,0.17239146828651425,0.49512235522270204,0.3324861764907837,0.1713738143444061,0.4897786378860473,0.3388475477695465,0.1654031574726104,0.5059375166893005,0.3286592662334442,0.1734583675861358,0.4898631870746612,0.3366784751415252,0.172240599989891,0.5006504058837891,0.3271090090274811,0.1794814020395279,0.4893820285797119,0.3311365842819214,0.00503240259613127,0.007692408208938791,0.005084854562807816,nan,nan,nan,nan,39.40246918521969,0.1759621170312663,0.4921305737734823,0.3319073091952514,0.4013,0.269,0.3297,0.1782,0.4946,0.3272
state_temperature_low_extrapolation:3c_a6f39dd395c2cfcf800d:320.0,pinacolone,neopentyl alcohol,2-methoxy-2-methylpropane,3,CC(=O)C(C)(C)C,CC(C)(C)CO,COC(C)(C)C,320.0,isothermal,10.1016/j.fluid.2009.01.016,19.782928684852877,0.199595416390171,0.1505047842787011,0.649899799331128,state_temperature_low_extrapolation,state_323433d7b7a91bf27b6b62a2,well_predicted,3c_a6f39dd395c2cfcf800d,19.559991254016,19.66973114013672,19.926010131835938,19.935352325439453,19.809410095214844,19.131290435791016,19.546592712402344,0.3394205395379401,0.21231188476085658,0.15682779848575584,0.6308603048324585,0.2032744884490966,0.1577027589082718,0.6390227675437927,0.2197110950946808,0.1607999056577682,0.6194889545440674,0.2078598141670227,0.1588506698608398,0.6332895159721375,0.2194353938102722,0.1555937677621841,0.6249708533287048,0.2112786322832107,0.1511918902397155,0.6375294327735901,0.007212069226167544,0.0036715627909501935,0.008381488205661973,nan,nan,nan,nan,19.74898770056874,0.1998048981264356,0.1515074173087562,0.6486876845648082,0.2914,0.5554,0.1532,0.2485,0.1951,0.5564
