epoch,stage,train_gradient_norm_max,train_gradient_norm_mean,train_pressure,train_pure_vapor_pressure,train_teacher_forced_fugacity,train_temperature,train_total,train_vapor_composition,validation_pressure,validation_pure_vapor_pressure,validation_teacher_forced_fugacity,validation_temperature,validation_total,validation_vapor_composition
1,experimental,49.01313781738281,11.48992014478315,0.4603152289226832,0.9170468131706992,0.0,0.0,0.943262431375953,0.02442379878540663,0.06353833420239283,0.10311116747706704,0.0,0.0,0.12393750986482344,0.008843591832091496
2,experimental,26.85094451904297,5.520848695938567,0.060028847567665876,0.11335294545076698,0.0,0.0,0.12242240219111652,0.00571708129867294,0.06648688829182899,0.07439939722291425,0.0,0.0,0.11093614822269506,0.007249560509078693
3,experimental,17.394792556762695,4.9940614556263325,0.04259918993487337,0.07721375803694062,0.0,0.0,0.08571642317006055,0.004510354398915377,0.04409199768194446,0.05786258147185684,0.0,0.0,0.07926104543810217,0.0062377565182172336
4,experimental,12.516108512878418,3.844662999514184,0.03402784985553656,0.05152222433615977,0.0,0.0,0.06373132394948455,0.003942361423672148,0.03853243132602115,0.04852569786316988,0.0,0.0,0.06875509983538902,0.005959820175049906
5,experimental,9.747078895568848,3.1569777903243796,0.0234323314244463,0.04435887938950607,0.0,0.0,0.048780819547639825,0.00316904834522097,0.03560257608606945,0.04454944158381546,0.0,0.0,0.06310861693148599,0.0052313204464685716
6,experimental,11.875993728637695,2.846266445223126,0.020473013379847912,0.03737244373930878,0.0,0.0,0.042038493826178094,0.0028792586384152365,0.03698234047814991,0.05238871044582791,0.0,0.0,0.06889110910586822,0.005714413362881567
7,experimental,8.615179061889648,2.69845335099103,0.020946651784533372,0.036157477383042994,0.0,0.0,0.041840795712002984,0.0028154054702923814,0.03859531527910477,0.06253479534914011,0.0,0.0,0.07649167754031994,0.006628965294556401
8,experimental,19.600732803344727,2.407422054186226,0.019218983484575746,0.029306658393708742,0.0,0.0,0.03664896665787985,0.0027766536143676653,0.049023725947848075,0.07076213732149526,0.0,0.0,0.09026953881962008,0.005864743922340904
9,experimental,13.624945640563965,2.6094008772140707,0.01834560167436162,0.03591313389117472,0.0,0.0,0.03900723108028135,0.002705062253537503,0.0424265750177056,0.05602459738567005,0.0,0.0,0.0765978641107551,0.006158990296734194
10,experimental,7.520278453826904,2.6218417308678514,0.020455927903709935,0.03158664969481656,0.0,0.0,0.039076630141493464,0.002827377325437911,0.0276628735186028,0.035138710308024006,0.0,0.0,0.050227111798745616,0.004994883218467066
11,experimental,11.07430362701416,2.2909611763355455,0.016321330622000023,0.031551016825610394,0.0,0.0,0.03467352905419315,0.002576689972777283,0.05064584470839582,0.06534805992390016,0.0,0.0,0.08942043548635607,0.006100560363350261
12,experimental,6.581246852874756,2.159051648395847,0.015917166637777903,0.028460742076152522,0.0,0.0,0.03264671136584154,0.0024991736896015546,0.03684766759559979,0.04397122255311563,0.0,0.0,0.06471444217228142,0.005881162750086298
13,experimental,6.543047904968262,1.964629174479259,0.015482535952947905,0.026494936050948804,0.0,0.0,0.031245892333938787,0.0025158882362665957,0.032615698366678,0.03734987877160735,0.0,0.0,0.05671604751182078,0.005425409602526671
14,experimental,7.640866279602051,1.874038829387108,0.014129730447036986,0.02624516573191755,0.0,0.0,0.029767617234014037,0.0025153039112316717,0.03166818618774414,0.042886236933009574,0.0,0.0,0.05814651000363874,0.0050352058110710906
15,experimental,5.975975513458252,2.145216283477591,0.013865052419848185,0.02762070247405455,0.0,0.0,0.02995506064221975,0.002279656772116535,0.0301696510629946,0.035642111288686086,0.0,0.0,0.05339467223638143,0.005403966239608421
16,experimental,9.574782371520996,2.2946168139605403,0.017484228389956166,0.02647855204219805,0.0,0.0,0.033305150804206624,0.0025816465585526385,0.030114085530793224,0.039181875993638295,0.0,0.0,0.05506684435823365,0.005361821448849647
17,experimental,9.822334289550781,2.3946837846453284,0.014541942491139706,0.031283184922543054,0.0,0.0,0.03257397187979378,0.0023904367472318763,0.03315790071446671,0.03778181281099972,0.0,0.0,0.057712133199061426,0.005663325693564453
18,experimental,8.074336051940918,2.293745264906728,0.014684522645328362,0.025772206329516805,0.0,0.0,0.030033068943452958,0.0024624430160456647,0.036902552006760896,0.05289419843335012,0.0,0.0,0.06906914188396557,0.005719490496287828
19,experimental,38.99882125854492,2.182829377543326,0.012454013134441305,0.02647718927087565,0.0,0.0,0.0278439306088357,0.0021513227940227783,0.03304048569666015,0.0462273622628174,0.0,0.0,0.061497027242285576,0.00534286155681155
20,experimental,8.693312644958496,2.5980298052022532,0.014714221768033702,0.030140337074463956,0.0,0.0,0.031956100283419726,0.0021717098968933347,0.02854193341188621,0.03950456424146636,0.0,0.0,0.05336599985079208,0.00507178421548841
21,experimental,10.004419326782227,2.0952551739621574,0.012056341274523333,0.02642422771262963,0.0,0.0,0.027583868086926873,0.002315413093857985,0.029483634261069473,0.040222863687409294,0.0,0.0,0.05510221818658361,0.005507152372084961
22,experimental,10.916345596313477,2.365252512256532,0.01426936027453233,0.029334086516410247,0.0,0.0,0.031026718331711015,0.0020903149051941963,0.034919367860100546,0.0485752420080693,0.0,0.0,0.06520206787307717,0.0059950787977360595
