attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse
166,,,0.0,105,0.8259991898336728,0.9959484042935871,1.3404330629565508,1.2703925070786233,1.9237914814072214,all,0,0.0,,4,61,1.9564232397861194,0.994179705973591,2.5691869174932442,2.390709539211376,3.0686754151852673,1.0,166,0.03597026776579248,498,0.039065629412661715,0.8979221974898555,0.0780364267763206,0.039065629412661715,0.042263345253285046,0.07813219948634618
61,,isobaric,0.0,0,,,,,,direction,0,0.0,,2,61,1.9564232397861194,0.994179705973591,2.5691869174932442,2.390709539211376,3.0686754151852673,1.0,61,0.06832129151043126,183,0.0876266896745872,0.6722442496916494,0.12685310231653082,0.0876266896745872,0.06832129151043125,0.10788409702026044
105,,isothermal,0.0,105,0.8259991898336728,0.9959484042935871,1.3404330629565508,1.2703925070786233,1.9237914814072214,direction,0,0.0,,2,0,,,,,,1.0,105,0.01620539899613885,315,0.010853965831924052,0.9957596492283322,0.01670279259788653,0.010853965831924052,0.016205398996138855,0.02388101344732716
166,3,,0.0,105,0.8259991898336728,0.9959484042935871,1.3404330629565508,1.2703925070786233,1.9237914814072214,cardinality,0,0.0,,4,61,1.9564232397861194,0.994179705973591,2.5691869174932442,2.390709539211376,3.0686754151852673,1.0,166,0.03597026776579248,498,0.039065629412661715,0.8979221974898555,0.0780364267763206,0.039065629412661715,0.042263345253285046,0.07813219948634618
61,3,isobaric,0.0,0,,,,,,direction_cardinality,0,0.0,,2,61,1.9564232397861194,0.994179705973591,2.5691869174932442,2.390709539211376,3.0686754151852673,1.0,61,0.06832129151043126,183,0.0876266896745872,0.6722442496916494,0.12685310231653082,0.0876266896745872,0.06832129151043125,0.10788409702026044
105,3,isothermal,0.0,105,0.8259991898336728,0.9959484042935871,1.3404330629565508,1.2703925070786233,1.9237914814072214,direction_cardinality,0,0.0,,2,0,,,,,,1.0,105,0.01620539899613885,315,0.010853965831924052,0.9957596492283322,0.01670279259788653,0.010853965831924052,0.016205398996138855,0.02388101344732716
43,,,0.0,0,,,,,,binary_subsystem_coverage,0,0.0,0/3,1,43,1.33105096861375,0.8864543497410861,1.5954977844256084,1.33105096861375,1.5954977844256084,1.0,43,0.11542646303097177,129,0.11542646303097176,0.4588581513171046,0.15001214105150978,0.11542646303097175,0.11542646303097176,0.15001214105150978
21,,,0.0,21,2.0110480358202074,0.9760253514394099,2.6219576229822716,2.0110480358202074,2.6219576229822716,binary_subsystem_coverage,0,0.0,1/3,1,0,,,,,,1.0,21,0.025124454269830194,63,0.02512445426983019,0.9910900849853307,0.0324936200062479,0.025124454269830194,0.02512445426983019,0.0324936200062479
18,,,0.0,0,,,,,,binary_subsystem_coverage,0,0.0,2/3,1,18,3.4503681098090024,0.8988984019742148,4.035830079106146,3.4503681098090024,4.035830079106146,1.0,18,0.02121611998989074,54,0.02121611998989073,0.9884499667162878,0.02782650385686041,0.021216119989890737,0.02121611998989073,0.02782650385686041
84,,,0.0,84,0.529736978337039,0.9985231420259325,0.7261443046358895,0.529736978337039,0.7261443046358895,binary_subsystem_coverage,0,0.0,3/3,1,0,,,,,,1.0,84,0.007286343722447516,252,0.007286343722447516,0.9983888676612241,0.009207076921173616,0.007286343722447515,0.007286343722447516,0.009207076921173616
