T,N,reference,status,benzene_recovery,heptane_retention
298.15,2,PCHIP,valid,0.7318068308152319,0.8272879408354861
298.15,3,PCHIP,valid,0.7710014025132692,0.8193543595037032
303.15,2,PCHIP,valid,0.6940728923696248,0.8312176619406471
303.15,3,PCHIP,valid,0.7226210967204455,0.8286107452152788
