model,T,allocation,N,total_S,status,benzene_recovery,heptane_retention
UNIFAC-LLE,303.15,"[0.5, 0.25, 0.75]",3,1.5,valid,0.7768702505048617,0.8168508906151685
Experiment-interpolation,303.15,"[0.5, 0.5, 0.5]",3,1.5,valid,0.7232830790426241,0.8280715432076071
ThermoFormer,303.15,"[0.5, 0.5, 0.5]",3,1.5,valid,0.7115061827550756,0.8114999237657845
UNIFAC-LLE,303.15,"[0.5, 0.5, 0.5]",3,1.5,valid,0.7869290816290613,0.8160373144367018
Experiment-interpolation,303.15,"[0.5, 0.75, 0.25]",3,1.5,valid,0.7171514599076054,0.828821728470512
ThermoFormer,303.15,"[0.5, 0.75, 0.25]",3,1.5,valid,0.70340493732448,0.8132567269983223
UNIFAC-LLE,303.15,"[0.5, 0.75, 0.25]",3,1.5,valid,0.77767099734067,0.8173121581126082
Experiment-interpolation,303.15,"[0.75, 0.25, 0.5]",3,1.5,valid,0.7196907311448062,0.8277522806904971
ThermoFormer,303.15,"[0.75, 0.25, 0.5]",3,1.5,valid,0.7065127522623745,0.815739214635914
UNIFAC-LLE,303.15,"[0.75, 0.25, 0.5]",3,1.5,valid,0.7824164029529691,0.8172743464773561
Experiment-interpolation,303.15,"[0.75, 0.5, 0.25]",3,1.5,valid,0.7224768130641139,0.8274440871566995
ThermoFormer,303.15,"[0.75, 0.5, 0.25]",3,1.5,valid,0.7065505238908871,0.8167484253202386
UNIFAC-LLE,303.15,"[0.75, 0.5, 0.25]",3,1.5,valid,0.7827720205973644,0.8174139672708459
Experiment-interpolation,303.15,"[1.0, 0.25, 0.25]",3,1.5,valid,0.7132741775132863,0.8285177860452565
ThermoFormer,303.15,"[1.0, 0.25, 0.25]",3,1.5,valid,0.6946316465736837,0.8213422551178439
UNIFAC-LLE,303.15,"[1.0, 0.25, 0.25]",3,1.5,valid,0.770031812677375,0.819545570626595
