model,T,total_S,N,completed,status,benzene_recovery,heptane_retention,R_final,E_total,R_final_x,E_combined_x,solvent_to_raffinate,overall_component_balance_error
Experiment-interpolation,298.15,1.5,1,1,valid,0.6624251389335878,0.8311350488130387,0.7616710219307423,1.7383289780692577,"[0.8002129767930822, 0.08159956384571777, 0.11818745936119997]","[0.07123755002614429, 0.827143765625728, 0.10161868434812783]",0.06215202318347071,1.1102230246251565e-16
ThermoFormer,298.15,1.5,1,1,valid,0.6162726193766055,0.829226049725056,0.7706541499128158,1.7293458500871841,"[0.7890687452996938, 0.0781514578080841, 0.13277979689222222]","[0.07241711089503117, 0.8325531036176934, 0.09502978548727534]",0.060227745281536335,2.220446049250313e-16
UNIFAC-LLE,298.15,1.5,1,1,valid,0.6765102740217104,0.8369957794706306,0.7594936994364428,1.740506300563557,"[0.8081658944644001, 0.07825327268398682, 0.1135808328516131]","[0.06867911270961773, 0.8276713114855085, 0.10364957580487369]",0.05943286756376989,2.220446049250313e-16
Experiment-interpolation,298.15,1.5,2,2,valid,0.7325212107935908,0.8270818191363711,0.7347274488748646,1.7652725511251355,"[0.8255124649221768, 0.07740707724146782, 0.09708045783635523]","[0.07183404391907523, 0.8175093951886966, 0.11065656089222818]",0.05687310438648325,2.220446049250313e-16
ThermoFormer,298.15,1.5,2,2,valid,0.6843640185272337,0.8175807093803211,0.7399515489173463,1.7600484510826535,"[0.8102681692553275, 0.07598168699194108, 0.11375014375273135]","[0.0760059453886869, 0.820305391100372, 0.10368866351094108]",0.05622276697903978,1.1102230246251565e-16
UNIFAC-LLE,298.15,1.5,2,2,valid,0.7541951552515045,0.8272980452458999,0.7248548486070072,1.7751451513929928,"[0.8369747879126784, 0.07259613000893596, 0.09042908207838556]","[0.07134520805446663, 0.8153577424567988, 0.11329704948873458]",0.052621656827081885,8.715250743307479e-15
Experiment-interpolation,298.15,1.5,3,3,valid,0.7714153564865227,0.8184995809943947,0.714846318583761,1.7851536814162388,"[0.8396672270086324, 0.07506143095285522, 0.08527134203851237]","[0.07455957918714491, 0.8102062178020868, 0.11523420301076831]",0.053657387584277724,2.220446049250313e-16
ThermoFormer,298.15,1.5,3,3,valid,0.7124175605321131,0.8117007429812754,0.7270649692583583,1.772935030741642,"[0.8186987912879135, 0.07582418290654397, 0.10547702580554252]","[0.07788560743591856, 0.8149598647061562, 0.10715452785792523]",0.055129107213986527,3.3306690738754696e-16
UNIFAC-LLE,298.15,1.5,3,3,valid,0.7859721199579054,0.8231091019869037,0.7106271660338771,1.789372833966123,"[0.849409325041603, 0.0702755616717797, 0.08031511328661718]","[0.07249466931313085, 0.8103734723376269, 0.11713185834924227]",0.04993972323225577,5.995204332975845e-15
Experiment-interpolation,298.15,1.5,4,4,valid,0.788359053965705,0.816413653929965,0.7074722339271546,1.7925277660728454,"[0.8462570225433802, 0.07396940769281132, 0.07977356976380853]","[0.07510622131838958, 0.8076129839087064, 0.11728079477290394]",0.052331302102701684,1.1102230246251565e-16
ThermoFormer,298.15,1.5,4,4,valid,0.7274653471610473,0.808553306888504,0.720303487516101,1.7796965124838993,"[0.8231795375070737, 0.0759242309970372, 0.10089623149588899]","[0.07888661950522736, 0.8121112231706593, 0.10900215732411338]",0.05468848837414395,4.440892098500626e-16
UNIFAC-LLE,298.15,1.5,4,4,valid,0.8032172092586423,0.8208039162914175,0.702908851141124,1.7970911488588763,"[0.85633133082598, 0.06901402401032371, 0.07465464516369635]","[0.07312398231427333, 0.8076882647783055, 0.11918775290742109]",0.048510568329722586,6.661338147750939e-16
Experiment-interpolation,303.15,1.5,1,1,valid,0.633209239565771,0.8379993757769513,0.8224273681383472,1.6775726318616528,"[0.7472184163336216, 0.13385209124137165, 0.11892949242500667]","[0.0708168788088374, 0.8285282857399222, 0.10065483545124027]",0.11008362311945519,1.6653345369377348e-16
ThermoFormer,303.15,1.5,1,1,valid,0.6155687067872492,0.8289213763569183,0.7708745639546627,1.7291254360453374,"[0.788553293128017, 0.07846137265951642, 0.13298533421246653]","[0.07255555596081714, 0.8325111027549925, 0.09493334128419036]",0.06048387643618901,2.220446049250313e-16
