model,T,total_S,N,completed,status,benzene_recovery,heptane_retention,R_final,E_total,R_final_x,E_combined_x,solvent_to_raffinate,overall_component_balance_error
UNIFAC-LLE,303.15,1.5,1,1,valid,0.6777804037267854,0.8304999723909007,0.7578586499572437,1.742141350042756,"[0.8036238856955983, 0.0829971541543726, 0.11337896015002916]","[0.07134898683371646, 0.8249042988199575, 0.10374671434632603]",0.06290011119772607,8.326672684688674e-16
Experiment-interpolation,303.15,1.5,2,2,valid,0.6944584288926301,0.830725214249935,0.7936542029933582,1.706345797006642,"[0.7675868005893373, 0.12975167252906128, 0.10266152688160148]","[0.0727489369980838, 0.8187215288967917, 0.10852953410512438]",0.10297796024810735,2.220446049250313e-16
ThermoFormer,303.15,1.5,2,2,valid,0.6835127839937963,0.8173419623020408,0.7402467182864351,1.7597532817135648,"[0.8097085618638762, 0.07628000269152825, 0.1140114354445956]","[0.07611818601908596, 0.8203047514314451, 0.10357706254946887]",0.05646602166328422,2.220446049250313e-16
UNIFAC-LLE,303.15,1.5,2,2,valid,0.7552520089889654,0.8203957091145587,0.7226219878128263,1.7773780121871738,"[0.8325563436538769, 0.07712516059453645, 0.0903184957515867]","[0.07410343349185203, 0.8125832846123344, 0.11331328189581345]",0.055732336859207386,4.9960036108132044e-15
Experiment-interpolation,303.15,1.5,3,3,valid,0.7232830790426241,0.8280715432076071,0.7807430121458816,1.719256987854119,"[0.7777878963653753, 0.12769806025029648, 0.09451404338432816]","[0.07333450973596954, 0.8144801165198547, 0.11218537374417567]",0.09969936820500275,2.7755575615628914e-16
ThermoFormer,303.15,1.5,3,3,valid,0.7115061827550756,0.8114999237657845,0.7273965596858093,1.7726034403141906,"[0.8181231216600136, 0.0761138202470581, 0.1057630580929284]","[0.07798325677057429, 0.8149792763302359, 0.10703746689918978]",0.055364930992254154,2.220446049250313e-16
UNIFAC-LLE,303.15,1.5,3,3,valid,0.7869290816290613,0.8160373144367018,0.7081554542113482,1.7918445457886518,"[0.8450508435138706, 0.07471407359905179, 0.08023508288707767]","[0.07528888023805033, 0.8075984184429176, 0.11711270131903208]",0.05290917872551661,2.220446049250313e-16
Experiment-interpolation,303.15,1.5,4,4,valid,0.7384129665344725,0.8262870607752775,0.7736455546919125,1.7263544453080872,"[0.7832318571388168, 0.12660212066352058, 0.09016602219766261]","[0.07379103932626224, 0.8121477231657869, 0.114061237507951]",0.09794516786590182,2.220446049250313e-16
ThermoFormer,303.15,1.5,4,4,valid,0.7265230688293504,0.8083731166305838,0.7206535501215062,1.779346449878493,"[0.8225963114950462, 0.07620779259462257, 0.10119589591033117]","[0.07897640234546094, 0.8121412127573259, 0.1088823848972132]",0.054919416280238186,4.440892098500626e-16
UNIFAC-LLE,303.15,1.5,4,4,valid,0.8041097365199017,0.8136453634688062,0.7003160699758499,1.7996839300241494,"[0.8520056759005503, 0.07340314186869737, 0.07459118223075228]","[0.07593559319480525, 0.8049161166556599, 0.1191482901495349]",0.05140539983736591,1.1657341758564144e-15
