source,interpolation,reflux_ratio,equilibrium_stages
UNIFAC,linear,1.3302079356960406,10
UNIFAC,linear,1.3611430039680417,10
UNIFAC,linear,1.3920780722400425,10
UNIFAC,linear,1.4230131405120432,10
UNIFAC,linear,1.4539482087840443,10
UNIFAC,linear,1.4848832770560452,10
UNIFAC,linear,1.5158183453280463,10
UNIFAC,linear,1.5467534136000471,10
UNIFAC,linear,1.577688481872048,10
UNIFAC,linear,1.608623550144049,10
UNIFAC,linear,1.63955861841605,10
UNIFAC,linear,1.670493686688051,10
UNIFAC,linear,1.7014287549600517,10
UNIFAC,linear,1.7323638232320526,9
UNIFAC,linear,1.7632988915040535,9
UNIFAC,linear,1.7942339597760546,9
UNIFAC,linear,1.8251690280480557,9
UNIFAC,linear,1.8561040963200566,9
UNIFAC,pchip,0.6805715019840208,16
UNIFAC,pchip,0.7115065702560218,15
UNIFAC,pchip,0.7424416385280227,14
UNIFAC,pchip,0.7733767068000236,14
UNIFAC,pchip,0.8043117750720246,13
UNIFAC,pchip,0.8352468433440255,13
UNIFAC,pchip,0.8661819116160265,13
UNIFAC,pchip,0.8971169798880274,12
UNIFAC,pchip,0.9280520481600283,12
UNIFAC,pchip,0.9589871164320293,12
UNIFAC,pchip,0.9899221847040303,12
UNIFAC,pchip,1.0208572529760311,11
UNIFAC,pchip,1.0517923212480322,11
UNIFAC,pchip,1.082727389520033,11
UNIFAC,pchip,1.113662457792034,11
UNIFAC,pchip,1.1445975260640349,11
UNIFAC,pchip,1.1755325943360357,11
UNIFAC,pchip,1.2064676626080368,11
UNIFAC,pchip,1.2374027308800377,11
UNIFAC,pchip,1.2683377991520386,10
UNIFAC,pchip,1.2992728674240397,10
UNIFAC,pchip,1.3302079356960406,10
UNIFAC,pchip,1.3611430039680417,10
UNIFAC,pchip,1.3920780722400425,10
UNIFAC,pchip,1.4230131405120432,10
UNIFAC,pchip,1.4539482087840443,10
UNIFAC,pchip,1.4848832770560452,10
UNIFAC,pchip,1.5158183453280463,10
UNIFAC,pchip,1.5467534136000471,10
UNIFAC,pchip,1.577688481872048,10
UNIFAC,pchip,1.608623550144049,10
UNIFAC,pchip,1.63955861841605,9
UNIFAC,pchip,1.670493686688051,9
UNIFAC,pchip,1.7014287549600517,9
UNIFAC,pchip,1.7323638232320526,9
UNIFAC,pchip,1.7632988915040535,9
UNIFAC,pchip,1.7942339597760546,9
UNIFAC,pchip,1.8251690280480557,9
UNIFAC,pchip,1.8561040963200566,9
