task,protocol,subset,seed,direction,target,metric,value
VLE,vle_binary_state_composition_edge_extrapolation,all,2,isothermal,y,rmse,0.011679118808297273
VLE,vle_binary_state_composition_edge_extrapolation,all,2,isothermal,y,r2,0.9993404830705834
VLE,vle_binary_state_composition_edge_extrapolation,2,2,isobaric,T,mae,0.600604230950191
VLE,vle_binary_state_composition_edge_extrapolation,2,2,isobaric,T,rmse,1.171923206355257
VLE,vle_binary_state_composition_edge_extrapolation,2,2,isobaric,T,r2,0.9988620007827748
VLE,vle_binary_state_composition_edge_extrapolation,2,2,isobaric,y,mae,0.010156826607211327
VLE,vle_binary_state_composition_edge_extrapolation,2,2,isobaric,y,rmse,0.024059998375858732
VLE,vle_binary_state_composition_edge_extrapolation,2,2,isobaric,y,r2,0.9970208306145991
VLE,vle_binary_state_composition_edge_extrapolation,2,2,isothermal,P,mae,3.2408142071649952
VLE,vle_binary_state_composition_edge_extrapolation,2,2,isothermal,P,rmse,16.49982860570978
VLE,vle_binary_state_composition_edge_extrapolation,2,2,isothermal,P,r2,0.9658514348200878
VLE,vle_binary_state_composition_edge_extrapolation,2,2,isothermal,y,mae,0.004130734151494104
VLE,vle_binary_state_composition_edge_extrapolation,2,2,isothermal,y,rmse,0.011679118808297273
VLE,vle_binary_state_composition_edge_extrapolation,2,2,isothermal,y,r2,0.9993404830705834
VLE,vle_binary_state_composition_edge_extrapolation,all,3,isobaric,T,mae,0.6943235560825871
VLE,vle_binary_state_composition_edge_extrapolation,all,3,isobaric,T,rmse,1.2020659891319498
VLE,vle_binary_state_composition_edge_extrapolation,all,3,isobaric,T,r2,0.9988027074670917
VLE,vle_binary_state_composition_edge_extrapolation,all,3,isobaric,y,mae,0.009983656677087976
VLE,vle_binary_state_composition_edge_extrapolation,all,3,isobaric,y,rmse,0.022872934341148482
VLE,vle_binary_state_composition_edge_extrapolation,all,3,isobaric,y,r2,0.9973075492025231
VLE,vle_binary_state_composition_edge_extrapolation,all,3,isothermal,P,mae,3.163761468393228
VLE,vle_binary_state_composition_edge_extrapolation,all,3,isothermal,P,rmse,15.726846694022164
VLE,vle_binary_state_composition_edge_extrapolation,all,3,isothermal,P,r2,0.9689760636056238
VLE,vle_binary_state_composition_edge_extrapolation,all,3,isothermal,y,mae,0.0044739922506470756
VLE,vle_binary_state_composition_edge_extrapolation,all,3,isothermal,y,rmse,0.011573867692283161
VLE,vle_binary_state_composition_edge_extrapolation,all,3,isothermal,y,r2,0.9993523165168828
VLE,vle_binary_state_composition_edge_extrapolation,2,3,isobaric,T,mae,0.6943235560825871
VLE,vle_binary_state_composition_edge_extrapolation,2,3,isobaric,T,rmse,1.2020659891319498
VLE,vle_binary_state_composition_edge_extrapolation,2,3,isobaric,T,r2,0.9988027074670917
VLE,vle_binary_state_composition_edge_extrapolation,2,3,isobaric,y,mae,0.009983656677087976
VLE,vle_binary_state_composition_edge_extrapolation,2,3,isobaric,y,rmse,0.022872934341148482
VLE,vle_binary_state_composition_edge_extrapolation,2,3,isobaric,y,r2,0.9973075492025231
VLE,vle_binary_state_composition_edge_extrapolation,2,3,isothermal,P,mae,3.163761468393228
VLE,vle_binary_state_composition_edge_extrapolation,2,3,isothermal,P,rmse,15.726846694022164
VLE,vle_binary_state_composition_edge_extrapolation,2,3,isothermal,P,r2,0.9689760636056238
VLE,vle_binary_state_composition_edge_extrapolation,2,3,isothermal,y,mae,0.0044739922506470756
VLE,vle_binary_state_composition_edge_extrapolation,2,3,isothermal,y,rmse,0.011573867692283161
VLE,vle_binary_state_composition_edge_extrapolation,2,3,isothermal,y,r2,0.9993523165168828
VLE,vle_binary_state_composition_edge_extrapolation,all,4,isobaric,T,mae,0.7191690396861851
VLE,vle_binary_state_composition_edge_extrapolation,all,4,isobaric,T,rmse,1.4468722654315331
VLE,vle_binary_state_composition_edge_extrapolation,all,4,isobaric,T,r2,0.9982653812413098
VLE,vle_binary_state_composition_edge_extrapolation,all,4,isobaric,y,mae,0.010921489943196746
VLE,vle_binary_state_composition_edge_extrapolation,all,4,isobaric,y,rmse,0.027339790563145023
VLE,vle_binary_state_composition_edge_extrapolation,all,4,isobaric,y,r2,0.9961532463397591
VLE,vle_binary_state_composition_edge_extrapolation,all,4,isothermal,P,mae,3.206156490200142
VLE,vle_binary_state_composition_edge_extrapolation,all,4,isothermal,P,rmse,16.013713509138682
VLE,vle_binary_state_composition_edge_extrapolation,all,4,isothermal,P,r2,0.9678339521330261
VLE,vle_binary_state_composition_edge_extrapolation,all,4,isothermal,y,mae,0.004598234949814422
VLE,vle_binary_state_composition_edge_extrapolation,all,4,isothermal,y,rmse,0.012368482767047903
VLE,vle_binary_state_composition_edge_extrapolation,all,4,isothermal,y,r2,0.9992603288976819
VLE,vle_binary_state_composition_edge_extrapolation,2,4,isobaric,T,mae,0.7191690396861851
VLE,vle_binary_state_composition_edge_extrapolation,2,4,isobaric,T,rmse,1.4468722654315331
VLE,vle_binary_state_composition_edge_extrapolation,2,4,isobaric,T,r2,0.9982653812413098
VLE,vle_binary_state_composition_edge_extrapolation,2,4,isobaric,y,mae,0.010921489943196746
VLE,vle_binary_state_composition_edge_extrapolation,2,4,isobaric,y,rmse,0.027339790563145023
VLE,vle_binary_state_composition_edge_extrapolation,2,4,isobaric,y,r2,0.9961532463397591
VLE,vle_binary_state_composition_edge_extrapolation,2,4,isothermal,P,mae,3.206156490200142
VLE,vle_binary_state_composition_edge_extrapolation,2,4,isothermal,P,rmse,16.013713509138682
VLE,vle_binary_state_composition_edge_extrapolation,2,4,isothermal,P,r2,0.9678339521330261
VLE,vle_binary_state_composition_edge_extrapolation,2,4,isothermal,y,mae,0.004598234949814422
VLE,vle_binary_state_composition_edge_extrapolation,2,4,isothermal,y,rmse,0.012368482767047903
VLE,vle_binary_state_composition_edge_extrapolation,2,4,isothermal,y,r2,0.9992603288976819
VLE,vle_binary_state_composition_interpolation,all,0,isobaric,T,mae,0.657793352791433
VLE,vle_binary_state_composition_interpolation,all,0,isobaric,T,rmse,1.0188252281014898
VLE,vle_binary_state_composition_interpolation,all,0,isobaric,T,r2,0.9987119642932408
VLE,vle_binary_state_composition_interpolation,all,0,isobaric,y,mae,0.014572476172698271
VLE,vle_binary_state_composition_interpolation,all,0,isobaric,y,rmse,0.022982539009788146
VLE,vle_binary_state_composition_interpolation,all,0,isobaric,y,r2,0.9926422815226248
VLE,vle_binary_state_composition_interpolation,all,0,isothermal,P,mae,2.592507893227433
VLE,vle_binary_state_composition_interpolation,all,0,isothermal,P,rmse,9.09521191154287
VLE,vle_binary_state_composition_interpolation,all,0,isothermal,P,r2,0.9907955943697334
VLE,vle_binary_state_composition_interpolation,all,0,isothermal,y,mae,0.00929211871657984
VLE,vle_binary_state_composition_interpolation,all,0,isothermal,y,rmse,0.01639643740051358
VLE,vle_binary_state_composition_interpolation,all,0,isothermal,y,r2,0.9963276499202343
VLE,vle_binary_state_composition_interpolation,2,0,isobaric,T,mae,0.657793352791433
VLE,vle_binary_state_composition_interpolation,2,0,isobaric,T,rmse,1.0188252281014898
VLE,vle_binary_state_composition_interpolation,2,0,isobaric,T,r2,0.9987119642932408
VLE,vle_binary_state_composition_interpolation,2,0,isobaric,y,mae,0.014572476172698271
VLE,vle_binary_state_composition_interpolation,2,0,isobaric,y,rmse,0.022982539009788146
VLE,vle_binary_state_composition_interpolation,2,0,isobaric,y,r2,0.9926422815226248
VLE,vle_binary_state_composition_interpolation,2,0,isothermal,P,mae,2.592507893227433
VLE,vle_binary_state_composition_interpolation,2,0,isothermal,P,rmse,9.09521191154287
VLE,vle_binary_state_composition_interpolation,2,0,isothermal,P,r2,0.9907955943697334
VLE,vle_binary_state_composition_interpolation,2,0,isothermal,y,mae,0.00929211871657984
VLE,vle_binary_state_composition_interpolation,2,0,isothermal,y,rmse,0.01639643740051358
VLE,vle_binary_state_composition_interpolation,2,0,isothermal,y,r2,0.9963276499202343
VLE,vle_binary_state_composition_interpolation,all,1,isobaric,T,mae,0.6539926113171536
VLE,vle_binary_state_composition_interpolation,all,1,isobaric,T,rmse,1.0354487871333222
VLE,vle_binary_state_composition_interpolation,all,1,isobaric,T,r2,0.9986695891768045
VLE,vle_binary_state_composition_interpolation,all,1,isobaric,y,mae,0.014064322420624744
VLE,vle_binary_state_composition_interpolation,all,1,isobaric,y,rmse,0.02355947405758038
VLE,vle_binary_state_composition_interpolation,all,1,isobaric,y,r2,0.9922682404954203
VLE,vle_binary_state_composition_interpolation,all,1,isothermal,P,mae,2.0790235403772868
VLE,vle_binary_state_composition_interpolation,all,1,isothermal,P,rmse,7.721229964472563
VLE,vle_binary_state_composition_interpolation,all,1,isothermal,P,r2,0.9933664947112167
VLE,vle_binary_state_composition_interpolation,all,1,isothermal,y,mae,0.008922773945777921
VLE,vle_binary_state_composition_interpolation,all,1,isothermal,y,rmse,0.016115225069249953
