seed,sample_id,system_id,component_count,representative_categories,chemical_family,component_i,component_j,smiles_i,smiles_j,name_i,name_j,temperature_k,pressure_kpa,x_i,x_j,learned_pair_potential,absolute_pair_potential,normalized_absolute_pair_weight,composition_weighted_pair_contribution,component_i_mask_delta_log_gamma,component_j_mask_delta_log_gamma,component_i_mask_delta_y,component_j_mask_delta_y,component_i_mask_delta_ge_rt,component_j_mask_delta_ge_rt,mean_pair_mask_delta_log_gamma,mean_pair_mask_delta_y,mean_abs_log_gamma,excess_gibbs_rt,mean_abs_log_relative_volatility_shift,vle_deviation_from_ideality,relative_volatility_ij,evaluation_partition,mask_baseline
0,state_00146813ea813c8cdc693090,2c_74a658fab9cc22057bbd,2,,ether/carbonyl + sulfoxide/sulfone,1,2,CCCOC(=O)C,CS(=O)C,乙酸正丙酯,二甲基亚砜,448.92999999999995,101.299935074816,0.0328,0.9672,1.369271993637085,1.369271993637085,1.0,0.04343900380966187,0.22216862440109253,0.14907954633235931,0.00684744119644165,0.12805551290512085,0.014808952808380127,0.009529728442430496,0.18562408536672592,0.06745147705078125,0.6487033367156982,0.043439000844955444,1.2955143451690674,0.12421399354934692,6.53501033782959,test,mean training-set Uni-Mol token
0,state_0055dff7f57a29602f140966,2c_8742372ba72e435a7962,2,,alkane/cycloalkane + ether/carbonyl,1,2,CC(C)C(C)C,CC(C)C(=O)C,"2,3-二甲基丁烷",3-甲基-2-丁酮,313.15,24.55998002112,0.0994,0.9006,-0.26981014013290405,0.26981014013290405,1.0,-0.024153306613047123,0.2025902271270752,0.005265876650810242,0.17316648364067078,0.04616793990135193,0.047864899039268494,0.003758402541279793,0.10392805188894272,0.10966721177101135,0.14754965901374817,-0.02415330708026886,0.29509931802749634,0.058144256472587585,2.8934271335601807,test,mean training-set Uni-Mol token
0,state_00673fae0cdfcf7065a0a03c,2c_e0b19b407556ad694f4a,2,,alcohol/polyol + carboxylic acid/ester,1,2,CCC(C)O,CCCC(=O)O,2-丁醇,丁酸,373.15,68.529963632256,0.6199,0.3801,1.6117838621139526,1.6117838621139526,1.0,0.3797749446088994,0.030468761920928955,0.2408749759197235,0.021555140614509583,0.3459826707839966,0.032497555017471313,0.21135692298412323,0.13567186892032623,0.18376890569925308,0.4391288161277771,0.37977492809295654,0.49502837657928467,0.04917631670832634,3.8214612007141113,test,mean training-set Uni-Mol token
0,state_010eaa592f1fde17d9215a75,2c_e0b19b407556ad694f4a,2,,alcohol/polyol + carboxylic acid/ester,1,2,CCC(C)O,CCCC(=O)O,2-丁醇,丁酸,353.15,14.591999855231998,0.2653,0.7347,0.441188246011734,0.441188246011734,1.0,0.085994608452681,0.0580926313996315,0.44977670907974243,0.05834361910820007,0.5713783502578735,0.022291794419288635,0.30795472860336304,0.25393467023968697,0.3148609846830368,0.08252253383398056,0.08599461615085602,0.014793619513511658,0.003035306930541992,6.786219120025635,test,mean training-set Uni-Mol token
0,state_01150632404f7770a59e354b,2c_165952a69a69e7a8d3f6,2,,alcohol/polyol + alkane/cycloalkane,1,2,CCO,CC(C)CC(C)(C)C,乙醇,异辛烷,348.34999999999997,101.319933430016,0.954,0.04600000000000004,1.4633406400680542,1.4633406400680542,1.0,0.06421724064874654,0.03577178716659546,0.07641033083200455,0.07055339217185974,0.011298026889562607,0.0048721060156822205,0.007336139678955078,0.0560910589993,0.040925709530711174,0.6873326301574707,0.06421723961830139,1.3725008964538574,0.07014060020446777,0.45145362615585327,test,mean training-set Uni-Mol token
0,state_0158d0925f31c41d0ac49341,2c_277a9b0f8ca81825906f,2,,alkane/cycloalkane + aromatic/unsaturated hydrocarbon,1,2,CCCCCCCC,CC1=CC=CC=C1C,正辛烷,邻二甲苯,356.0,19.999955068416,0.485,0.515,-1.4904803037643433,1.4904803037643433,1.0,-0.3722847178727388,0.10034915804862976,0.21871918439865112,0.09266471862792969,0.12829886376857758,0.09596943855285645,0.21415774524211884,0.15953417122364044,0.11048179119825363,0.3741686940193176,-0.37228474020957947,0.12559592723846436,0.03126809000968933,1.1290698051452637,test,mean training-set Uni-Mol token
0,state_016489923e6da119e5b06fed,2c_f98cab4acf014d5210d4,2,,alcohol/polyol + alcohol/polyol,1,2,CCCO,CCOCCO,1-丙醇,2-乙氧基乙醇,377.05999999999995,101.299935074816,0.662,0.33799999999999997,1.3490736484527588,1.3490736484527588,1.0,0.3018633232831955,0.024459779262542725,0.012153863906860352,0.01616939902305603,0.1256546527147293,0.02250167727470398,0.011699408292770386,0.018306821584701538,0.07091202586889267,0.37608981132507324,0.30186331272125244,0.4581882953643799,0.08799631148576736,1.1567293405532837,test,mean training-set Uni-Mol token
0,state_01809eca41a17666b6f0cd79,2c_f98cab4acf014d5210d4,2,,alcohol/polyol + alcohol/polyol,1,2,CCCO,CCOCCO,1-丙醇,2-乙氧基乙醇,375.74,101.299935074816,0.713,0.28700000000000003,1.350500464439392,1.350500464439392,1.0,0.27635426053869727,0.025830566883087158,0.012837797403335571,0.01755237579345703,0.12355922162532806,0.021339893341064453,0.01141589879989624,0.019334182143211365,0.07055579870939255,0.4041183888912201,0.27635425329208374,0.5998315215110779,0.10568524897098541,1.0062366724014282,test,mean training-set Uni-Mol token
0,state_01d8e4c5777713828ad5c9f2,2c_b5e6a87ec43f38c5a3d1,2,,alkane/cycloalkane + halogenated,1,2,CC(C)C,C(C(F)F)C(F)(F)F,2-甲基丙烷,"1,1,1,3,3-五氟丙烷",323.15,343.999973782016,0.0,1.0,0.6702947020530701,0.6702947020530701,1.0,0.0,0.2551511526107788,0.2832270562648773,7.533096325548772e-13,3.0642571813288555e-11,0.0,0.0,0.26918910443782806,1.5697940722921716e-11,0.33514735102653503,0.0,0.6702947020530701,3.8046632901481137e-13,1.557880163192749,test,mean training-set Uni-Mol token
0,state_026850e94d67098192c6f82e,2c_f98cab4acf014d5210d4,2,,alcohol/polyol + alcohol/polyol,1,2,CCCO,CCOCCO,1-丙醇,2-乙氧基乙醇,372.57,101.299935074816,0.852,0.14800000000000002,1.3457648754119873,1.3457648754119873,1.0,0.16969556772994998,0.03709447383880615,0.020119190216064453,0.021004661917686462,0.10824058949947357,0.015203073620796204,0.00891047716140747,0.028606832027435303,0.06462262570858002,0.5118288993835449,0.16969555616378784,0.9719697833061218,0.11329245567321777,0.6973828673362732,test,mean training-set Uni-Mol token
