epoch,stage,train_boundary,train_chemical_bias,train_continuity,train_gradient_norm_max,train_gradient_norm_mean,train_pressure,train_pure_vapor_pressure,train_solver,train_temperature,train_total,train_vapor_composition,validation_boundary,validation_chemical_bias,validation_continuity,validation_pressure,validation_pure_vapor_pressure,validation_solver,validation_temperature,validation_total,validation_vapor_composition
1,experimental,0.0,5.054943471272388e-05,0.0,48.39007568359375,19.228574751814723,0.6642006544967389,1.2902475536288476,0.0,0.0,1.353205480472704,0.043881058734141096,0.0,7.991642992402124e-05,0.0,0.15045441938451973,0.11667186466146665,0.0,0.0,0.2188414063798376,0.010051054734153202
2,experimental,0.0,7.284231045174476e-05,0.0,29.47455406188965,9.224746366517733,0.14210835475046024,0.25414811602984166,0.0,0.0,0.2804865044333673,0.011304089790796749,0.0,6.802524408432151e-05,0.0,0.09920160095375705,0.1069964777094772,0.0,0.0,0.15744043980018202,0.004740600572921426
3,experimental,0.0,7.358506576554197e-05,0.0,20.028392791748047,8.035887021685813,0.09807399230224276,0.18901412718032934,0.0,0.0,0.20281687701573786,0.010235822469409107,0.0,7.618600895336594e-05,0.0,0.12484026849269866,0.10509918955973832,0.0,0.0,0.1832495973770877,0.005859734751957368
4,experimental,0.0,7.582856784435305e-05,0.0,16.56371307373047,8.399194170819293,0.09423302414205036,0.19397571749640033,0.0,0.0,0.20156328174547875,0.010342398866863688,0.0,7.793156039853389e-05,0.0,0.0917665235428925,0.08479928026895925,0.0,0.0,0.14200018902859055,0.007834023560386106
5,experimental,0.0,7.693361695524972e-05,0.0,12.453500747680664,5.696248560880138,0.06987974728917716,0.1574419159684592,0.0,0.0,0.157843595340592,0.009242888819674763,0.0,7.50215014748567e-05,0.0,0.07669998732316925,0.1060348867921226,0.0,0.0,0.13598214768501649,0.006264717604246843
6,experimental,0.0,7.74081965345512e-05,0.0,18.573240280151367,6.228500200894151,0.05992263361020426,0.14874158635394205,0.0,0.0,0.14394527461567874,0.0096518491863994,0.0,7.738640553988404e-05,0.0,0.08401006659470409,0.1466891586601016,0.0,0.0,0.16332123688904635,0.005966592725949833
7,experimental,0.0,8.064481489796541e-05,0.0,11.665901184082031,6.059127703363358,0.05434042237842536,0.13739993631498446,0.0,0.0,0.13188462553546804,0.008844235643985905,0.0,8.359475351283775e-05,0.0,0.08257891424449093,0.07632558625864695,0.0,0.0,0.12714401217828314,0.0064023070463753605
8,experimental,0.0,9.231776192721042e-05,0.0,32.18404769897461,6.277129576890062,0.050530231833644114,0.12680379908293377,0.0,0.0,0.12236068538549603,0.00842855398905333,0.0,9.827903738029368e-05,0.0,0.058218151330947876,0.1110564482499318,0.0,0.0,0.12063586383339871,0.0068894880116883534
9,experimental,0.0,9.968265559009671e-05,0.0,25.319616317749023,6.652732276966149,0.05125598915557356,0.13633486745371942,0.0,0.0,0.12783354396104255,0.008410120426719831,0.0,0.00011044776046800101,0.0,0.05713207375213324,0.08740490354507803,0.0,0.0,0.10782523350902351,0.006990707045174148
10,experimental,0.0,0.00010899725922309191,0.0,14.071220397949219,5.127354423804931,0.040248687497840954,0.11735541878858623,0.0,0.0,0.10674181429282381,0.007815417710969002,0.0,0.00010932809888898586,0.0,0.04543806555041348,0.07379071815724833,0.0,0.0,0.08827338638793991,0.005939962038299046
11,experimental,0.0,0.00011173593972133059,0.0,16.26556396484375,5.828698558400287,0.0364363923831758,0.1016042051000064,0.0,0.0,0.09384493425465201,0.006606439428495118,0.0,0.00011535503893476316,0.0,0.03661897675280111,0.05534926498959582,0.0,0.0,0.06995919735496303,0.00566558829138437
12,experimental,0.0,0.00011191884451263979,0.0,30.81437873840332,6.720011578321085,0.03105292575000429,0.09091387191510839,0.0,0.0,0.08241291259226856,0.005903050903776803,0.0,0.00011794183598564803,0.0,0.044032565226037816,0.10146182744976986,0.0,0.0,0.10111258600849703,0.006349107016057494
13,experimental,0.0,0.00010817321640897357,0.0,29.274049758911133,7.591533695639948,0.029592071990989136,0.08508458193672752,0.0,0.0,0.07773271753786754,0.00559835489072556,0.0,0.00010871978845525847,0.0,0.02788080276854067,0.04671448241156268,0.0,0.0,0.05550501955201827,0.004266975484564003
14,experimental,0.0,0.00010711980416325059,0.0,20.276412963867188,8.418242942287797,0.02990768687147017,0.08091741371880451,0.0,0.0,0.07505701243962738,0.0046906190845594905,0.0,0.00010272407208580568,0.0,0.03420883310307939,0.057072810352925794,0.0,0.0,0.06665317310267184,0.003907934149323278
15,experimental,0.0,0.00010866540537944441,0.0,31.294599533081055,7.356086884855541,0.03108771068064854,0.07521221173160217,0.0,0.0,0.07293623375557537,0.004242417301936826,0.0,0.00011313295401057722,0.0,0.030287017000008777,0.06695443191621676,0.0,0.0,0.067197307962251,0.003433074288249734
