epoch,stage,train_gradient_norm_max,train_gradient_norm_mean,train_pressure,train_pure_vapor_pressure,train_teacher_forced_fugacity,train_temperature,train_total,train_vapor_composition,validation_pressure,validation_pure_vapor_pressure,validation_teacher_forced_fugacity,validation_temperature,validation_total,validation_vapor_composition
1,experimental,40.44160079956055,15.32246111996991,0.6170482357522252,0.9374562510622094,0.0,0.0,1.1263420348452196,0.040565665205792356,0.1312731599639633,0.1725121060081379,0.0,0.0,0.22768762244504337,0.01015840704849185
2,experimental,31.955158233642578,13.546424791506755,0.17645608480633634,0.236925195827474,0.0,0.0,0.30662998896192767,0.011711305020076812,0.228291223370393,0.21178888461474332,0.0,0.0,0.34139792324208834,0.007212261259635758
3,experimental,19.285470962524414,7.05811890345842,0.10536870478708751,0.16697456569354527,0.0,0.0,0.19853780205070432,0.009681815161375121,0.11068761333649615,0.16606920610389264,0.0,0.0,0.2031921595426369,0.009469942179189311
4,experimental,17.956398010253906,7.297331542201852,0.09110418856389932,0.16069414585656594,0.0,0.0,0.18140099295930556,0.009949731186441678,0.08222307818916076,0.17060161460074524,0.0,0.0,0.17487885653607177,0.007354969458550599
5,experimental,14.87600326538086,6.119743790776645,0.06682353957788223,0.14771198101094468,0.0,0.0,0.15003479374560555,0.00935526379034786,0.07383113422509281,0.1322561764574577,0.0,0.0,0.1476375812186119,0.00767835871768164
6,experimental,14.056878089904785,5.467802291236358,0.056567779357506974,0.13168963865766622,0.0,0.0,0.13182801946157793,0.00941542096357178,0.055098648095682747,0.1296164053832001,0.0,0.0,0.12763213726693615,0.007725286068238323
7,experimental,18.946521759033203,7.121696021137703,0.057249067007947144,0.12897084608222498,0.0,0.0,0.13091848483696789,0.009183995627207677,0.05436083463841169,0.11862125736961038,0.0,0.0,0.12109492697246524,0.007423463176449408
8,experimental,16.405048370361328,6.489753587363168,0.04943568986877773,0.11477489605947473,0.0,0.0,0.11622022573498254,0.009397088514561643,0.04963400908805782,0.11745564232093289,0.0,0.0,0.11743953879774165,0.009077708878121005
9,experimental,14.808250427246094,6.023419286996432,0.04250105996246665,0.10676192068325195,0.0,0.0,0.1035008283472331,0.00761880869290297,0.04145559043167268,0.10482594154770575,0.0,0.0,0.10154707974666909,0.007678518850061698
10,experimental,24.896751403808594,8.676202904825264,0.04088238639852135,0.09801168111490621,0.0,0.0,0.09686212438522061,0.006973897192324986,0.0467687545927809,0.08865255466876477,0.0,0.0,0.09734513053292515,0.006250098678851551
11,experimental,20.20922088623047,6.898743897532394,0.03576107847855389,0.08949988575685405,0.0,0.0,0.08663433355084568,0.0061233122956612564,0.039613733585446544,0.07802439143436954,0.0,0.0,0.08344804331578044,0.004822113324792691
12,experimental,17.53561019897461,6.489313595869282,0.027749592359274954,0.07254212259870278,0.0,0.0,0.06883639229252687,0.004815738087526811,0.03257569032512802,0.06881416287069887,0.0,0.0,0.07151723573593038,0.004534463784448999
13,experimental,26.833459854125977,6.8115289266653996,0.024232559063769556,0.06755152147435914,0.0,0.0,0.06208913120746528,0.004080811492883942,0.03606201436971317,0.07901095572897877,0.0,0.0,0.07997935279920597,0.0044118597239009225
14,experimental,22.578279495239258,9.958177650639675,0.02118838412733084,0.053275556501114006,0.0,0.0,0.05101602241377577,0.003189859893350876,0.03073374748430977,0.05162489271233375,0.0,0.0,0.06032519825465251,0.0037790042627146004
15,experimental,19.68029022216797,7.388135535131436,0.01868204262809095,0.04776314645786005,0.0,0.0,0.04547410661523992,0.0029104910613847075,0.020623246254656374,0.03492737770455151,0.0,0.0,0.041655356546373985,0.003568421312105904
16,experimental,22.955120086669922,7.103896742988176,0.01445072260144437,0.03950341593822476,0.0,0.0,0.0363100454538038,0.002107614772095883,0.02533908123932756,0.04705338733491175,0.0,0.0,0.051665085328458496,0.002799310699901255
17,experimental,30.13201904296875,10.190281765765421,0.015183357039923103,0.03699030926392447,0.0,0.0,0.03549216939194587,0.0018136576528139012,0.02393753338287682,0.04704347657808346,0.0,0.0,0.05009514778386516,0.002635875865554404
18,experimental,17.751493453979492,6.717584214279666,0.012527606089395947,0.03161146229532948,0.0,0.0,0.029974998582087308,0.0016416613424185638,0.0240429848350315,0.0357884935153035,0.0,0.0,0.044533158384679215,0.002595925842400967
19,experimental,23.979293823242188,8.883149939007303,0.013360927274342824,0.03066567653040534,0.0,0.0,0.030239246224277552,0.0015454806475329636,0.015333968071937378,0.026063703865630544,0.0,0.0,0.030413216315689516,0.002047395949771001
