pressure_kPa,x_heptane,y_exp,T_exp_K,doi,unifac_T_K,unifac_y,thermoformer_T_K,thermoformer_y
101.3,0.0,0.0,423.8,10.1016/j.fluid.2013.05.016,423.903720597317,0.0,423.79607591965816,0.0
101.3,0.03500000000000003,0.10899999999999999,420.7,10.1016/j.fluid.2013.05.016,420.49900974318666,0.11897999297028145,420.6631793073337,0.11272407996126083
101.3,0.04300000000000004,0.133,420.0,10.1016/j.fluid.2013.05.016,419.75013202213347,0.1438182871412775,419.96793295634,0.13652125053432057
101.3,0.09799999999999998,0.28,415.5,10.1016/j.fluid.2013.05.016,414.87454852837396,0.2943917764005794,415.3887472416115,0.28276323234991496
101.3,0.11699999999999999,0.32499999999999996,413.9,10.1016/j.fluid.2013.05.016,413.29388875014007,0.3392375716990594,413.8849782260026,0.32697812218497363
101.3,0.17000000000000004,0.43999999999999995,409.6,10.1016/j.fluid.2013.05.016,409.1385349845379,0.4484411026391289,409.8883673131771,0.43590333449392626
101.3,0.19799999999999995,0.494,407.5,10.1016/j.fluid.2013.05.016,407.0825776472401,0.4980370158193773,407.8882457764922,0.4859525290824506
101.3,0.278,0.625,401.6,10.1016/j.fluid.2013.05.016,401.676500231279,0.6154395997677881,402.5596883099949,0.6057995628979458
101.3,0.359,0.726,396.2,10.1016/j.fluid.2013.05.016,396.8154085526326,0.706163444773493,397.6857605581698,0.6995870980304615
101.3,0.46599999999999997,0.8240000000000001,390.3,10.1016/j.fluid.2013.05.016,391.17112607378226,0.7956814185332,391.9346394949625,0.7928051854989321
101.3,0.5800000000000001,0.883,385.1,10.1016/j.fluid.2013.05.016,385.94857123603896,0.8649625504161096,386.53255954862,0.8649697027081106
101.3,0.633,0.916,382.3,10.1016/j.fluid.2013.05.016,383.7526926931878,0.8905603517994042,384.2447763739007,0.8914437718431721
101.3,0.751,0.95,378.7,10.1016/j.fluid.2013.05.016,379.3089999015983,0.9365122167065622,379.5976333946851,0.9383595413979503
101.3,0.837,0.973,375.7,10.1016/j.fluid.2013.05.016,376.4052992015658,0.9626096904347713,376.562823641129,0.9643648034772071
101.3,0.929,0.99,373.3,10.1016/j.fluid.2013.05.016,373.5661163033399,0.9853559439062584,373.615430331388,0.9863554566694938
101.3,1.0,1.0,371.4,10.1016/j.fluid.2013.05.016,371.54196218960664,1.0000000000038434,371.54050260270446,1.0
