variant_id,variant,source_variant_id,independent_run,setting_id,evaluation_setting,protocol,component_count,direction,state,state_metric,state_unit,source_summary,pressure_mae_kpa_mean,pressure_mae_kpa_std,pressure_mae_kpa_available_seeds,pressure_mae_kpa_seed_ids,pressure_rmse_kpa_mean,pressure_rmse_kpa_std,pressure_rmse_kpa_available_seeds,pressure_rmse_kpa_seed_ids,pressure_r2_mean,pressure_r2_std,pressure_r2_available_seeds,pressure_r2_seed_ids,y_mae_mean,y_mae_std,y_mae_available_seeds,y_mae_seed_ids,y_rmse_mean,y_rmse_std,y_rmse_available_seeds,y_rmse_seed_ids,y_r2_mean,y_r2_std,y_r2_available_seeds,y_r2_seed_ids,valid_coverage_mean,valid_coverage_std,valid_coverage_available_seeds,valid_coverage_seed_ids,temperature_mae_k_mean,temperature_mae_k_std,temperature_mae_k_available_seeds,temperature_mae_k_seed_ids,temperature_rmse_k_mean,temperature_rmse_k_std,temperature_rmse_k_available_seeds,temperature_rmse_k_seed_ids,temperature_r2_mean,temperature_r2_std,temperature_r2_available_seeds,temperature_r2_seed_ids
v1_rdkit_only,V1 RDKit descriptors only,v1_rdkit_only,True,joint_train_ternary_test,Binary+ternary train → ternary test,overall_binary_ternary,3.0,isothermal,P,pressure,kPa,results/multiview/formal/runs/v1_rdkit_only.on.overall_binary_ternary/metrics_summary.csv,1.944444671375604,0.4630954575204811,4.0,0;2;3;4,2.791980749598721,0.5484717096329452,4.0,0;2;3;4,0.975379009169718,0.0165725254009193,4.0,0;2;3;4,0.021973003651328,0.0075416988488711,4,0;2;3;4,0.0301502787925866,0.0095668222603114,4,0;2;3;4,0.983441673658751,0.01334184863293,4,0;2;3;4,1.0,0.0,4,0;2;3;4,,,,,,,,,,,,
v1_rdkit_only,V1 RDKit descriptors only,v1_rdkit_only,True,joint_train_ternary_test,Binary+ternary train → ternary test,overall_binary_ternary,3.0,isobaric,T,temperature,K,results/multiview/formal/runs/v1_rdkit_only.on.overall_binary_ternary/metrics_summary.csv,,,,,,,,,,,,,0.0343090290904229,0.0173418778077458,4,0;1;2;4,0.0540455739964398,0.034887045022112,4,0;1;2;4,0.9197437020312592,0.0791070194864667,4,0;1;2;4,1.0,0.0,4,0;1;2;4,1.5368163907259804,0.6196382683593973,4.0,0;1;2;4,1.977973186825065,0.9695008212996225,4.0,0;1;2;4,0.977873746507222,0.0326919870169353,4.0,0;1;2;4
v2_unimol_only,V2 Uni-Mol v2 unified interface,v0_legacy_unimol,False,binary_train_binary_test,Binary train → binary test,overall_binary,,isothermal,P,pressure,kPa,results/overall_binary/metrics_summary.csv,17.262135158374566,8.416607348182543,5.0,0;1;2;3;4,35.127726635075256,14.934414825945478,5.0,0;1;2;3;4,0.9108506533817564,0.0512180246756719,5.0,0;1;2;3;4,0.0680888141324405,0.0145774561329838,5,0;1;2;3;4,0.1023410598434506,0.0231019420681107,5,0;1;2;3;4,0.8978954890139512,0.0489584967895303,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,,,,,,,,,,,,
v2_unimol_only,V2 Uni-Mol v2 unified interface,v0_legacy_unimol,False,binary_train_binary_test,Binary train → binary test,overall_binary,,isobaric,T,temperature,K,results/overall_binary/metrics_summary.csv,,,,,,,,,,,,,0.0637518677363812,0.0216559720847034,5,0;1;2;3;4,0.0917143302052774,0.0270314717395793,5,0;1;2;3;4,0.9084988687579107,0.0575640587978737,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,5.752372027794524,1.608178444882709,5.0,0;1;2;3;4,8.085146969141354,2.503347135952369,5.0,0;1;2;3;4,0.9195989389927344,0.0516877330633514,5.0,0;1;2;3;4
v2_unimol_only,V2 Uni-Mol v2 unified interface,v0_legacy_unimol,False,joint_train_binary_test,Binary+ternary train → binary test,overall_binary_ternary,2.0,isothermal,P,pressure,kPa,results/overall_binary_ternary/metrics_summary.csv,18.568153754905676,6.403813464631156,5.0,0;1;2;3;4,40.45119633560769,14.088881675885563,5.0,0;1;2;3;4,0.8824642257858939,0.0516791785684752,5.0,0;1;2;3;4,0.0719894761801644,0.0157898153058829,5,0;1;2;3;4,0.108251794888857,0.0203408847513244,5,0;1;2;3;4,0.8872156742691242,0.0439171975898961,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,,,,,,,,,,,,
v2_unimol_only,V2 Uni-Mol v2 unified interface,v0_legacy_unimol,False,joint_train_binary_test,Binary+ternary train → binary test,overall_binary_ternary,2.0,isobaric,T,temperature,K,results/overall_binary_ternary/metrics_summary.csv,,,,,,,,,,,,,0.0680054023954947,0.0161305241062634,5,0;1;2;3;4,0.098743861013427,0.0175878837834736,5,0;1;2;3;4,0.8979761431594205,0.0392921133928849,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,5.72338739063226,1.5597545112232722,5.0,0;1;2;3;4,8.155202238327556,2.019872803633553,5.0,0;1;2;3;4,0.9254760428608868,0.0246896528540097,5.0,0;1;2;3;4
v2_unimol_only,V2 Uni-Mol v2 unified interface,v0_legacy_unimol,False,joint_train_ternary_test,Binary+ternary train → ternary test,overall_binary_ternary,3.0,isothermal,P,pressure,kPa,results/overall_binary_ternary/metrics_summary.csv,4.432178232329201,3.3947895839499784,4.0,0;2;3;4,5.682561453909246,4.072943183216452,4.0,0;2;3;4,0.8879059429112945,0.1295355666124142,4.0,0;2;3;4,0.0531483658510582,0.0160129429902432,4,0;2;3;4,0.0729410001777045,0.0197384907998394,4,0;2;3;4,0.9093075333577328,0.0480956133961233,4,0;2;3;4,1.0,0.0,4,0;2;3;4,,,,,,,,,,,,
v2_unimol_only,V2 Uni-Mol v2 unified interface,v0_legacy_unimol,False,joint_train_ternary_test,Binary+ternary train → ternary test,overall_binary_ternary,3.0,isobaric,T,temperature,K,results/overall_binary_ternary/metrics_summary.csv,,,,,,,,,,,,,0.0504340802523392,0.0138211622170183,4,0;1;2;4,0.0695302332337687,0.0233128212194729,4,0;1;2;4,0.8912809384333515,0.0790178046563386,4,0;1;2;4,1.0,0.0,4,0;1;2;4,2.6687373387467908,0.4594807570347041,4.0,0;1;2;4,3.6043239879659055,0.7954248604259285,4.0,0;1;2;4,0.9486937853563164,0.0395684549968499,4.0,0;1;2;4
v3_functional_group_only,V3 Functional groups only,v3_functional_group_only,True,binary_train_binary_test,Binary train → binary test,overall_binary,,isothermal,P,pressure,kPa,results/multiview/predictive/runs/v3_functional_group_only.on.overall_binary/metrics_summary.csv,21497.18816054107,47933.76605344247,5.0,0;1;2;3;4,510164.560859066,1140512.6464001376,5.0,0;1;2;3;4,-133210773.17314832,297868344.40435386,5.0,0;1;2;3;4,0.1414240128407724,0.0174641991115024,5,0;1;2;3;4,0.2132429413373953,0.0346403601015309,5,0;1;2;3;4,0.6396203810364576,0.1133861317993417,5,0;1;2;3;4,0.6216865098475338,0.0816109275949042,5,0;1;2;3;4,,,,,,,,,,,,
v3_functional_group_only,V3 Functional groups only,v3_functional_group_only,True,binary_train_binary_test,Binary train → binary test,overall_binary,,isobaric,T,temperature,K,results/multiview/predictive/runs/v3_functional_group_only.on.overall_binary/metrics_summary.csv,,,,,,,,,,,,,0.2135132190238763,0.0314103748550521,5,0;1;2;3;4,0.2848581512832313,0.0427067519209764,5,0;1;2;3;4,0.1489175097797135,0.2750390002134433,5,0;1;2;3;4,0.9708419674400692,0.0219069040317731,5,0;1;2;3;4,36.61047533082096,9.518928380933492,5.0,0;1;2;3;4,69.64117359782874,14.506385546989833,5.0,0;1;2;3;4,-4.446733022655961,1.605228299084587,5.0,0;1;2;3;4
v3_functional_group_only,V3 Functional groups only,v3_functional_group_only,True,joint_train_binary_test,Binary+ternary train → binary test,overall_binary_ternary,2.0,isothermal,P,pressure,kPa,results/multiview/predictive/runs/v3_functional_group_only.on.overall_binary_ternary/metrics_summary.csv,100838.91729594364,225363.6642963097,5.0,0;1;2;3;4,1909645.0140643932,4269724.722679715,5.0,0;1;2;3;4,-811715524.8405559,1815051087.6204247,5.0,0;1;2;3;4,0.1560106947644125,0.0191228743851878,5,0;1;2;3;4,0.2313073048546013,0.0252155909786587,5,0;1;2;3;4,0.5602005669925021,0.0943612159454833,5,0;1;2;3;4,0.6716689834064105,0.0517714979606366,5,0;1;2;3;4,,,,,,,,,,,,
v3_functional_group_only,V3 Functional groups only,v3_functional_group_only,True,joint_train_binary_test,Binary+ternary train → binary test,overall_binary_ternary,2.0,isobaric,T,temperature,K,results/multiview/predictive/runs/v3_functional_group_only.on.overall_binary_ternary/metrics_summary.csv,,,,,,,,,,,,,0.2072975548325942,0.021601070260218,5,0;1;2;3;4,0.2731141737128197,0.0261130339087326,5,0;1;2;3;4,0.2328136443123416,0.1460924645134622,5,0;1;2;3;4,0.9692123245726908,0.0547430255098006,5,0;1;2;3;4,32.21702118379239,14.140667590472336,5.0,0;1;2;3;4,70.44390164612129,49.52633490613486,5.0,0;1;2;3;4,-7.554842914225406,10.967551540887596,5.0,0;1;2;3;4
v3_functional_group_only,V3 Functional groups only,v3_functional_group_only,True,joint_train_ternary_test,Binary+ternary train → ternary test,overall_binary_ternary,3.0,isothermal,P,pressure,kPa,results/multiview/predictive/runs/v3_functional_group_only.on.overall_binary_ternary/metrics_summary.csv,23.051699322154946,9.798117661536407,4.0,0;2;3;4,31.32705859298528,19.62984081696441,4.0,0;2;3;4,-3.670787276238397,5.402619623358906,4.0,0;2;3;4,0.1409129330281137,0.0417561285807182,4,0;2;3;4,0.2016048195816889,0.0663210670189862,4,0;2;3;4,0.480782248092107,0.3104234247661473,4,0;2;3;4,0.2933429458197903,0.086782682495297,4,0;2;3;4,,,,,,,,,,,,
v3_functional_group_only,V3 Functional groups only,v3_functional_group_only,True,joint_train_ternary_test,Binary+ternary train → ternary test,overall_binary_ternary,3.0,isobaric,T,temperature,K,results/multiview/predictive/runs/v3_functional_group_only.on.overall_binary_ternary/metrics_summary.csv,,,,,,,,,,,,,0.1627752535282642,0.0190752344549466,4,0;1;2;4,0.2031659044886106,0.0169422074698991,4,0;1;2;4,0.1669063192874821,0.2327774517015428,4,0;1;2;4,0.9770238095238096,0.0384278633321201,4,0;1;2;4,20.102937559270035,10.47253967650284,4.0,0;1;2;4,40.70460576081207,44.49914147093072,4.0,0;1;2;4,-17.721539105107937,35.10577346889258,4.0,0;1;2;4
v4_rdkit_unimol_naive,V4 RDKit + Uni-Mol naive fusion,v4_rdkit_unimol_naive,True,binary_train_binary_test,Binary train → binary test,overall_binary,,isothermal,P,pressure,kPa,results/multiview/predictive/runs/v4_rdkit_unimol_naive.on.overall_binary/metrics_summary.csv,9.550405197598495,5.2142108155820255,5.0,0;1;2;3;4,21.7252068996516,11.469641755945473,5.0,0;1;2;3;4,0.9640186781749704,0.0271589088153144,5.0,0;1;2;3;4,0.0292083546491323,0.0032969317845683,5,0;1;2;3;4,0.0505796285677791,0.0089824052782191,5,0;1;2;3;4,0.975572388935247,0.0078229241831442,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,,,,,,,,,,,,
v4_rdkit_unimol_naive,V4 RDKit + Uni-Mol naive fusion,v4_rdkit_unimol_naive,True,binary_train_binary_test,Binary train → binary test,overall_binary,,isobaric,T,temperature,K,results/multiview/predictive/runs/v4_rdkit_unimol_naive.on.overall_binary/metrics_summary.csv,,,,,,,,,,,,,0.030457983079127,0.0023466305841949,5,0;1;2;3;4,0.0520289513022569,0.0050338336855018,5,0;1;2;3;4,0.972350429282386,0.0049363685343958,5,0;1;2;3;4,1.0,0.0,5,0;1;2;3;4,2.754830620351942,0.4051961282175582,5.0,0;1;2;3;4,4.5460033593979325,0.8914128168519089,5.0,0;1;2;3;4,0.9758180349662664,0.0113537578328458,5.0,0;1;2;3;4
