epoch,stage,train_gradient_norm_max,train_gradient_norm_mean,train_physics_weight_scale,train_pressure,train_pure_vapor_pressure,train_teacher_forced_fugacity,train_temperature,train_total,train_vapor_composition,validation_pressure,validation_pure_vapor_pressure,validation_teacher_forced_fugacity,validation_temperature,validation_total,validation_vapor_composition
1,physics,7.341619491577148,2.003532871298992,0.5,0.0016946063316234346,0.0036348259401840577,0.0010276175763343648,0.0,0.0044753999087599585,0.00044957180084152657,0.004019128216081842,0.0006623735166943417,0.0,0.0,0.005198243163776727,0.0008479282187423895
2,physics,4.906417369842529,1.948862175666849,1.0,0.0014966064759320457,0.00306831921875452,0.0009105658641941438,0.0,0.004364196766967548,0.00042286482311586633,0.003974401537542399,0.0006670008098916321,0.0,0.0,0.005164593162522623,0.000856691265328577
3,physics,4.818428039550781,1.7617669469796153,1.0,0.0014461165948215515,0.0033408519255617073,0.000876545007048048,0.0,0.004401309670360031,0.0004082221137439528,0.003959091544662572,0.0006006825587331881,0.0,0.0,0.00512926951038349,0.0008698367052786003
4,physics,5.126393795013428,1.6179104583822848,1.0,0.0013914673323980199,0.0030687757969870702,0.0008479008777299785,0.0,0.004177318856666225,0.0004035627490420627,0.004012616108643818,0.0006090424350943096,0.0,0.0,0.005191184893041988,0.0008740475095934461
5,physics,5.024565696716309,1.8745828999728602,1.0,0.001391641575382532,0.0030851154696765483,0.0008435264406087447,0.0,0.004170736869347629,0.00039301111382212417,0.003915000044871655,0.0006119064262464424,0.0,0.0,0.005102780792144916,0.0008818276091103382
6,physics,4.706962585449219,1.821855821477862,1.0,0.0013720307232429057,0.0030255204467577192,0.0008297235999071969,0.0,0.004111709642795397,0.0003971950633254971,0.003906879153693322,0.000639120002043279,0.0,0.0,0.005100319466971204,0.0008738803110153059
7,physics,5.89679479598999,2.0292524101619547,1.0,0.001370563342243518,0.002834070249279338,0.0008187890725466523,0.0,0.003992034543127438,0.00038564696944068703,0.004166599762670045,0.000620209617458959,0.0,0.0,0.005364473199634394,0.0008877686516187593
8,physics,4.828555583953857,1.7535771648978007,1.0,0.0013477199414520232,0.003089958663729739,0.0008089800810844534,0.0,0.004090887826565088,0.00038920849421671523,0.003977939877398486,0.0006200235746450335,0.0,0.0,0.00516502460623675,0.000877072991986947
9,physics,4.789022445678711,1.7319601685702375,1.0,0.0013405166967869024,0.0028596652250250233,0.00080622930850112,0.0,0.003958787472195203,0.0003822088526215658,0.003978657668058095,0.0006245685036918974,0.0,0.0,0.005162044328703811,0.0008711024613068783
10,physics,6.48212194442749,1.6206779486789187,1.0,0.0013239181328782974,0.0032157184824751764,0.0008013104409979446,0.0,0.004118437095519079,0.0003853492671069731,0.004110256414723984,0.000597952103904938,0.0,0.0,0.0052948651427674855,0.0008856326120277044
