dataset,data_points,unique_systems,unique_components,temperature_min_k,temperature_max_k,pressure_min_kpa,pressure_max_kpa
Binary,22760,693,328,153.22999999999996,1550.0,0.01,50179.999999999985
Ternary,4544,107,111,253.27,1400.0,0.01,15000.000000000005
