dataset,family_1,family_2,family_pair,unique_systems,total_data_points,median_points_per_system,pair_rank
Binary,halogenated,hydrocarbon,halogenated + hydrocarbon,55,2630,41.0,1
Binary,halogenated,halogenated,halogenated + halogenated,40,2043,40.0,2
Binary,alcohol,ester,alcohol + ester,40,1324,21.5,3
Binary,alcohol,ether,alcohol + ether,38,1132,26.5,4
Binary,alcohol,hydrocarbon,alcohol + hydrocarbon,34,1368,27.0,5
Binary,alcohol,alcohol,alcohol + alcohol,33,722,20.0,6
Binary,ester,hydrocarbon,ester + hydrocarbon,30,957,27.0,7
Binary,hydrocarbon,sulfur-containing,hydrocarbon + sulfur-containing,30,589,17.0,8
Binary,alcohol,other,alcohol + other,29,945,27.0,9
Binary,aromatic,hydrocarbon,aromatic + hydrocarbon,28,602,15.0,10
Binary,ether,halogenated,ether + halogenated,27,1021,33.0,11
Binary,hydrocarbon,other,hydrocarbon + other,18,717,26.0,12
Binary,ester,ester,ester + ester,17,483,23.0,13
Binary,alcohol,water,alcohol + water,16,757,38.5,14
Binary,halogenated,other,halogenated + other,16,576,30.0,15
Binary,hydrocarbon,hydrocarbon,hydrocarbon + hydrocarbon,14,449,20.0,16
Binary,alcohol,aromatic,alcohol + aromatic,14,301,23.0,17
Binary,alcohol,amide,alcohol + amide,12,218,16.5,18
Binary,alcohol,ketone,alcohol + ketone,11,470,38.0,19
Binary,aromatic,sulfur-containing,aromatic + sulfur-containing,11,151,12.0,20
Binary,alcohol,sulfur-containing,alcohol + sulfur-containing,10,154,15.5,21
Binary,alcohol,halogenated,alcohol + halogenated,10,146,14.5,22
Binary,ester,other,ester + other,9,322,28.0,23
Binary,ether,hydrocarbon,ether + hydrocarbon,9,322,33.0,24
Binary,aromatic,aromatic,aromatic + aromatic,9,265,26.0,25
Binary,other,other,other + other,8,469,47.5,26
Binary,amine,halogenated,amine + halogenated,8,365,44.5,27
Binary,ester,sulfur-containing,ester + sulfur-containing,8,125,17.5,28
Binary,hydrocarbon,ketone,hydrocarbon + ketone,6,221,39.0,29
Binary,halogenated,ketone,halogenated + ketone,5,182,39.0,30
Binary,other,sulfur-containing,other + sulfur-containing,5,152,28.0,31
Binary,ester,ether,ester + ether,5,119,16.0,32
Binary,acid,alcohol,acid + alcohol,4,200,50.0,33
Binary,aromatic,halogenated,aromatic + halogenated,4,148,37.0,34
Binary,ester,ketone,ester + ketone,4,121,32.0,35
Binary,amine,hydrocarbon,amine + hydrocarbon,4,96,24.5,36
Binary,acid,amide,acid + amide,4,85,20.5,37
Binary,acid,acid,acid + acid,4,65,11.0,38
Binary,amide,aromatic,amide + aromatic,4,65,16.0,39
Binary,acid,water,acid + water,3,153,48.0,40
Binary,amine,water,amine + water,3,128,42.0,41
Binary,ether,ketone,ether + ketone,3,114,39.0,42
Binary,ether,other,ether + other,3,114,32.0,43
Binary,alcohol,amine,alcohol + amine,3,99,16.0,44
Binary,ether,sulfur-containing,ether + sulfur-containing,3,89,28.0,45
Binary,aromatic,ether,aromatic + ether,3,85,14.0,46
Binary,acid,ester,acid + ester,3,84,26.0,47
Binary,amide,ester,amide + ester,3,66,21.0,48
Binary,amide,halogenated,amide + halogenated,3,35,11.0,49
Binary,acid,ketone,acid + ketone,2,72,36.0,50
Binary,amine,amine,amine + amine,2,65,32.5,51
Binary,acid,ether,acid + ether,2,60,30.0,52
Binary,amide,sulfur-containing,amide + sulfur-containing,2,56,28.0,53
Binary,ketone,other,ketone + other,2,55,27.5,54
Binary,aromatic,ester,aromatic + ester,2,44,22.0,55
Binary,acid,halogenated,acid + halogenated,2,34,17.0,56
Binary,aromatic,ketone,aromatic + ketone,2,33,16.5,57
Binary,aromatic,other,aromatic + other,1,53,53.0,58
Binary,acid,hydrocarbon,acid + hydrocarbon,1,33,33.0,59
Binary,ester,water,ester + water,1,28,28.0,60
Binary,ether,water,ether + water,1,27,27.0,61
Binary,other,water,other + water,1,23,23.0,62
Binary,amine,ketone,amine + ketone,1,22,22.0,63
Binary,amide,amine,amide + amine,1,21,21.0,64
Binary,amide,amide,amide + amide,1,20,20.0,65
Binary,amine,aromatic,amine + aromatic,1,18,18.0,66
Binary,sulfur-containing,water,sulfur-containing + water,1,16,16.0,67
Binary,acid,sulfur-containing,acid + sulfur-containing,1,15,15.0,68
Binary,ester,halogenated,ester + halogenated,1,15,15.0,69
Binary,amine,other,amine + other,1,5,5.0,70
Binary,aromatic,water,aromatic + water,1,1,1.0,71
