dataset,system_family_class,unique_systems,total_data_points,mean_points_per_system,median_points_per_system,min_points_per_system,max_points_per_system,all_systems,all_data_points,system_share_pct,data_point_share_pct,class_rank
Ternary,amine + hydrocarbon + sulfur-containing,3,30,10.0,10.0,10,10,986,13861,0.30425963488843816,0.21643460067816175,51
Ternary,halogenated + hydrocarbon + ketone,3,29,9.666666666666666,10.0,8,11,986,13861,0.30425963488843816,0.20922011398888968,52
Ternary,acid + sulfur-containing + water,3,28,9.333333333333334,10.0,5,13,986,13861,0.30425963488843816,0.20200562729961763,53
Ternary,ester + other + water,3,26,8.666666666666666,9.0,5,12,986,13861,0.30425963488843816,0.1875766539210735,54
Ternary,hydrocarbon + other + water,3,22,7.333333333333333,5.0,5,12,986,13861,0.30425963488843816,0.15871870716398528,55
Ternary,alcohol + hydrocarbon + other,3,21,7.0,9.0,3,9,986,13861,0.30425963488843816,0.15150422047471324,56
Ternary,amine + hydrocarbon + other,3,8,2.6666666666666665,2.0,1,5,986,13861,0.30425963488843816,0.05771589351417647,57
Ternary,aromatic + sulfur-containing + water,2,56,28.0,28.0,9,47,986,13861,0.2028397565922921,0.40401125459923526,58
Ternary,alcohol + alcohol + ether,2,54,27.0,27.0,11,43,986,13861,0.2028397565922921,0.38958228122069116,59
Ternary,hydrocarbon + ketone + water,2,48,24.0,24.0,24,24,986,13861,0.2028397565922921,0.3462953610850588,60
Ternary,aromatic + aromatic + sulfur-containing,2,42,21.0,21.0,9,33,986,13861,0.2028397565922921,0.30300844094942647,61
Ternary,amide + amine + hydrocarbon,2,38,19.0,19.0,17,21,986,13861,0.2028397565922921,0.2741504941923382,62
Ternary,acid + alcohol + ester,2,35,17.5,17.5,11,24,986,13861,0.2028397565922921,0.252507034124522,63
Ternary,alcohol + ether + hydrocarbon,2,33,16.5,16.5,4,29,986,13861,0.2028397565922921,0.23807806074597793,64
Ternary,alcohol + amide + water,2,32,16.0,16.0,16,16,986,13861,0.2028397565922921,0.23086357405670588,65
Ternary,acid + hydrocarbon + water,2,31,15.5,15.5,11,20,986,13861,0.2028397565922921,0.2236490873674338,66
Ternary,alcohol + hydrocarbon + hydrocarbon,2,27,13.5,13.5,13,14,986,13861,0.2028397565922921,0.19479114061034558,67
Ternary,ether + halogenated + water,2,26,13.0,13.0,2,24,986,13861,0.2028397565922921,0.1875766539210735,68
Ternary,alcohol + aromatic + aromatic,2,26,13.0,13.0,12,14,986,13861,0.2028397565922921,0.1875766539210735,69
Ternary,acid + other + water,2,25,12.5,12.5,7,18,986,13861,0.2028397565922921,0.18036216723180146,70
Ternary,ether + hydrocarbon + hydrocarbon,2,24,12.0,12.0,12,12,986,13861,0.2028397565922921,0.1731476805425294,71
Ternary,halogenated + ketone + water,2,18,9.0,9.0,7,11,986,13861,0.2028397565922921,0.12986076040689704,72
Ternary,alcohol + halogenated + ketone,2,17,8.5,8.5,6,11,986,13861,0.2028397565922921,0.12264627371762499,73
Ternary,acid + aromatic + hydrocarbon,2,16,8.0,8.0,8,8,986,13861,0.2028397565922921,0.11543178702835294,74
Ternary,aromatic + ether + water,2,15,7.5,7.5,6,9,986,13861,0.2028397565922921,0.10821730033908088,75
Ternary,ester + hydrocarbon + sulfur-containing,2,15,7.5,7.5,7,8,986,13861,0.2028397565922921,0.10821730033908088,76
Ternary,acid + alcohol + hydrocarbon,2,14,7.0,7.0,7,7,986,13861,0.2028397565922921,0.10100281364980881,77
Ternary,alcohol + ketone + sulfur-containing,2,14,7.0,7.0,7,7,986,13861,0.2028397565922921,0.10100281364980881,78
Ternary,aromatic + aromatic + ester,2,14,7.0,7.0,7,7,986,13861,0.2028397565922921,0.10100281364980881,79
Ternary,hydrocarbon + hydrocarbon + water,2,12,6.0,6.0,3,9,986,13861,0.2028397565922921,0.0865738402712647,80
Ternary,amine + amine + hydrocarbon,2,12,6.0,6.0,5,7,986,13861,0.2028397565922921,0.0865738402712647,81
Ternary,aromatic + ester + halogenated,2,12,6.0,6.0,6,6,986,13861,0.2028397565922921,0.0865738402712647,82
Ternary,ketone + sulfur-containing + water,2,11,5.5,5.5,5,6,986,13861,0.2028397565922921,0.07935935358199264,83
