dataset,data_points,unique_systems,unique_components,temperature_min_k,temperature_max_k,pressure_min_kpa,pressure_max_kpa
Binary,5983,394,252,186.25,1266.7,1.5000000000000004,123900.0
Ternary,13861,986,345,100.99999999999997,593.0,0.0,20000.0
