epoch,stage,train_boundary,train_chemical_bias,train_continuity,train_gradient_norm_max,train_gradient_norm_mean,train_physics_weight_scale,train_pressure,train_pure_vapor_pressure,train_solver,train_teacher_forced_fugacity,train_temperature,train_total,train_vapor_composition,validation_boundary,validation_chemical_bias,validation_continuity,validation_pressure,validation_pure_vapor_pressure,validation_solver,validation_teacher_forced_fugacity,validation_temperature,validation_total,validation_vapor_composition
1,physics,0.0,0.0,0.0,9.037923812866211,2.76186004872126,0.5,0.00598284905190487,0.019719071412917587,0.0,0.0,0.0,0.017802850405797353,0.0009745120664289447,0.0,0.0,0.0,0.011915793682796409,0.004470568981739771,0.0,0.0,0.0,0.015668640240847347,0.0015175621718145817
2,physics,0.0,0.0,0.0,6.7483696937561035,2.981589159451693,1.0,0.005067765953689271,0.019521000997232682,0.0,0.0,0.0,0.017686409319853744,0.000906042880867717,0.0,0.0,0.0,0.012110626863607442,0.004690117326127477,0.0,0.0,0.0,0.015957570865929846,0.0015018857342292027
3,physics,0.0,0.0,0.0,8.018296241760254,2.726884049341618,1.0,0.004786809554269255,0.019382690710825472,0.0,0.0,0.0,0.01729123125578539,0.0008748072682713697,0.0,0.0,0.0,0.012336839466209872,0.004871167271139931,0.0,0.0,0.0,0.016267193198563106,0.0014947699427784208
4,physics,0.0,0.0,0.0,10.882451057434082,3.054327041639877,1.0,0.0047045661494844165,0.018699131458066887,0.0,0.0,0.0,0.016782631018533063,0.0008585859877423406,0.0,0.0,0.0,0.012477839186069477,0.005317894459129816,0.0,0.0,0.0,0.01661596931068294,0.001479182746093047
5,physics,0.0,0.0,0.0,7.305576324462891,3.108679035192725,1.0,0.004643864839501148,0.01853474108904662,0.0,0.0,0.0,0.016623555424679914,0.0008588460447542556,0.0,0.0,0.0,0.012723252186215067,0.0049668050180357625,0.0,0.0,0.0,0.016698815871074975,0.0014921612465327763
