category,protocol,evaluation_setting,test_subset,direction,known_inputs,joint_outputs,state_quantity,state_unit,state_mae_mean,state_mae_std,state_rmse_mean,state_rmse_std,state_r2_mean,state_r2_std,y_mae_mean,y_mae_std,y_rmse_mean,y_rmse_std,y_r2_mean,y_r2_std,solver_failure_rate_mean,nonphysical_rate_mean,valid_coverage_mean,available_seeds
transfer,binary_to_ternary_zero_shot,0% ternary (zero-shot),all,isothermal,"molecules,T,x","P,y",P,kPa,1.620025276057867,0.3826691728783274,2.0876217322905104,0.4529932785025937,0.9758300833644741,0.01410883060571686,0.012894769516639915,0.0033552379416791215,0.018999711466066087,0.0022316009425830635,0.9922116538163825,0.004582332853543338,0.0,0.0,1.0,5
transfer,binary_to_ternary_scale_0.05,5.56% ternary,all,isobaric,"molecules,P,x","T,y",T,K,1.9746696741893977,0.5175243663730469,2.6730309730045456,0.6646284199069593,0.9902593200283633,0.007021313780364529,0.07430294974622671,0.01690799770429686,0.11176481282209486,0.013497902350513008,0.7642260008326074,0.0629224832263023,0.0,0.0,1.0,5
transfer,binary_to_ternary_scale_0.05,5.56% ternary,all,isothermal,"molecules,T,x","P,y",P,kPa,2.152319876760955,0.8942664664771655,2.61927504933698,0.935832673255099,0.9533044235403342,0.03838296304353692,0.014449352914209809,0.004195980374286397,0.020217833663736865,0.004026233566068454,0.9910378563147635,0.005307923274127198,0.0,0.0,1.0,5
transfer,binary_to_ternary_scale_0.1,10% ternary,all,isobaric,"molecules,P,x","T,y",T,K,2.045209533430979,0.5397878483843324,2.612655784838202,0.6456535630880776,0.9906324585774666,0.007183637591716609,0.07244846123845419,0.01652915665668489,0.11060167051970496,0.01322000573171217,0.7694963511321891,0.0594054321821006,0.0,0.0,1.0,5
transfer,binary_to_ternary_scale_0.1,10% ternary,all,isothermal,"molecules,T,x","P,y",P,kPa,1.927785748674174,0.6018415536566538,2.3535336307666355,0.6933073748976708,0.9683475569680592,0.017889861051719406,0.013601134473608398,0.004404197947962938,0.019564501783617443,0.004559217812691466,0.9910225823041567,0.007173348273489304,0.0,0.0,1.0,5
transfer,binary_to_ternary_scale_0.25,25% ternary,all,isobaric,"molecules,P,x","T,y",T,K,1.861975589183863,1.1815468049147064,2.4749751452035516,1.3662626163269675,0.9889873108438966,0.012589084705158866,0.07228550661868974,0.016503225908999854,0.1108973401254705,0.013161910034446618,0.7679664884755708,0.060438357425634553,0.0,0.0,1.0,5
transfer,binary_to_ternary_scale_0.25,25% ternary,all,isothermal,"molecules,T,x","P,y",P,kPa,1.7960146319405528,0.6095496078355693,2.386786044383322,0.6482420451483468,0.9641881447543307,0.02050671131190518,0.014000347767328577,0.002600635374319647,0.020033547986235033,0.002711863561773763,0.9915068669937666,0.004416649408472847,0.0,0.0,1.0,5
transfer,binary_to_ternary_scale_0.5,50% ternary,all,isobaric,"molecules,P,x","T,y",T,K,1.8137041096665303,0.8552093051475874,2.4341381188724096,1.1479557310670432,0.990204847807339,0.009786779671442588,0.07206153526074179,0.015921197431672425,0.11094108542492387,0.012739418740041078,0.7675870046640048,0.06033503183143546,0.0,0.0,1.0,5
transfer,binary_to_ternary_scale_0.5,50% ternary,all,isothermal,"molecules,T,x","P,y",P,kPa,1.302735392540118,0.5032515037119629,1.8078316365556293,0.568511474435496,0.9824378607327258,0.011186433508013507,0.011163497120640221,0.0028216719304665554,0.01692946865565907,0.0029379169217426306,0.9941996494632287,0.0022850648691764603,0.0,0.0,1.0,5
transfer,binary_to_ternary_scale_1,100% ternary,all,isobaric,"molecules,P,x","T,y",T,K,1.7777789068906498,0.5354896609981528,2.380429338332837,0.73548973312257,0.9917523947080339,0.00704505717883022,0.0735543574149943,0.015579590681886557,0.11120923364744059,0.012438829950760325,0.7674139041237343,0.053894250624145996,0.0,0.0,1.0,5
transfer,binary_to_ternary_scale_1,100% ternary,all,isothermal,"molecules,T,x","P,y",P,kPa,1.4678563487106917,0.3843695059231798,1.8733247102368593,0.4359620052645642,0.9818114725099418,0.008165717863393923,0.012829576648282454,0.00280463036351168,0.018747165260541505,0.0034340630652077665,0.9930053438213724,0.002655707201738986,0.0,0.0,1.0,5
