protocol,attempted_samples,component_count,direction,nonphysical_rate,pressure_count,pressure_mae_kpa,pressure_r2,pressure_rmse_kpa,pressure_system_macro_mae_kpa,pressure_system_macro_rmse_kpa,scope,seed,solver_failure_rate,subgroup,systems,temperature_count,temperature_mae_k,temperature_r2,temperature_rmse_k,temperature_system_macro_mae_k,temperature_system_macro_rmse_k,valid_coverage,valid_samples,y_component_macro_mae,y_component_values,y_mae,y_r2,y_rmse,y_sample_macro_mae,y_system_macro_mae,y_system_macro_rmse,test_subset
overall_binary,1508,,,0.0,717,9.046631878581165,0.956692606164604,20.27418155129792,9.082776496495963,20.200202381493018,all,0,0.0,,53,791,4.40126612994824,0.9691057442063552,6.221950502621787,5.2913731031754745,7.432567402437478,1.0,1508,0.0550299736589577,3016,0.0541211610746076,0.93217055339185,0.083114043154818,0.054237836526655,0.0519260598623007,0.081364405749362,Binary-only model: binary test
overall_binary,1510,,,0.0,628,19.305406090980856,0.930318053906658,34.850712492298626,17.73653870874606,32.48742943841559,all,1,0.0,,52,882,4.952514373018095,0.9447217043187416,6.68803225463404,5.302709610214893,7.109916365376629,1.0,1510,0.0577168985896116,3020,0.0584342170386278,0.931175334282508,0.085142268220468,0.0588247235227896,0.0585282487203529,0.0867495933608323,Binary-only model: binary test
overall_binary,1633,,,0.0,795,14.817840462461351,0.9063445972002604,30.917678191746784,14.019942021542958,28.108514594584047,all,2,0.0,,50,838,8.514040598721383,0.838148589474359,12.27070523412844,9.283009492641796,13.529689642672164,1.0,1633,0.0890064686604273,3266,0.096854096845214,0.8127374034389057,0.1378551324867797,0.0971410236821179,0.0973956374016191,0.138138855204012,Binary-only model: binary test
overall_binary,1525,,,0.0,598,30.751651891411772,0.825024033571246,60.07363824789631,26.292009212609887,48.90024013909684,all,3,0.0,,45,927,5.629226299397009,0.9012494003201854,8.543560305138925,7.232767339236804,10.63815570548543,1.0,1525,0.0617807147398247,3050,0.0612830858390847,0.9049259810286696,0.0982416046297732,0.0614066353528015,0.0643109734295847,0.1072840036411449,Binary-only model: binary test
overall_binary,1512,,,0.0,653,12.389145468437672,0.9358739760660142,29.52242269213665,12.439847740857973,27.59046663899328,all,4,0.0,,46,859,5.264812737887897,0.944769256644031,6.701486549183577,5.451967186625368,6.994562683325317,1.0,1512,0.05770555778075,3024,0.0576646628241315,0.9354265533922396,0.0807674165435489,0.0575512241019861,0.0570510226520554,0.0793443051987861,Binary-only model: binary test
overall_binary_ternary,1508,2.0,,0.0,717,15.074151248579678,0.8837993702563731,33.20982196097552,15.468206024864235,34.125447705586744,cardinality,0,0.0,,53,791,8.4770117912823,0.8925426181947353,11.603948969147458,9.679565446345345,13.06163412652727,1.0,1508,0.0954739706149458,3016,0.0959095139763755,0.8243576671464712,0.1337457131732803,0.0960399966170731,0.0972959684049167,0.1368724903672371,Joint model: binary test
overall_binary_ternary,168,3.0,,0.0,105,9.341316002664682,0.6978799893306543,11.575022026294748,6.919413206902049,9.392335965030306,cardinality,0,0.0,,4,63,3.024551750061995,0.928387545447981,3.966994752453545,2.859698442731577,3.83482714643406,1.0,168,0.0613329166808121,504,0.0635879392139258,0.9007928649764524,0.0835288817056842,0.0635879392139258,0.0613329166808121,0.0796518921162096,Joint model: ternary test
overall_binary_ternary,1510,2.0,,0.0,628,25.136060001405625,0.8039968475003856,58.44980329747097,24.65432937230064,58.45630197997458,cardinality,1,0.0,,52,882,5.052755095120736,0.940292363680384,6.950818943657422,5.844978588531714,7.971369614292266,1.0,1510,0.0504959974690683,3020,0.0549740513747504,0.934981838464248,0.0827542873387815,0.0550146400378923,0.0542524983374851,0.0832896318054839,Joint model: binary test
overall_binary_ternary,175,3.0,,0.0,0,,,,,,cardinality,1,0.0,,5,175,3.044404889787933,0.9033347742895146,3.9740587165287846,2.825968236340592,3.8082135569732873,1.0,175,0.0669977631129986,525,0.0637725260799669,0.8669295524981363,0.0923837673118173,0.0637725260799669,0.06188708368577,0.0887174398531167,Joint model: ternary test
overall_binary_ternary,1633,2.0,,0.0,795,11.57151117905273,0.9415264927463544,24.42980645640968,10.573691042409562,22.384239866338994,cardinality,2,0.0,,50,838,4.644112862015681,0.9511177067656648,6.74352645071452,5.017521154111831,7.414345427771127,1.0,1633,0.062281761985072,3266,0.0711830967522861,0.8873465705733463,0.1069226288714563,0.0712304637813278,0.0675312719468387,0.1008776896056474,Joint model: binary test
