epoch,stage,train_gradient_norm_max,train_gradient_norm_mean,train_pressure,train_pure_vapor_pressure,train_teacher_forced_fugacity,train_temperature,train_total,train_vapor_composition,validation_pressure,validation_pure_vapor_pressure,validation_teacher_forced_fugacity,validation_temperature,validation_total,validation_vapor_composition
1,experimental,27.135059356689453,9.39978368623421,0.3701181857903519,0.616545872943909,0.0,0.0,0.7003727946324586,0.021981669340765023,0.03219704861813395,0.02968541150749772,0.0,0.0,0.05053333216753976,0.0034935775979915086
2,experimental,15.775794982910156,4.794454714884898,0.06194668275163531,0.08639889452657189,0.0,0.0,0.11122263397644973,0.0060765027615796545,0.022343783475020352,0.015619572577775947,0.0,0.0,0.033399881140605825,0.00324631149033662
3,experimental,8.006656646728516,3.6144280000059346,0.03871564502193364,0.05327537783182475,0.0,0.0,0.0696468318052901,0.004293498156195511,0.022123252975921753,0.035249978475663545,0.0,0.0,0.04278280914114086,0.0030345673038400653
4,experimental,11.000908851623535,3.019140837573699,0.03518601540132735,0.04935636300587171,0.0,0.0,0.06412450101917869,0.0042603044649381265,0.020218671540861478,0.02885416298453209,0.0,0.0,0.03733031503228391,0.0026845624851764716
5,experimental,6.958408832550049,2.4484210351322324,0.02340641342796623,0.038916318396640025,0.0,0.0,0.0462677106698494,0.003403138386466259,0.0201264841627146,0.055848738297062,0.0,0.0,0.050666518817361096,0.0026156649645714056
6,experimental,10.549795150756836,2.5736985349466632,0.024735944997772395,0.04355730201422152,0.0,0.0,0.049575036931493004,0.003060441202761834,0.013421157330558865,0.015715965417780822,0.0,0.0,0.02362884218628342,0.002349702231970946
7,experimental,10.361475944519043,2.7710921253308505,0.023287326335899618,0.043075482127120084,0.0,0.0,0.04812614234361806,0.0033010748943485633,0.017106248607743527,0.017140830020066382,0.0,0.0,0.028575102441806482,0.00289843903317017
8,experimental,10.710722923278809,2.7073547426553195,0.02211251428886081,0.038345408013389884,0.0,0.0,0.04437423322542173,0.0030890147448872926,0.012597008661584653,0.019021186355756083,0.0,0.0,0.02466506980039736,0.0025574676496301005
9,experimental,6.937127590179443,2.3452247332018454,0.01934179155722588,0.034751328423597176,0.0,0.0,0.03981938034255533,0.003101924636643099,0.01528840754862241,0.024287274751415407,0.0,0.0,0.02974657663729024,0.0023145311762281175
10,experimental,9.478168487548828,2.151794434713086,0.018307513683253757,0.03400552202901413,0.0,0.0,0.03835419188767915,0.0030439172361450178,0.0181264882057384,0.022317821589344446,0.0,0.0,0.031693956902064085,0.0024085573730649743
11,experimental,5.975879669189453,2.20091286016624,0.017665498914606254,0.03543438413381772,0.0,0.0,0.03824453719820038,0.002861846328181637,0.014669114805236813,0.01825988316088204,0.0,0.0,0.025785859573531796,0.0019868028291689147
12,experimental,4.586183547973633,1.9725684440074098,0.017421268188577095,0.03133310648767553,0.0,0.0,0.035859614691446454,0.002771793442212408,0.016032785630306683,0.04851450064383885,0.0,0.0,0.04240599868668092,0.0021159628034896545
