epoch,stage,train_gradient_norm_max,train_gradient_norm_mean,train_physics_weight_scale,train_pressure,train_pure_vapor_pressure,train_teacher_forced_fugacity,train_temperature,train_total,train_vapor_composition,validation_pressure,validation_pure_vapor_pressure,validation_teacher_forced_fugacity,validation_temperature,validation_total,validation_vapor_composition
1,physics,14.22973346710205,2.97545007197151,0.5,0.005918432271278297,0.021967871132597457,0.0042352332929726354,0.0,0.020261354995762367,0.0012413704146967816,0.014239357265910439,0.006127564654503404,0.0,0.0,0.018882250501234644,0.0015791108188516866
2,physics,8.424199104309082,2.9708227026394005,1.0,0.005334207815442182,0.02120437864866926,0.0037914132673414706,0.0,0.020876990916116292,0.0011491804386816438,0.014047448347470536,0.00580447803238312,0.0,0.0,0.018521304030467,0.0015716166008528777
3,physics,10.896931648254395,2.8391805883212866,1.0,0.005171254125097301,0.02026653992657006,0.0036356395019081006,0.0,0.020019224076799593,0.001079060444066735,0.013801643248033041,0.00565286256300981,0.0,0.0,0.018166465498621224,0.001538390983001727
4,physics,14.37967586517334,2.619046439909296,1.0,0.00503093692002899,0.020291248067051054,0.0035264799172052435,0.0,0.019759977823859947,0.0010569370977833573,0.013503115806342596,0.005533501204356761,0.0,0.0,0.017799542307771473,0.0015296757118867803
5,physics,12.545548439025879,2.598545368315018,1.0,0.004978601805281932,0.019449185003256014,0.0034460030400179174,0.0,0.019177525720862294,0.0010283284313171376,0.01337461353574864,0.005454387738478469,0.0,0.0,0.017598441097905926,0.0014966335291086322
6,physics,14.685958862304688,2.641776134164108,1.0,0.004886727806969349,0.020202395533990277,0.0033827369533888075,0.0,0.019380628540085765,0.001009966074167224,0.013718703795386596,0.005383439310657912,0.0,0.0,0.017918507972244542,0.0015080845397300357
7,physics,8.611565589904785,2.789062361247992,1.0,0.004827711554444228,0.020045765972976845,0.0033485454936760684,0.0,0.01919411840615516,0.0009949782915195933,0.013674167631243102,0.005387279116802699,0.0,0.0,0.01784574527779947,0.0014779377952966082
8,physics,10.1126708984375,2.423778519553348,1.0,0.004793329365626571,0.018928763970249295,0.003328731282105617,0.0,0.018561143652708053,0.0009747009895749215,0.013552134311264055,0.005266025708103238,0.0,0.0,0.01767059068631205,0.0014854434943015063
9,physics,9.521793365478516,2.72148207230644,1.0,0.004732803259616491,0.020145304414563005,0.0032157755095165194,0.0,0.0189936140863025,0.000972383217803771,0.013858669338682763,0.005306224754978951,0.0,0.0,0.01798177227048988,0.001469990824406897
10,physics,11.309535026550293,2.631158012836554,1.0,0.004708255650654217,0.018664205195239765,0.0032395531748094816,0.0,0.018233693768140474,0.0009537823308791548,0.013387587923010678,0.0051428634392989515,0.0,0.0,0.01739492325385168,0.0014359035016997398
